Timestamp,position,BLMTI.05L3.B2E10_TCLA.A5L3.B2
1459606208270,3.37,0.0
1459606208280,3.37,3.6200000000000004e-07
1459606208290,3.37,3.6200000000000004e-07
1459606208300,3.37,1.4480000000000002e-06
1459606208310,3.37,0.0
1459606208320,3.37,7.240000000000001e-07
1459606208330,3.37,0.0
1459606208340,3.37,1.81e-06
1459606208350,3.37,7.240000000000001e-07
1459606208360,3.37,1.0859999999999999e-06
1459606208370,3.37,0.0
1459606208380,3.37,7.240000000000001e-07
1459606208390,3.37,7.240000000000001e-07
1459606208400,3.37,0.0
1459606208410,3.37,3.6200000000000004e-07
1459606208420,3.37,3.6200000000000004e-07
1459606208430,3.37,7.240000000000001e-07
1459606208440,3.37,1.0859999999999999e-06
1459606208450,3.37,7.240000000000001e-07
1459606208460,3.37,7.240000000000001e-07
1459606208470,3.37,3.6200000000000004e-07
1459606208480,3.37,3.6200000000000004e-07
1459606208490,3.37,3.6200000000000004e-07
1459606208500,3.37,7.240000000000001e-07
1459606208510,3.37,3.6200000000000004e-07
1459606208520,3.37,7.240000000000001e-07
1459606208530,3.37,0.0
1459606208540,3.37,1.0859999999999999e-06
1459606208550,3.37,0.0
1459606208560,3.37,1.0859999999999999e-06
1459606208570,3.37,3.6200000000000004e-07
1459606208580,3.37,1.4480000000000002e-06
1459606208590,3.37,0.0
1459606208600,3.37,7.240000000000001e-07
1459606208610,3.37,1.0859999999999999e-06
1459606208620,3.37,1.0859999999999999e-06
1459606208630,3.37,0.0
1459606208640,3.37,7.240000000000001e-07
1459606208650,3.37,1.0859999999999999e-06
1459606208660,3.37,3.6200000000000004e-07
1459606208670,3.37,3.6200000000000004e-07
1459606208680,3.37,7.240000000000001e-07
1459606208690,3.37,0.0
1459606208700,3.37,1.81e-06
1459606208710,3.37,0.0
1459606208720,3.37,0.0
1459606208730,3.37,7.240000000000001e-07
1459606208740,3.37,1.0859999999999999e-06
1459606208750,3.37,0.0
1459606208760,3.37,7.240000000000001e-07
1459606208770,3.37,0.0
1459606208780,3.37,3.6200000000000004e-07
1459606208790,3.37,3.6200000000000004e-07
1459606208800,3.37,7.240000000000001e-07
1459606208810,3.37,7.240000000000001e-07
1459606208820,3.37,3.6200000000000004e-07
1459606208830,3.37,7.240000000000001e-07
1459606208840,3.37,7.240000000000001e-07
1459606208850,3.37,1.0859999999999999e-06
1459606208860,3.37,7.240000000000001e-07
1459606208870,3.37,0.0
1459606208880,3.37,3.6200000000000004e-07
1459606208890,3.37,7.240000000000001e-07
1459606208900,3.37,7.240000000000001e-07
1459606208910,3.37,0.0
1459606208920,3.37,7.240000000000001e-07
1459606208930,3.37,7.240000000000001e-07
1459606208940,3.37,7.240000000000001e-07
1459606208950,3.37,3.6200000000000004e-07
1459606208960,3.37,1.0859999999999999e-06
1459606208970,3.37,3.6200000000000004e-07
1459606208980,3.37,1.4480000000000002e-06
1459606208990,3.37,3.6200000000000004e-07
1459606209000,3.37,3.6200000000000004e-07
1459606209010,3.37,3.6200000000000004e-07
1459606209020,3.37,1.0859999999999999e-06
1459606209030,3.37,0.0
1459606209040,3.37,3.6200000000000004e-07
1459606209050,3.37,1.0859999999999999e-06
1459606209060,3.37,7.240000000000001e-07
1459606209070,3.37,1.0859999999999999e-06
1459606209080,3.37,3.6200000000000004e-07
1459606209090,3.37,7.240000000000001e-07
1459606209100,3.37,7.240000000000001e-07
1459606209110,3.37,7.240000000000001e-07
1459606209120,3.37,1.0859999999999999e-06
1459606209130,3.37,0.0
1459606209140,3.37,2.1719999999999997e-06
1459606209150,3.37,0.0
1459606209160,3.37,1.0859999999999999e-06
1459606209170,3.37,0.0
1459606209180,3.37,7.240000000000001e-07
1459606209190,3.37,7.240000000000001e-07
1459606209200,3.37,7.240000000000001e-07
1459606209210,3.37,7.240000000000001e-07
1459606209220,3.37,1.0859999999999999e-06
1459606209230,3.37,0.0
1459606209240,3.37,3.6200000000000004e-07
1459606209250,3.37,3.6200000000000004e-07
1459606209260,3.37,7.240000000000001e-07
1459606209270,3.37,7.240000000000001e-07
1459606209280,3.37,7.240000000000001e-07
1459606209290,3.37,3.6200000000000004e-07
1459606209300,3.37,1.0859999999999999e-06
1459606209310,3.37,3.6200000000000004e-07
1459606209320,3.37,7.240000000000001e-07
1459606209330,3.37,7.240000000000001e-07
1459606209340,3.37,7.240000000000001e-07
1459606209350,3.37,0.0
1459606209360,3.37,1.0859999999999999e-06
1459606209370,3.37,3.6200000000000004e-07
1459606209380,3.37,1.0859999999999999e-06
1459606209390,3.37,7.240000000000001e-07
1459606209400,3.37,1.4480000000000002e-06
1459606209410,3.37,3.6200000000000004e-07
1459606209420,3.37,2.1719999999999997e-06
1459606209430,3.37,3.6200000000000004e-07
1459606209440,3.37,1.0859999999999999e-06
1459606209450,3.37,3.6200000000000004e-07
1459606209460,3.37,7.240000000000001e-07
1459606209470,3.37,7.240000000000001e-07
1459606209480,3.37,7.240000000000001e-07
1459606209490,3.37,3.6200000000000004e-07
1459606209500,3.37,1.0859999999999999e-06
1459606209510,3.37,7.240000000000001e-07
1459606209520,3.37,1.0859999999999999e-06
1459606209530,3.37,3.6200000000000004e-07
1459606209540,3.37,1.0859999999999999e-06
1459606209550,3.37,0.0
1459606209560,3.37,1.0859999999999999e-06
1459606209570,3.37,0.0
1459606209580,3.37,1.4480000000000002e-06
1459606209590,3.37,3.6200000000000004e-07
1459606209600,3.37,1.0859999999999999e-06
1459606209610,3.37,0.0
1459606209620,3.37,1.0859999999999999e-06
1459606209630,3.37,3.6200000000000004e-07
1459606209640,3.37,7.240000000000001e-07
1459606209650,3.37,3.6200000000000004e-07
1459606209660,3.37,3.6200000000000004e-07
1459606209670,3.37,0.0
1459606209680,3.37,1.0859999999999999e-06
1459606209690,3.37,3.6200000000000004e-07
1459606209700,3.37,1.0859999999999999e-06
1459606209710,3.37,3.6200000000000004e-07
1459606209720,3.37,7.240000000000001e-07
1459606209730,3.37,7.240000000000001e-07
1459606209740,3.37,1.0859999999999999e-06
1459606209750,3.37,7.240000000000001e-07
1459606209760,3.37,1.0859999999999999e-06
1459606209770,3.37,0.0
1459606209780,3.37,1.0859999999999999e-06
1459606209790,3.37,3.6200000000000004e-07
1459606209800,3.37,3.6200000000000004e-07
1459606209810,3.37,0.0
1459606209820,3.37,3.6200000000000004e-07
1459606209830,3.37,3.6200000000000004e-07
1459606209840,3.37,7.240000000000001e-07
1459606209850,3.37,0.0
1459606209860,3.37,1.0859999999999999e-06
1459606209870,3.37,3.6200000000000004e-07
1459606209880,3.37,7.240000000000001e-07
1459606209890,3.37,0.0
1459606209900,3.37,3.6200000000000004e-07
1459606209910,3.37,7.240000000000001e-07
1459606209920,3.37,7.240000000000001e-07
1459606209930,3.37,0.0
1459606209940,3.37,7.240000000000001e-07
1459606209950,3.37,3.6200000000000004e-07
1459606209960,3.37,7.240000000000001e-07
1459606209970,3.37,7.240000000000001e-07
1459606209980,3.37,7.240000000000001e-07
1459606209990,3.37,3.6200000000000004e-07
1459606210000,3.37,7.240000000000001e-07
1459606210010,3.37,7.240000000000001e-07
1459606210020,3.37,3.6200000000000004e-07
1459606210030,3.37,3.6200000000000004e-07
1459606210040,3.37,7.240000000000001e-07
1459606210050,3.37,3.6200000000000004e-07
1459606210060,3.37,1.0859999999999999e-06
1459606210070,3.37,3.6200000000000004e-07
1459606210080,3.37,1.0859999999999999e-06
1459606210090,3.37,7.240000000000001e-07
1459606210100,3.37,7.240000000000001e-07
1459606210110,3.37,7.240000000000001e-07
1459606210120,3.37,3.6200000000000004e-07
1459606210130,3.37,3.6200000000000004e-07
1459606210140,3.37,1.4480000000000002e-06
1459606210150,3.37,1.0859999999999999e-06
1459606210160,3.37,1.0859999999999999e-06
1459606210170,3.37,3.6200000000000004e-07
1459606210180,3.37,7.240000000000001e-07
1459606210190,3.37,7.240000000000001e-07
1459606210200,3.37,7.240000000000001e-07
1459606210210,3.37,3.6200000000000004e-07
1459606210220,3.37,1.0859999999999999e-06
1459606210230,3.37,0.0
1459606210240,3.37,1.4480000000000002e-06
1459606210250,3.37,3.6200000000000004e-07
1459606210260,3.37,1.4480000000000002e-06
1459606210270,3.37,7.240000000000001e-07
1459606210280,3.37,7.240000000000001e-07
1459606210290,3.37,1.0859999999999999e-06
1459606210300,3.37,1.0859999999999999e-06
1459606210310,3.37,3.6200000000000004e-07
1459606210320,3.37,7.240000000000001e-07
1459606210330,3.37,3.6200000000000004e-07
1459606210340,3.37,1.0859999999999999e-06
1459606210350,3.37,3.6200000000000004e-07
1459606210360,3.37,1.0859999999999999e-06
1459606210370,3.37,7.240000000000001e-07
1459606210380,3.37,7.240000000000001e-07
1459606210390,3.37,0.0
1459606210400,3.37,1.0859999999999999e-06
1459606210410,3.37,0.0
1459606210420,3.37,1.4480000000000002e-06
1459606210430,3.37,0.0
1459606210440,3.37,1.0859999999999999e-06
1459606210450,3.37,0.0
1459606210460,3.37,1.0859999999999999e-06
1459606210470,3.37,3.6200000000000004e-07
1459606210480,3.37,7.240000000000001e-07
1459606210490,3.37,7.240000000000001e-07
1459606210500,3.37,7.240000000000001e-07
1459606210510,3.37,1.0859999999999999e-06
1459606210520,3.37,3.6200000000000004e-07
1459606210530,3.37,1.0859999999999999e-06
1459606210540,3.37,1.0859999999999999e-06
1459606210550,3.37,1.4480000000000002e-06
1459606210560,3.37,1.4480000000000002e-06
1459606210570,3.37,7.240000000000001e-07
1459606210580,3.37,7.240000000000001e-07
1459606210590,3.37,3.6200000000000004e-07
1459606210600,3.37,7.240000000000001e-07
1459606210610,3.37,3.6200000000000004e-07
1459606210620,3.37,3.6200000000000004e-07
1459606210630,3.37,7.240000000000001e-07
1459606210640,3.37,1.0859999999999999e-06
1459606210650,3.37,0.0
1459606210660,3.37,1.0859999999999999e-06
1459606210670,3.37,7.240000000000001e-07
1459606210680,3.37,7.240000000000001e-07
1459606210690,3.37,3.6200000000000004e-07
1459606210700,3.37,7.240000000000001e-07
1459606210710,3.37,1.0859999999999999e-06
1459606210720,3.37,1.0859999999999999e-06
1459606210730,3.37,7.240000000000001e-07
1459606210740,3.37,7.240000000000001e-07
1459606210750,3.37,7.240000000000001e-07
1459606210760,3.37,1.0859999999999999e-06
1459606210770,3.37,1.0859999999999999e-06
1459606210780,3.37,7.240000000000001e-07
