Timestamp,position,BLMTI.04R2.B1I10_TCLIA.4R2
1459606232280,8.695,7.240000000000001e-07
1459606232290,8.695,7.240000000000001e-07
1459606232300,8.695,7.240000000000001e-07
1459606232310,8.695,7.240000000000001e-07
1459606232320,8.695,0.0
1459606232330,8.695,7.240000000000001e-07
1459606232340,8.695,7.240000000000001e-07
1459606232350,8.695,0.0
1459606232360,8.695,7.240000000000001e-07
1459606232370,8.695,7.240000000000001e-07
1459606232380,8.695,3.6200000000000004e-07
1459606232390,8.695,7.240000000000001e-07
1459606232400,8.695,3.6200000000000004e-07
1459606232410,8.695,3.6200000000000004e-07
1459606232420,8.695,7.240000000000001e-07
1459606232430,8.695,7.240000000000001e-07
1459606232440,8.695,3.6200000000000004e-07
1459606232450,8.695,3.6200000000000004e-07
1459606232460,8.695,7.240000000000001e-07
1459606232470,8.695,3.6200000000000004e-07
1459606232480,8.695,7.240000000000001e-07
1459606232490,8.695,1.0859999999999999e-06
1459606232500,8.695,7.240000000000001e-07
1459606232510,8.695,7.240000000000001e-07
1459606232520,8.695,3.6200000000000004e-07
1459606232530,8.695,0.0
1459606232540,8.695,7.240000000000001e-07
1459606232550,8.695,3.6200000000000004e-07
1459606232560,8.695,1.0859999999999999e-06
1459606232570,8.695,7.240000000000001e-07
1459606232580,8.695,3.6200000000000004e-07
1459606232590,8.695,7.240000000000001e-07
1459606232600,8.695,3.6200000000000004e-07
1459606232610,8.695,1.0859999999999999e-06
1459606232620,8.695,7.240000000000001e-07
1459606232630,8.695,1.0859999999999999e-06
1459606232640,8.695,7.240000000000001e-07
1459606232650,8.695,7.240000000000001e-07
1459606232660,8.695,1.81e-06
1459606232670,8.695,2.1719999999999997e-06
1459606232680,8.695,2.1719999999999997e-06
1459606232690,8.695,3.982e-06
1459606232700,8.695,2.8960000000000003e-06
1459606232710,8.695,3.258e-06
1459606232720,8.695,1.4480000000000002e-06
1459606232730,8.695,2.1719999999999997e-06
1459606232740,8.695,1.81e-06
1459606232750,8.695,1.4480000000000002e-06
1459606232760,8.695,7.240000000000001e-07
1459606232770,8.695,1.4480000000000002e-06
1459606232780,8.695,1.0859999999999999e-06
1459606232790,8.695,7.240000000000001e-07
1459606232800,8.695,1.4480000000000002e-06
1459606232810,8.695,2.1719999999999997e-06
1459606232820,8.695,1.81e-06
1459606232830,8.695,2.5340000000000002e-06
1459606232840,8.695,2.8960000000000003e-06
1459606232850,8.695,4.343999999999999e-06
1459606232860,8.695,3.982e-06
1459606232870,8.695,3.258e-06
1459606232880,8.695,2.5340000000000002e-06
1459606232890,8.695,1.81e-06
1459606232900,8.695,1.4480000000000002e-06
1459606232910,8.695,1.4480000000000002e-06
