Timestamp,position,BLMTI.04R5.B2I10_TCTPV.4R5.B2
1459606382150,2.95,2.8960000000000003e-06
1459606382160,2.95,1.4480000000000002e-06
1459606382170,2.95,2.5340000000000002e-06
1459606382180,2.95,1.0859999999999999e-06
1459606382190,2.95,2.5340000000000002e-06
1459606382200,2.95,1.4480000000000002e-06
1459606382210,2.95,3.258e-06
1459606382220,2.95,1.0859999999999999e-06
1459606382230,2.95,1.4480000000000002e-06
1459606382240,2.95,1.81e-06
1459606382250,2.95,1.81e-06
1459606382260,2.95,1.4480000000000002e-06
1459606382270,2.95,1.0859999999999999e-06
1459606382280,2.95,1.0859999999999999e-06
1459606382290,2.95,1.4480000000000002e-06
1459606382300,2.95,1.81e-06
1459606382310,2.95,1.4480000000000002e-06
1459606382320,2.95,0.0
1459606382350,2.95,2.1719999999999997e-06
1459606382360,2.95,3.6200000000000004e-07
1459606382370,2.95,2.1719999999999997e-06
1459606382380,2.95,3.6200000000000004e-07
1459606382390,2.95,3.62e-06
1459606382400,2.95,3.6200000000000004e-07
1459606382410,2.95,3.62e-06
1459606382420,2.95,3.6200000000000004e-07
1459606382430,2.95,2.1719999999999997e-06
1459606382440,2.95,1.0859999999999999e-06
1459606382450,2.95,1.0859999999999999e-06
1459606382460,2.95,7.240000000000001e-07
1459606382470,2.95,1.4480000000000002e-06
1459606382480,2.95,1.4480000000000002e-06
1459606382490,2.95,1.4480000000000002e-06
1459606382500,2.95,7.240000000000001e-07
1459606382510,2.95,7.240000000000001e-07
1459606382520,2.95,7.240000000000001e-07
1459606382530,2.95,1.0859999999999999e-06
1459606382540,2.95,1.81e-06
1459606382550,2.95,1.0859999999999999e-06
1459606382560,2.95,1.4480000000000002e-06
1459606382570,2.95,1.0859999999999999e-06
1459606382580,2.95,1.4480000000000002e-06
1459606382590,2.95,1.81e-06
1459606382600,2.95,1.4480000000000002e-06
1459606382610,2.95,2.8960000000000003e-06
1459606382620,2.95,3.6200000000000004e-07
1459606382630,2.95,2.8960000000000003e-06
1459606382640,2.95,1.4480000000000002e-06
1459606382650,2.95,2.1719999999999997e-06
1459606382660,2.95,1.0859999999999999e-06
1459606382670,2.95,2.1719999999999997e-06
1459606382680,2.95,1.81e-06
1459606382690,2.95,2.8960000000000003e-06
1459606382700,2.95,1.4480000000000002e-06
1459606382710,2.95,3.62e-06
1459606382720,2.95,2.1719999999999997e-06
1459606382730,2.95,2.1719999999999997e-06
1459606382740,2.95,1.81e-06
1459606382750,2.95,3.258e-06
1459606382760,2.95,1.4480000000000002e-06
1459606382770,2.95,2.8960000000000003e-06
1459606382780,2.95,2.1719999999999997e-06
1459606382790,2.95,3.258e-06
1459606382800,2.95,7.240000000000001e-07
1459606382810,2.95,3.258e-06
1459606382820,2.95,1.4480000000000002e-06
1459606382830,2.95,3.258e-06
1459606382840,2.95,3.6200000000000004e-07
1459606382850,2.95,2.1719999999999997e-06
1459606382860,2.95,3.6200000000000004e-07
1459606382870,2.95,2.1719999999999997e-06
1459606382880,2.95,1.0859999999999999e-06
1459606382890,2.95,7.240000000000001e-07
1459606382900,2.95,7.240000000000001e-07
1459606382910,2.95,1.4480000000000002e-06
1459606382920,2.95,1.4480000000000002e-06
1459606382930,2.95,1.0859999999999999e-06
1459606382940,2.95,1.81e-06
1459606382950,2.95,1.81e-06
1459606382960,2.95,7.240000000000001e-07
1459606382970,2.95,2.5340000000000002e-06
1459606382980,2.95,7.240000000000001e-07
1459606382990,2.95,1.81e-06
1459606383000,2.95,1.0859999999999999e-06
1459606383010,2.95,1.81e-06
1459606383020,2.95,3.6200000000000004e-07
1459606383030,2.95,3.258e-06
1459606383040,2.95,7.240000000000001e-07
1459606383050,2.95,1.81e-06
1459606383060,2.95,7.240000000000001e-07
1459606383070,2.95,2.1719999999999997e-06
1459606383080,2.95,3.6200000000000004e-07
1459606383090,2.95,1.81e-06
1459606383100,2.95,1.4480000000000002e-06
1459606383110,2.95,1.81e-06
1459606383120,2.95,7.240000000000001e-07
1459606383130,2.95,1.81e-06
1459606383140,2.95,1.0859999999999999e-06
1459606383150,2.95,2.1719999999999997e-06
1459606383160,2.95,1.0859999999999999e-06
1459606383170,2.95,1.81e-06
1459606383180,2.95,1.0859999999999999e-06
1459606383190,2.95,3.62e-06
1459606383200,2.95,3.6200000000000004e-07
1459606383210,2.95,2.8960000000000003e-06
1459606383220,2.95,7.240000000000001e-07
1459606383230,2.95,1.81e-06
1459606383240,2.95,2.1719999999999997e-06
1459606383250,2.95,2.5340000000000002e-06
1459606383260,2.95,7.240000000000001e-07
1459606383270,2.95,1.4480000000000002e-06
1459606383280,2.95,1.0859999999999999e-06
1459606383290,2.95,2.1719999999999997e-06
1459606383300,2.95,3.6200000000000004e-07
1459606383310,2.95,1.4480000000000002e-06
1459606383320,2.95,1.0859999999999999e-06
1459606383330,2.95,7.240000000000001e-07
1459606383350,2.95,7.240000000000001e-07
1459606383360,2.95,1.0859999999999999e-06
1459606383370,2.95,2.1719999999999997e-06
1459606383380,2.95,1.4480000000000002e-06
1459606383390,2.95,1.4480000000000002e-06
1459606383400,2.95,7.240000000000001e-07
