Timestamp,position,BLMTI.04L2.B1E10_TCTPV.4L2.B1
1459606452470,1.05,7.240000000000001e-07
1459606452480,1.05,0.0
1459606452490,1.05,1.4480000000000002e-06
1459606452500,1.05,0.0
1459606452510,1.05,3.6200000000000004e-07
1459606452520,1.05,3.6200000000000004e-07
1459606452530,1.05,0.0
1459606452540,1.05,7.240000000000001e-07
1459606452550,1.05,3.6200000000000004e-07
1459606452560,1.05,7.240000000000001e-07
1459606452570,1.05,3.6200000000000004e-07
1459606452580,1.05,3.6200000000000004e-07
1459606452590,1.05,3.6200000000000004e-07
1459606452600,1.05,1.4480000000000002e-06
1459606452610,1.05,3.6200000000000004e-07
1459606452620,1.05,7.240000000000001e-07
1459606452630,1.05,1.0859999999999999e-06
1459606452640,1.05,3.6200000000000004e-07
1459606452650,1.05,1.0859999999999999e-06
1459606452660,1.05,7.240000000000001e-07
1459606452670,1.05,1.81e-06
1459606452680,1.05,0.0
1459606452690,1.05,1.4480000000000002e-06
1459606452700,1.05,3.6200000000000004e-07
1459606452710,1.05,7.240000000000001e-07
1459606452720,1.05,0.0
1459606452730,1.05,3.6200000000000004e-07
1459606452740,1.05,3.6200000000000004e-07
1459606452750,1.05,0.0
1459606452760,1.05,7.240000000000001e-07
1459606452770,1.05,0.0
1459606452780,1.05,1.0859999999999999e-06
1459606452790,1.05,3.6200000000000004e-07
1459606452800,1.05,1.0859999999999999e-06
1459606452810,1.05,7.240000000000001e-07
1459606452820,1.05,1.0859999999999999e-06
1459606452830,1.05,7.240000000000001e-07
1459606452840,1.05,0.0
1459606452850,1.05,3.6200000000000004e-07
1459606452860,1.05,7.240000000000001e-07
1459606452870,1.05,1.0859999999999999e-06
1459606452880,1.05,0.0
1459606452890,1.05,1.81e-06
1459606452900,1.05,0.0
1459606452910,1.05,2.1719999999999997e-06
1459606452920,1.05,0.0
1459606452930,1.05,2.5340000000000002e-06
1459606452940,1.05,0.0
1459606452950,1.05,1.4480000000000002e-06
1459606452960,1.05,7.240000000000001e-07
1459606452970,1.05,0.0
1459606452980,1.05,1.0859999999999999e-06
1459606452990,1.05,0.0
1459606453000,1.05,1.0859999999999999e-06
1459606453010,1.05,0.0
1459606453020,1.05,0.0
1459606453030,1.05,3.6200000000000004e-07
1459606453040,1.05,3.6200000000000004e-07
1459606453050,1.05,7.240000000000001e-07
1459606453060,1.05,3.6200000000000004e-07
1459606453070,1.05,7.240000000000001e-07
1459606453080,1.05,0.0
1459606453090,1.05,1.0859999999999999e-06
1459606453100,1.05,0.0
1459606453110,1.05,1.4480000000000002e-06
1459606453120,1.05,0.0
1459606453130,1.05,7.240000000000001e-07
1459606453140,1.05,0.0
1459606453150,1.05,7.240000000000001e-07
1459606453160,1.05,7.240000000000001e-07
1459606453170,1.05,0.0
1459606453180,1.05,7.240000000000001e-07
1459606453190,1.05,0.0
1459606453200,1.05,1.0859999999999999e-06
1459606453210,1.05,0.0
1459606453220,1.05,1.0859999999999999e-06
1459606453230,1.05,7.240000000000001e-07
1459606453240,1.05,1.0859999999999999e-06
1459606453250,1.05,3.6200000000000004e-07
1459606453260,1.05,3.6200000000000004e-07
