Timestamp,position,BLMTI.06L7.B2I10_TCLA.C6L7.B2
1459606523220,4.31,1.0859999999999999e-06
1459606523230,4.31,1.4480000000000002e-06
1459606523240,4.31,7.240000000000001e-07
1459606523250,4.31,2.1719999999999997e-06
1459606523260,4.31,1.0859999999999999e-06
1459606523270,4.31,2.1719999999999997e-06
1459606523280,4.31,1.0859999999999999e-06
1459606523290,4.31,1.4480000000000002e-06
1459606523300,4.31,1.81e-06
1459606523310,4.31,1.0859999999999999e-06
1459606523320,4.31,7.240000000000001e-07
1459606523330,4.31,1.4480000000000002e-06
1459606523340,4.31,1.81e-06
1459606523350,4.31,1.0859999999999999e-06
1459606523360,4.31,1.4480000000000002e-06
1459606523370,4.31,1.4480000000000002e-06
1459606523380,4.31,3.6200000000000004e-07
1459606523390,4.31,1.0859999999999999e-06
1459606523400,4.31,1.0859999999999999e-06
1459606523410,4.31,7.240000000000001e-07
1459606523420,4.31,7.240000000000001e-07
1459606523430,4.31,7.240000000000001e-07
1459606523440,4.31,0.0
1459606523450,4.31,7.240000000000001e-07
1459606523460,4.31,3.6200000000000004e-07
1459606523470,4.31,3.6200000000000004e-07
1459606523480,4.31,1.0859999999999999e-06
1459606523490,4.31,7.240000000000001e-07
1459606523500,4.31,7.240000000000001e-07
1459606523510,4.31,1.0859999999999999e-06
1459606523520,4.31,3.6200000000000004e-07
1459606523530,4.31,1.0859999999999999e-06
1459606523540,4.31,1.0859999999999999e-06
1459606523550,4.31,1.81e-06
1459606523560,4.31,1.81e-06
1459606523570,4.31,1.81e-06
1459606523580,4.31,7.240000000000001e-07
1459606523590,4.31,1.81e-06
1459606523600,4.31,7.240000000000001e-07
1459606523610,4.31,1.0859999999999999e-06
1459606523620,4.31,1.0859999999999999e-06
1459606523630,4.31,7.240000000000001e-07
1459606523640,4.31,1.4480000000000002e-06
1459606523650,4.31,3.6200000000000004e-07
1459606523660,4.31,7.240000000000001e-07
1459606523670,4.31,7.240000000000001e-07
1459606523680,4.31,7.240000000000001e-07
1459606523690,4.31,7.240000000000001e-07
1459606523700,4.31,7.240000000000001e-07
1459606523710,4.31,3.6200000000000004e-07
1459606523720,4.31,1.0859999999999999e-06
1459606523730,4.31,7.240000000000001e-07
1459606523740,4.31,3.6200000000000004e-07
1459606523750,4.31,1.4480000000000002e-06
1459606523760,4.31,1.4480000000000002e-06
1459606523770,4.31,2.5340000000000002e-06
1459606523780,4.31,2.8960000000000003e-06
1459606523790,4.31,5.0680000000000004e-06
1459606523800,4.31,5.43e-06
1459606523810,4.31,7.602e-06
1459606523820,4.31,3.982e-06
1459606523830,4.31,3.62e-06
1459606523840,4.31,7.240000000000001e-07
1459606523850,4.31,1.4480000000000002e-06
1459606523860,4.31,1.0859999999999999e-06
1459606523870,4.31,1.0859999999999999e-06
1459606523880,4.31,7.240000000000001e-07
1459606523890,4.31,7.240000000000001e-07
1459606523900,4.31,7.240000000000001e-07
1459606523910,4.31,7.240000000000001e-07
1459606523920,4.31,7.240000000000001e-07
1459606523930,4.31,7.240000000000001e-07
1459606523940,4.31,1.4480000000000002e-06
1459606523950,4.31,1.0859999999999999e-06
1459606523960,4.31,2.5340000000000002e-06
1459606523970,4.31,3.258e-06
1459606523980,4.31,4.706e-06
1459606523990,4.31,4.706e-06
1459606524000,4.31,4.343999999999999e-06
1459606524010,4.31,5.0680000000000004e-06
1459606524020,4.31,5.43e-06
1459606524030,4.31,3.62e-06
1459606524040,4.31,3.62e-06
1459606524050,4.31,4.343999999999999e-06
1459606524060,4.31,1.0859999999999999e-06
1459606524070,4.31,1.81e-06
1459606524080,4.31,1.4480000000000002e-06
1459606524090,4.31,1.81e-06
1459606524100,4.31,1.4480000000000002e-06
1459606524110,4.31,1.4480000000000002e-06
1459606524120,4.31,1.0859999999999999e-06
1459606524130,4.31,1.4480000000000002e-06
1459606524140,4.31,7.240000000000001e-07
1459606524150,4.31,1.4480000000000002e-06
1459606524160,4.31,1.4480000000000002e-06
1459606524170,4.31,1.81e-06
1459606524180,4.31,2.5340000000000002e-06
1459606524190,4.31,3.258e-06
1459606524200,4.31,3.258e-06
1459606524210,4.31,4.343999999999999e-06
1459606524220,4.31,2.5340000000000002e-06
1459606524230,4.31,1.81e-06
1459606524240,4.31,1.0859999999999999e-06
1459606524250,4.31,1.81e-06
1459606524260,4.31,3.6200000000000004e-07
1459606524270,4.31,1.4480000000000002e-06
1459606524280,4.31,7.240000000000001e-07
1459606524290,4.31,1.0859999999999999e-06
1459606524300,4.31,7.240000000000001e-07
1459606524310,4.31,1.0859999999999999e-06
1459606524320,4.31,7.240000000000001e-07
1459606524330,4.31,1.81e-06
1459606524340,4.31,1.0859999999999999e-06
1459606524350,4.31,1.81e-06
1459606524360,4.31,1.0859999999999999e-06
1459606524370,4.31,1.81e-06
1459606524380,4.31,2.1719999999999997e-06
1459606524390,4.31,2.5340000000000002e-06
1459606524400,4.31,1.4480000000000002e-06
1459606524410,4.31,2.1719999999999997e-06
1459606524420,4.31,1.0859999999999999e-06
1459606524430,4.31,2.1719999999999997e-06
1459606524440,4.31,1.4480000000000002e-06
1459606524450,4.31,1.4480000000000002e-06
1459606524460,4.31,7.240000000000001e-07
1459606524470,4.31,1.81e-06
1459606524480,4.31,1.4480000000000002e-06
1459606524490,4.31,3.6200000000000004e-07
1459606524500,4.31,1.4480000000000002e-06
1459606524510,4.31,7.240000000000001e-07
1459606524520,4.31,1.0859999999999999e-06
1459606524530,4.31,7.240000000000001e-07
1459606524540,4.31,7.240000000000001e-07
1459606524550,4.31,1.0859999999999999e-06
1459606524560,4.31,3.6200000000000004e-07
1459606524570,4.31,1.81e-06
1459606524580,4.31,3.6200000000000004e-07
1459606524590,4.31,1.0859999999999999e-06
1459606524600,4.31,1.4480000000000002e-06
1459606524610,4.31,1.4480000000000002e-06
1459606524620,4.31,3.6200000000000004e-07
1459606524630,4.31,1.4480000000000002e-06
1459606524640,4.31,7.240000000000001e-07
1459606524650,4.31,3.6200000000000004e-07
1459606524660,4.31,3.6200000000000004e-07
1459606524670,4.31,7.240000000000001e-07
1459606524680,4.31,7.240000000000001e-07
1459606524690,4.31,3.6200000000000004e-07
1459606524700,4.31,7.240000000000001e-07
1459606524710,4.31,3.6200000000000004e-07
1459606524720,4.31,1.4480000000000002e-06
1459606524730,4.31,3.6200000000000004e-07
1459606524740,4.31,1.0859999999999999e-06
1459606524750,4.31,3.6200000000000004e-07
1459606524760,4.31,7.240000000000001e-07
1459606524770,4.31,1.0859999999999999e-06
1459606524780,4.31,0.0
1459606524790,4.31,1.0859999999999999e-06
1459606524800,4.31,3.6200000000000004e-07
1459606524810,4.31,1.0859999999999999e-06
1459606524820,4.31,3.6200000000000004e-07
1459606524830,4.31,1.4480000000000002e-06
1459606524840,4.31,3.6200000000000004e-07
1459606524850,4.31,1.4480000000000002e-06
1459606524860,4.31,1.81e-06
1459606524870,4.31,1.0859999999999999e-06
1459606524880,4.31,1.81e-06
1459606524890,4.31,1.4480000000000002e-06
1459606524900,4.31,1.4480000000000002e-06
1459606524910,4.31,1.0859999999999999e-06
1459606524920,4.31,1.81e-06
1459606524930,4.31,1.0859999999999999e-06
1459606524940,4.31,7.240000000000001e-07
1459606524950,4.31,1.4480000000000002e-06
1459606524960,4.31,1.4480000000000002e-06
1459606524970,4.31,7.240000000000001e-07
1459606524980,4.31,7.240000000000001e-07
1459606524990,4.31,1.0859999999999999e-06
1459606525000,4.31,7.240000000000001e-07
1459606525010,4.31,7.240000000000001e-07
1459606525020,4.31,0.0
1459606525030,4.31,1.81e-06
1459606525040,4.31,7.240000000000001e-07
1459606525050,4.31,1.0859999999999999e-06
1459606525060,4.31,7.240000000000001e-07
1459606525070,4.31,2.1719999999999997e-06
1459606525080,4.31,1.0859999999999999e-06
1459606525090,4.31,2.1719999999999997e-06
1459606525100,4.31,1.81e-06
1459606525110,4.31,1.4480000000000002e-06
1459606525120,4.31,2.8960000000000003e-06
1459606525130,4.31,1.4480000000000002e-06
1459606525140,4.31,1.4480000000000002e-06
1459606525150,4.31,1.4480000000000002e-06
1459606525160,4.31,1.81e-06
1459606525170,4.31,1.0859999999999999e-06
1459606525180,4.31,1.0859999999999999e-06
1459606525190,4.31,1.0859999999999999e-06
1459606525200,4.31,1.0859999999999999e-06
1459606525210,4.31,7.240000000000001e-07
1459606525220,4.31,7.240000000000001e-07
1459606525230,4.31,7.240000000000001e-07
1459606525240,4.31,1.0859999999999999e-06
1459606525250,4.31,1.0859999999999999e-06
1459606525260,4.31,3.6200000000000004e-07
1459606525270,4.31,1.81e-06
1459606525280,4.31,3.6200000000000004e-07
1459606525290,4.31,1.4480000000000002e-06
1459606525300,4.31,1.81e-06
1459606525310,4.31,1.4480000000000002e-06
1459606525320,4.31,3.62e-06
1459606525330,4.31,4.343999999999999e-06
1459606525340,4.31,5.43e-06
1459606525350,4.31,3.258e-06
1459606525360,4.31,4.343999999999999e-06
