Timestamp,position,BLMTI.04L1.B1I10_TCTPV.4L1.B1
1459606681520,4.225,3.6200000000000004e-07
1459606681530,4.225,0.0
1459606681540,4.225,2.5340000000000002e-06
1459606681550,4.225,0.0
1459606681560,4.225,3.982e-06
1459606681570,4.225,2.8960000000000003e-06
1459606681580,4.225,3.982e-06
1459606681590,4.225,0.0
1459606681600,4.225,2.1719999999999997e-06
1459606681610,4.225,0.0
1459606681620,4.225,7.240000000000001e-07
1459606681630,4.225,7.240000000000001e-07
1459606681640,4.225,3.6200000000000004e-07
1459606681650,4.225,3.6200000000000004e-07
1459606681660,4.225,1.81e-06
1459606681670,4.225,0.0
1459606681680,4.225,3.6200000000000004e-07
1459606681690,4.225,7.240000000000001e-07
1459606681700,4.225,7.240000000000001e-07
1459606681710,4.225,3.6200000000000004e-07
1459606681720,4.225,7.240000000000001e-07
1459606681730,4.225,0.0
1459606681740,4.225,2.1719999999999997e-06
1459606681750,4.225,0.0
1459606681760,4.225,3.6200000000000004e-07
1459606681770,4.225,7.240000000000001e-07
1459606681780,4.225,1.4480000000000002e-06
1459606681790,4.225,3.6200000000000004e-07
1459606681800,4.225,1.81e-06
1459606681810,4.225,0.0
1459606681820,4.225,3.258e-06
1459606681830,4.225,0.0
1459606681840,4.225,0.0
1459606681850,4.225,0.0
1459606681860,4.225,0.0
1459606681870,4.225,0.0
1459606681880,4.225,0.0
1459606681890,4.225,6.154e-06
1459606681900,4.225,2.5340000000000002e-06
1459606681910,4.225,3.6200000000000004e-07
1459606681920,4.225,1.0859999999999999e-06
1459606681930,4.225,0.0
1459606681940,4.225,2.1719999999999997e-06
1459606681950,4.225,0.0
1459606681960,4.225,1.81e-06
1459606681970,4.225,3.6200000000000004e-07
1459606681980,4.225,3.6200000000000004e-07
1459606681990,4.225,7.240000000000001e-07
1459606682000,4.225,1.0859999999999999e-06
1459606682010,4.225,0.0
1459606682020,4.225,7.240000000000001e-07
1459606682030,4.225,7.240000000000001e-07
1459606682040,4.225,1.4480000000000002e-06
1459606682050,4.225,3.6200000000000004e-07
1459606682060,4.225,1.4480000000000002e-06
1459606682070,4.225,0.0
1459606682080,4.225,1.0859999999999999e-06
1459606682090,4.225,3.6200000000000004e-07
1459606682100,4.225,1.0859999999999999e-06
1459606682110,4.225,3.6200000000000004e-07
1459606682120,4.225,7.240000000000001e-07
1459606682130,4.225,3.6200000000000004e-07
1459606682140,4.225,2.1719999999999997e-06
1459606682150,4.225,1.4480000000000002e-06
1459606682160,4.225,3.6200000000000004e-07
1459606682170,4.225,0.0
1459606682180,4.225,0.0
1459606682190,4.225,0.0
