Timestamp,position,BLMTI.06L7.B2I10_TCLA.A6L7.B2
1459606715520,2.12,7.240000000000001e-07
1459606715530,2.12,1.4480000000000002e-06
1459606715540,2.12,7.240000000000001e-07
1459606715550,2.12,2.8960000000000003e-06
1459606715560,2.12,7.240000000000001e-07
1459606715570,2.12,1.81e-06
1459606715580,2.12,7.240000000000001e-07
1459606715590,2.12,1.81e-06
1459606715600,2.12,3.6200000000000004e-07
1459606715610,2.12,2.5340000000000002e-06
1459606715620,2.12,7.240000000000001e-07
1459606715630,2.12,2.1719999999999997e-06
1459606715640,2.12,2.1719999999999997e-06
1459606715650,2.12,5.0680000000000004e-06
1459606715660,2.12,2.5340000000000002e-06
1459606715670,2.12,5.43e-06
1459606715680,2.12,2.8960000000000003e-06
1459606715690,2.12,6.516e-06
1459606715700,2.12,4.343999999999999e-06
1459606715710,2.12,5.43e-06
1459606715720,2.12,2.8960000000000003e-06
1459606715730,2.12,5.43e-06
1459606715740,2.12,2.1719999999999997e-06
1459606715750,2.12,4.706e-06
1459606715760,2.12,2.5340000000000002e-06
1459606715770,2.12,5.43e-06
1459606715780,2.12,3.62e-06
1459606715790,2.12,5.0680000000000004e-06
1459606715800,2.12,2.1719999999999997e-06
1459606715810,2.12,4.343999999999999e-06
1459606715820,2.12,1.0859999999999999e-06
1459606715830,2.12,3.62e-06
1459606715840,2.12,1.4480000000000002e-06
1459606715850,2.12,2.8960000000000003e-06
1459606715860,2.12,1.0859999999999999e-06
1459606715870,2.12,2.1719999999999997e-06
1459606715880,2.12,7.240000000000001e-07
1459606715890,2.12,1.81e-06
1459606715900,2.12,3.6200000000000004e-07
1459606715910,2.12,2.1719999999999997e-06
1459606715920,2.12,7.240000000000001e-07
1459606715930,2.12,2.5340000000000002e-06
1459606715940,2.12,7.240000000000001e-07
1459606715950,2.12,3.258e-06
1459606715960,2.12,1.0859999999999999e-06
1459606715970,2.12,2.1719999999999997e-06
1459606715980,2.12,7.240000000000001e-07
1459606715990,2.12,3.258e-06
1459606716000,2.12,7.240000000000001e-07
1459606716010,2.12,2.1719999999999997e-06
1459606716020,2.12,1.0859999999999999e-06
1459606716030,2.12,2.8960000000000003e-06
1459606716040,2.12,7.240000000000001e-07
1459606716050,2.12,2.8960000000000003e-06
1459606716060,2.12,1.0859999999999999e-06
1459606716070,2.12,1.81e-06
1459606716080,2.12,1.4480000000000002e-06
1459606716090,2.12,4.343999999999999e-06
1459606716100,2.12,1.81e-06
1459606716110,2.12,5.43e-06
1459606716120,2.12,3.258e-06
1459606716130,2.12,5.0680000000000004e-06
1459606716140,2.12,3.258e-06
1459606716150,2.12,4.343999999999999e-06
1459606716160,2.12,3.62e-06
1459606716170,2.12,3.258e-06
1459606716180,2.12,1.81e-06
1459606716190,2.12,2.8960000000000003e-06
1459606716200,2.12,1.0859999999999999e-06
1459606716210,2.12,1.81e-06
1459606716220,2.12,3.6200000000000004e-07
1459606716230,2.12,1.81e-06
1459606716240,2.12,1.0859999999999999e-06
1459606716250,2.12,4.343999999999999e-06
1459606716260,2.12,1.0859999999999999e-06
1459606716270,2.12,5.0680000000000004e-06
1459606716280,2.12,4.343999999999999e-06
1459606716290,2.12,7.24e-06
1459606716300,2.12,2.1719999999999997e-06
1459606716310,2.12,4.343999999999999e-06
1459606716320,2.12,1.81e-06
1459606716330,2.12,4.343999999999999e-06
1459606716340,2.12,1.0859999999999999e-06
1459606716350,2.12,1.81e-06
1459606716360,2.12,1.0859999999999999e-06
1459606716370,2.12,1.81e-06
1459606716380,2.12,7.240000000000001e-07
1459606716390,2.12,1.81e-06
1459606716400,2.12,1.81e-06
1459606716410,2.12,3.982e-06
1459606716420,2.12,3.258e-06
1459606716430,2.12,5.792000000000001e-06
1459606716440,2.12,2.5340000000000002e-06
1459606716450,2.12,3.258e-06
1459606716460,2.12,3.62e-06
1459606716470,2.12,7.602e-06
1459606716480,2.12,4.343999999999999e-06
1459606716490,2.12,5.792000000000001e-06
1459606716500,2.12,2.1719999999999997e-06
1459606716510,2.12,5.0680000000000004e-06
1459606716520,2.12,2.1719999999999997e-06
1459606716530,2.12,2.8960000000000003e-06
1459606716540,2.12,7.240000000000001e-07
1459606716550,2.12,3.258e-06
1459606716560,2.12,1.81e-06
1459606716570,2.12,3.982e-06
1459606716580,2.12,1.4480000000000002e-06
1459606716590,2.12,3.258e-06
1459606716600,2.12,2.8960000000000003e-06
1459606716610,2.12,6.154e-06
1459606716620,2.12,5.0680000000000004e-06
1459606716630,2.12,6.516e-06
1459606716640,2.12,7.24e-06
1459606716650,2.12,1.2308e-05
1459606716660,2.12,1.4842000000000001e-05
1459606716670,2.12,1.6652e-05
1459606716680,2.12,2.2444e-05
1459606716690,2.12,2.4254000000000002e-05
1459606716700,2.12,2.0272000000000002e-05
1459606716710,2.12,1.7014e-05
1459606716720,2.12,1.0136000000000001e-05
1459606716730,2.12,1.1584000000000001e-05
1459606716740,2.12,4.706e-06
1459606716750,2.12,6.516e-06
1459606716760,2.12,2.1719999999999997e-06
1459606716770,2.12,3.982e-06
1459606716780,2.12,1.81e-06
1459606716790,2.12,3.258e-06
1459606716800,2.12,2.1719999999999997e-06
1459606716810,2.12,3.982e-06
1459606716820,2.12,3.258e-06
1459606716830,2.12,3.258e-06
1459606716840,2.12,3.982e-06
1459606716850,2.12,5.0680000000000004e-06
1459606716860,2.12,4.343999999999999e-06
1459606716870,2.12,5.0680000000000004e-06
1459606716880,2.12,4.343999999999999e-06
1459606716890,2.12,3.982e-06
1459606716900,2.12,3.258e-06
1459606716910,2.12,3.62e-06
1459606716920,2.12,2.5340000000000002e-06
1459606716930,2.12,3.62e-06
1459606716940,2.12,1.4480000000000002e-06
1459606716950,2.12,3.258e-06
1459606716960,2.12,1.0859999999999999e-06
1459606716970,2.12,3.62e-06
1459606716980,2.12,1.0859999999999999e-06
1459606716990,2.12,4.706e-06
1459606717000,2.12,1.4480000000000002e-06
1459606717010,2.12,3.982e-06
1459606717020,2.12,2.1719999999999997e-06
1459606717030,2.12,4.706e-06
1459606717040,2.12,7.240000000000001e-07
1459606717050,2.12,2.8960000000000003e-06
1459606717060,2.12,2.1719999999999997e-06
1459606717070,2.12,2.1719999999999997e-06
1459606717080,2.12,1.81e-06
1459606717090,2.12,3.62e-06
1459606717100,2.12,1.4480000000000002e-06
1459606717110,2.12,2.1719999999999997e-06
1459606717120,2.12,3.6200000000000004e-07
1459606717130,2.12,2.1719999999999997e-06
1459606717140,2.12,7.240000000000001e-07
1459606717150,2.12,1.81e-06
1459606717160,2.12,3.6200000000000004e-07
1459606717170,2.12,1.81e-06
1459606717180,2.12,7.240000000000001e-07
1459606717190,2.12,2.1719999999999997e-06
1459606717200,2.12,3.6200000000000004e-07
1459606717210,2.12,1.0859999999999999e-06
1459606717220,2.12,1.81e-06
1459606717230,2.12,1.4480000000000002e-06
1459606717240,2.12,7.240000000000001e-07
1459606717250,2.12,3.6200000000000004e-07
1459606717260,2.12,7.240000000000001e-07
1459606717270,2.12,1.4480000000000002e-06
1459606717280,2.12,7.240000000000001e-07
1459606717290,2.12,1.81e-06
1459606717300,2.12,1.0859999999999999e-06
1459606717310,2.12,2.1719999999999997e-06
1459606717320,2.12,1.4480000000000002e-06
1459606717330,2.12,3.62e-06
1459606717340,2.12,2.1719999999999997e-06
1459606717350,2.12,2.5340000000000002e-06
1459606717360,2.12,1.0859999999999999e-06
1459606717370,2.12,3.62e-06
1459606717380,2.12,1.4480000000000002e-06
1459606717390,2.12,2.5340000000000002e-06
1459606717400,2.12,1.0859999999999999e-06
1459606717410,2.12,2.1719999999999997e-06
1459606717420,2.12,1.4480000000000002e-06
1459606717430,2.12,2.8960000000000003e-06
1459606717440,2.12,2.1719999999999997e-06
1459606717450,2.12,7.602e-06
1459606717460,2.12,8.326e-06
1459606717470,2.12,1.0498e-05
1459606717480,2.12,1.2308e-05
1459606717490,2.12,1.9186e-05
1459606717500,2.12,2.2082e-05
1459606717510,2.12,2.5702e-05
1459606717520,2.12,2.2805999999999998e-05
1459606717530,2.12,2.4254000000000002e-05
1459606717540,2.12,2.172e-05
1459606717550,2.12,2.534e-05
1459606717560,2.12,2.534e-05
1459606717570,2.12,3.077e-05
1459606717580,2.12,1.7738e-05
1459606717590,2.12,1.8100000000000003e-05
1459606717600,2.12,8.687999999999999e-06
1459606717610,2.12,9.774e-06
1459606717620,2.12,3.982e-06
1459606717630,2.12,4.343999999999999e-06
1459606717640,2.12,1.4480000000000002e-06
1459606717650,2.12,2.1719999999999997e-06
1459606717660,2.12,1.81e-06
1459606717670,2.12,2.1719999999999997e-06
1459606717680,2.12,1.4480000000000002e-06
1459606717690,2.12,3.62e-06
1459606717700,2.12,3.258e-06
1459606717710,2.12,5.0680000000000004e-06
1459606717720,2.12,4.706e-06
1459606717730,2.12,7.964e-06
1459606717740,2.12,5.0680000000000004e-06
1459606717750,2.12,5.43e-06
1459606717760,2.12,2.5340000000000002e-06
1459606717770,2.12,4.706e-06
1459606717780,2.12,1.81e-06
1459606717790,2.12,4.343999999999999e-06
1459606717800,2.12,3.6200000000000004e-07
1459606717810,2.12,3.258e-06
1459606717820,2.12,1.0859999999999999e-06
1459606717830,2.12,1.4480000000000002e-06
1459606717840,2.12,7.240000000000001e-07
1459606717850,2.12,1.4480000000000002e-06
1459606717860,2.12,1.0859999999999999e-06
1459606717870,2.12,7.240000000000001e-07
1459606717880,2.12,1.0859999999999999e-06
1459606717890,2.12,1.4480000000000002e-06
1459606717900,2.12,7.240000000000001e-07
1459606717910,2.12,1.81e-06
1459606717920,2.12,1.0859999999999999e-06
1459606717930,2.12,1.0859999999999999e-06
1459606717940,2.12,7.240000000000001e-07
1459606717950,2.12,1.4480000000000002e-06
1459606717960,2.12,7.240000000000001e-07
1459606717970,2.12,2.1719999999999997e-06
1459606717980,2.12,1.4480000000000002e-06
1459606717990,2.12,1.81e-06
1459606718000,2.12,1.0859999999999999e-06
1459606718010,2.12,4.343999999999999e-06
1459606718020,2.12,1.81e-06
1459606718030,2.12,4.343999999999999e-06
1459606718040,2.12,3.258e-06
1459606718050,2.12,7.602e-06
1459606718060,2.12,2.1719999999999997e-06
1459606718070,2.12,5.792000000000001e-06
1459606718080,2.12,1.4480000000000002e-06
1459606718090,2.12,3.982e-06
1459606718100,2.12,1.4480000000000002e-06
1459606718110,2.12,3.6200000000000004e-07
1459606718120,2.12,1.0859999999999999e-06
1459606718130,2.12,1.81e-06
1459606718140,2.12,7.240000000000001e-07
1459606718150,2.12,2.1719999999999997e-06
1459606718160,2.12,1.0859999999999999e-06
1459606718170,2.12,2.1719999999999997e-06
1459606718180,2.12,1.4480000000000002e-06
1459606718190,2.12,1.81e-06
1459606718200,2.12,7.240000000000001e-07
1459606718210,2.12,1.81e-06
1459606718220,2.12,1.0859999999999999e-06
1459606718230,2.12,1.4480000000000002e-06
1459606718240,2.12,7.240000000000001e-07
1459606718250,2.12,1.4480000000000002e-06
1459606718260,2.12,1.0859999999999999e-06
1459606718270,2.12,1.81e-06
1459606718280,2.12,1.0859999999999999e-06
1459606718290,2.12,1.0859999999999999e-06
1459606718300,2.12,1.0859999999999999e-06
1459606718310,2.12,7.240000000000001e-07
1459606718320,2.12,7.240000000000001e-07
1459606718330,2.12,1.81e-06
1459606718340,2.12,7.240000000000001e-07
1459606718350,2.12,1.81e-06
1459606718360,2.12,1.0859999999999999e-06
1459606718370,2.12,2.5340000000000002e-06
1459606718380,2.12,1.4480000000000002e-06
1459606718390,2.12,3.258e-06
1459606718400,2.12,7.240000000000001e-07
1459606718410,2.12,2.5340000000000002e-06
1459606718420,2.12,1.81e-06
1459606718430,2.12,3.258e-06
1459606718440,2.12,2.5340000000000002e-06
1459606718450,2.12,3.258e-06
1459606718460,2.12,1.81e-06
1459606718470,2.12,2.5340000000000002e-06
1459606718480,2.12,1.81e-06
1459606718490,2.12,1.81e-06
1459606718500,2.12,1.4480000000000002e-06
1459606718510,2.12,1.4480000000000002e-06
1459606718520,2.12,7.240000000000001e-07
1459606718530,2.12,2.1719999999999997e-06
1459606718540,2.12,3.6200000000000004e-07
1459606718550,2.12,2.8960000000000003e-06
1459606718560,2.12,2.1719999999999997e-06
1459606718570,2.12,7.964e-06
1459606718580,2.12,8.687999999999999e-06
1459606718590,2.12,2.4616e-05
1459606718600,2.12,3.1856e-05
1459606718610,2.12,5.2852e-05
1459606718620,2.12,2.7511999999999997e-05
1459606718630,2.12,1.6652e-05
1459606718640,2.12,8.326e-06
1459606718650,2.12,7.602e-06
1459606718660,2.12,4.343999999999999e-06
1459606718670,2.12,2.8960000000000003e-06
1459606718680,2.12,1.4480000000000002e-06
1459606718690,2.12,2.8960000000000003e-06
1459606718700,2.12,1.81e-06
1459606718710,2.12,2.1719999999999997e-06
1459606718720,2.12,1.81e-06
1459606718730,2.12,4.343999999999999e-06
1459606718740,2.12,2.8960000000000003e-06
1459606718750,2.12,6.154e-06
1459606718760,2.12,6.154e-06
1459606718770,2.12,1.1584000000000001e-05
1459606718780,2.12,5.792000000000001e-06
1459606718790,2.12,7.24e-06
1459606718800,2.12,3.62e-06
1459606718810,2.12,4.706e-06
1459606718820,2.12,2.8960000000000003e-06
1459606718830,2.12,3.982e-06
