Timestamp,position,BLMTI.06L7.B1E10_TCP.D6L7.B1
1459606804180,2.15,1.0859999999999999e-06
1459606804190,2.15,2.1719999999999997e-06
1459606804200,2.15,3.62e-06
1459606804210,2.15,3.62e-06
1459606804220,2.15,4.343999999999999e-06
1459606804230,2.15,6.877999999999999e-06
1459606804240,2.15,5.43e-06
1459606804250,2.15,6.877999999999999e-06
1459606804260,2.15,7.24e-06
1459606804270,2.15,8.687999999999999e-06
1459606804280,2.15,7.964e-06
1459606804290,2.15,7.964e-06
1459606804300,2.15,6.516e-06
1459606804310,2.15,5.43e-06
1459606804320,2.15,4.706e-06
1459606804330,2.15,3.62e-06
1459606804340,2.15,2.8960000000000003e-06
1459606804350,2.15,1.4480000000000002e-06
1459606804360,2.15,1.0859999999999999e-06
1459606804370,2.15,1.4480000000000002e-06
1459606804380,2.15,1.0859999999999999e-06
1459606804390,2.15,3.6200000000000004e-07
1459606804400,2.15,1.4480000000000002e-06
1459606804410,2.15,1.0859999999999999e-06
1459606804420,2.15,3.6200000000000004e-07
1459606804430,2.15,1.0859999999999999e-06
1459606804440,2.15,7.240000000000001e-07
1459606804450,2.15,1.0859999999999999e-06
1459606804460,2.15,1.0859999999999999e-06
1459606804470,2.15,1.81e-06
1459606804480,2.15,1.4480000000000002e-06
1459606804490,2.15,7.240000000000001e-07
1459606804500,2.15,1.0859999999999999e-06
1459606804510,2.15,2.1719999999999997e-06
1459606804520,2.15,1.81e-06
1459606804530,2.15,3.982e-06
1459606804540,2.15,2.1719999999999997e-06
1459606804550,2.15,2.8960000000000003e-06
1459606804560,2.15,1.81e-06
1459606804570,2.15,1.0859999999999999e-06
1459606804580,2.15,1.4480000000000002e-06
1459606804590,2.15,7.240000000000001e-07
1459606804600,2.15,1.0859999999999999e-06
1459606804610,2.15,7.240000000000001e-07
1459606804620,2.15,7.240000000000001e-07
1459606804630,2.15,1.0859999999999999e-06
1459606804640,2.15,3.6200000000000004e-07
1459606804650,2.15,1.4480000000000002e-06
1459606804660,2.15,1.81e-06
1459606804670,2.15,7.240000000000001e-07
1459606804680,2.15,1.81e-06
1459606804690,2.15,2.5340000000000002e-06
1459606804700,2.15,1.4480000000000002e-06
1459606804710,2.15,1.81e-06
1459606804720,2.15,1.81e-06
1459606804730,2.15,1.81e-06
1459606804740,2.15,1.4480000000000002e-06
1459606804750,2.15,1.4480000000000002e-06
1459606804760,2.15,1.81e-06
1459606804770,2.15,7.240000000000001e-07
1459606804780,2.15,1.4480000000000002e-06
1459606804790,2.15,1.4480000000000002e-06
1459606804800,2.15,1.0859999999999999e-06
1459606804810,2.15,1.0859999999999999e-06
1459606804820,2.15,1.0859999999999999e-06
1459606804830,2.15,1.4480000000000002e-06
1459606804840,2.15,7.240000000000001e-07
1459606804850,2.15,1.0859999999999999e-06
1459606804860,2.15,3.6200000000000004e-07
1459606804870,2.15,2.1719999999999997e-06
1459606804880,2.15,1.81e-06
1459606804890,2.15,1.81e-06
1459606804900,2.15,2.5340000000000002e-06
1459606804910,2.15,3.62e-06
1459606804920,2.15,3.62e-06
1459606804930,2.15,5.0680000000000004e-06
1459606804940,2.15,3.258e-06
1459606804950,2.15,2.5340000000000002e-06
1459606804960,2.15,1.4480000000000002e-06
1459606804970,2.15,1.81e-06
1459606804980,2.15,1.81e-06
1459606804990,2.15,7.240000000000001e-07
1459606805000,2.15,1.0859999999999999e-06
1459606805010,2.15,7.240000000000001e-07
1459606805020,2.15,1.0859999999999999e-06
1459606805030,2.15,1.0859999999999999e-06
1459606805040,2.15,7.240000000000001e-07
1459606805050,2.15,3.6200000000000004e-07
1459606805060,2.15,3.6200000000000004e-07
1459606805070,2.15,1.0859999999999999e-06
1459606805080,2.15,1.4480000000000002e-06
1459606805090,2.15,1.4480000000000002e-06
1459606805100,2.15,1.81e-06
1459606805110,2.15,2.8960000000000003e-06
1459606805120,2.15,1.4480000000000002e-06
1459606805130,2.15,2.5340000000000002e-06
1459606805140,2.15,1.81e-06
1459606805150,2.15,3.258e-06
1459606805160,2.15,1.81e-06
1459606805170,2.15,2.8960000000000003e-06
1459606805180,2.15,2.1719999999999997e-06
1459606805190,2.15,1.0859999999999999e-06
1459606805200,2.15,1.4480000000000002e-06
1459606805210,2.15,7.240000000000001e-07
1459606805220,2.15,1.0859999999999999e-06
1459606805230,2.15,7.240000000000001e-07
1459606805240,2.15,7.240000000000001e-07
1459606805250,2.15,3.6200000000000004e-07
1459606805260,2.15,7.240000000000001e-07
1459606805270,2.15,1.0859999999999999e-06
1459606805280,2.15,1.0859999999999999e-06
1459606805290,2.15,1.0859999999999999e-06
1459606805300,2.15,3.6200000000000004e-07
1459606805310,2.15,1.4480000000000002e-06
1459606805320,2.15,3.6200000000000004e-07
1459606805330,2.15,1.0859999999999999e-06
1459606805340,2.15,7.240000000000001e-07
1459606805350,2.15,7.240000000000001e-07
1459606805360,2.15,7.240000000000001e-07
1459606805370,2.15,7.240000000000001e-07
1459606805380,2.15,7.240000000000001e-07
1459606805390,2.15,1.0859999999999999e-06
1459606805400,2.15,3.6200000000000004e-07
1459606805410,2.15,1.4480000000000002e-06
1459606805420,2.15,7.240000000000001e-07
1459606805430,2.15,1.0859999999999999e-06
1459606805440,2.15,1.4480000000000002e-06
1459606805450,2.15,1.0859999999999999e-06
1459606805460,2.15,1.81e-06
1459606805470,2.15,1.4480000000000002e-06
1459606805480,2.15,2.5340000000000002e-06
1459606805490,2.15,2.5340000000000002e-06
1459606805500,2.15,2.1719999999999997e-06
1459606805510,2.15,2.5340000000000002e-06
1459606805520,2.15,1.81e-06
1459606805530,2.15,2.5340000000000002e-06
1459606805540,2.15,1.81e-06
