Timestamp,position,BLMTI.06R7.B1E10_TCLA.C6R7.B1
1459607030890,4.54,3.258e-06
1459607030900,4.54,1.81e-06
1459607030910,4.54,3.982e-06
1459607030920,4.54,3.62e-06
1459607030930,4.54,4.706e-06
1459607030940,4.54,3.982e-06
1459607030950,4.54,3.982e-06
1459607030960,4.54,2.8960000000000003e-06
1459607030970,4.54,3.982e-06
1459607030980,4.54,1.4480000000000002e-06
1459607030990,4.54,3.62e-06
1459607031000,4.54,1.4480000000000002e-06
1459607031010,4.54,3.62e-06
1459607031020,4.54,2.1719999999999997e-06
1459607031030,4.54,3.258e-06
1459607031040,4.54,1.4480000000000002e-06
1459607031050,4.54,3.62e-06
1459607031060,4.54,2.8960000000000003e-06
1459607031070,4.54,2.1719999999999997e-06
1459607031080,4.54,3.62e-06
1459607031090,4.54,3.982e-06
1459607031100,4.54,2.8960000000000003e-06
1459607031110,4.54,3.258e-06
1459607031120,4.54,2.5340000000000002e-06
1459607031130,4.54,3.258e-06
1459607031140,4.54,2.8960000000000003e-06
1459607031150,4.54,2.5340000000000002e-06
1459607031160,4.54,1.81e-06
1459607031170,4.54,2.8960000000000003e-06
1459607031180,4.54,1.81e-06
1459607031190,4.54,3.62e-06
1459607031200,4.54,3.6200000000000004e-07
1459607031210,4.54,2.8960000000000003e-06
1459607031220,4.54,1.4480000000000002e-06
1459607031230,4.54,2.5340000000000002e-06
1459607031240,4.54,2.1719999999999997e-06
1459607031250,4.54,1.81e-06
1459607031260,4.54,2.1719999999999997e-06
1459607031270,4.54,2.5340000000000002e-06
1459607031280,4.54,1.81e-06
1459607031290,4.54,2.1719999999999997e-06
1459607031300,4.54,2.5340000000000002e-06
1459607031310,4.54,2.8960000000000003e-06
1459607031320,4.54,3.258e-06
1459607031330,4.54,3.258e-06
1459607031340,4.54,2.8960000000000003e-06
1459607031350,4.54,2.8960000000000003e-06
1459607031360,4.54,2.8960000000000003e-06
1459607031370,4.54,3.258e-06
1459607031380,4.54,2.1719999999999997e-06
1459607031390,4.54,2.8960000000000003e-06
1459607031400,4.54,2.1719999999999997e-06
1459607031410,4.54,1.81e-06
1459607031420,4.54,2.1719999999999997e-06
1459607031430,4.54,3.62e-06
1459607031440,4.54,1.4480000000000002e-06
1459607031450,4.54,2.8960000000000003e-06
1459607031460,4.54,2.5340000000000002e-06
1459607031470,4.54,2.5340000000000002e-06
1459607031480,4.54,2.5340000000000002e-06
1459607031490,4.54,3.258e-06
1459607031500,4.54,1.81e-06
1459607031510,4.54,3.258e-06
1459607031520,4.54,2.5340000000000002e-06
1459607031530,4.54,2.5340000000000002e-06
1459607031540,4.54,2.5340000000000002e-06
1459607031550,4.54,2.8960000000000003e-06
1459607031560,4.54,2.1719999999999997e-06
1459607031570,4.54,2.8960000000000003e-06
1459607031580,4.54,2.8960000000000003e-06
1459607031590,4.54,3.62e-06
1459607031600,4.54,2.8960000000000003e-06
1459607031610,4.54,2.8960000000000003e-06
1459607031620,4.54,3.62e-06
1459607031630,4.54,4.706e-06
1459607031640,4.54,2.5340000000000002e-06
1459607031650,4.54,4.706e-06
1459607031660,4.54,2.1719999999999997e-06
1459607031670,4.54,3.62e-06
1459607031680,4.54,2.1719999999999997e-06
1459607031690,4.54,3.982e-06
1459607031700,4.54,1.4480000000000002e-06
1459607031710,4.54,3.258e-06
1459607031720,4.54,1.81e-06
1459607031730,4.54,4.706e-06
1459607031740,4.54,1.0859999999999999e-06
