Timestamp,position,BLMTI.06R7.B1E10_TCLA.A6R7.B1
1459607243930,1.975,1.81e-06
1459607243940,1.975,2.1719999999999997e-06
1459607243950,1.975,2.1719999999999997e-06
1459607243960,1.975,1.4480000000000002e-06
1459607243970,1.975,1.4480000000000002e-06
1459607243980,1.975,1.4480000000000002e-06
1459607243990,1.975,1.0859999999999999e-06
1459607244000,1.975,1.81e-06
1459607244010,1.975,2.1719999999999997e-06
1459607244020,1.975,1.0859999999999999e-06
1459607244030,1.975,2.1719999999999997e-06
1459607244040,1.975,1.81e-06
1459607244050,1.975,1.0859999999999999e-06
1459607244060,1.975,1.81e-06
1459607244070,1.975,1.4480000000000002e-06
1459607244080,1.975,1.0859999999999999e-06
1459607244090,1.975,1.81e-06
1459607244100,1.975,2.1719999999999997e-06
1459607244110,1.975,1.0859999999999999e-06
1459607244120,1.975,1.0859999999999999e-06
1459607244130,1.975,2.1719999999999997e-06
1459607244140,1.975,1.4480000000000002e-06
1459607244150,1.975,1.4480000000000002e-06
1459607244160,1.975,1.4480000000000002e-06
1459607244170,1.975,1.4480000000000002e-06
1459607244180,1.975,1.0859999999999999e-06
1459607244190,1.975,1.0859999999999999e-06
1459607244200,1.975,1.4480000000000002e-06
1459607244210,1.975,2.1719999999999997e-06
1459607244220,1.975,7.240000000000001e-07
1459607244230,1.975,2.5340000000000002e-06
1459607244240,1.975,1.0859999999999999e-06
1459607244250,1.975,1.4480000000000002e-06
1459607244260,1.975,1.81e-06
1459607244270,1.975,2.8960000000000003e-06
1459607244280,1.975,1.81e-06
1459607244290,1.975,3.258e-06
1459607244300,1.975,4.706e-06
1459607244310,1.975,3.258e-06
1459607244320,1.975,3.62e-06
1459607244330,1.975,2.8960000000000003e-06
1459607244340,1.975,3.62e-06
1459607244350,1.975,2.5340000000000002e-06
1459607244360,1.975,3.982e-06
1459607244370,1.975,3.258e-06
1459607244380,1.975,4.343999999999999e-06
1459607244390,1.975,4.706e-06
1459607244400,1.975,5.43e-06
1459607244410,1.975,5.0680000000000004e-06
1459607244420,1.975,7.602e-06
1459607244430,1.975,6.154e-06
1459607244440,1.975,8.326e-06
1459607244450,1.975,9.05e-06
1459607244460,1.975,7.964e-06
1459607244470,1.975,6.516e-06
1459607244480,1.975,4.706e-06
1459607244490,1.975,4.343999999999999e-06
1459607244500,1.975,2.8960000000000003e-06
1459607244510,1.975,2.1719999999999997e-06
