Timestamp,position,BLMTI.06R7.B2I10_TCP.B6R7.B2
1459608158450,1.975,1.81e-06
1459608158460,1.975,3.258e-06
1459608158470,1.975,1.4480000000000002e-06
1459608158480,1.975,1.4480000000000002e-06
1459608158490,1.975,1.4480000000000002e-06
1459608158500,1.975,2.5340000000000002e-06
1459608158510,1.975,1.4480000000000002e-06
1459608158520,1.975,3.258e-06
1459608158530,1.975,2.1719999999999997e-06
1459608158540,1.975,3.982e-06
1459608158550,1.975,1.81e-06
1459608158560,1.975,2.5340000000000002e-06
1459608158570,1.975,2.1719999999999997e-06
1459608158580,1.975,2.1719999999999997e-06
1459608158590,1.975,1.81e-06
1459608158600,1.975,2.5340000000000002e-06
1459608158610,1.975,1.0859999999999999e-06
1459608158620,1.975,2.1719999999999997e-06
1459608158630,1.975,2.1719999999999997e-06
1459608158640,1.975,1.81e-06
1459608158650,1.975,2.1719999999999997e-06
1459608158660,1.975,2.1719999999999997e-06
1459608158670,1.975,2.8960000000000003e-06
1459608158680,1.975,2.5340000000000002e-06
1459608158690,1.975,2.5340000000000002e-06
1459608158700,1.975,3.982e-06
1459608158710,1.975,2.1719999999999997e-06
1459608158720,1.975,2.8960000000000003e-06
1459608158730,1.975,2.1719999999999997e-06
1459608158740,1.975,2.5340000000000002e-06
1459608158750,1.975,2.1719999999999997e-06
1459608158760,1.975,2.1719999999999997e-06
1459608158770,1.975,2.1719999999999997e-06
1459608158780,1.975,2.5340000000000002e-06
1459608158790,1.975,1.81e-06
1459608158800,1.975,1.81e-06
1459608158810,1.975,1.81e-06
1459608158820,1.975,1.81e-06
1459608158830,1.975,2.1719999999999997e-06
1459608158840,1.975,2.1719999999999997e-06
1459608158850,1.975,1.81e-06
1459608158860,1.975,1.81e-06
1459608158870,1.975,1.4480000000000002e-06
1459608158880,1.975,1.4480000000000002e-06
1459608158890,1.975,2.5340000000000002e-06
1459608158900,1.975,1.4480000000000002e-06
1459608158910,1.975,2.1719999999999997e-06
1459608158920,1.975,2.5340000000000002e-06
1459608158930,1.975,2.8960000000000003e-06
1459608158940,1.975,3.258e-06
1459608158950,1.975,2.8960000000000003e-06
1459608158960,1.975,4.343999999999999e-06
1459608158970,1.975,4.343999999999999e-06
1459608158980,1.975,8.326e-06
1459608158990,1.975,5.792000000000001e-06
1459608159000,1.975,7.24e-06
1459608159010,1.975,5.0680000000000004e-06
1459608159020,1.975,5.792000000000001e-06
1459608159030,1.975,4.343999999999999e-06
1459608159040,1.975,5.792000000000001e-06
1459608159050,1.975,6.516e-06
1459608159060,1.975,9.412e-06
1459608159070,1.975,9.774e-06
1459608159080,1.975,1.1945999999999999e-05
1459608159090,1.975,8.687999999999999e-06
1459608159100,1.975,9.774e-06
1459608159110,1.975,7.964e-06
1459608159120,1.975,7.24e-06
1459608159130,1.975,5.43e-06
1459608159140,1.975,3.982e-06
1459608159150,1.975,2.5340000000000002e-06
1459608159160,1.975,3.258e-06
1459608159170,1.975,2.1719999999999997e-06
1459608159180,1.975,2.1719999999999997e-06
1459608159190,1.975,1.81e-06
1459608159200,1.975,1.0859999999999999e-06
1459608159210,1.975,1.4480000000000002e-06
1459608159220,1.975,1.81e-06
1459608159230,1.975,2.1719999999999997e-06
1459608159240,1.975,3.258e-06
1459608159250,1.975,2.5340000000000002e-06
1459608159260,1.975,2.1719999999999997e-06
