Timestamp,position,BLMTI.05R7.B1E10_TCSG.D5R7.B1
1459608351650,3.79,2.1719999999999997e-06
1459608351660,3.79,7.602e-06
1459608351670,3.79,0.0
1459608351680,3.79,5.0680000000000004e-06
1459608351690,3.79,0.0
1459608351700,3.79,2.5340000000000002e-06
1459608351710,3.79,0.0
1459608351720,3.79,5.0680000000000004e-06
1459608351730,3.79,0.0
1459608351740,3.79,2.8960000000000003e-06
1459608351750,3.79,0.0
1459608351760,3.79,1.4480000000000002e-06
1459608351770,3.79,0.0
1459608351780,3.79,5.0680000000000004e-06
1459608351790,3.79,0.0
1459608351800,3.79,1.0859999999999999e-06
1459608351810,3.79,0.0
1459608351820,3.79,2.8960000000000003e-06
1459608351830,3.79,0.0
1459608351840,3.79,2.5340000000000002e-06
1459608351850,3.79,0.0
1459608351860,3.79,3.258e-06
1459608351870,3.79,0.0
1459608351880,3.79,3.62e-06
1459608351890,3.79,0.0
1459608351900,3.79,3.258e-06
1459608351910,3.79,0.0
1459608351920,3.79,1.0859999999999999e-06
1459608351930,3.79,0.0
1459608351940,3.79,2.8960000000000003e-06
1459608351950,3.79,0.0
1459608351960,3.79,2.5340000000000002e-06
1459608351970,3.79,0.0
1459608351980,3.79,1.4480000000000002e-06
1459608351990,3.79,0.0
1459608352000,3.79,3.982e-06
1459608352010,3.79,0.0
1459608352020,3.79,1.4480000000000002e-06
1459608352030,3.79,0.0
1459608352040,3.79,4.706e-06
1459608352050,3.79,0.0
1459608352060,3.79,1.81e-06
1459608352070,3.79,0.0
1459608352080,3.79,1.81e-06
1459608352090,3.79,0.0
1459608352100,3.79,3.62e-06
1459608352110,3.79,0.0
1459608352120,3.79,3.258e-06
1459608352130,3.79,0.0
1459608352140,3.79,0.0
1459608352150,3.79,3.6200000000000004e-07
1459608352160,3.79,2.8960000000000003e-06
1459608352170,3.79,0.0
1459608352180,3.79,2.8960000000000003e-06
1459608352190,3.79,3.6200000000000004e-07
1459608352200,3.79,3.62e-06
1459608352210,3.79,0.0
1459608352220,3.79,1.4480000000000002e-06
1459608352230,3.79,0.0
1459608352240,3.79,1.0859999999999999e-06
1459608352250,3.79,0.0
1459608352260,3.79,2.8960000000000003e-06
1459608352270,3.79,0.0
1459608352280,3.79,1.4480000000000002e-06
1459608352290,3.79,0.0
1459608352300,3.79,3.6200000000000004e-07
1459608352310,3.79,0.0
1459608352320,3.79,2.8960000000000003e-06
1459608352330,3.79,0.0
1459608352340,3.79,1.4480000000000002e-06
1459608352350,3.79,0.0
1459608352360,3.79,2.1719999999999997e-06
1459608352370,3.79,0.0
1459608352380,3.79,2.1719999999999997e-06
1459608352390,3.79,0.0
1459608352400,3.79,1.81e-06
1459608352410,3.79,7.240000000000001e-07
1459608352420,3.79,2.1719999999999997e-06
1459608352430,3.79,3.258e-06
1459608352440,3.79,3.982e-06
1459608352450,3.79,6.516e-06
1459608352460,3.79,9.05e-06
1459608352470,3.79,7.602e-06
1459608352480,3.79,7.602e-06
1459608352490,3.79,4.706e-06
1459608352500,3.79,5.0680000000000004e-06
1459608352510,3.79,5.43e-06
1459608352520,3.79,3.62e-06
1459608352530,3.79,2.1719999999999997e-06
1459608352540,3.79,3.258e-06
1459608352550,3.79,2.1719999999999997e-06
1459608352560,3.79,2.1719999999999997e-06
1459608352570,3.79,1.81e-06
1459608352580,3.79,3.258e-06
1459608352590,3.79,2.5340000000000002e-06
1459608352600,3.79,2.5340000000000002e-06
1459608352610,3.79,1.0859999999999999e-06
1459608352620,3.79,2.5340000000000002e-06
1459608352630,3.79,0.0
1459608352640,3.79,1.0859999999999999e-06
