Timestamp,position,BLMTI.06R7.B2I10_TCSG.A6R7.B2
1459608400920,2.685,1.81e-06
1459608400930,2.685,1.4480000000000002e-06
1459608400940,2.685,1.4480000000000002e-06
1459608400950,2.685,1.0859999999999999e-06
1459608400960,2.685,1.81e-06
1459608400970,2.685,3.6200000000000004e-07
1459608400980,2.685,2.1719999999999997e-06
1459608400990,2.685,1.0859999999999999e-06
1459608401000,2.685,1.4480000000000002e-06
1459608401010,2.685,1.0859999999999999e-06
1459608401020,2.685,1.81e-06
1459608401030,2.685,7.240000000000001e-07
1459608401040,2.685,2.1719999999999997e-06
1459608401050,2.685,7.240000000000001e-07
1459608401060,2.685,1.81e-06
1459608401070,2.685,1.0859999999999999e-06
1459608401080,2.685,1.4480000000000002e-06
1459608401090,2.685,3.6200000000000004e-07
1459608401100,2.685,1.0859999999999999e-06
1459608401110,2.685,1.4480000000000002e-06
1459608401120,2.685,7.240000000000001e-07
1459608401130,2.685,7.240000000000001e-07
1459608401140,2.685,1.81e-06
1459608401150,2.685,3.6200000000000004e-07
1459608401160,2.685,2.5340000000000002e-06
1459608401170,2.685,1.4480000000000002e-06
1459608401180,2.685,3.62e-06
1459608401190,2.685,1.4480000000000002e-06
1459608401200,2.685,2.8960000000000003e-06
1459608401210,2.685,1.4480000000000002e-06
1459608401220,2.685,2.5340000000000002e-06
1459608401230,2.685,1.0859999999999999e-06
1459608401240,2.685,1.81e-06
1459608401250,2.685,1.0859999999999999e-06
1459608401260,2.685,1.4480000000000002e-06
1459608401270,2.685,3.6200000000000004e-07
1459608401280,2.685,1.81e-06
1459608401290,2.685,1.0859999999999999e-06
1459608401300,2.685,1.0859999999999999e-06
1459608401310,2.685,7.240000000000001e-07
1459608401320,2.685,1.0859999999999999e-06
1459608401330,2.685,7.240000000000001e-07
1459608401340,2.685,1.4480000000000002e-06
1459608401350,2.685,3.6200000000000004e-07
1459608401360,2.685,2.5340000000000002e-06
1459608401370,2.685,1.0859999999999999e-06
1459608401380,2.685,1.4480000000000002e-06
1459608401390,2.685,2.1719999999999997e-06
1459608401400,2.685,4.706e-06
1459608401410,2.685,3.258e-06
1459608401420,2.685,6.154e-06
1459608401430,2.685,2.1719999999999997e-06
1459608401440,2.685,4.343999999999999e-06
1459608401450,2.685,2.5340000000000002e-06
1459608401460,2.685,2.8960000000000003e-06
1459608401470,2.685,1.4480000000000002e-06
1459608401480,2.685,2.1719999999999997e-06
1459608401490,2.685,1.0859999999999999e-06
1459608401500,2.685,2.8960000000000003e-06
1459608401510,2.685,1.0859999999999999e-06
1459608401520,2.685,1.81e-06
1459608401530,2.685,3.6200000000000004e-07
1459608401540,2.685,2.5340000000000002e-06
1459608401550,2.685,1.0859999999999999e-06
1459608401560,2.685,2.1719999999999997e-06
1459608401570,2.685,7.240000000000001e-07
1459608401580,2.685,3.258e-06
1459608401590,2.685,1.0859999999999999e-06
1459608401600,2.685,4.343999999999999e-06
1459608401610,2.685,2.5340000000000002e-06
1459608401620,2.685,7.24e-06
1459608401630,2.685,9.412e-06
1459608401640,2.685,1.629e-05
1459608401650,2.685,1.4118e-05
1459608401660,2.685,9.774e-06
1459608401670,2.685,7.964e-06
1459608401680,2.685,8.687999999999999e-06
1459608401690,2.685,4.343999999999999e-06
1459608401700,2.685,5.43e-06
1459608401710,2.685,2.5340000000000002e-06
1459608401720,2.685,2.8960000000000003e-06
1459608401730,2.685,1.4480000000000002e-06
1459608401740,2.685,3.258e-06
1459608401750,2.685,1.0859999999999999e-06
1459608401760,2.685,3.258e-06
1459608401770,2.685,2.8960000000000003e-06
1459608401780,2.685,5.792000000000001e-06
1459608401790,2.685,3.258e-06
1459608401800,2.685,8.326e-06
1459608401810,2.685,6.516e-06
1459608401820,2.685,7.964e-06
1459608401830,2.685,5.0680000000000004e-06
1459608401840,2.685,7.24e-06
1459608401850,2.685,2.5340000000000002e-06
1459608401860,2.685,3.258e-06
1459608401870,2.685,2.1719999999999997e-06
1459608401880,2.685,2.5340000000000002e-06
1459608401890,2.685,1.4480000000000002e-06
1459608401900,2.685,1.81e-06
1459608401910,2.685,1.4480000000000002e-06
1459608401920,2.685,1.81e-06
1459608401930,2.685,7.240000000000001e-07
1459608401940,2.685,1.0859999999999999e-06
1459608401950,2.685,7.240000000000001e-07
1459608401960,2.685,1.81e-06
1459608401970,2.685,1.0859999999999999e-06
1459608401980,2.685,2.5340000000000002e-06
1459608401990,2.685,1.0859999999999999e-06
1459608402000,2.685,3.62e-06
1459608402010,2.685,1.0859999999999999e-06
1459608402020,2.685,2.5340000000000002e-06
1459608402030,2.685,1.0859999999999999e-06
1459608402040,2.685,3.258e-06
1459608402050,2.685,1.0859999999999999e-06
1459608402060,2.685,3.258e-06
1459608402070,2.685,1.4480000000000002e-06
1459608402080,2.685,3.982e-06
1459608402090,2.685,1.0859999999999999e-06
1459608402100,2.685,1.81e-06
1459608402110,2.685,1.0859999999999999e-06
1459608402120,2.685,2.1719999999999997e-06
