Timestamp,position,BLMTI.05R7.B1E10_TCSG.B5R7.B1
1459608445920,3.525,7.240000000000001e-07
1459608445930,3.525,2.1719999999999997e-06
1459608445940,3.525,2.1719999999999997e-06
1459608445950,3.525,1.0859999999999999e-06
1459608445960,3.525,1.81e-06
1459608445970,3.525,2.1719999999999997e-06
1459608445980,3.525,2.1719999999999997e-06
1459608445990,3.525,2.1719999999999997e-06
1459608446000,3.525,1.4480000000000002e-06
1459608446010,3.525,2.8960000000000003e-06
1459608446020,3.525,7.240000000000001e-07
1459608446030,3.525,2.5340000000000002e-06
1459608446040,3.525,7.240000000000001e-07
1459608446050,3.525,1.0859999999999999e-06
1459608446060,3.525,2.8960000000000003e-06
1459608446070,3.525,1.0859999999999999e-06
1459608446080,3.525,2.1719999999999997e-06
1459608446090,3.525,2.1719999999999997e-06
1459608446100,3.525,1.0859999999999999e-06
1459608446110,3.525,3.62e-06
1459608446120,3.525,1.81e-06
1459608446130,3.525,2.8960000000000003e-06
1459608446140,3.525,2.5340000000000002e-06
1459608446150,3.525,3.258e-06
1459608446160,3.525,2.1719999999999997e-06
1459608446170,3.525,1.81e-06
1459608446180,3.525,1.0859999999999999e-06
1459608446190,3.525,3.258e-06
1459608446200,3.525,1.0859999999999999e-06
1459608446210,3.525,2.1719999999999997e-06
1459608446220,3.525,1.81e-06
1459608446230,3.525,2.8960000000000003e-06
1459608446240,3.525,1.81e-06
1459608446250,3.525,2.1719999999999997e-06
1459608446260,3.525,1.4480000000000002e-06
1459608446270,3.525,3.258e-06
1459608446280,3.525,1.81e-06
1459608446290,3.525,3.62e-06
1459608446300,3.525,3.258e-06
1459608446310,3.525,3.258e-06
1459608446320,3.525,3.982e-06
1459608446330,3.525,1.81e-06
1459608446340,3.525,2.5340000000000002e-06
1459608446350,3.525,2.5340000000000002e-06
1459608446360,3.525,1.4480000000000002e-06
1459608446370,3.525,2.1719999999999997e-06
1459608446380,3.525,2.5340000000000002e-06
1459608446390,3.525,3.62e-06
1459608446400,3.525,1.4480000000000002e-06
1459608446410,3.525,4.706e-06
1459608446420,3.525,2.5340000000000002e-06
1459608446430,3.525,2.1719999999999997e-06
1459608446440,3.525,3.62e-06
1459608446450,3.525,2.5340000000000002e-06
1459608446460,3.525,1.0859999999999999e-06
1459608446470,3.525,4.343999999999999e-06
1459608446480,3.525,3.62e-06
1459608446490,3.525,3.258e-06
1459608446500,3.525,3.62e-06
1459608446510,3.525,2.5340000000000002e-06
1459608446520,3.525,2.1719999999999997e-06
1459608446530,3.525,2.8960000000000003e-06
1459608446540,3.525,1.81e-06
1459608446550,3.525,2.5340000000000002e-06
1459608446560,3.525,2.5340000000000002e-06
1459608446570,3.525,1.81e-06
1459608446580,3.525,3.62e-06
1459608446590,3.525,5.43e-06
1459608446600,3.525,1.0859999999999999e-06
1459608446610,3.525,3.258e-06
1459608446620,3.525,3.982e-06
1459608446630,3.525,1.0859999999999999e-06
1459608446640,3.525,3.258e-06
1459608446650,3.525,2.1719999999999997e-06
1459608446660,3.525,1.0859999999999999e-06
1459608446670,3.525,2.5340000000000002e-06
1459608446680,3.525,1.4480000000000002e-06
1459608446690,3.525,2.5340000000000002e-06
1459608446700,3.525,1.81e-06
1459608446710,3.525,1.81e-06
1459608446720,3.525,1.81e-06
1459608446730,3.525,1.0859999999999999e-06
1459608446740,3.525,2.5340000000000002e-06
1459608446750,3.525,1.4480000000000002e-06
