Timestamp,position,BLMTI.04R7.B1E10_TCSG.A4R7.B1
1459608558690,2.895,3.62e-06
1459608558700,2.895,4.706e-06
1459608558710,2.895,4.343999999999999e-06
1459608558720,2.895,4.343999999999999e-06
1459608558730,2.895,7.24e-06
1459608558740,2.895,5.0680000000000004e-06
1459608558750,2.895,8.687999999999999e-06
1459608558760,2.895,6.154e-06
1459608558770,2.895,7.964e-06
1459608558780,2.895,5.0680000000000004e-06
1459608558790,2.895,2.1719999999999997e-06
1459608558800,2.895,4.706e-06
1459608558810,2.895,5.792000000000001e-06
1459608558820,2.895,5.0680000000000004e-06
1459608558830,2.895,7.602e-06
1459608558840,2.895,6.877999999999999e-06
1459608558850,2.895,1.0498e-05
1459608558860,2.895,7.24e-06
1459608558870,2.895,8.687999999999999e-06
1459608558880,2.895,5.0680000000000004e-06
1459608558890,2.895,7.964e-06
1459608558900,2.895,4.706e-06
1459608558910,2.895,6.154e-06
1459608558920,2.895,5.792000000000001e-06
1459608558930,2.895,6.516e-06
1459608558940,2.895,6.516e-06
1459608558950,2.895,7.24e-06
1459608558960,2.895,3.62e-06
1459608558970,2.895,5.43e-06
1459608558980,2.895,3.62e-06
1459608558990,2.895,4.343999999999999e-06
1459608559000,2.895,2.5340000000000002e-06
1459608559010,2.895,2.8960000000000003e-06
1459608559020,2.895,2.8960000000000003e-06
1459608559030,2.895,2.1719999999999997e-06
1459608559040,2.895,2.1719999999999997e-06
1459608559050,2.895,3.258e-06
1459608559060,2.895,2.5340000000000002e-06
1459608559070,2.895,4.343999999999999e-06
1459608559080,2.895,3.982e-06
1459608559090,2.895,3.258e-06
1459608559100,2.895,4.343999999999999e-06
1459608559110,2.895,2.8960000000000003e-06
1459608559120,2.895,2.1719999999999997e-06
1459608559130,2.895,3.62e-06
1459608559140,2.895,3.258e-06
1459608559150,2.895,3.62e-06
1459608559160,2.895,3.258e-06
1459608559170,2.895,3.258e-06
1459608559180,2.895,3.62e-06
1459608559190,2.895,3.982e-06
1459608559200,2.895,3.258e-06
1459608559210,2.895,5.0680000000000004e-06
1459608559220,2.895,2.1719999999999997e-06
1459608559230,2.895,5.792000000000001e-06
1459608559240,2.895,4.706e-06
1459608559250,2.895,9.05e-06
1459608559260,2.895,5.43e-06
1459608559270,2.895,9.412e-06
1459608559280,2.895,6.516e-06
1459608559290,2.895,7.24e-06
1459608559300,2.895,4.343999999999999e-06
1459608559310,2.895,6.154e-06
1459608559320,2.895,5.43e-06
1459608559330,2.895,6.516e-06
1459608559340,2.895,6.877999999999999e-06
1459608559350,2.895,8.687999999999999e-06
1459608559360,2.895,5.43e-06
1459608559370,2.895,7.602e-06
1459608559380,2.895,3.258e-06
1459608559390,2.895,5.792000000000001e-06
1459608559400,2.895,3.982e-06
1459608559410,2.895,5.792000000000001e-06
1459608559420,2.895,3.982e-06
1459608559430,2.895,8.326e-06
1459608559440,2.895,6.154e-06
1459608559450,2.895,8.326e-06
1459608559460,2.895,5.43e-06
1459608559470,2.895,7.964e-06
1459608559480,2.895,5.792000000000001e-06
1459608559490,2.895,5.0680000000000004e-06
1459608559500,2.895,4.706e-06
1459608559510,2.895,4.343999999999999e-06
1459608559520,2.895,2.1719999999999997e-06
1459608559530,2.895,3.62e-06
1459608559540,2.895,2.8960000000000003e-06
1459608559550,2.895,2.1719999999999997e-06
1459608559560,2.895,2.1719999999999997e-06
1459608559570,2.895,0.0
1459608559580,2.895,1.0859999999999999e-06
1459608559590,2.895,2.5340000000000002e-06
1459608559600,2.895,1.81e-06
1459608559610,2.895,2.1719999999999997e-06
1459608559620,2.895,3.258e-06
1459608559630,2.895,2.5340000000000002e-06
1459608559640,2.895,2.8960000000000003e-06
1459608559650,2.895,3.258e-06
1459608559660,2.895,2.8960000000000003e-06
1459608559670,2.895,3.62e-06
1459608559680,2.895,3.62e-06
1459608559690,2.895,3.982e-06
1459608559700,2.895,3.258e-06
1459608559710,2.895,4.706e-06
1459608559720,2.895,4.343999999999999e-06
1459608559730,2.895,6.154e-06
1459608559740,2.895,6.154e-06
1459608559750,2.895,5.792000000000001e-06
1459608559760,2.895,6.154e-06
1459608559770,2.895,5.0680000000000004e-06
1459608559780,2.895,4.343999999999999e-06
1459608559790,2.895,5.0680000000000004e-06
1459608559800,2.895,4.343999999999999e-06
1459608559810,2.895,4.343999999999999e-06
1459608559820,2.895,5.0680000000000004e-06
1459608559830,2.895,5.43e-06
1459608559840,2.895,3.982e-06
1459608559850,2.895,7.24e-06
1459608559860,2.895,4.706e-06
1459608559870,2.895,6.877999999999999e-06
1459608559880,2.895,7.24e-06
1459608559890,2.895,5.792000000000001e-06
1459608559900,2.895,3.982e-06
