Timestamp,position,BLMTI.06L7.B1E10_TCP.B6L7.B1
1459608601700,2.85,3.982e-06
1459608601710,2.85,3.258e-06
1459608601720,2.85,3.982e-06
1459608601730,2.85,3.982e-06
1459608601740,2.85,3.982e-06
1459608601750,2.85,3.62e-06
1459608601760,2.85,3.62e-06
1459608601770,2.85,2.8960000000000003e-06
1459608601780,2.85,3.62e-06
1459608601790,2.85,3.258e-06
1459608601800,2.85,4.706e-06
1459608601810,2.85,4.343999999999999e-06
1459608601820,2.85,5.792000000000001e-06
1459608601830,2.85,4.343999999999999e-06
1459608601840,2.85,5.0680000000000004e-06
1459608601850,2.85,2.5340000000000002e-06
1459608601860,2.85,6.516e-06
1459608601870,2.85,5.0680000000000004e-06
1459608601880,2.85,1.0136000000000001e-05
1459608601890,2.85,1.086e-05
1459608601900,2.85,1.6652e-05
1459608601910,2.85,1.3755999999999998e-05
1459608601920,2.85,1.629e-05
1459608601930,2.85,1.3032e-05
1459608601940,2.85,1.1584000000000001e-05
1459608601950,2.85,9.05e-06
1459608601960,2.85,1.0136000000000001e-05
1459608601970,2.85,1.1945999999999999e-05
1459608601980,2.85,1.1945999999999999e-05
1459608601990,2.85,1.0498e-05
1459608602000,2.85,1.1222e-05
1459608602010,2.85,6.516e-06
1459608602020,2.85,6.516e-06
1459608602030,2.85,6.154e-06
1459608602040,2.85,6.516e-06
1459608602050,2.85,6.154e-06
1459608602060,2.85,6.154e-06
1459608602070,2.85,5.792000000000001e-06
1459608602080,2.85,6.154e-06
1459608602090,2.85,4.706e-06
1459608602100,2.85,5.0680000000000004e-06
1459608602110,2.85,3.62e-06
1459608602120,2.85,5.43e-06
1459608602130,2.85,5.43e-06
1459608602140,2.85,5.792000000000001e-06
1459608602150,2.85,3.62e-06
1459608602160,2.85,3.62e-06
1459608602170,2.85,3.258e-06
1459608602180,2.85,3.258e-06
1459608602190,2.85,2.5340000000000002e-06
1459608602200,2.85,3.258e-06
1459608602210,2.85,2.8960000000000003e-06
1459608602220,2.85,3.258e-06
1459608602230,2.85,3.982e-06
1459608602240,2.85,5.0680000000000004e-06
1459608602250,2.85,3.982e-06
1459608602260,2.85,4.343999999999999e-06
1459608602270,2.85,3.258e-06
1459608602280,2.85,3.258e-06
1459608602290,2.85,2.5340000000000002e-06
1459608602300,2.85,3.258e-06
1459608602310,2.85,1.81e-06
1459608602320,2.85,1.4480000000000002e-06
1459608602330,2.85,3.982e-06
1459608602340,2.85,5.43e-06
1459608602350,2.85,5.0680000000000004e-06
1459608602360,2.85,4.706e-06
1459608602370,2.85,4.343999999999999e-06
1459608602380,2.85,4.343999999999999e-06
1459608602390,2.85,4.706e-06
1459608602400,2.85,4.706e-06
1459608602410,2.85,5.43e-06
1459608602420,2.85,6.154e-06
1459608602430,2.85,5.792000000000001e-06
1459608602440,2.85,4.706e-06
1459608602450,2.85,3.258e-06
1459608602460,2.85,4.343999999999999e-06
1459608602470,2.85,3.982e-06
1459608602480,2.85,3.982e-06
1459608602490,2.85,3.258e-06
1459608602500,2.85,3.62e-06
1459608602510,2.85,3.62e-06
1459608602520,2.85,3.982e-06
1459608602530,2.85,3.982e-06
1459608602540,2.85,3.258e-06
1459608602550,2.85,2.5340000000000002e-06
1459608602560,2.85,2.8960000000000003e-06
1459608602570,2.85,3.62e-06
1459608602580,2.85,2.8960000000000003e-06
1459608602590,2.85,2.5340000000000002e-06
1459608602600,2.85,3.258e-06
1459608602610,2.85,2.5340000000000002e-06
1459608602620,2.85,3.258e-06
1459608602630,2.85,2.1719999999999997e-06
1459608602640,2.85,3.258e-06
1459608602650,2.85,2.5340000000000002e-06
1459608602660,2.85,2.8960000000000003e-06
1459608602670,2.85,2.5340000000000002e-06
1459608602680,2.85,3.62e-06
1459608602690,2.85,3.62e-06
1459608602700,2.85,3.62e-06
1459608602710,2.85,3.982e-06
1459608602720,2.85,3.62e-06
1459608602730,2.85,2.8960000000000003e-06
1459608602740,2.85,3.62e-06
1459608602750,2.85,3.258e-06
1459608602760,2.85,2.8960000000000003e-06
1459608602770,2.85,3.258e-06
1459608602780,2.85,3.62e-06
1459608602790,2.85,3.258e-06
1459608602800,2.85,2.8960000000000003e-06
1459608602810,2.85,3.62e-06
1459608602820,2.85,2.8960000000000003e-06
1459608602830,2.85,2.8960000000000003e-06
1459608602840,2.85,2.5340000000000002e-06
1459608602850,2.85,2.8960000000000003e-06
1459608602860,2.85,3.62e-06
