Timestamp,position,BLMTI.06L7.B1E10_TCP.C6L7.B1
1459600674710,-5.84,0.0
1459600674720,-5.84,3.6200000000000004e-07
1459600674730,-5.84,0.0
1459600674740,-5.84,0.0
1459600674750,-5.84,1.0859999999999999e-06
1459600674760,-5.84,0.0
1459600674770,-5.84,0.0
1459600674780,-5.84,7.240000000000001e-07
1459600674790,-5.84,3.6200000000000004e-07
1459600674800,-5.84,7.240000000000001e-07
1459600674810,-5.84,3.6200000000000004e-07
1459600674820,-5.84,0.0
1459600674830,-5.84,0.0
1459600674840,-5.84,7.240000000000001e-07
1459600674850,-5.84,0.0
1459600674860,-5.84,3.6200000000000004e-07
1459600674870,-5.84,0.0
1459600674880,-5.84,0.0
1459600674890,-5.84,3.6200000000000004e-07
1459600674900,-5.84,3.6200000000000004e-07
1459600674910,-5.84,3.6200000000000004e-07
1459600674920,-5.84,3.6200000000000004e-07
1459600674930,-5.84,0.0
1459600674940,-5.84,3.6200000000000004e-07
1459600674950,-5.84,0.0
1459600674960,-5.84,7.240000000000001e-07
1459600674970,-5.84,0.0
1459600674980,-5.84,0.0
1459600674990,-5.84,3.6200000000000004e-07
1459600675000,-5.84,0.0
1459600675010,-5.84,0.0
1459600675020,-5.84,7.240000000000001e-07
1459600675030,-5.84,0.0
1459600675040,-5.84,3.6200000000000004e-07
1459600675050,-5.84,0.0
1459600675060,-5.84,1.0859999999999999e-06
1459600675070,-5.84,0.0
1459600675080,-5.84,7.240000000000001e-07
1459600675090,-5.84,0.0
1459600675100,-5.84,0.0
1459600675110,-5.84,0.0
1459600675120,-5.84,0.0
1459600675130,-5.84,7.240000000000001e-07
1459600675140,-5.84,0.0
1459600675150,-5.84,7.240000000000001e-07
1459600675160,-5.84,3.6200000000000004e-07
1459600675170,-5.84,3.6200000000000004e-07
1459600675180,-5.84,0.0
1459600675190,-5.84,7.240000000000001e-07
1459600675200,-5.84,7.240000000000001e-07
1459600675210,-5.84,3.6200000000000004e-07
1459600675220,-5.84,0.0
1459600675230,-5.84,0.0
1459600675240,-5.84,3.6200000000000004e-07
1459600675250,-5.84,3.6200000000000004e-07
1459600675260,-5.84,3.6200000000000004e-07
1459600675270,-5.84,3.6200000000000004e-07
1459600675280,-5.84,0.0
1459600675290,-5.84,0.0
1459600675300,-5.84,7.240000000000001e-07
1459600675310,-5.84,0.0
1459600675320,-5.84,0.0
1459600675330,-5.84,0.0
1459600675340,-5.84,0.0
1459600675350,-5.84,7.240000000000001e-07
1459600675360,-5.84,0.0
1459600675370,-5.84,3.6200000000000004e-07
1459600675380,-5.84,0.0
1459600675390,-5.84,3.6200000000000004e-07
1459600675400,-5.84,3.6200000000000004e-07
1459600675410,-5.84,7.240000000000001e-07
1459600675420,-5.84,3.6200000000000004e-07
1459600675430,-5.84,3.6200000000000004e-07
1459600675440,-5.84,0.0
1459600675450,-5.84,7.240000000000001e-07
1459600675460,-5.84,0.0
1459600675470,-5.84,0.0
1459600675480,-5.84,7.240000000000001e-07
1459600675490,-5.84,0.0
1459600675500,-5.84,0.0
1459600675510,-5.84,3.6200000000000004e-07
1459600675520,-5.84,3.6200000000000004e-07
1459600675530,-5.84,0.0
1459600675540,-5.84,3.6200000000000004e-07
1459600675550,-5.84,0.0
1459600675560,-5.84,7.240000000000001e-07
1459600675570,-5.84,0.0
1459600675580,-5.84,3.6200000000000004e-07
1459600675590,-5.84,3.6200000000000004e-07
1459600675600,-5.84,0.0
1459600675610,-5.84,3.6200000000000004e-07
1459600675620,-5.84,3.6200000000000004e-07
1459600675630,-5.84,3.6200000000000004e-07
1459600675640,-5.84,3.6200000000000004e-07
1459600675650,-5.84,0.0
1459600675660,-5.84,7.240000000000001e-07
1459600675670,-5.84,3.6200000000000004e-07
1459600675680,-5.84,1.0859999999999999e-06
1459600675690,-5.84,0.0
1459600675700,-5.84,7.240000000000001e-07
1459600675710,-5.84,0.0
1459600675720,-5.84,0.0
1459600675730,-5.84,0.0
1459600675740,-5.84,7.240000000000001e-07
1459600675750,-5.84,0.0
1459600675760,-5.84,7.240000000000001e-07
1459600675770,-5.84,3.6200000000000004e-07
1459600675780,-5.84,0.0
1459600675790,-5.84,3.6200000000000004e-07
1459600675800,-5.84,0.0
1459600675810,-5.84,3.6200000000000004e-07
1459600675820,-5.84,0.0
1459600675830,-5.84,3.6200000000000004e-07
1459600675840,-5.84,0.0
1459600675850,-5.84,7.240000000000001e-07
1459600675860,-5.84,0.0
1459600675870,-5.84,7.240000000000001e-07
1459600675880,-5.84,0.0
1459600675890,-5.84,3.6200000000000004e-07
1459600675900,-5.84,0.0
1459600675910,-5.84,3.6200000000000004e-07
1459600675920,-5.84,7.240000000000001e-07
1459600675930,-5.84,0.0
1459600675940,-5.84,0.0
1459600675950,-5.84,0.0
1459600675960,-5.84,3.6200000000000004e-07
1459600675970,-5.84,0.0
1459600675980,-5.84,3.6200000000000004e-07
1459600675990,-5.84,3.6200000000000004e-07
1459600676000,-5.84,7.240000000000001e-07
1459600676010,-5.84,0.0
1459600676020,-5.84,3.6200000000000004e-07
1459600676030,-5.84,0.0
1459600676040,-5.84,1.0859999999999999e-06
1459600676050,-5.84,0.0
1459600676060,-5.84,0.0
1459600676070,-5.84,0.0
1459600676080,-5.84,0.0
1459600676090,-5.84,3.6200000000000004e-07
1459600676100,-5.84,3.6200000000000004e-07
1459600676110,-5.84,7.240000000000001e-07
1459600676120,-5.84,0.0
1459600676130,-5.84,0.0
1459600676140,-5.84,3.6200000000000004e-07
1459600676150,-5.84,3.6200000000000004e-07
1459600676160,-5.84,3.6200000000000004e-07
1459600676170,-5.84,0.0
1459600676180,-5.84,3.6200000000000004e-07
1459600676190,-5.84,0.0
1459600676200,-5.84,7.240000000000001e-07
1459600676210,-5.84,0.0
1459600676220,-5.84,7.240000000000001e-07
1459600676230,-5.84,0.0
1459600676240,-5.84,7.240000000000001e-07
1459600676250,-5.84,0.0
1459600676260,-5.84,3.6200000000000004e-07
1459600676270,-5.84,0.0
1459600676280,-5.84,0.0
1459600676290,-5.84,7.240000000000001e-07
1459600676300,-5.84,0.0
1459600676310,-5.84,3.6200000000000004e-07
1459600676320,-5.84,0.0
1459600676330,-5.84,0.0
1459600676340,-5.84,3.6200000000000004e-07
1459600676350,-5.84,3.6200000000000004e-07
1459600676360,-5.84,3.6200000000000004e-07
1459600676370,-5.84,3.6200000000000004e-07
1459600676380,-5.84,0.0
1459600676390,-5.84,3.6200000000000004e-07
1459600676400,-5.84,3.6200000000000004e-07
1459600676410,-5.84,0.0
1459600676420,-5.84,3.6200000000000004e-07
1459600676430,-5.84,0.0
1459600676440,-5.84,7.240000000000001e-07
1459600676450,-5.84,0.0
1459600676460,-5.84,0.0
1459600676470,-5.84,0.0
1459600676480,-5.84,3.6200000000000004e-07
1459600676490,-5.84,3.6200000000000004e-07
1459600676500,-5.84,3.6200000000000004e-07
1459600676510,-5.84,0.0
1459600676520,-5.84,0.0
1459600676530,-5.84,7.240000000000001e-07
1459600676540,-5.84,0.0
