Timestamp,position,BLMTI.06L7.B2I10_TCLA.B6L7.B2
1459604100440,-7.765,2.1719999999999997e-06
1459604100450,-7.765,1.81e-06
1459604100460,-7.765,1.81e-06
1459604100470,-7.765,1.4480000000000002e-06
1459604100480,-7.765,1.0859999999999999e-06
1459604100490,-7.765,0.0
1459604100500,-7.765,3.6200000000000004e-07
1459604100510,-7.765,7.240000000000001e-07
1459604100520,-7.765,3.6200000000000004e-07
1459604100530,-7.765,7.240000000000001e-07
1459604100540,-7.765,3.6200000000000004e-07
1459604100550,-7.765,3.6200000000000004e-07
1459604100560,-7.765,3.6200000000000004e-07
1459604100570,-7.765,1.0859999999999999e-06
1459604100580,-7.765,7.240000000000001e-07
1459604100590,-7.765,0.0
1459604100600,-7.765,7.240000000000001e-07
1459604100610,-7.765,7.240000000000001e-07
1459604100620,-7.765,3.6200000000000004e-07
1459604100630,-7.765,7.240000000000001e-07
1459604100640,-7.765,0.0
1459604100650,-7.765,7.240000000000001e-07
1459604100660,-7.765,7.240000000000001e-07
1459604100670,-7.765,1.4480000000000002e-06
1459604100680,-7.765,1.4480000000000002e-06
1459604100690,-7.765,1.4480000000000002e-06
1459604100700,-7.765,1.0859999999999999e-06
1459604100710,-7.765,3.6200000000000004e-07
1459604100720,-7.765,7.240000000000001e-07
1459604100730,-7.765,7.240000000000001e-07
1459604100740,-7.765,7.240000000000001e-07
1459604100750,-7.765,1.0859999999999999e-06
1459604100760,-7.765,2.1719999999999997e-06
1459604100770,-7.765,1.4480000000000002e-06
1459604100780,-7.765,2.1719999999999997e-06
1459604100790,-7.765,1.0859999999999999e-06
1459604100800,-7.765,1.81e-06
1459604100810,-7.765,1.81e-06
1459604100820,-7.765,1.4480000000000002e-06
1459604100830,-7.765,2.1719999999999997e-06
1459604100840,-7.765,1.81e-06
1459604100850,-7.765,2.8960000000000003e-06
1459604100860,-7.765,1.81e-06
1459604100870,-7.765,2.1719999999999997e-06
1459604100880,-7.765,1.0859999999999999e-06
1459604100890,-7.765,1.0859999999999999e-06
1459604100900,-7.765,7.240000000000001e-07
1459604100910,-7.765,3.6200000000000004e-07
1459604100920,-7.765,1.4480000000000002e-06
1459604100930,-7.765,0.0
1459604100940,-7.765,3.6200000000000004e-07
1459604100950,-7.765,0.0
1459604100960,-7.765,1.0859999999999999e-06
1459604100970,-7.765,0.0
1459604100980,-7.765,7.240000000000001e-07
1459604100990,-7.765,3.6200000000000004e-07
1459604101000,-7.765,3.6200000000000004e-07
1459604101010,-7.765,7.240000000000001e-07
1459604101020,-7.765,3.6200000000000004e-07
1459604101030,-7.765,0.0
1459604101040,-7.765,0.0
1459604101050,-7.765,3.6200000000000004e-07
1459604101060,-7.765,0.0
1459604101070,-7.765,7.240000000000001e-07
1459604101080,-7.765,3.6200000000000004e-07
1459604101090,-7.765,0.0
1459604101100,-7.765,7.240000000000001e-07
1459604101110,-7.765,7.240000000000001e-07
1459604101120,-7.765,7.240000000000001e-07
1459604101130,-7.765,3.6200000000000004e-07
1459604101140,-7.765,1.0859999999999999e-06
1459604101150,-7.765,7.240000000000001e-07
1459604101160,-7.765,3.6200000000000004e-07
1459604101170,-7.765,3.6200000000000004e-07
1459604101180,-7.765,3.6200000000000004e-07
1459604101190,-7.765,3.6200000000000004e-07
1459604101200,-7.765,7.240000000000001e-07
1459604101210,-7.765,7.240000000000001e-07
1459604101220,-7.765,3.6200000000000004e-07
1459604101230,-7.765,3.6200000000000004e-07
1459604101240,-7.765,3.6200000000000004e-07
1459604101250,-7.765,7.240000000000001e-07
1459604101260,-7.765,7.240000000000001e-07
1459604101270,-7.765,7.240000000000001e-07
1459604101280,-7.765,3.6200000000000004e-07
1459604101290,-7.765,3.6200000000000004e-07
1459604101300,-7.765,7.240000000000001e-07
1459604101310,-7.765,3.6200000000000004e-07
1459604101320,-7.765,0.0
1459604101330,-7.765,7.240000000000001e-07
1459604101340,-7.765,3.6200000000000004e-07
1459604101350,-7.765,3.6200000000000004e-07
1459604101360,-7.765,3.6200000000000004e-07
1459604101370,-7.765,3.6200000000000004e-07
1459604101380,-7.765,0.0
1459604101390,-7.765,0.0
1459604101400,-7.765,7.240000000000001e-07
1459604101410,-7.765,7.240000000000001e-07
1459604101420,-7.765,0.0
1459604101430,-7.765,3.6200000000000004e-07
1459604101440,-7.765,1.0859999999999999e-06
1459604101450,-7.765,3.6200000000000004e-07
1459604101460,-7.765,0.0
1459604101470,-7.765,7.240000000000001e-07
1459604101480,-7.765,0.0
1459604101490,-7.765,1.0859999999999999e-06
1459604101500,-7.765,0.0
1459604101510,-7.765,7.240000000000001e-07
1459604101520,-7.765,3.6200000000000004e-07
1459604101530,-7.765,3.6200000000000004e-07
1459604101540,-7.765,3.6200000000000004e-07
1459604101550,-7.765,7.240000000000001e-07
1459604101560,-7.765,7.240000000000001e-07
1459604101570,-7.765,7.240000000000001e-07
1459604101580,-7.765,3.6200000000000004e-07
1459604101590,-7.765,1.0859999999999999e-06
1459604101600,-7.765,3.6200000000000004e-07
1459604101610,-7.765,3.6200000000000004e-07
1459604101620,-7.765,7.240000000000001e-07
1459604101630,-7.765,3.6200000000000004e-07
1459604101640,-7.765,3.6200000000000004e-07
1459604101650,-7.765,3.6200000000000004e-07
1459604101660,-7.765,7.240000000000001e-07
1459604101670,-7.765,0.0
1459604101680,-7.765,3.6200000000000004e-07
1459604101690,-7.765,3.6200000000000004e-07
1459604101700,-7.765,1.0859999999999999e-06
1459604101710,-7.765,3.6200000000000004e-07
1459604101720,-7.765,7.240000000000001e-07
1459604101730,-7.765,3.6200000000000004e-07
1459604101740,-7.765,1.0859999999999999e-06
1459604101750,-7.765,7.240000000000001e-07
1459604101760,-7.765,7.240000000000001e-07
1459604101770,-7.765,0.0
1459604101780,-7.765,7.240000000000001e-07
1459604101790,-7.765,7.240000000000001e-07
1459604101800,-7.765,1.4480000000000002e-06
1459604101810,-7.765,1.0859999999999999e-06
