Timestamp,position,BLMTI.04R7.B2I10_TCSG.B4R7.B2
1459604362520,-8.145,2.5340000000000002e-06
1459604362530,-8.145,1.4480000000000002e-06
1459604362540,-8.145,0.0
1459604362550,-8.145,1.4480000000000002e-06
1459604362560,-8.145,3.6200000000000004e-07
1459604362570,-8.145,1.81e-06
1459604362580,-8.145,7.240000000000001e-07
1459604362590,-8.145,0.0
1459604362600,-8.145,3.6200000000000004e-07
1459604362610,-8.145,1.81e-06
1459604362620,-8.145,3.6200000000000004e-07
1459604362630,-8.145,2.8960000000000003e-06
1459604362640,-8.145,0.0
1459604362650,-8.145,1.4480000000000002e-06
1459604362660,-8.145,0.0
1459604362670,-8.145,2.1719999999999997e-06
1459604362680,-8.145,1.81e-06
1459604362690,-8.145,1.0859999999999999e-06
1459604362700,-8.145,2.1719999999999997e-06
1459604362710,-8.145,2.1719999999999997e-06
1459604362720,-8.145,0.0
1459604362730,-8.145,7.240000000000001e-07
1459604362740,-8.145,2.1719999999999997e-06
1459604362750,-8.145,0.0
1459604362760,-8.145,0.0
1459604362770,-8.145,2.1719999999999997e-06
1459604362780,-8.145,3.6200000000000004e-07
1459604362790,-8.145,2.8960000000000003e-06
1459604362800,-8.145,0.0
1459604362810,-8.145,0.0
1459604362820,-8.145,0.0
1459604362830,-8.145,1.81e-06
1459604362840,-8.145,0.0
1459604362850,-8.145,0.0
1459604362860,-8.145,0.0
1459604362870,-8.145,0.0
1459604362880,-8.145,0.0
1459604362890,-8.145,0.0
1459604362900,-8.145,1.81e-06
1459604362910,-8.145,0.0
1459604362920,-8.145,0.0
1459604362930,-8.145,1.81e-06
1459604362940,-8.145,7.240000000000001e-07
1459604362950,-8.145,0.0
1459604362960,-8.145,1.0859999999999999e-06
1459604362970,-8.145,2.1719999999999997e-06
1459604362980,-8.145,0.0
1459604362990,-8.145,3.6200000000000004e-07
1459604363000,-8.145,0.0
1459604363010,-8.145,0.0
1459604363020,-8.145,1.0859999999999999e-06
1459604363030,-8.145,0.0
1459604363040,-8.145,1.0859999999999999e-06
1459604363050,-8.145,3.258e-06
1459604363060,-8.145,2.5340000000000002e-06
1459604363070,-8.145,1.81e-06
1459604363080,-8.145,3.982e-06
1459604363090,-8.145,6.877999999999999e-06
1459604363100,-8.145,1.0136000000000001e-05
1459604363110,-8.145,8.326e-06
1459604363120,-8.145,3.62e-06
1459604363130,-8.145,1.4480000000000002e-06
1459604363140,-8.145,1.4480000000000002e-06
1459604363150,-8.145,2.8960000000000003e-06
1459604363160,-8.145,2.1719999999999997e-06
1459604363170,-8.145,2.8960000000000003e-06
1459604363180,-8.145,0.0
1459604363190,-8.145,2.5340000000000002e-06
1459604363200,-8.145,0.0
1459604363210,-8.145,1.81e-06
1459604363220,-8.145,2.1719999999999997e-06
1459604363230,-8.145,2.1719999999999997e-06
1459604363240,-8.145,3.258e-06
1459604363250,-8.145,5.43e-06
1459604363260,-8.145,3.258e-06
1459604363270,-8.145,3.258e-06
1459604363280,-8.145,3.982e-06
1459604363290,-8.145,2.1719999999999997e-06
1459604363300,-8.145,1.81e-06
1459604363310,-8.145,2.1719999999999997e-06
1459604363320,-8.145,2.8960000000000003e-06
1459604363330,-8.145,2.1719999999999997e-06
1459604363340,-8.145,1.0859999999999999e-06
1459604363350,-8.145,2.5340000000000002e-06
1459604363360,-8.145,1.0859999999999999e-06
1459604363370,-8.145,2.1719999999999997e-06
1459604363380,-8.145,7.240000000000001e-07
1459604363390,-8.145,1.4480000000000002e-06
1459604363400,-8.145,2.1719999999999997e-06
1459604363410,-8.145,0.0
1459604363420,-8.145,1.0859999999999999e-06
1459604363430,-8.145,3.6200000000000004e-07
1459604363440,-8.145,1.0859999999999999e-06
1459604363450,-8.145,3.258e-06
1459604363460,-8.145,0.0
1459604363470,-8.145,1.81e-06
1459604363480,-8.145,1.4480000000000002e-06
1459604363490,-8.145,0.0
1459604363500,-8.145,0.0
1459604363510,-8.145,0.0
1459604363520,-8.145,1.0859999999999999e-06
1459604363530,-8.145,3.62e-06
1459604363540,-8.145,0.0
1459604363550,-8.145,7.240000000000001e-07
1459604363560,-8.145,2.1719999999999997e-06
1459604363570,-8.145,1.81e-06
1459604363580,-8.145,2.8960000000000003e-06
1459604363590,-8.145,2.8960000000000003e-06
1459604363600,-8.145,5.43e-06
1459604363610,-8.145,3.62e-06
1459604363620,-8.145,2.1719999999999997e-06
1459604363630,-8.145,2.8960000000000003e-06
1459604363640,-8.145,0.0
1459604363650,-8.145,1.4480000000000002e-06
1459604363660,-8.145,0.0
1459604363670,-8.145,3.6200000000000004e-07
1459604363680,-8.145,2.1719999999999997e-06
1459604363690,-8.145,0.0
1459604363700,-8.145,3.258e-06
1459604363710,-8.145,2.5340000000000002e-06
1459604363720,-8.145,2.1719999999999997e-06
1459604363730,-8.145,7.240000000000001e-07
1459604363740,-8.145,0.0
1459604363750,-8.145,2.1719999999999997e-06
1459604363760,-8.145,3.982e-06
1459604363770,-8.145,2.8960000000000003e-06
1459604363780,-8.145,1.1222e-05
1459604363790,-8.145,1.3394000000000001e-05
1459604363800,-8.145,1.448e-05
1459604363810,-8.145,6.516e-06
1459604363820,-8.145,7.24e-06
1459604363830,-8.145,4.343999999999999e-06
1459604363840,-8.145,2.8960000000000003e-06
1459604363850,-8.145,1.0859999999999999e-06
1459604363860,-8.145,2.1719999999999997e-06
1459604363870,-8.145,1.0859999999999999e-06
1459604363880,-8.145,2.8960000000000003e-06
1459604363890,-8.145,7.240000000000001e-07
1459604363900,-8.145,7.240000000000001e-07
1459604363910,-8.145,7.240000000000001e-07
1459604363920,-8.145,1.4480000000000002e-06
1459604363930,-8.145,1.0859999999999999e-06
1459604363940,-8.145,1.81e-06
1459604363950,-8.145,0.0
1459604363960,-8.145,1.0859999999999999e-06
1459604363970,-8.145,7.240000000000001e-07
1459604363980,-8.145,0.0
1459604363990,-8.145,2.8960000000000003e-06
1459604364000,-8.145,3.6200000000000004e-07
1459604364010,-8.145,0.0
1459604364020,-8.145,0.0
1459604364030,-8.145,2.5340000000000002e-06
1459604364040,-8.145,0.0
1459604364050,-8.145,0.0
1459604364060,-8.145,0.0
1459604364070,-8.145,1.4480000000000002e-06
1459604364080,-8.145,7.240000000000001e-07
1459604364090,-8.145,7.240000000000001e-07
1459604364100,-8.145,7.240000000000001e-07
1459604364110,-8.145,7.240000000000001e-07
1459604364120,-8.145,7.240000000000001e-07
1459604364130,-8.145,7.240000000000001e-07
1459604364140,-8.145,1.0859999999999999e-06
1459604364150,-8.145,3.6200000000000004e-07
1459604364160,-8.145,0.0
1459604364170,-8.145,7.240000000000001e-07
1459604364180,-8.145,7.240000000000001e-07
1459604364190,-8.145,1.4480000000000002e-06
1459604364200,-8.145,1.0859999999999999e-06
1459604364210,-8.145,0.0
1459604364220,-8.145,1.0859999999999999e-06
1459604364230,-8.145,7.240000000000001e-07
1459604364240,-8.145,7.240000000000001e-07
1459604364250,-8.145,3.258e-06
1459604364260,-8.145,1.0859999999999999e-06
1459604364270,-8.145,2.1719999999999997e-06
1459604364280,-8.145,3.258e-06
1459604364290,-8.145,2.5340000000000002e-06
1459604364300,-8.145,5.0680000000000004e-06
1459604364310,-8.145,0.0
1459604364320,-8.145,2.8960000000000003e-06
1459604364330,-8.145,0.0
1459604364340,-8.145,2.5340000000000002e-06
1459604364350,-8.145,1.4480000000000002e-06
1459604364360,-8.145,7.240000000000001e-07
1459604364370,-8.145,7.240000000000001e-07
1459604364380,-8.145,7.240000000000001e-07
1459604364390,-8.145,0.0
1459604364400,-8.145,0.0
1459604364410,-8.145,1.0859999999999999e-06
1459604364420,-8.145,1.0859999999999999e-06
1459604364430,-8.145,0.0
1459604364440,-8.145,1.4480000000000002e-06
1459604364450,-8.145,1.81e-06
1459604364460,-8.145,3.6200000000000004e-07
1459604364470,-8.145,2.1719999999999997e-06
1459604364480,-8.145,0.0
1459604364490,-8.145,1.0859999999999999e-06
1459604364500,-8.145,3.6200000000000004e-07
1459604364510,-8.145,0.0
1459604364520,-8.145,1.4480000000000002e-06
1459604364530,-8.145,3.6200000000000004e-07
1459604364540,-8.145,0.0
1459604364550,-8.145,3.6200000000000004e-07
1459604364560,-8.145,7.240000000000001e-07
1459604364570,-8.145,7.240000000000001e-07
1459604364580,-8.145,3.6200000000000004e-07
1459604364590,-8.145,0.0
1459604364600,-8.145,0.0
1459604364610,-8.145,1.4480000000000002e-06
1459604364620,-8.145,0.0
1459604364630,-8.145,0.0
1459604364640,-8.145,2.1719999999999997e-06
1459604364650,-8.145,0.0
1459604364660,-8.145,1.0859999999999999e-06
1459604364670,-8.145,0.0
1459604364680,-8.145,0.0
1459604364690,-8.145,0.0
1459604364700,-8.145,1.0859999999999999e-06
1459604364710,-8.145,0.0
1459604364720,-8.145,1.0859999999999999e-06
1459604364730,-8.145,7.240000000000001e-07
1459604364740,-8.145,7.240000000000001e-07
1459604364750,-8.145,0.0
1459604364760,-8.145,0.0
1459604364770,-8.145,0.0
1459604364780,-8.145,3.6200000000000004e-07
1459604364790,-8.145,7.240000000000001e-07
1459604364800,-8.145,7.240000000000001e-07
1459604364810,-8.145,2.1719999999999997e-06
1459604364820,-8.145,3.6200000000000004e-07
1459604364830,-8.145,3.6200000000000004e-07
1459604364840,-8.145,7.240000000000001e-07
1459604364850,-8.145,2.5340000000000002e-06
1459604364860,-8.145,2.1719999999999997e-06
1459604364870,-8.145,2.5340000000000002e-06
1459604364880,-8.145,3.982e-06
1459604364890,-8.145,0.0
1459604364900,-8.145,3.258e-06
1459604364910,-8.145,2.1719999999999997e-06
1459604364920,-8.145,1.81e-06
1459604364930,-8.145,3.258e-06
1459604364940,-8.145,0.0
1459604364950,-8.145,2.8960000000000003e-06
1459604364960,-8.145,2.1719999999999997e-06
1459604364970,-8.145,1.0859999999999999e-06
1459604364980,-8.145,2.1719999999999997e-06
1459604364990,-8.145,1.81e-06
1459604365000,-8.145,0.0
1459604365010,-8.145,0.0
1459604365020,-8.145,0.0
1459604365030,-8.145,7.240000000000001e-07
1459604365040,-8.145,0.0
1459604365050,-8.145,0.0
1459604365060,-8.145,0.0
1459604365070,-8.145,0.0
1459604365080,-8.145,0.0
1459604365090,-8.145,2.1719999999999997e-06
1459604365100,-8.145,0.0
1459604365110,-8.145,0.0
1459604365120,-8.145,1.0859999999999999e-06
1459604365130,-8.145,3.6200000000000004e-07
1459604365140,-8.145,0.0
1459604365150,-8.145,1.4480000000000002e-06
1459604365160,-8.145,1.81e-06
1459604365170,-8.145,3.6200000000000004e-07
1459604365180,-8.145,1.0859999999999999e-06
1459604365190,-8.145,0.0
1459604365200,-8.145,0.0
1459604365210,-8.145,0.0
1459604365220,-8.145,1.0859999999999999e-06
1459604365230,-8.145,3.6200000000000004e-07
1459604365240,-8.145,1.81e-06
1459604365250,-8.145,2.5340000000000002e-06
1459604365260,-8.145,2.1719999999999997e-06
1459604365270,-8.145,0.0
1459604365280,-8.145,0.0
1459604365290,-8.145,0.0
1459604365300,-8.145,3.6200000000000004e-07
1459604365310,-8.145,3.6200000000000004e-07
1459604365320,-8.145,0.0
1459604365330,-8.145,0.0
1459604365340,-8.145,0.0
1459604365350,-8.145,3.6200000000000004e-07
1459604365360,-8.145,0.0
1459604365370,-8.145,0.0
1459604365380,-8.145,1.81e-06
1459604365390,-8.145,7.240000000000001e-07
1459604365400,-8.145,0.0
1459604365410,-8.145,1.4480000000000002e-06
1459604365420,-8.145,3.6200000000000004e-07
1459604365430,-8.145,3.6200000000000004e-07
1459604365440,-8.145,3.6200000000000004e-07
1459604365450,-8.145,1.81e-06
1459604365460,-8.145,0.0
1459604365470,-8.145,3.6200000000000004e-07
1459604365480,-8.145,2.8960000000000003e-06
1459604365490,-8.145,0.0
1459604365500,-8.145,0.0
1459604365510,-8.145,3.258e-06
1459604365520,-8.145,0.0
1459604365530,-8.145,0.0
1459604365540,-8.145,0.0
1459604365550,-8.145,0.0
1459604365560,-8.145,0.0
1459604365570,-8.145,0.0
1459604365580,-8.145,0.0
1459604365590,-8.145,0.0
1459604365600,-8.145,0.0
1459604365610,-8.145,3.6200000000000004e-07
1459604365620,-8.145,0.0
1459604365630,-8.145,0.0
1459604365640,-8.145,0.0
1459604365650,-8.145,0.0
1459604365660,-8.145,1.81e-06
1459604365670,-8.145,0.0
1459604365680,-8.145,1.0859999999999999e-06
1459604365690,-8.145,0.0
1459604365700,-8.145,7.240000000000001e-07
1459604365710,-8.145,7.240000000000001e-07
1459604365720,-8.145,1.0859999999999999e-06
1459604365730,-8.145,0.0
1459604365740,-8.145,0.0
1459604365750,-8.145,7.240000000000001e-07
1459604365760,-8.145,2.1719999999999997e-06
1459604365770,-8.145,0.0
1459604365780,-8.145,3.6200000000000004e-07
1459604365790,-8.145,2.1719999999999997e-06
1459604365800,-8.145,2.8960000000000003e-06
1459604365810,-8.145,5.43e-06
1459604365820,-8.145,3.6200000000000004e-07
1459604365830,-8.145,2.1719999999999997e-06
1459604365840,-8.145,0.0
1459604365850,-8.145,1.4480000000000002e-06
1459604365860,-8.145,1.4480000000000002e-06
1459604365870,-8.145,2.8960000000000003e-06
1459604365880,-8.145,3.6200000000000004e-07
1459604365890,-8.145,2.5340000000000002e-06
1459604365900,-8.145,0.0
1459604365910,-8.145,3.6200000000000004e-07
1459604365920,-8.145,3.6200000000000004e-07
1459604365930,-8.145,1.0859999999999999e-06
1459604365940,-8.145,1.0859999999999999e-06
1459604365950,-8.145,0.0
1459604365960,-8.145,0.0
1459604365970,-8.145,3.6200000000000004e-07
1459604365980,-8.145,3.6200000000000004e-07
1459604365990,-8.145,2.5340000000000002e-06
1459604366000,-8.145,0.0
1459604366010,-8.145,0.0
1459604366020,-8.145,7.240000000000001e-07
1459604366030,-8.145,0.0
1459604366040,-8.145,0.0
1459604366050,-8.145,1.4480000000000002e-06
1459604366060,-8.145,0.0
1459604366070,-8.145,1.4480000000000002e-06
1459604366080,-8.145,0.0
1459604366090,-8.145,1.0859999999999999e-06
1459604366100,-8.145,0.0
1459604366110,-8.145,7.240000000000001e-07
