Timestamp,position,BLMTI.06L8.B2I10_TCLIB.6L8.B2
1459605183240,-1.75,1.0859999999999999e-06
1459605183250,-1.75,3.6200000000000004e-07
1459605183260,-1.75,1.0859999999999999e-06
1459605183270,-1.75,7.240000000000001e-07
1459605183280,-1.75,7.240000000000001e-07
1459605183290,-1.75,7.240000000000001e-07
1459605183300,-1.75,1.0859999999999999e-06
1459605183310,-1.75,3.6200000000000004e-07
1459605183320,-1.75,1.0859999999999999e-06
1459605183330,-1.75,1.0859999999999999e-06
1459605183340,-1.75,0.0
1459605183350,-1.75,7.240000000000001e-07
1459605183360,-1.75,1.0859999999999999e-06
1459605183370,-1.75,1.4480000000000002e-06
1459605183380,-1.75,3.6200000000000004e-07
1459605183390,-1.75,1.0859999999999999e-06
1459605183400,-1.75,7.240000000000001e-07
1459605183410,-1.75,1.81e-06
1459605183420,-1.75,7.240000000000001e-07
1459605183430,-1.75,1.0859999999999999e-06
1459605183440,-1.75,7.240000000000001e-07
1459605183450,-1.75,1.0859999999999999e-06
1459605183460,-1.75,2.1719999999999997e-06
1459605183470,-1.75,2.8960000000000003e-06
1459605183480,-1.75,1.0859999999999999e-06
1459605183490,-1.75,3.982e-06
1459605183500,-1.75,3.258e-06
1459605183510,-1.75,2.5340000000000002e-06
1459605183520,-1.75,3.258e-06
1459605183530,-1.75,1.81e-06
1459605183540,-1.75,2.1719999999999997e-06
1459605183550,-1.75,3.258e-06
1459605183560,-1.75,2.1719999999999997e-06
1459605183570,-1.75,1.81e-06
1459605183580,-1.75,2.5340000000000002e-06
1459605183590,-1.75,1.4480000000000002e-06
1459605183600,-1.75,2.8960000000000003e-06
1459605183610,-1.75,2.8960000000000003e-06
1459605183620,-1.75,2.5340000000000002e-06
1459605183630,-1.75,2.8960000000000003e-06
1459605183640,-1.75,3.62e-06
1459605183650,-1.75,2.5340000000000002e-06
1459605183660,-1.75,2.1719999999999997e-06
1459605183670,-1.75,1.81e-06
1459605183680,-1.75,3.258e-06
1459605183690,-1.75,2.5340000000000002e-06
1459605183700,-1.75,1.81e-06
1459605183710,-1.75,1.4480000000000002e-06
1459605183720,-1.75,2.1719999999999997e-06
1459605183730,-1.75,1.4480000000000002e-06
1459605183740,-1.75,2.8960000000000003e-06
1459605183750,-1.75,2.1719999999999997e-06
1459605183760,-1.75,2.1719999999999997e-06
1459605183770,-1.75,1.81e-06
1459605183780,-1.75,7.240000000000001e-07
1459605183790,-1.75,7.240000000000001e-07
1459605183800,-1.75,1.81e-06
1459605183810,-1.75,1.0859999999999999e-06
1459605183820,-1.75,3.6200000000000004e-07
1459605183830,-1.75,7.240000000000001e-07
1459605183840,-1.75,3.6200000000000004e-07
1459605183850,-1.75,7.240000000000001e-07
1459605183860,-1.75,7.240000000000001e-07
1459605183870,-1.75,7.240000000000001e-07
