Timestamp,position,BLMTI.06R2.B1I10_TCLIB.6R2.B1
1459605648150,-1.65,1.0859999999999999e-06
1459605648160,-1.65,2.5340000000000002e-06
1459605648170,-1.65,1.0859999999999999e-06
1459605648180,-1.65,1.4480000000000002e-06
1459605648190,-1.65,1.0859999999999999e-06
1459605648200,-1.65,1.4480000000000002e-06
1459605648210,-1.65,1.4480000000000002e-06
1459605648220,-1.65,1.81e-06
1459605648230,-1.65,1.0859999999999999e-06
1459605648240,-1.65,1.0859999999999999e-06
1459605648250,-1.65,1.4480000000000002e-06
1459605648260,-1.65,1.81e-06
1459605648270,-1.65,3.6200000000000004e-07
1459605648280,-1.65,2.1719999999999997e-06
1459605648290,-1.65,1.4480000000000002e-06
1459605648300,-1.65,2.1719999999999997e-06
1459605648310,-1.65,7.240000000000001e-07
1459605648320,-1.65,1.4480000000000002e-06
1459605648330,-1.65,1.0859999999999999e-06
1459605648340,-1.65,2.5340000000000002e-06
1459605648350,-1.65,1.0859999999999999e-06
1459605648360,-1.65,1.4480000000000002e-06
1459605648370,-1.65,1.0859999999999999e-06
1459605648380,-1.65,1.0859999999999999e-06
1459605648390,-1.65,1.4480000000000002e-06
1459605648400,-1.65,1.81e-06
1459605648410,-1.65,1.0859999999999999e-06
1459605648420,-1.65,1.81e-06
1459605648430,-1.65,1.0859999999999999e-06
1459605648440,-1.65,1.0859999999999999e-06
1459605648450,-1.65,7.240000000000001e-07
1459605648460,-1.65,0.0
1459605648470,-1.65,1.81e-06
1459605648480,-1.65,1.4480000000000002e-06
1459605648490,-1.65,3.6200000000000004e-07
1459605648500,-1.65,2.1719999999999997e-06
1459605648510,-1.65,1.0859999999999999e-06
1459605648520,-1.65,1.0859999999999999e-06
1459605648530,-1.65,1.0859999999999999e-06
1459605648540,-1.65,1.81e-06
1459605648550,-1.65,7.240000000000001e-07
1459605648560,-1.65,1.81e-06
1459605648570,-1.65,1.4480000000000002e-06
1459605648580,-1.65,1.4480000000000002e-06
1459605648590,-1.65,1.81e-06
1459605648600,-1.65,1.0859999999999999e-06
1459605648610,-1.65,1.0859999999999999e-06
1459605648620,-1.65,1.4480000000000002e-06
1459605648630,-1.65,1.81e-06
1459605648640,-1.65,1.0859999999999999e-06
1459605648650,-1.65,1.81e-06
1459605648660,-1.65,1.4480000000000002e-06
1459605648670,-1.65,1.4480000000000002e-06
1459605648680,-1.65,1.4480000000000002e-06
1459605648690,-1.65,1.4480000000000002e-06
1459605648700,-1.65,7.240000000000001e-07
1459605648710,-1.65,1.81e-06
1459605648720,-1.65,1.0859999999999999e-06
1459605648730,-1.65,1.81e-06
1459605648740,-1.65,1.81e-06
1459605648750,-1.65,7.240000000000001e-07
1459605648760,-1.65,2.1719999999999997e-06
1459605648770,-1.65,7.240000000000001e-07
1459605648780,-1.65,1.81e-06
1459605648790,-1.65,1.0859999999999999e-06
1459605648800,-1.65,7.240000000000001e-07
1459605648810,-1.65,1.81e-06
1459605648820,-1.65,1.81e-06
1459605648830,-1.65,1.81e-06
1459605648840,-1.65,1.0859999999999999e-06
1459605648850,-1.65,1.81e-06
1459605648860,-1.65,1.4480000000000002e-06
1459605648870,-1.65,2.1719999999999997e-06
1459605648880,-1.65,1.0859999999999999e-06
1459605648890,-1.65,2.1719999999999997e-06
1459605648900,-1.65,1.0859999999999999e-06
1459605648910,-1.65,1.81e-06
1459605648920,-1.65,1.0859999999999999e-06
1459605648930,-1.65,3.6200000000000004e-07
1459605648940,-1.65,3.6200000000000004e-07
1459605648950,-1.65,1.4480000000000002e-06
1459605648960,-1.65,2.1719999999999997e-06
1459605648970,-1.65,1.4480000000000002e-06
1459605648980,-1.65,2.1719999999999997e-06
1459605648990,-1.65,1.0859999999999999e-06
1459605649000,-1.65,1.81e-06
1459605649010,-1.65,1.4480000000000002e-06
1459605649020,-1.65,1.0859999999999999e-06
1459605649030,-1.65,1.0859999999999999e-06
1459605649040,-1.65,1.0859999999999999e-06
1459605649050,-1.65,2.1719999999999997e-06
1459605649060,-1.65,1.0859999999999999e-06
1459605649070,-1.65,1.4480000000000002e-06
1459605649080,-1.65,1.4480000000000002e-06
1459605649090,-1.65,1.4480000000000002e-06
1459605649100,-1.65,1.4480000000000002e-06
1459605649110,-1.65,1.0859999999999999e-06
1459605649120,-1.65,1.4480000000000002e-06
1459605649130,-1.65,1.0859999999999999e-06
1459605649140,-1.65,2.1719999999999997e-06
1459605649150,-1.65,7.240000000000001e-07
1459605649160,-1.65,1.0859999999999999e-06
1459605649170,-1.65,1.81e-06
1459605649180,-1.65,2.1719999999999997e-06
1459605649190,-1.65,7.240000000000001e-07
1459605649200,-1.65,1.0859999999999999e-06
1459605649210,-1.65,1.4480000000000002e-06
1459605649220,-1.65,1.81e-06
1459605649230,-1.65,1.0859999999999999e-06
1459605649240,-1.65,1.81e-06
1459605649250,-1.65,7.240000000000001e-07
1459605649260,-1.65,1.4480000000000002e-06
1459605649270,-1.65,1.0859999999999999e-06
1459605649280,-1.65,1.81e-06
1459605649290,-1.65,1.4480000000000002e-06
1459605649300,-1.65,1.0859999999999999e-06
1459605649310,-1.65,1.0859999999999999e-06
1459605649320,-1.65,1.0859999999999999e-06
1459605649330,-1.65,7.240000000000001e-07
1459605649340,-1.65,1.0859999999999999e-06
1459605649350,-1.65,1.4480000000000002e-06
1459605649360,-1.65,1.0859999999999999e-06
1459605649370,-1.65,1.0859999999999999e-06
1459605649380,-1.65,1.0859999999999999e-06
1459605649390,-1.65,1.4480000000000002e-06
1459605649400,-1.65,1.4480000000000002e-06
1459605649410,-1.65,1.0859999999999999e-06
1459605649420,-1.65,1.0859999999999999e-06
1459605649430,-1.65,7.240000000000001e-07
1459605649440,-1.65,1.0859999999999999e-06
1459605649450,-1.65,7.240000000000001e-07
1459605649460,-1.65,7.240000000000001e-07
1459605649470,-1.65,1.81e-06
1459605649480,-1.65,1.81e-06
1459605649490,-1.65,2.1719999999999997e-06
1459605649500,-1.65,1.81e-06
1459605649510,-1.65,1.81e-06
1459605649520,-1.65,1.0859999999999999e-06
1459605649530,-1.65,1.0859999999999999e-06
1459605649540,-1.65,1.81e-06
1459605649550,-1.65,1.4480000000000002e-06
1459605649560,-1.65,1.0859999999999999e-06
1459605649570,-1.65,1.4480000000000002e-06
1459605649580,-1.65,1.0859999999999999e-06
1459605649590,-1.65,2.1719999999999997e-06
1459605649600,-1.65,1.4480000000000002e-06
1459605649610,-1.65,7.240000000000001e-07
1459605649620,-1.65,1.4480000000000002e-06
1459605649630,-1.65,7.240000000000001e-07
1459605649640,-1.65,7.240000000000001e-07
1459605649650,-1.65,1.4480000000000002e-06
1459605649660,-1.65,1.0859999999999999e-06
1459605649670,-1.65,1.0859999999999999e-06
1459605649680,-1.65,2.1719999999999997e-06
1459605649690,-1.65,1.4480000000000002e-06
1459605649700,-1.65,1.4480000000000002e-06
1459605649710,-1.65,1.0859999999999999e-06
1459605649720,-1.65,7.240000000000001e-07
1459605649730,-1.65,1.81e-06
1459605649740,-1.65,1.4480000000000002e-06
1459605649750,-1.65,1.81e-06
1459605649760,-1.65,1.4480000000000002e-06
1459605649770,-1.65,1.4480000000000002e-06
1459605649780,-1.65,1.0859999999999999e-06
1459605649790,-1.65,1.81e-06
1459605649800,-1.65,1.0859999999999999e-06
1459605649810,-1.65,7.240000000000001e-07
1459605649820,-1.65,1.81e-06
1459605649830,-1.65,1.4480000000000002e-06
1459605649840,-1.65,1.4480000000000002e-06
1459605649850,-1.65,1.81e-06
1459605649860,-1.65,1.0859999999999999e-06
1459605649870,-1.65,1.4480000000000002e-06
1459605649880,-1.65,2.5340000000000002e-06
1459605649890,-1.65,1.0859999999999999e-06
1459605649900,-1.65,1.81e-06
1459605649910,-1.65,7.240000000000001e-07
1459605649920,-1.65,1.0859999999999999e-06
1459605649930,-1.65,1.0859999999999999e-06
1459605649940,-1.65,1.0859999999999999e-06
1459605649950,-1.65,1.81e-06
1459605649960,-1.65,1.4480000000000002e-06
1459605649970,-1.65,1.4480000000000002e-06
1459605649980,-1.65,7.240000000000001e-07
1459605649990,-1.65,7.240000000000001e-07
1459605650000,-1.65,1.0859999999999999e-06
1459605650010,-1.65,1.0859999999999999e-06
1459605650020,-1.65,7.240000000000001e-07
1459605650030,-1.65,1.81e-06
1459605650040,-1.65,1.0859999999999999e-06
1459605650050,-1.65,1.4480000000000002e-06
1459605650060,-1.65,1.0859999999999999e-06
1459605650070,-1.65,7.240000000000001e-07
1459605650080,-1.65,7.240000000000001e-07
1459605650090,-1.65,1.81e-06
1459605650100,-1.65,1.0859999999999999e-06
1459605650110,-1.65,1.0859999999999999e-06
1459605650120,-1.65,1.81e-06
1459605650130,-1.65,3.6200000000000004e-07
1459605650140,-1.65,7.240000000000001e-07
1459605650150,-1.65,1.4480000000000002e-06
1459605650160,-1.65,7.240000000000001e-07
1459605650170,-1.65,1.81e-06
1459605650180,-1.65,3.6200000000000004e-07
1459605650190,-1.65,2.1719999999999997e-06
1459605650200,-1.65,3.6200000000000004e-07
1459605650210,-1.65,7.240000000000001e-07
1459605650220,-1.65,1.81e-06
1459605650230,-1.65,7.240000000000001e-07
1459605650240,-1.65,1.4480000000000002e-06
1459605650250,-1.65,1.0859999999999999e-06
1459605650260,-1.65,1.0859999999999999e-06
1459605650270,-1.65,7.240000000000001e-07
1459605650280,-1.65,1.0859999999999999e-06
1459605650290,-1.65,7.240000000000001e-07
1459605650300,-1.65,1.4480000000000002e-06
1459605650310,-1.65,1.0859999999999999e-06
1459605650320,-1.65,1.0859999999999999e-06
1459605650330,-1.65,7.240000000000001e-07
1459605650340,-1.65,1.81e-06
1459605650350,-1.65,1.4480000000000002e-06
1459605650360,-1.65,1.0859999999999999e-06
1459605650370,-1.65,1.0859999999999999e-06
1459605650380,-1.65,1.4480000000000002e-06
1459605650390,-1.65,1.4480000000000002e-06
1459605650400,-1.65,7.240000000000001e-07
1459605650410,-1.65,1.4480000000000002e-06
1459605650420,-1.65,1.4480000000000002e-06
1459605650430,-1.65,1.0859999999999999e-06
1459605650440,-1.65,1.0859999999999999e-06
1459605650450,-1.65,1.0859999999999999e-06
1459605650460,-1.65,1.81e-06
1459605650470,-1.65,2.1719999999999997e-06
1459605650480,-1.65,7.240000000000001e-07
1459605650490,-1.65,1.4480000000000002e-06
1459605650500,-1.65,1.4480000000000002e-06
