Timestamp,position,BLMTI.04R2.B2E10_TCTPV.4R2.B2
1459605739900,-2.915,1.4480000000000002e-06
1459605739910,-2.915,1.0859999999999999e-06
1459605739920,-2.915,7.240000000000001e-07
1459605739930,-2.915,1.4480000000000002e-06
1459605739940,-2.915,2.1719999999999997e-06
1459605739950,-2.915,1.4480000000000002e-06
1459605739960,-2.915,1.81e-06
1459605739970,-2.915,1.4480000000000002e-06
1459605739980,-2.915,1.81e-06
1459605739990,-2.915,2.1719999999999997e-06
1459605740000,-2.915,1.4480000000000002e-06
1459605740010,-2.915,1.0859999999999999e-06
1459605740020,-2.915,1.81e-06
1459605740030,-2.915,1.4480000000000002e-06
1459605740040,-2.915,1.4480000000000002e-06
1459605740050,-2.915,7.240000000000001e-07
1459605740060,-2.915,1.0859999999999999e-06
1459605740070,-2.915,1.81e-06
1459605740080,-2.915,0.0
1459605740090,-2.915,1.4480000000000002e-06
1459605740100,-2.915,1.0859999999999999e-06
1459605740110,-2.915,1.4480000000000002e-06
1459605740120,-2.915,1.0859999999999999e-06
1459605740130,-2.915,1.0859999999999999e-06
1459605740140,-2.915,2.5340000000000002e-06
1459605740150,-2.915,0.0
1459605740160,-2.915,1.4480000000000002e-06
1459605740170,-2.915,1.0859999999999999e-06
1459605740180,-2.915,1.0859999999999999e-06
1459605740190,-2.915,1.4480000000000002e-06
1459605740200,-2.915,7.240000000000001e-07
1459605740210,-2.915,7.240000000000001e-07
1459605740220,-2.915,7.240000000000001e-07
1459605740230,-2.915,1.81e-06
1459605740240,-2.915,7.240000000000001e-07
1459605740250,-2.915,1.4480000000000002e-06
1459605740260,-2.915,1.0859999999999999e-06
1459605740270,-2.915,1.4480000000000002e-06
1459605740280,-2.915,7.240000000000001e-07
1459605740290,-2.915,7.240000000000001e-07
1459605740300,-2.915,7.240000000000001e-07
1459605740310,-2.915,7.240000000000001e-07
1459605740320,-2.915,3.6200000000000004e-07
1459605740330,-2.915,7.240000000000001e-07
1459605740340,-2.915,1.4480000000000002e-06
1459605740350,-2.915,0.0
1459605740360,-2.915,1.4480000000000002e-06
1459605740370,-2.915,7.240000000000001e-07
1459605740380,-2.915,7.240000000000001e-07
1459605740390,-2.915,7.240000000000001e-07
1459605740400,-2.915,0.0
1459605740410,-2.915,7.240000000000001e-07
1459605740420,-2.915,1.0859999999999999e-06
1459605740430,-2.915,1.0859999999999999e-06
1459605740440,-2.915,3.6200000000000004e-07
1459605740450,-2.915,1.4480000000000002e-06
1459605740460,-2.915,7.240000000000001e-07
1459605740470,-2.915,1.0859999999999999e-06
1459605740480,-2.915,1.0859999999999999e-06
1459605740490,-2.915,7.240000000000001e-07
1459605740500,-2.915,1.4480000000000002e-06
1459605740510,-2.915,3.6200000000000004e-07
1459605740520,-2.915,1.0859999999999999e-06
1459605740530,-2.915,1.0859999999999999e-06
1459605740540,-2.915,1.81e-06
1459605740550,-2.915,3.6200000000000004e-07
1459605740560,-2.915,1.0859999999999999e-06
1459605740570,-2.915,3.6200000000000004e-07
1459605740580,-2.915,7.240000000000001e-07
1459605740590,-2.915,7.240000000000001e-07
1459605740600,-2.915,1.81e-06
1459605740610,-2.915,3.6200000000000004e-07
1459605740620,-2.915,1.81e-06
1459605740630,-2.915,7.240000000000001e-07
1459605740640,-2.915,1.0859999999999999e-06
1459605740650,-2.915,7.240000000000001e-07
1459605740660,-2.915,0.0
1459605740670,-2.915,1.81e-06
1459605740680,-2.915,7.240000000000001e-07
1459605740690,-2.915,1.0859999999999999e-06
1459605740700,-2.915,3.6200000000000004e-07
1459605740710,-2.915,1.4480000000000002e-06
1459605740720,-2.915,3.6200000000000004e-07
1459605740730,-2.915,7.240000000000001e-07
1459605740740,-2.915,1.0859999999999999e-06
1459605740750,-2.915,0.0
1459605740760,-2.915,1.0859999999999999e-06
1459605740770,-2.915,1.0859999999999999e-06
1459605740780,-2.915,1.4480000000000002e-06
1459605740790,-2.915,3.6200000000000004e-07
1459605740800,-2.915,1.0859999999999999e-06
1459605740810,-2.915,0.0
1459605740820,-2.915,1.4480000000000002e-06
1459605740830,-2.915,7.240000000000001e-07
1459605740840,-2.915,7.240000000000001e-07
1459605740850,-2.915,7.240000000000001e-07
1459605740860,-2.915,7.240000000000001e-07
1459605740870,-2.915,1.0859999999999999e-06
1459605740880,-2.915,7.240000000000001e-07
1459605740890,-2.915,1.4480000000000002e-06
1459605740900,-2.915,7.240000000000001e-07
1459605740910,-2.915,1.0859999999999999e-06
1459605740920,-2.915,3.6200000000000004e-07
1459605740930,-2.915,1.0859999999999999e-06
1459605740940,-2.915,1.4480000000000002e-06
1459605740950,-2.915,1.4480000000000002e-06
1459605740960,-2.915,7.240000000000001e-07
1459605740970,-2.915,1.4480000000000002e-06
1459605740980,-2.915,3.6200000000000004e-07
1459605740990,-2.915,1.0859999999999999e-06
1459605741000,-2.915,1.4480000000000002e-06
1459605741010,-2.915,7.240000000000001e-07
1459605741020,-2.915,7.240000000000001e-07
1459605741030,-2.915,3.6200000000000004e-07
1459605741040,-2.915,2.1719999999999997e-06
