Timestamp,position,BLMTI.05L3.B2E10_TCLA.A5L3.B2
1459606242040,-3.37,7.240000000000001e-07
1459606242050,-3.37,0.0
1459606242060,-3.37,3.6200000000000004e-07
1459606242070,-3.37,7.240000000000001e-07
1459606242080,-3.37,3.6200000000000004e-07
1459606242090,-3.37,3.6200000000000004e-07
1459606242100,-3.37,3.6200000000000004e-07
1459606242110,-3.37,7.240000000000001e-07
1459606242120,-3.37,3.6200000000000004e-07
1459606242130,-3.37,7.240000000000001e-07
1459606242140,-3.37,7.240000000000001e-07
1459606242150,-3.37,7.240000000000001e-07
1459606242160,-3.37,7.240000000000001e-07
1459606242170,-3.37,7.240000000000001e-07
1459606242180,-3.37,3.6200000000000004e-07
1459606242190,-3.37,7.240000000000001e-07
1459606242200,-3.37,7.240000000000001e-07
1459606242210,-3.37,7.240000000000001e-07
1459606242220,-3.37,0.0
1459606242230,-3.37,0.0
1459606242240,-3.37,7.240000000000001e-07
1459606242250,-3.37,7.240000000000001e-07
1459606242260,-3.37,3.6200000000000004e-07
1459606242270,-3.37,7.240000000000001e-07
1459606242280,-3.37,3.6200000000000004e-07
1459606242290,-3.37,1.0859999999999999e-06
1459606242300,-3.37,3.6200000000000004e-07
1459606242310,-3.37,7.240000000000001e-07
1459606242320,-3.37,7.240000000000001e-07
1459606242330,-3.37,3.6200000000000004e-07
1459606242340,-3.37,7.240000000000001e-07
1459606242350,-3.37,3.6200000000000004e-07
1459606242360,-3.37,3.6200000000000004e-07
1459606242370,-3.37,3.6200000000000004e-07
1459606242380,-3.37,7.240000000000001e-07
1459606242390,-3.37,3.6200000000000004e-07
1459606242400,-3.37,7.240000000000001e-07
1459606242410,-3.37,1.4480000000000002e-06
1459606242420,-3.37,0.0
1459606242430,-3.37,1.0859999999999999e-06
1459606242440,-3.37,3.6200000000000004e-07
1459606242450,-3.37,1.0859999999999999e-06
1459606242460,-3.37,3.6200000000000004e-07
1459606242470,-3.37,1.4480000000000002e-06
1459606242480,-3.37,3.6200000000000004e-07
1459606242490,-3.37,1.0859999999999999e-06
1459606242500,-3.37,0.0
1459606242510,-3.37,7.240000000000001e-07
1459606242520,-3.37,7.240000000000001e-07
1459606242530,-3.37,1.4480000000000002e-06
1459606242540,-3.37,1.0859999999999999e-06
1459606242550,-3.37,7.240000000000001e-07
1459606242560,-3.37,7.240000000000001e-07
1459606242570,-3.37,1.4480000000000002e-06
1459606242580,-3.37,3.6200000000000004e-07
1459606242590,-3.37,0.0
1459606242600,-3.37,3.6200000000000004e-07
1459606242610,-3.37,7.240000000000001e-07
1459606242620,-3.37,3.6200000000000004e-07
1459606242630,-3.37,7.240000000000001e-07
1459606242640,-3.37,0.0
1459606242650,-3.37,1.0859999999999999e-06
1459606242660,-3.37,3.6200000000000004e-07
1459606242670,-3.37,1.0859999999999999e-06
