Timestamp,position,BLMTI.04R2.B1I10_TCLIA.4R2
1459606301860,-7.04,7.240000000000001e-07
1459606301870,-7.04,1.0859999999999999e-06
1459606301880,-7.04,1.81e-06
1459606301890,-7.04,0.0
1459606301900,-7.04,3.6200000000000004e-07
1459606301910,-7.04,3.6200000000000004e-07
1459606301920,-7.04,1.0859999999999999e-06
1459606301930,-7.04,3.6200000000000004e-07
1459606301940,-7.04,7.240000000000001e-07
1459606301950,-7.04,1.0859999999999999e-06
1459606301960,-7.04,1.81e-06
1459606301970,-7.04,1.81e-06
1459606301980,-7.04,1.81e-06
1459606301990,-7.04,2.1719999999999997e-06
1459606302000,-7.04,0.0
1459606302010,-7.04,1.4480000000000002e-06
1459606302020,-7.04,3.6200000000000004e-07
1459606302030,-7.04,1.4480000000000002e-06
1459606302040,-7.04,0.0
1459606302050,-7.04,7.240000000000001e-07
1459606302060,-7.04,3.6200000000000004e-07
1459606302070,-7.04,3.6200000000000004e-07
1459606302080,-7.04,7.240000000000001e-07
1459606302090,-7.04,7.240000000000001e-07
1459606302100,-7.04,1.4480000000000002e-06
1459606302110,-7.04,1.4480000000000002e-06
1459606302120,-7.04,2.5340000000000002e-06
1459606302130,-7.04,2.1719999999999997e-06
1459606302140,-7.04,2.5340000000000002e-06
1459606302150,-7.04,2.1719999999999997e-06
1459606302160,-7.04,2.1719999999999997e-06
1459606302170,-7.04,1.81e-06
1459606302180,-7.04,2.1719999999999997e-06
1459606302190,-7.04,1.4480000000000002e-06
1459606302200,-7.04,2.1719999999999997e-06
1459606302210,-7.04,2.8960000000000003e-06
1459606302220,-7.04,7.240000000000001e-07
1459606302230,-7.04,1.4480000000000002e-06
1459606302240,-7.04,1.0859999999999999e-06
1459606302250,-7.04,2.1719999999999997e-06
1459606302260,-7.04,3.6200000000000004e-07
1459606302270,-7.04,1.0859999999999999e-06
1459606302280,-7.04,1.0859999999999999e-06
1459606302290,-7.04,0.0
1459606302300,-7.04,7.240000000000001e-07
1459606302310,-7.04,7.240000000000001e-07
1459606302320,-7.04,7.240000000000001e-07
1459606302330,-7.04,1.4480000000000002e-06
1459606302340,-7.04,3.6200000000000004e-07
1459606302350,-7.04,1.0859999999999999e-06
1459606302360,-7.04,1.0859999999999999e-06
1459606302370,-7.04,1.81e-06
1459606302380,-7.04,7.240000000000001e-07
1459606302390,-7.04,1.0859999999999999e-06
1459606302400,-7.04,3.6200000000000004e-07
1459606302410,-7.04,7.240000000000001e-07
1459606302420,-7.04,1.4480000000000002e-06
1459606302430,-7.04,0.0
1459606302440,-7.04,0.0
1459606302450,-7.04,1.0859999999999999e-06
1459606302460,-7.04,3.6200000000000004e-07
1459606302470,-7.04,1.81e-06
1459606302480,-7.04,3.6200000000000004e-07
1459606302490,-7.04,7.240000000000001e-07
1459606302500,-7.04,1.0859999999999999e-06
1459606302510,-7.04,3.6200000000000004e-07
1459606302520,-7.04,1.81e-06
1459606302530,-7.04,0.0
1459606302540,-7.04,1.0859999999999999e-06
1459606302550,-7.04,2.1719999999999997e-06
1459606302560,-7.04,3.6200000000000004e-07
1459606302570,-7.04,7.240000000000001e-07
1459606302580,-7.04,7.240000000000001e-07
1459606302590,-7.04,7.240000000000001e-07
1459606302600,-7.04,3.6200000000000004e-07
1459606302610,-7.04,7.240000000000001e-07
1459606302620,-7.04,1.0859999999999999e-06
1459606302630,-7.04,3.6200000000000004e-07
1459606302640,-7.04,1.4480000000000002e-06
1459606302650,-7.04,3.6200000000000004e-07
1459606302660,-7.04,1.4480000000000002e-06
1459606302670,-7.04,1.0859999999999999e-06
1459606302680,-7.04,1.0859999999999999e-06
1459606302690,-7.04,1.81e-06
1459606302700,-7.04,7.240000000000001e-07
1459606302710,-7.04,1.0859999999999999e-06
1459606302720,-7.04,1.0859999999999999e-06
1459606302730,-7.04,1.0859999999999999e-06
1459606302740,-7.04,2.8960000000000003e-06
1459606302750,-7.04,3.6200000000000004e-07
1459606302760,-7.04,2.5340000000000002e-06
1459606302770,-7.04,1.4480000000000002e-06
1459606302780,-7.04,1.0859999999999999e-06
1459606302790,-7.04,2.8960000000000003e-06
1459606302800,-7.04,1.0859999999999999e-06
1459606302810,-7.04,3.62e-06
1459606302820,-7.04,1.81e-06
1459606302830,-7.04,5.43e-06
1459606302840,-7.04,2.8960000000000003e-06
1459606302850,-7.04,3.982e-06
1459606302860,-7.04,2.1719999999999997e-06
1459606302870,-7.04,1.81e-06
1459606302880,-7.04,2.1719999999999997e-06
1459606302890,-7.04,1.0859999999999999e-06
1459606302900,-7.04,1.81e-06
1459606302910,-7.04,1.0859999999999999e-06
1459606302920,-7.04,7.240000000000001e-07
1459606302930,-7.04,1.0859999999999999e-06
1459606302940,-7.04,1.0859999999999999e-06
1459606302950,-7.04,1.81e-06
1459606302960,-7.04,3.6200000000000004e-07
1459606302970,-7.04,1.0859999999999999e-06
1459606302980,-7.04,7.240000000000001e-07
1459606302990,-7.04,1.0859999999999999e-06
1459606303000,-7.04,1.0859999999999999e-06
1459606303010,-7.04,7.240000000000001e-07
1459606303020,-7.04,7.240000000000001e-07
1459606303030,-7.04,1.0859999999999999e-06
1459606303040,-7.04,1.81e-06
1459606303050,-7.04,1.4480000000000002e-06
1459606303060,-7.04,1.0859999999999999e-06
1459606303070,-7.04,3.6200000000000004e-07
1459606303080,-7.04,1.4480000000000002e-06
1459606303090,-7.04,7.240000000000001e-07
1459606303100,-7.04,7.240000000000001e-07
1459606303110,-7.04,0.0
