Timestamp,position,BLMTI.04R5.B2I10_TCTPV.4R5.B2
1459606386200,-1.405,1.4480000000000002e-06
1459606386210,-1.405,2.1719999999999997e-06
1459606386220,-1.405,3.6200000000000004e-07
1459606386230,-1.405,3.258e-06
1459606386240,-1.405,3.6200000000000004e-07
1459606386250,-1.405,2.1719999999999997e-06
1459606386260,-1.405,1.0859999999999999e-06
1459606386270,-1.405,2.5340000000000002e-06
1459606386280,-1.405,1.81e-06
1459606386290,-1.405,2.1719999999999997e-06
1459606386300,-1.405,2.5340000000000002e-06
1459606386310,-1.405,3.258e-06
1459606386320,-1.405,1.0859999999999999e-06
1459606386330,-1.405,1.81e-06
1459606386340,-1.405,2.1719999999999997e-06
1459606386350,-1.405,2.8960000000000003e-06
1459606386360,-1.405,2.5340000000000002e-06
1459606386370,-1.405,5.0680000000000004e-06
1459606386380,-1.405,2.1719999999999997e-06
1459606386390,-1.405,4.706e-06
1459606386400,-1.405,1.0859999999999999e-06
1459606386410,-1.405,3.62e-06
1459606386420,-1.405,1.0859999999999999e-06
1459606386430,-1.405,1.81e-06
1459606386440,-1.405,1.0859999999999999e-06
1459606386450,-1.405,1.81e-06
1459606386460,-1.405,3.6200000000000004e-07
1459606386470,-1.405,2.1719999999999997e-06
1459606386480,-1.405,1.4480000000000002e-06
1459606386490,-1.405,1.81e-06
1459606386500,-1.405,7.240000000000001e-07
1459606386510,-1.405,1.0859999999999999e-06
1459606386520,-1.405,2.1719999999999997e-06
1459606386530,-1.405,1.4480000000000002e-06
1459606386540,-1.405,2.1719999999999997e-06
1459606386550,-1.405,1.0859999999999999e-06
1459606386560,-1.405,7.240000000000001e-07
1459606386570,-1.405,2.8960000000000003e-06
1459606386580,-1.405,1.4480000000000002e-06
1459606386590,-1.405,3.62e-06
1459606386600,-1.405,4.706e-06
1459606386610,-1.405,6.516e-06
1459606386620,-1.405,4.343999999999999e-06
1459606386630,-1.405,5.43e-06
1459606386640,-1.405,3.62e-06
1459606386650,-1.405,4.706e-06
1459606386660,-1.405,1.81e-06
1459606386670,-1.405,4.343999999999999e-06
1459606386680,-1.405,1.81e-06
1459606386690,-1.405,3.62e-06
1459606386700,-1.405,2.1719999999999997e-06
1459606386710,-1.405,2.5340000000000002e-06
1459606386720,-1.405,1.4480000000000002e-06
1459606386730,-1.405,3.258e-06
1459606386740,-1.405,3.62e-06
1459606386750,-1.405,5.43e-06
1459606386760,-1.405,4.706e-06
1459606386770,-1.405,6.877999999999999e-06
1459606386780,-1.405,5.0680000000000004e-06
1459606386790,-1.405,7.24e-06
1459606386800,-1.405,3.982e-06
1459606386810,-1.405,5.43e-06
1459606386820,-1.405,3.62e-06
1459606386830,-1.405,3.258e-06
1459606386840,-1.405,2.1719999999999997e-06
1459606386850,-1.405,4.343999999999999e-06
1459606386860,-1.405,2.8960000000000003e-06
1459606386870,-1.405,3.258e-06
1459606386880,-1.405,1.0859999999999999e-06
1459606386890,-1.405,2.5340000000000002e-06
1459606386900,-1.405,1.81e-06
1459606386910,-1.405,2.5340000000000002e-06
1459606386920,-1.405,7.240000000000001e-07
1459606386930,-1.405,2.1719999999999997e-06
1459606386940,-1.405,7.240000000000001e-07
1459606386950,-1.405,2.5340000000000002e-06
1459606386960,-1.405,1.4480000000000002e-06
1459606386970,-1.405,1.81e-06
1459606386980,-1.405,1.0859999999999999e-06
1459606386990,-1.405,2.8960000000000003e-06
1459606387000,-1.405,1.0859999999999999e-06
1459606387010,-1.405,3.62e-06
1459606387020,-1.405,2.8960000000000003e-06
1459606387030,-1.405,3.982e-06
1459606387040,-1.405,1.81e-06
1459606387050,-1.405,1.4480000000000002e-06
1459606387060,-1.405,1.0859999999999999e-06
1459606387070,-1.405,2.1719999999999997e-06
1459606387080,-1.405,1.0859999999999999e-06
