Timestamp,position,BLMTI.06R7.B2I10_TCP.D6R7.B2
1459606413860,-1.46,3.6200000000000004e-07
1459606413870,-1.46,5.0680000000000004e-06
1459606413880,-1.46,3.6200000000000004e-07
1459606413890,-1.46,3.62e-06
1459606413900,-1.46,3.6200000000000004e-07
1459606413910,-1.46,4.343999999999999e-06
1459606413920,-1.46,1.4480000000000002e-06
1459606413930,-1.46,6.877999999999999e-06
1459606413940,-1.46,5.792000000000001e-06
1459606413950,-1.46,2.2444e-05
1459606413960,-1.46,1.7738e-05
1459606413970,-1.46,4.0544000000000003e-05
1459606413980,-1.46,3.0046e-05
1459606413990,-1.46,4.1268e-05
1459606414000,-1.46,2.3891999999999998e-05
1459606414010,-1.46,2.715e-05
1459606414020,-1.46,1.1945999999999999e-05
1459606414030,-1.46,1.7014e-05
1459606414040,-1.46,6.516e-06
1459606414050,-1.46,1.1222e-05
1459606414060,-1.46,3.982e-06
1459606414070,-1.46,7.602e-06
1459606414080,-1.46,2.1719999999999997e-06
1459606414090,-1.46,6.516e-06
1459606414100,-1.46,1.81e-06
1459606414110,-1.46,4.706e-06
1459606414120,-1.46,1.81e-06
1459606414130,-1.46,6.516e-06
1459606414140,-1.46,1.81e-06
1459606414150,-1.46,5.0680000000000004e-06
1459606414160,-1.46,1.0859999999999999e-06
1459606414170,-1.46,7.602e-06
1459606414180,-1.46,2.1719999999999997e-06
1459606414190,-1.46,6.877999999999999e-06
1459606414200,-1.46,2.1719999999999997e-06
1459606414210,-1.46,8.326e-06
1459606414220,-1.46,3.62e-06
1459606414230,-1.46,7.24e-06
1459606414240,-1.46,3.258e-06
1459606414250,-1.46,6.877999999999999e-06
1459606414260,-1.46,2.5340000000000002e-06
1459606414270,-1.46,6.516e-06
1459606414280,-1.46,2.1719999999999997e-06
1459606414290,-1.46,4.706e-06
1459606414300,-1.46,1.4480000000000002e-06
1459606414310,-1.46,3.982e-06
1459606414320,-1.46,3.6200000000000004e-07
1459606414330,-1.46,2.8960000000000003e-06
1459606414340,-1.46,1.0859999999999999e-06
1459606414350,-1.46,2.8960000000000003e-06
1459606414360,-1.46,1.0859999999999999e-06
1459606414370,-1.46,3.258e-06
1459606414380,-1.46,3.6200000000000004e-07
1459606414390,-1.46,3.258e-06
1459606414400,-1.46,0.0
1459606414410,-1.46,2.1719999999999997e-06
1459606414420,-1.46,3.6200000000000004e-07
1459606414430,-1.46,3.62e-06
1459606414440,-1.46,3.6200000000000004e-07
1459606414450,-1.46,4.706e-06
1459606414460,-1.46,1.0859999999999999e-06
1459606414470,-1.46,3.258e-06
1459606414480,-1.46,0.0
1459606414490,-1.46,3.258e-06
1459606414500,-1.46,3.6200000000000004e-07
1459606414510,-1.46,4.343999999999999e-06
1459606414520,-1.46,3.6200000000000004e-07
1459606414530,-1.46,3.982e-06
1459606414540,-1.46,7.240000000000001e-07
1459606414550,-1.46,3.62e-06
