Timestamp,position,BLMTI.06L7.B2I10_TCLA.C6L7.B2
1459606570220,-1.465,7.240000000000001e-07
1459606570230,-1.465,1.81e-06
1459606570240,-1.465,3.6200000000000004e-07
1459606570250,-1.465,2.8960000000000003e-06
1459606570260,-1.465,7.240000000000001e-07
1459606570270,-1.465,2.1719999999999997e-06
1459606570280,-1.465,1.0859999999999999e-06
1459606570290,-1.465,2.1719999999999997e-06
1459606570300,-1.465,1.4480000000000002e-06
1459606570310,-1.465,2.1719999999999997e-06
1459606570320,-1.465,1.4480000000000002e-06
1459606570330,-1.465,3.982e-06
1459606570340,-1.465,4.343999999999999e-06
1459606570350,-1.465,7.24e-06
1459606570360,-1.465,3.982e-06
1459606570370,-1.465,1.3755999999999998e-05
1459606570380,-1.465,7.964e-06
1459606570390,-1.465,1.3032e-05
1459606570400,-1.465,3.62e-06
1459606570410,-1.465,1.1222e-05
1459606570420,-1.465,3.258e-06
1459606570430,-1.465,1.0498e-05
1459606570440,-1.465,2.8960000000000003e-06
1459606570450,-1.465,7.24e-06
1459606570460,-1.465,1.81e-06
1459606570470,-1.465,6.516e-06
1459606570480,-1.465,2.8960000000000003e-06
1459606570490,-1.465,6.877999999999999e-06
1459606570500,-1.465,3.258e-06
1459606570510,-1.465,4.343999999999999e-06
1459606570520,-1.465,4.343999999999999e-06
1459606570530,-1.465,6.516e-06
1459606570540,-1.465,1.0859999999999999e-06
1459606570550,-1.465,2.5340000000000002e-06
1459606570560,-1.465,1.4480000000000002e-06
1459606570570,-1.465,1.4480000000000002e-06
1459606570580,-1.465,1.81e-06
1459606570590,-1.465,2.1719999999999997e-06
1459606570600,-1.465,7.240000000000001e-07
1459606570610,-1.465,1.4480000000000002e-06
1459606570620,-1.465,1.0859999999999999e-06
1459606570630,-1.465,1.4480000000000002e-06
1459606570640,-1.465,7.240000000000001e-07
1459606570650,-1.465,1.4480000000000002e-06
1459606570660,-1.465,7.240000000000001e-07
1459606570670,-1.465,4.706e-06
1459606570680,-1.465,1.0859999999999999e-06
1459606570690,-1.465,6.154e-06
1459606570700,-1.465,1.4480000000000002e-06
1459606570710,-1.465,2.1719999999999997e-06
1459606570720,-1.465,7.240000000000001e-07
1459606570730,-1.465,1.4480000000000002e-06
1459606570740,-1.465,3.6200000000000004e-07
1459606570750,-1.465,1.4480000000000002e-06
1459606570760,-1.465,3.6200000000000004e-07
1459606570770,-1.465,1.4480000000000002e-06
1459606570780,-1.465,3.6200000000000004e-07
1459606570790,-1.465,7.240000000000001e-07
1459606570800,-1.465,7.240000000000001e-07
1459606570810,-1.465,1.0859999999999999e-06
1459606570820,-1.465,7.240000000000001e-07
1459606570830,-1.465,1.0859999999999999e-06
1459606570840,-1.465,7.240000000000001e-07
1459606570850,-1.465,0.0
1459606570860,-1.465,7.240000000000001e-07
1459606570870,-1.465,1.0859999999999999e-06
1459606570880,-1.465,3.6200000000000004e-07
1459606570890,-1.465,1.81e-06
1459606570900,-1.465,3.6200000000000004e-07
1459606570910,-1.465,1.0859999999999999e-06
1459606570920,-1.465,7.240000000000001e-07
1459606570930,-1.465,1.81e-06
1459606570940,-1.465,7.240000000000001e-07
1459606570950,-1.465,2.1719999999999997e-06
1459606570960,-1.465,3.6200000000000004e-07
1459606570970,-1.465,1.81e-06
1459606570980,-1.465,7.240000000000001e-07
1459606570990,-1.465,1.81e-06
1459606571000,-1.465,1.81e-06
1459606571010,-1.465,1.81e-06
1459606571020,-1.465,7.240000000000001e-07
1459606571030,-1.465,2.1719999999999997e-06
1459606571040,-1.465,1.0859999999999999e-06
1459606571050,-1.465,3.258e-06
1459606571060,-1.465,1.4480000000000002e-06
1459606571070,-1.465,1.0859999999999999e-06
1459606571080,-1.465,1.4480000000000002e-06
1459606571090,-1.465,4.343999999999999e-06
1459606571100,-1.465,2.1719999999999997e-06
1459606571110,-1.465,2.8960000000000003e-06
1459606571120,-1.465,1.4480000000000002e-06
1459606571130,-1.465,3.258e-06
1459606571140,-1.465,1.4480000000000002e-06
1459606571150,-1.465,3.982e-06
1459606571160,-1.465,3.6200000000000004e-07
1459606571170,-1.465,3.258e-06
1459606571180,-1.465,1.81e-06
1459606571190,-1.465,3.982e-06
1459606571200,-1.465,1.4480000000000002e-06
1459606571210,-1.465,3.982e-06
1459606571220,-1.465,1.81e-06
1459606571230,-1.465,3.982e-06
1459606571240,-1.465,2.1719999999999997e-06
1459606571250,-1.465,5.43e-06
1459606571260,-1.465,3.258e-06
1459606571270,-1.465,1.086e-05
1459606571280,-1.465,6.154e-06
1459606571290,-1.465,1.448e-05
1459606571300,-1.465,7.602e-06
1459606571310,-1.465,1.7014e-05
1459606571320,-1.465,1.0136000000000001e-05
1459606571330,-1.465,2.7511999999999997e-05
1459606571340,-1.465,1.3032e-05
1459606571350,-1.465,2.2444e-05
1459606571360,-1.465,1.1945999999999999e-05
1459606571370,-1.465,3.1856e-05
1459606571380,-1.465,2.0272000000000002e-05
1459606571390,-1.465,3.258e-05
1459606571400,-1.465,1.3032e-05
1459606571410,-1.465,3.1494e-05
1459606571420,-1.465,1.5928e-05
1459606571430,-1.465,2.0272000000000002e-05
1459606571440,-1.465,6.154e-06
1459606571450,-1.465,1.086e-05
1459606571460,-1.465,5.0680000000000004e-06
1459606571470,-1.465,5.792000000000001e-06
1459606571480,-1.465,1.4480000000000002e-06
1459606571490,-1.465,2.5340000000000002e-06
1459606571500,-1.465,1.81e-06
1459606571510,-1.465,2.5340000000000002e-06
1459606571520,-1.465,1.4480000000000002e-06
1459606571530,-1.465,2.5340000000000002e-06
1459606571540,-1.465,2.8960000000000003e-06
1459606571550,-1.465,2.8960000000000003e-06
1459606571560,-1.465,1.81e-06
1459606571570,-1.465,2.5340000000000002e-06
1459606571580,-1.465,7.240000000000001e-07
1459606571590,-1.465,1.81e-06
1459606571600,-1.465,0.0
1459606571610,-1.465,1.4480000000000002e-06
1459606571620,-1.465,0.0
1459606571630,-1.465,2.1719999999999997e-06
1459606571640,-1.465,3.6200000000000004e-07
1459606571650,-1.465,1.0859999999999999e-06
1459606571660,-1.465,7.240000000000001e-07
1459606571670,-1.465,1.0859999999999999e-06
1459606571680,-1.465,7.240000000000001e-07
1459606571690,-1.465,2.1719999999999997e-06
1459606571700,-1.465,1.4480000000000002e-06
1459606571710,-1.465,2.5340000000000002e-06
1459606571720,-1.465,2.5340000000000002e-06
1459606571730,-1.465,6.154e-06
