Timestamp,position,BLMTI.06L7.B1E10_TCP.D6L7.B1
1459607342200,-1.86,6.516e-06
1459607342210,-1.86,7.24e-06
1459607342220,-1.86,8.687999999999999e-06
1459607342230,-1.86,9.412e-06
1459607342240,-1.86,9.05e-06
1459607342250,-1.86,1.1945999999999999e-05
1459607342260,-1.86,1.1945999999999999e-05
1459607342270,-1.86,1.4118e-05
1459607342280,-1.86,1.1584000000000001e-05
1459607342290,-1.86,1.8462e-05
1459607342300,-1.86,1.4118e-05
1459607342310,-1.86,1.9548e-05
1459607342320,-1.86,1.7738e-05
1459607342330,-1.86,2.0996e-05
1459607342340,-1.86,1.991e-05
1459607342350,-1.86,2.3891999999999998e-05
1459607342360,-1.86,2.534e-05
1459607342370,-1.86,2.6064e-05
1459607342380,-1.86,2.4978e-05
1459607342390,-1.86,1.991e-05
1459607342400,-1.86,2.172e-05
1459607342410,-1.86,1.3755999999999998e-05
1459607342420,-1.86,1.5566e-05
1459607342430,-1.86,1.1945999999999999e-05
1459607342440,-1.86,1.1584000000000001e-05
1459607342450,-1.86,9.05e-06
1459607342460,-1.86,1.0498e-05
1459607342470,-1.86,1.0498e-05
1459607342480,-1.86,9.05e-06
1459607342490,-1.86,1.0136000000000001e-05
1459607342500,-1.86,8.326e-06
1459607342510,-1.86,1.0498e-05
1459607342520,-1.86,9.412e-06
1459607342530,-1.86,1.086e-05
1459607342540,-1.86,6.516e-06
1459607342550,-1.86,1.3755999999999998e-05
1459607342560,-1.86,1.1945999999999999e-05
1459607342570,-1.86,1.5928e-05
1459607342580,-1.86,1.3755999999999998e-05
1459607342590,-1.86,1.3394000000000001e-05
1459607342600,-1.86,1.5204e-05
1459607342610,-1.86,1.4842000000000001e-05
1459607342620,-1.86,1.5566e-05
1459607342630,-1.86,1.3394000000000001e-05
1459607342640,-1.86,1.0136000000000001e-05
1459607342650,-1.86,9.05e-06
1459607342660,-1.86,6.877999999999999e-06
1459607342670,-1.86,6.877999999999999e-06
1459607342680,-1.86,6.516e-06
1459607342690,-1.86,6.516e-06
1459607342700,-1.86,5.792000000000001e-06
1459607342710,-1.86,6.154e-06
1459607342720,-1.86,6.516e-06
1459607342760,-1.86,6.154e-06
1459607342770,-1.86,7.24e-06
1459607342780,-1.86,7.24e-06
1459607342790,-1.86,7.602e-06
1459607342800,-1.86,7.964e-06
1459607342810,-1.86,7.602e-06
1459607342820,-1.86,7.964e-06
1459607342830,-1.86,6.516e-06
1459607342840,-1.86,8.687999999999999e-06
1459607342850,-1.86,6.877999999999999e-06
1459607342860,-1.86,5.0680000000000004e-06
1459607342870,-1.86,5.792000000000001e-06
1459607342880,-1.86,5.0680000000000004e-06
1459607342890,-1.86,5.43e-06
1459607342900,-1.86,6.877999999999999e-06
1459607342910,-1.86,9.412e-06
1459607342920,-1.86,1.086e-05
1459607342930,-1.86,1.267e-05
1459607342940,-1.86,1.629e-05
1459607342950,-1.86,2.3168000000000002e-05
1459607342960,-1.86,2.353e-05
1459607342970,-1.86,2.0634e-05
1459607342980,-1.86,1.6652e-05
1459607342990,-1.86,1.7014e-05
1459607343000,-1.86,1.3755999999999998e-05
1459607343010,-1.86,1.1222e-05
1459607343020,-1.86,8.326e-06
1459607343030,-1.86,6.877999999999999e-06
1459607343040,-1.86,6.516e-06
1459607343050,-1.86,6.154e-06
1459607343060,-1.86,6.154e-06
1459607343070,-1.86,5.792000000000001e-06
1459607343080,-1.86,6.516e-06
1459607343090,-1.86,6.877999999999999e-06
1459607343100,-1.86,6.516e-06
1459607343110,-1.86,6.877999999999999e-06
1459607343120,-1.86,7.602e-06
1459607343130,-1.86,7.24e-06
1459607343140,-1.86,4.706e-06
1459607343150,-1.86,5.792000000000001e-06
1459607343160,-1.86,6.516e-06
1459607343170,-1.86,5.792000000000001e-06
1459607343180,-1.86,4.343999999999999e-06
1459607343190,-1.86,5.43e-06
1459607343200,-1.86,5.0680000000000004e-06
1459607343210,-1.86,4.706e-06
1459607343220,-1.86,5.0680000000000004e-06
1459607343230,-1.86,6.154e-06
1459607343240,-1.86,7.24e-06
1459607343250,-1.86,7.964e-06
1459607343260,-1.86,7.24e-06
1459607343270,-1.86,1.0498e-05
1459607343280,-1.86,7.964e-06
1459607343290,-1.86,1.086e-05
1459607343300,-1.86,7.602e-06
1459607343310,-1.86,8.326e-06
1459607343320,-1.86,6.516e-06
1459607343330,-1.86,6.877999999999999e-06
1459607343340,-1.86,4.343999999999999e-06
1459607343350,-1.86,6.154e-06
1459607343360,-1.86,5.0680000000000004e-06
1459607343370,-1.86,6.154e-06
1459607343380,-1.86,5.792000000000001e-06
1459607343390,-1.86,4.706e-06
1459607343400,-1.86,5.43e-06
