Timestamp,position,BLMTI.05L7.B2I10_TCSG.E5L7.B2
1459607587930,-3.66,2.1719999999999997e-06
1459607587940,-3.66,0.0
1459607587950,-3.66,1.0859999999999999e-06
1459607587960,-3.66,1.81e-06
1459607587970,-3.66,1.4480000000000002e-06
1459607587980,-3.66,2.5340000000000002e-06
1459607587990,-3.66,2.1719999999999997e-06
1459607588000,-3.66,2.5340000000000002e-06
1459607588010,-3.66,2.8960000000000003e-06
1459607588020,-3.66,1.4480000000000002e-06
1459607588030,-3.66,3.982e-06
1459607588040,-3.66,2.1719999999999997e-06
1459607588050,-3.66,5.0680000000000004e-06
1459607588060,-3.66,2.8960000000000003e-06
1459607588070,-3.66,3.982e-06
1459607588080,-3.66,3.62e-06
1459607588090,-3.66,1.81e-06
1459607588100,-3.66,3.258e-06
1459607588110,-3.66,1.0859999999999999e-06
1459607588120,-3.66,2.8960000000000003e-06
1459607588130,-3.66,1.81e-06
1459607588140,-3.66,1.0859999999999999e-06
1459607588150,-3.66,2.1719999999999997e-06
1459607588160,-3.66,7.240000000000001e-07
1459607588170,-3.66,2.1719999999999997e-06
1459607588180,-3.66,1.81e-06
1459607588190,-3.66,2.1719999999999997e-06
1459607588200,-3.66,2.5340000000000002e-06
1459607588210,-3.66,2.1719999999999997e-06
1459607588220,-3.66,3.62e-06
1459607588230,-3.66,1.0859999999999999e-06
1459607588240,-3.66,2.5340000000000002e-06
1459607588250,-3.66,7.240000000000001e-07
1459607588260,-3.66,3.258e-06
1459607588270,-3.66,7.240000000000001e-07
1459607588280,-3.66,2.1719999999999997e-06
1459607588290,-3.66,3.6200000000000004e-07
1459607588300,-3.66,2.1719999999999997e-06
1459607588310,-3.66,1.81e-06
1459607588320,-3.66,1.0859999999999999e-06
1459607588330,-3.66,1.4480000000000002e-06
1459607588340,-3.66,1.0859999999999999e-06
1459607588350,-3.66,7.240000000000001e-07
1459607588360,-3.66,1.4480000000000002e-06
1459607588370,-3.66,1.0859999999999999e-06
1459607588380,-3.66,7.240000000000001e-07
1459607588390,-3.66,1.4480000000000002e-06
1459607588400,-3.66,1.4480000000000002e-06
1459607588410,-3.66,1.4480000000000002e-06
1459607588420,-3.66,2.1719999999999997e-06
1459607588430,-3.66,1.81e-06
1459607588440,-3.66,7.240000000000001e-07
1459607588450,-3.66,1.4480000000000002e-06
1459607588460,-3.66,7.240000000000001e-07
1459607588470,-3.66,1.4480000000000002e-06
1459607588480,-3.66,1.0859999999999999e-06
1459607588490,-3.66,7.240000000000001e-07
1459607588500,-3.66,1.4480000000000002e-06
1459607588510,-3.66,1.4480000000000002e-06
1459607588520,-3.66,7.240000000000001e-07
1459607588530,-3.66,1.81e-06
1459607588540,-3.66,1.4480000000000002e-06
1459607588550,-3.66,1.4480000000000002e-06
1459607588560,-3.66,1.4480000000000002e-06
