Timestamp,position,BLMTI.06R7.B2I10_TCP.B6R7.B2
1459607984420,-2.715,1.267e-05
1459607984430,-2.715,6.877999999999999e-06
1459607984440,-2.715,9.05e-06
1459607984450,-2.715,4.343999999999999e-06
1459607984460,-2.715,6.154e-06
1459607984470,-2.715,3.982e-06
1459607984480,-2.715,6.877999999999999e-06
1459607984490,-2.715,4.343999999999999e-06
1459607984500,-2.715,6.516e-06
1459607984510,-2.715,2.5340000000000002e-06
1459607984520,-2.715,6.877999999999999e-06
1459607984530,-2.715,2.1719999999999997e-06
1459607984540,-2.715,6.154e-06
1459607984550,-2.715,2.8960000000000003e-06
1459607984560,-2.715,6.154e-06
1459607984570,-2.715,2.8960000000000003e-06
1459607984580,-2.715,6.516e-06
1459607984590,-2.715,4.706e-06
1459607984600,-2.715,1.2308e-05
1459607984610,-2.715,7.24e-06
1459607984620,-2.715,1.0136000000000001e-05
1459607984630,-2.715,5.0680000000000004e-06
1459607984640,-2.715,1.0136000000000001e-05
1459607984650,-2.715,6.516e-06
1459607984660,-2.715,1.5566e-05
1459607984670,-2.715,1.8462e-05
1459607984680,-2.715,3.5476e-05
1459607984690,-2.715,3.982e-05
1459607984700,-2.715,4.2716e-05
1459607984710,-2.715,2.6426e-05
1459607984720,-2.715,2.4254000000000002e-05
1459607984730,-2.715,1.2308e-05
1459607984740,-2.715,1.267e-05
1459607984750,-2.715,6.516e-06
1459607984760,-2.715,9.05e-06
1459607984770,-2.715,2.8960000000000003e-06
1459607984780,-2.715,7.24e-06
1459607984790,-2.715,3.62e-06
1459607984800,-2.715,1.0136000000000001e-05
1459607984810,-2.715,3.982e-06
1459607984820,-2.715,1.0136000000000001e-05
1459607984830,-2.715,7.24e-06
1459607984840,-2.715,1.5928e-05
1459607984850,-2.715,1.2308e-05
1459607984860,-2.715,1.5566e-05
1459607984870,-2.715,1.1945999999999999e-05
1459607984880,-2.715,1.3755999999999998e-05
1459607984890,-2.715,7.24e-06
1459607984900,-2.715,1.0136000000000001e-05
1459607984910,-2.715,4.706e-06
1459607984920,-2.715,7.964e-06
1459607984930,-2.715,3.258e-06
1459607984940,-2.715,6.516e-06
1459607984950,-2.715,3.62e-06
1459607984960,-2.715,4.706e-06
1459607984970,-2.715,2.8960000000000003e-06
1459607984980,-2.715,4.343999999999999e-06
1459607984990,-2.715,2.5340000000000002e-06
1459607985000,-2.715,5.792000000000001e-06
1459607985010,-2.715,3.258e-06
1459607985020,-2.715,6.154e-06
1459607985030,-2.715,2.5340000000000002e-06
1459607985040,-2.715,5.792000000000001e-06
1459607985050,-2.715,3.62e-06
1459607985060,-2.715,6.154e-06
1459607985070,-2.715,3.258e-06
1459607985080,-2.715,7.964e-06
1459607985090,-2.715,3.982e-06
1459607985100,-2.715,7.602e-06
1459607985110,-2.715,3.62e-06
1459607985120,-2.715,7.24e-06
1459607985130,-2.715,3.62e-06
1459607985140,-2.715,6.877999999999999e-06
1459607985150,-2.715,4.706e-06
1459607985160,-2.715,8.687999999999999e-06
1459607985170,-2.715,4.343999999999999e-06
1459607985180,-2.715,1.086e-05
1459607985190,-2.715,4.706e-06
1459607985200,-2.715,6.877999999999999e-06
1459607985210,-2.715,3.258e-06
1459607985220,-2.715,6.516e-06
1459607985230,-2.715,3.258e-06
1459607985240,-2.715,6.877999999999999e-06
1459607985250,-2.715,3.258e-06
1459607985260,-2.715,6.516e-06
1459607985270,-2.715,3.62e-06
1459607985280,-2.715,7.24e-06
1459607985290,-2.715,3.258e-06
1459607985300,-2.715,6.154e-06
1459607985310,-2.715,2.1719999999999997e-06
1459607985320,-2.715,6.877999999999999e-06
1459607985330,-2.715,2.8960000000000003e-06
1459607985340,-2.715,7.24e-06
1459607985350,-2.715,3.258e-06
1459607985360,-2.715,7.964e-06
1459607985370,-2.715,5.0680000000000004e-06
1459607985380,-2.715,1.1945999999999999e-05
1459607985390,-2.715,8.326e-06
1459607985400,-2.715,1.7375999999999998e-05
1459607985410,-2.715,1.3755999999999998e-05
1459607985420,-2.715,1.8100000000000003e-05
1459607985430,-2.715,1.3394000000000001e-05
1459607985440,-2.715,1.8462e-05
1459607985450,-2.715,1.3032e-05
1459607985460,-2.715,1.9548e-05
1459607985470,-2.715,1.3032e-05
1459607985480,-2.715,1.8100000000000003e-05
1459607985490,-2.715,9.774e-06
1459607985500,-2.715,1.7375999999999998e-05
1459607985510,-2.715,9.412e-06
1459607985520,-2.715,1.4842000000000001e-05
1459607985530,-2.715,1.2308e-05
1459607985540,-2.715,1.9186e-05
1459607985550,-2.715,1.5566e-05
1459607985560,-2.715,2.1358e-05
1459607985570,-2.715,1.7738e-05
1459607985580,-2.715,2.2805999999999998e-05
1459607985590,-2.715,1.3755999999999998e-05
1459607985600,-2.715,1.5204e-05
1459607985610,-2.715,9.412e-06
1459607985620,-2.715,1.1222e-05
1459607985630,-2.715,6.877999999999999e-06
1459607985640,-2.715,1.0136000000000001e-05
1459607985650,-2.715,5.43e-06
1459607985660,-2.715,1.086e-05
1459607985670,-2.715,5.43e-06
1459607985680,-2.715,9.05e-06
1459607985690,-2.715,4.706e-06
1459607985700,-2.715,8.326e-06
1459607985710,-2.715,3.62e-06
1459607985720,-2.715,6.877999999999999e-06
1459607985730,-2.715,3.62e-06
1459607985740,-2.715,6.154e-06
1459607985750,-2.715,2.8960000000000003e-06
1459607985760,-2.715,6.154e-06
1459607985770,-2.715,2.8960000000000003e-06
1459607985780,-2.715,5.792000000000001e-06
1459607985790,-2.715,2.1719999999999997e-06
1459607985800,-2.715,4.343999999999999e-06
1459607985810,-2.715,2.8960000000000003e-06
1459607985820,-2.715,4.343999999999999e-06
1459607985830,-2.715,2.1719999999999997e-06
1459607985840,-2.715,3.258e-06
1459607985850,-2.715,2.5340000000000002e-06
1459607985860,-2.715,3.982e-06
1459607985870,-2.715,2.8960000000000003e-06
1459607985880,-2.715,3.258e-06
1459607985890,-2.715,2.1719999999999997e-06
1459607985900,-2.715,3.982e-06
1459607985910,-2.715,2.5340000000000002e-06
1459607985920,-2.715,4.343999999999999e-06
1459607985930,-2.715,1.0859999999999999e-06
1459607985940,-2.715,3.258e-06
1459607985950,-2.715,1.4480000000000002e-06
1459607985960,-2.715,4.343999999999999e-06
1459607985970,-2.715,2.5340000000000002e-06
1459607985980,-2.715,3.258e-06
1459607985990,-2.715,1.4480000000000002e-06
1459607986000,-2.715,3.62e-06
1459607986010,-2.715,1.0859999999999999e-06
1459607986020,-2.715,2.8960000000000003e-06
1459607986030,-2.715,1.0859999999999999e-06
1459607986040,-2.715,2.8960000000000003e-06
1459607986050,-2.715,1.4480000000000002e-06
1459607986060,-2.715,3.258e-06
1459607986070,-2.715,1.81e-06
1459607986080,-2.715,2.8960000000000003e-06
1459607986090,-2.715,1.4480000000000002e-06
1459607986100,-2.715,1.4480000000000002e-06
1459607986110,-2.715,1.0859999999999999e-06
1459607986120,-2.715,3.258e-06
1459607986130,-2.715,1.0859999999999999e-06
1459607986140,-2.715,2.8960000000000003e-06
1459607986150,-2.715,7.240000000000001e-07
1459607986160,-2.715,2.5340000000000002e-06
1459607986170,-2.715,1.0859999999999999e-06
1459607986180,-2.715,2.5340000000000002e-06
1459607986190,-2.715,7.240000000000001e-07
1459607986200,-2.715,3.258e-06
1459607986210,-2.715,1.0859999999999999e-06
1459607986220,-2.715,2.8960000000000003e-06
1459607986230,-2.715,1.4480000000000002e-06
1459607986240,-2.715,3.258e-06
1459607986250,-2.715,1.0859999999999999e-06
1459607986260,-2.715,2.8960000000000003e-06
1459607986270,-2.715,1.4480000000000002e-06
1459607986280,-2.715,5.0680000000000004e-06
1459607986290,-2.715,2.8960000000000003e-06
1459607986300,-2.715,7.24e-06
1459607986310,-2.715,4.343999999999999e-06
1459607986320,-2.715,8.687999999999999e-06
