Timestamp,position,BLMTI.05R7.B1E10_TCSG.B5R7.B1
1459608451170,-3.4,9.412e-06
1459608451180,-3.4,9.05e-06
1459608451190,-3.4,1.1584000000000001e-05
1459608451200,-3.4,1.448e-05
1459608451210,-3.4,1.6652e-05
1459608451220,-3.4,1.8824e-05
1459608451230,-3.4,1.5928e-05
1459608451240,-3.4,1.267e-05
1459608451250,-3.4,1.629e-05
1459608451260,-3.4,1.448e-05
1459608451270,-3.4,1.5928e-05
1459608451280,-3.4,1.448e-05
1459608451290,-3.4,1.5566e-05
1459608451300,-3.4,2.0996e-05
1459608451310,-3.4,1.7375999999999998e-05
1459608451320,-3.4,2.0272000000000002e-05
1459608451330,-3.4,1.7014e-05
1459608451340,-3.4,1.3394000000000001e-05
1459608451350,-3.4,1.0498e-05
1459608451360,-3.4,9.774e-06
1459608451370,-3.4,9.05e-06
1459608451380,-3.4,9.412e-06
1459608451390,-3.4,7.24e-06
1459608451400,-3.4,7.964e-06
1459608451410,-3.4,7.602e-06
1459608451420,-3.4,6.516e-06
1459608451430,-3.4,5.43e-06
1459608451440,-3.4,6.516e-06
1459608451450,-3.4,5.0680000000000004e-06
1459608451460,-3.4,6.154e-06
1459608451470,-3.4,4.706e-06
1459608451480,-3.4,7.602e-06
1459608451490,-3.4,7.964e-06
1459608451500,-3.4,1.267e-05
1459608451510,-3.4,1.4842000000000001e-05
1459608451520,-3.4,1.7375999999999998e-05
1459608451530,-3.4,1.7738e-05
1459608451540,-3.4,1.8462e-05
1459608451550,-3.4,1.2308e-05
1459608451560,-3.4,1.1222e-05
1459608451570,-3.4,1.0498e-05
1459608451580,-3.4,9.412e-06
1459608451590,-3.4,1.0136000000000001e-05
1459608451600,-3.4,1.0136000000000001e-05
1459608451610,-3.4,1.1584000000000001e-05
1459608451620,-3.4,1.3032e-05
1459608451630,-3.4,1.1945999999999999e-05
1459608451640,-3.4,7.602e-06
1459608451650,-3.4,1.0136000000000001e-05
1459608451660,-3.4,7.24e-06
1459608451670,-3.4,9.412e-06
1459608451680,-3.4,9.412e-06
1459608451690,-3.4,1.1222e-05
1459608451700,-3.4,1.267e-05
1459608451710,-3.4,1.4842000000000001e-05
1459608451720,-3.4,1.6652e-05
1459608451730,-3.4,1.4842000000000001e-05
1459608451740,-3.4,1.5204e-05
1459608451750,-3.4,1.1222e-05
1459608451760,-3.4,9.412e-06
1459608451770,-3.4,1.0498e-05
1459608451780,-3.4,9.05e-06
1459608451790,-3.4,6.516e-06
1459608451800,-3.4,8.326e-06
1459608451810,-3.4,1.0136000000000001e-05
1459608451820,-3.4,7.964e-06
1459608451830,-3.4,7.964e-06
1459608451840,-3.4,9.412e-06
1459608451850,-3.4,7.602e-06
1459608451860,-3.4,8.687999999999999e-06
1459608451870,-3.4,6.516e-06
1459608451880,-3.4,7.602e-06
1459608451890,-3.4,6.516e-06
1459608451900,-3.4,7.24e-06
1459608451910,-3.4,6.154e-06
1459608451920,-3.4,5.43e-06
1459608451930,-3.4,5.0680000000000004e-06
1459608451940,-3.4,4.706e-06
1459608451950,-3.4,3.258e-06
1459608451960,-3.4,3.982e-06
1459608451970,-3.4,3.62e-06
1459608451980,-3.4,3.62e-06
1459608451990,-3.4,4.706e-06
1459608452000,-3.4,3.982e-06
1459608452010,-3.4,6.154e-06
1459608452020,-3.4,5.0680000000000004e-06
1459608452030,-3.4,4.343999999999999e-06
1459608452040,-3.4,6.877999999999999e-06
1459608452050,-3.4,7.964e-06
1459608452060,-3.4,5.43e-06
1459608452070,-3.4,4.343999999999999e-06
1459608452080,-3.4,4.706e-06
1459608452090,-3.4,6.516e-06
1459608452100,-3.4,6.877999999999999e-06
1459608452110,-3.4,1.0136000000000001e-05
1459608452120,-3.4,1.267e-05
1459608452130,-3.4,1.3394000000000001e-05
1459608452140,-3.4,1.3394000000000001e-05
1459608452150,-3.4,1.2308e-05
1459608452160,-3.4,1.4118e-05
1459608452170,-3.4,1.448e-05
1459608452180,-3.4,1.7375999999999998e-05
1459608452190,-3.4,1.991e-05
1459608452200,-3.4,3.5476e-05
1459608452210,-3.4,4.3802e-05
1459608452220,-3.4,4.4526e-05
1459608452230,-3.4,3.1132e-05
1459608452240,-3.4,2.2082e-05
1459608452250,-3.4,1.8100000000000003e-05
1459608452260,-3.4,1.4842000000000001e-05
1459608452270,-3.4,7.964e-06
1459608452280,-3.4,9.05e-06
1459608452290,-3.4,9.774e-06
1459608452300,-3.4,1.1222e-05
1459608452310,-3.4,9.774e-06
1459608452320,-3.4,1.1584000000000001e-05
1459608452330,-3.4,7.964e-06
1459608452340,-3.4,6.154e-06
1459608452350,-3.4,3.62e-06
1459608452360,-3.4,6.516e-06
1459608452370,-3.4,6.154e-06
1459608452380,-3.4,9.05e-06
1459608452390,-3.4,7.964e-06
1459608452400,-3.4,1.086e-05
1459608452410,-3.4,8.687999999999999e-06
1459608452420,-3.4,1.0136000000000001e-05
1459608452430,-3.4,5.792000000000001e-06
1459608452440,-3.4,5.43e-06
1459608452450,-3.4,4.706e-06
1459608452460,-3.4,3.62e-06
1459608452470,-3.4,4.706e-06
1459608452480,-3.4,4.343999999999999e-06
1459608452490,-3.4,5.0680000000000004e-06
1459608452500,-3.4,6.154e-06
1459608452510,-3.4,4.706e-06
1459608452520,-3.4,3.258e-06
1459608452530,-3.4,4.706e-06
1459608452540,-3.4,5.43e-06
1459608452550,-3.4,4.706e-06
1459608452560,-3.4,6.154e-06
1459608452570,-3.4,4.706e-06
1459608452580,-3.4,5.43e-06
1459608452590,-3.4,3.258e-06
1459608452600,-3.4,4.706e-06
1459608452610,-3.4,3.258e-06
1459608452620,-3.4,5.0680000000000004e-06
1459608452630,-3.4,5.0680000000000004e-06
1459608452640,-3.4,4.706e-06
1459608452650,-3.4,4.343999999999999e-06
1459608452660,-3.4,5.43e-06
1459608452670,-3.4,6.154e-06
1459608452680,-3.4,6.516e-06
1459608452690,-3.4,6.154e-06
1459608452700,-3.4,9.05e-06
1459608452710,-3.4,1.086e-05
1459608452720,-3.4,1.1584000000000001e-05
1459608452730,-3.4,1.3032e-05
1459608452740,-3.4,1.267e-05
1459608452750,-3.4,1.1945999999999999e-05
1459608452760,-3.4,7.964e-06
1459608452770,-3.4,7.24e-06
1459608452780,-3.4,5.43e-06
1459608452790,-3.4,4.706e-06
1459608452800,-3.4,5.43e-06
1459608452810,-3.4,6.154e-06
1459608452820,-3.4,9.05e-06
1459608452830,-3.4,8.326e-06
1459608452840,-3.4,1.0136000000000001e-05
1459608452850,-3.4,5.0680000000000004e-06
1459608452860,-3.4,8.687999999999999e-06
1459608452870,-3.4,5.0680000000000004e-06
1459608452880,-3.4,6.877999999999999e-06
1459608452890,-3.4,7.602e-06
1459608452900,-3.4,1.1945999999999999e-05
1459608452910,-3.4,1.1222e-05
