Timestamp,position,BLMTI.04R7.B1E10_TCSG.A4R7.B1
1459608554450,-3.325,5.43e-06
1459608554460,-3.325,5.0680000000000004e-06
1459608554470,-3.325,6.516e-06
1459608554480,-3.325,4.706e-06
1459608554490,-3.325,5.792000000000001e-06
1459608554500,-3.325,3.982e-06
1459608554510,-3.325,5.792000000000001e-06
1459608554520,-3.325,3.258e-06
1459608554530,-3.325,4.706e-06
1459608554540,-3.325,4.343999999999999e-06
1459608554550,-3.325,4.343999999999999e-06
1459608554560,-3.325,3.982e-06
1459608554570,-3.325,4.706e-06
1459608554580,-3.325,4.343999999999999e-06
1459608554590,-3.325,3.62e-06
1459608554600,-3.325,4.706e-06
1459608554610,-3.325,7.24e-06
1459608554620,-3.325,4.706e-06
1459608554630,-3.325,6.877999999999999e-06
1459608554640,-3.325,5.792000000000001e-06
1459608554650,-3.325,7.602e-06
1459608554660,-3.325,4.343999999999999e-06
1459608554670,-3.325,7.602e-06
1459608554680,-3.325,4.706e-06
1459608554690,-3.325,6.877999999999999e-06
1459608554700,-3.325,4.343999999999999e-06
1459608554710,-3.325,5.43e-06
1459608554720,-3.325,3.62e-06
1459608554730,-3.325,6.154e-06
1459608554740,-3.325,3.982e-06
1459608554750,-3.325,5.43e-06
1459608554760,-3.325,2.8960000000000003e-06
1459608554770,-3.325,5.43e-06
1459608554780,-3.325,5.43e-06
1459608554790,-3.325,5.792000000000001e-06
1459608554800,-3.325,5.792000000000001e-06
1459608554810,-3.325,5.792000000000001e-06
1459608554820,-3.325,7.24e-06
1459608554830,-3.325,7.964e-06
1459608554840,-3.325,7.24e-06
1459608554850,-3.325,9.412e-06
1459608554860,-3.325,8.687999999999999e-06
1459608554870,-3.325,8.326e-06
1459608554880,-3.325,6.154e-06
1459608554890,-3.325,8.326e-06
1459608554900,-3.325,6.877999999999999e-06
1459608554910,-3.325,7.964e-06
1459608554920,-3.325,6.516e-06
1459608554930,-3.325,8.326e-06
1459608554940,-3.325,4.706e-06
1459608554950,-3.325,6.516e-06
1459608554960,-3.325,4.343999999999999e-06
1459608554970,-3.325,7.24e-06
1459608554980,-3.325,3.6200000000000004e-07
1459608554990,-3.325,5.792000000000001e-06
1459608555000,-3.325,4.343999999999999e-06
1459608555010,-3.325,6.154e-06
1459608555020,-3.325,5.792000000000001e-06
1459608555030,-3.325,5.43e-06
1459608555040,-3.325,4.343999999999999e-06
1459608555050,-3.325,5.43e-06
1459608555060,-3.325,3.982e-06
1459608555070,-3.325,6.154e-06
1459608555080,-3.325,5.792000000000001e-06
1459608555090,-3.325,7.24e-06
1459608555100,-3.325,7.602e-06
1459608555110,-3.325,1.1222e-05
1459608555120,-3.325,7.602e-06
1459608555130,-3.325,1.1945999999999999e-05
1459608555140,-3.325,8.687999999999999e-06
1459608555150,-3.325,1.1222e-05
1459608555160,-3.325,7.602e-06
1459608555170,-3.325,1.0498e-05
1459608555180,-3.325,7.602e-06
1459608555190,-3.325,9.05e-06
1459608555200,-3.325,5.43e-06
1459608555210,-3.325,7.602e-06
1459608555220,-3.325,4.706e-06
1459608555230,-3.325,5.792000000000001e-06
1459608555240,-3.325,3.62e-06
1459608555250,-3.325,4.706e-06
1459608555260,-3.325,3.982e-06
1459608555270,-3.325,5.43e-06
1459608555280,-3.325,3.258e-06
1459608555290,-3.325,4.343999999999999e-06
1459608555300,-3.325,3.258e-06
1459608555310,-3.325,3.982e-06
1459608555320,-3.325,2.8960000000000003e-06
1459608555330,-3.325,3.258e-06
1459608555340,-3.325,2.5340000000000002e-06
1459608555350,-3.325,2.8960000000000003e-06
1459608555360,-3.325,2.8960000000000003e-06
1459608555370,-3.325,2.8960000000000003e-06
1459608555380,-3.325,3.258e-06
1459608555390,-3.325,2.8960000000000003e-06
1459608555400,-3.325,2.5340000000000002e-06
1459608555410,-3.325,2.5340000000000002e-06
1459608555420,-3.325,2.5340000000000002e-06
1459608555430,-3.325,3.62e-06
1459608555440,-3.325,2.5340000000000002e-06
1459608555450,-3.325,3.258e-06
1459608555460,-3.325,2.8960000000000003e-06
1459608555470,-3.325,5.43e-06
1459608555480,-3.325,3.258e-06
1459608555490,-3.325,6.154e-06
1459608555500,-3.325,2.8960000000000003e-06
1459608555510,-3.325,6.154e-06
1459608555520,-3.325,1.81e-06
1459608555530,-3.325,4.343999999999999e-06
1459608555540,-3.325,2.8960000000000003e-06
1459608555550,-3.325,4.706e-06
1459608555560,-3.325,2.8960000000000003e-06
1459608555570,-3.325,3.62e-06
1459608555580,-3.325,3.258e-06
1459608555590,-3.325,2.5340000000000002e-06
1459608555600,-3.325,2.5340000000000002e-06
1459608555610,-3.325,3.982e-06
1459608555620,-3.325,3.62e-06
1459608555630,-3.325,5.0680000000000004e-06
1459608555640,-3.325,3.62e-06
1459608555650,-3.325,5.43e-06
1459608555660,-3.325,4.343999999999999e-06
1459608555670,-3.325,6.877999999999999e-06
1459608555680,-3.325,3.258e-06
1459608555690,-3.325,5.792000000000001e-06
1459608555700,-3.325,3.62e-06
1459608555710,-3.325,6.877999999999999e-06
1459608555720,-3.325,3.982e-06
1459608555730,-3.325,7.602e-06
1459608555740,-3.325,3.62e-06
1459608555750,-3.325,6.154e-06
1459608555760,-3.325,3.62e-06
1459608555770,-3.325,7.24e-06
1459608555780,-3.325,1.0859999999999999e-06
1459608555790,-3.325,3.982e-06
1459608555800,-3.325,3.62e-06
1459608555810,-3.325,7.24e-06
1459608555820,-3.325,4.343999999999999e-06
1459608555830,-3.325,7.602e-06
1459608555840,-3.325,5.0680000000000004e-06
1459608555850,-3.325,7.602e-06
1459608555860,-3.325,5.43e-06
1459608555870,-3.325,7.24e-06
1459608555880,-3.325,7.24e-06
