Timestamp,position,BLMTI.06L7.B1E10_TCP.B6L7.B1
1459608753790,-1.96,1.2308e-05
1459608753800,-1.96,1.267e-05
1459608753810,-1.96,1.5566e-05
1459608753820,-1.96,1.0498e-05
1459608753830,-1.96,1.2308e-05
1459608753840,-1.96,1.086e-05
1459608753850,-1.96,1.0136000000000001e-05
1459608753860,-1.96,8.326e-06
1459608753870,-1.96,7.964e-06
1459608753880,-1.96,7.24e-06
1459608753890,-1.96,7.964e-06
1459608753900,-1.96,7.964e-06
1459608753910,-1.96,1.086e-05
1459608753920,-1.96,7.964e-06
1459608753930,-1.96,9.774e-06
1459608753940,-1.96,9.05e-06
1459608753950,-1.96,1.0136000000000001e-05
1459608753960,-1.96,8.326e-06
1459608753970,-1.96,1.0136000000000001e-05
1459608753980,-1.96,1.1222e-05
1459608753990,-1.96,1.6652e-05
1459608754000,-1.96,1.7375999999999998e-05
1459608754010,-1.96,1.8462e-05
1459608754020,-1.96,1.8100000000000003e-05
1459608754030,-1.96,1.7375999999999998e-05
1459608754040,-1.96,1.448e-05
1459608754050,-1.96,1.448e-05
1459608754060,-1.96,1.4118e-05
1459608754070,-1.96,1.3394000000000001e-05
1459608754080,-1.96,1.267e-05
1459608754090,-1.96,1.1945999999999999e-05
1459608754100,-1.96,1.1222e-05
1459608754110,-1.96,9.774e-06
1459608754120,-1.96,1.0498e-05
1459608754130,-1.96,1.1584000000000001e-05
1459608754140,-1.96,1.0498e-05
1459608754150,-1.96,1.2308e-05
1459608754160,-1.96,9.774e-06
1459608754170,-1.96,1.086e-05
1459608754180,-1.96,9.774e-06
1459608754190,-1.96,6.154e-06
1459608754200,-1.96,8.687999999999999e-06
1459608754210,-1.96,1.0136000000000001e-05
1459608754220,-1.96,8.326e-06
1459608754230,-1.96,1.0136000000000001e-05
1459608754240,-1.96,6.154e-06
1459608754250,-1.96,7.602e-06
1459608754260,-1.96,7.24e-06
1459608754270,-1.96,7.964e-06
1459608754280,-1.96,7.24e-06
1459608754290,-1.96,6.516e-06
1459608754300,-1.96,6.877999999999999e-06
1459608754310,-1.96,5.792000000000001e-06
1459608754320,-1.96,5.792000000000001e-06
1459608754330,-1.96,5.43e-06
1459608754340,-1.96,5.43e-06
1459608754350,-1.96,5.792000000000001e-06
1459608754360,-1.96,6.154e-06
1459608754370,-1.96,5.0680000000000004e-06
1459608754380,-1.96,4.706e-06
1459608754390,-1.96,5.0680000000000004e-06
1459608754400,-1.96,5.792000000000001e-06
1459608754410,-1.96,6.516e-06
1459608754420,-1.96,6.154e-06
1459608754430,-1.96,6.516e-06
1459608754440,-1.96,7.602e-06
1459608754450,-1.96,9.05e-06
1459608754460,-1.96,8.326e-06
1459608754470,-1.96,1.1222e-05
1459608754480,-1.96,1.0136000000000001e-05
1459608754490,-1.96,1.2308e-05
1459608754500,-1.96,1.1945999999999999e-05
1459608754510,-1.96,1.0498e-05
1459608754520,-1.96,1.0498e-05
1459608754530,-1.96,8.687999999999999e-06
1459608754540,-1.96,7.964e-06
1459608754550,-1.96,6.154e-06
1459608754560,-1.96,8.326e-06
1459608754570,-1.96,7.602e-06
1459608754580,-1.96,5.792000000000001e-06
1459608754590,-1.96,8.687999999999999e-06
1459608754600,-1.96,7.24e-06
1459608754610,-1.96,8.687999999999999e-06
1459608754620,-1.96,7.24e-06
1459608754630,-1.96,7.964e-06
1459608754640,-1.96,8.326e-06
1459608754650,-1.96,7.602e-06
1459608754660,-1.96,8.326e-06
1459608754670,-1.96,9.774e-06
1459608754680,-1.96,1.086e-05
1459608754690,-1.96,1.3394000000000001e-05
1459608754700,-1.96,1.7375999999999998e-05
1459608754710,-1.96,1.2308e-05
1459608754720,-1.96,1.7014e-05
1459608754730,-1.96,1.5928e-05
1459608754740,-1.96,1.6652e-05
1459608754750,-1.96,1.629e-05
1459608754760,-1.96,1.7014e-05
1459608754770,-1.96,1.448e-05
1459608754780,-1.96,1.5204e-05
1459608754790,-1.96,1.4842000000000001e-05
1459608754800,-1.96,1.3394000000000001e-05
1459608754810,-1.96,1.1945999999999999e-05
1459608754820,-1.96,1.0136000000000001e-05
1459608754830,-1.96,1.1222e-05
1459608754840,-1.96,1.0136000000000001e-05
1459608754850,-1.96,9.05e-06
1459608754860,-1.96,7.24e-06
1459608754870,-1.96,9.412e-06
1459608754880,-1.96,9.412e-06
1459608754890,-1.96,1.3032e-05
1459608754900,-1.96,1.2308e-05
1459608754910,-1.96,1.5928e-05
1459608754920,-1.96,1.9186e-05
1459608754930,-1.96,1.8824e-05
1459608754940,-1.96,1.8462e-05
1459608754950,-1.96,1.8462e-05
1459608754960,-1.96,1.6652e-05
1459608754970,-1.96,1.5204e-05
1459608754980,-1.96,1.4118e-05
1459608754990,-1.96,1.4842000000000001e-05
1459608755000,-1.96,1.5566e-05
1459608755010,-1.96,9.412e-06
1459608755020,-1.96,1.3032e-05
1459608755030,-1.96,1.1584000000000001e-05
1459608755040,-1.96,9.412e-06
1459608755050,-1.96,1.0498e-05
1459608755060,-1.96,8.687999999999999e-06
1459608755070,-1.96,1.1945999999999999e-05
1459608755080,-1.96,1.0498e-05
1459608755090,-1.96,1.3755999999999998e-05
1459608755100,-1.96,1.1945999999999999e-05
1459608755110,-1.96,1.5204e-05
1459608755120,-1.96,1.7014e-05
1459608755130,-1.96,1.6652e-05
1459608755140,-1.96,1.4842000000000001e-05
1459608755150,-1.96,2.3168000000000002e-05
1459608755160,-1.96,3.4028e-05
1459608755170,-1.96,4.7422e-05
1459608755180,-1.96,5.2852e-05
1459608755190,-1.96,4.3078e-05
1459608755200,-1.96,3.4751999999999995e-05
1459608755210,-1.96,2.0634e-05
1459608755220,-1.96,2.0272000000000002e-05
1459608755230,-1.96,1.5928e-05
1459608755240,-1.96,1.3755999999999998e-05
1459608755250,-1.96,1.267e-05
1459608755260,-1.96,1.1584000000000001e-05
1459608755270,-1.96,1.1222e-05
1459608755280,-1.96,1.086e-05
1459608755290,-1.96,1.1945999999999999e-05
