Timestamp,position,BLMTI.04L3.B2E10_TCSG.4L3.B2
1459973744790,0.195,7.240000000000001e-07
1459973744800,0.195,3.6200000000000004e-07
1459973744810,0.195,0.0
1459973744820,0.195,0.0
1459973744830,0.195,1.0859999999999999e-06
1459973744840,0.195,0.0
1459973744850,0.195,7.240000000000001e-07
1459973744860,0.195,3.6200000000000004e-07
1459973744870,0.195,7.240000000000001e-07
1459973744880,0.195,0.0
1459973744890,0.195,7.240000000000001e-07
1459973744900,0.195,0.0
1459973744910,0.195,7.240000000000001e-07
1459973744920,0.195,0.0
1459973744930,0.195,7.240000000000001e-07
1459973744940,0.195,3.6200000000000004e-07
1459973744950,0.195,3.6200000000000004e-07
1459973744960,0.195,0.0
1459973744970,0.195,1.0859999999999999e-06
1459973744980,0.195,0.0
1459973744990,0.195,7.240000000000001e-07
1459973745000,0.195,3.6200000000000004e-07
1459973745010,0.195,0.0
1459973745020,0.195,7.240000000000001e-07
1459973745030,0.195,7.240000000000001e-07
1459973745040,0.195,0.0
1459973745050,0.195,1.0859999999999999e-06
1459973745060,0.195,0.0
1459973745070,0.195,3.6200000000000004e-07
1459973745080,0.195,7.240000000000001e-07
1459973745090,0.195,3.6200000000000004e-07
1459973745100,0.195,0.0
1459973745110,0.195,7.240000000000001e-07
1459973745120,0.195,3.6200000000000004e-07
1459973745130,0.195,3.6200000000000004e-07
1459973745140,0.195,3.6200000000000004e-07
1459973745150,0.195,1.0859999999999999e-06
1459973745160,0.195,0.0
1459973745170,0.195,0.0
1459973745180,0.195,3.6200000000000004e-07
1459973745190,0.195,3.6200000000000004e-07
1459973745200,0.195,0.0
1459973745210,0.195,0.0
1459973745220,0.195,0.0
1459973745230,0.195,1.4480000000000002e-06
1459973745240,0.195,0.0
1459973745250,0.195,3.6200000000000004e-07
1459973745260,0.195,0.0
1459973745270,0.195,3.6200000000000004e-07
1459973745280,0.195,7.240000000000001e-07
1459973745290,0.195,3.6200000000000004e-07
1459973745300,0.195,3.6200000000000004e-07
1459973745310,0.195,7.240000000000001e-07
1459973745320,0.195,0.0
1459973745330,0.195,7.240000000000001e-07
1459973745340,0.195,3.6200000000000004e-07
1459973745350,0.195,7.240000000000001e-07
1459973745360,0.195,3.6200000000000004e-07
1459973745370,0.195,3.6200000000000004e-07
1459973745380,0.195,3.6200000000000004e-07
1459973745390,0.195,7.240000000000001e-07
1459973745400,0.195,0.0
1459973745410,0.195,3.6200000000000004e-07
1459973745420,0.195,3.6200000000000004e-07
1459973745430,0.195,1.4480000000000002e-06
1459973745440,0.195,0.0
1459973745450,0.195,0.0
1459973745460,0.195,3.6200000000000004e-07
1459973745470,0.195,3.6200000000000004e-07
1459973745480,0.195,7.240000000000001e-07
1459973745490,0.195,3.6200000000000004e-07
