Timestamp,position,BLMTI.06L7.B1E10_TCP.C6L7.B1
1459974208290,0.41,1.8100000000000003e-05
1459974208300,0.41,1.6652e-05
1459974208310,0.41,1.1945999999999999e-05
1459974208320,0.41,1.5204e-05
1459974208330,0.41,1.7014e-05
1459974208340,0.41,1.8824e-05
1459974208350,0.41,2.3891999999999998e-05
1459974208360,0.41,2.2082e-05
1459974208370,0.41,2.0272000000000002e-05
1459974208380,0.41,1.629e-05
1459974208390,0.41,1.7738e-05
1459974208400,0.41,1.3755999999999998e-05
1459974208410,0.41,1.5928e-05
1459974208420,0.41,1.3032e-05
1459974208430,0.41,1.3032e-05
1459974208440,0.41,1.086e-05
1459974208450,0.41,1.267e-05
1459974208460,0.41,1.267e-05
1459974208470,0.41,1.7375999999999998e-05
1459974208480,0.41,2.2082e-05
1459974208490,0.41,2.2082e-05
1459974208500,0.41,1.9548e-05
1459974208510,0.41,1.8462e-05
1459974208520,0.41,1.5204e-05
1459974208530,0.41,1.3755999999999998e-05
1459974208540,0.41,1.267e-05
1459974208550,0.41,1.3032e-05
1459974208560,0.41,1.1584000000000001e-05
1459974208570,0.41,1.3032e-05
1459974208580,0.41,1.4118e-05
1459974208590,0.41,1.5566e-05
1459974208600,0.41,1.4118e-05
1459974208610,0.41,1.4842000000000001e-05
1459974208620,0.41,1.3032e-05
1459974208630,0.41,1.1584000000000001e-05
1459974208640,0.41,1.267e-05
1459974208650,0.41,1.5928e-05
1459974208660,0.41,2.353e-05
1459974208670,0.41,2.896e-05
1459974208680,0.41,2.4254000000000002e-05
1459974208690,0.41,2.0634e-05
1459974208700,0.41,1.8100000000000003e-05
1459974208710,0.41,1.5566e-05
1459974208720,0.41,1.5204e-05
1459974208730,0.41,1.267e-05
1459974208740,0.41,1.086e-05
1459974208750,0.41,1.4118e-05
1459974208760,0.41,2.6788000000000002e-05
1459974208770,0.41,3.2218e-05
1459974208780,0.41,3.0408e-05
1459974208790,0.41,2.4254000000000002e-05
1459974208800,0.41,2.3168000000000002e-05
1459974208810,0.41,2.0272000000000002e-05
1459974208820,0.41,1.5566e-05
1459974208830,0.41,1.4842000000000001e-05
1459974208840,0.41,1.3394000000000001e-05
1459974208850,0.41,1.3032e-05
1459974208860,0.41,1.2308e-05
1459974208870,0.41,1.3032e-05
1459974208880,0.41,1.2308e-05
1459974208890,0.41,1.3394000000000001e-05
1459974208900,0.41,1.0498e-05
1459974208910,0.41,1.1584000000000001e-05
1459974208920,0.41,9.05e-06
1459974208930,0.41,1.086e-05
1459974208940,0.41,1.1584000000000001e-05
1459974208950,0.41,1.1584000000000001e-05
1459974208960,0.41,1.4118e-05
1459974208970,0.41,1.5204e-05
1459974208980,0.41,1.629e-05
1459974208990,0.41,1.448e-05
1459974209000,0.41,1.267e-05
1459974209010,0.41,1.1945999999999999e-05
1459974209020,0.41,1.0136000000000001e-05
1459974209030,0.41,9.774e-06
1459974209040,0.41,1.0136000000000001e-05
1459974209050,0.41,1.1945999999999999e-05
1459974209060,0.41,1.6652e-05
1459974209070,0.41,2.1358e-05
1459974209080,0.41,2.172e-05
1459974209090,0.41,1.8824e-05
1459974209100,0.41,1.629e-05
1459974209110,0.41,1.4118e-05
1459974209120,0.41,1.1945999999999999e-05
1459974209130,0.41,1.0136000000000001e-05
1459974209140,0.41,1.086e-05
1459974209150,0.41,1.1945999999999999e-05
1459974209160,0.41,1.7375999999999998e-05
1459974209170,0.41,2.2444e-05
1459974209180,0.41,1.9186e-05
1459974209190,0.41,1.8824e-05
1459974209200,0.41,1.7375999999999998e-05
1459974209210,0.41,1.3755999999999998e-05
1459974209220,0.41,1.267e-05
1459974209230,0.41,1.086e-05
1459974209240,0.41,1.1584000000000001e-05
1459974209250,0.41,9.412e-06
1459974209260,0.41,1.2308e-05
1459974209270,0.41,1.3032e-05
1459974209280,0.41,1.3032e-05
1459974209290,0.41,1.1584000000000001e-05
1459974209300,0.41,1.2308e-05
1459974209310,0.41,9.412e-06
1459974209320,0.41,9.774e-06
1459974209330,0.41,1.0136000000000001e-05
1459974209340,0.41,1.0498e-05
1459974209350,0.41,1.267e-05
1459974209360,0.41,1.448e-05
1459974209370,0.41,8.687999999999999e-06
1459974209380,0.41,1.267e-05
1459974209390,0.41,1.086e-05
1459974209400,0.41,1.267e-05
1459974209410,0.41,1.0498e-05
1459974209420,0.41,9.774e-06
1459974209430,0.41,8.687999999999999e-06
1459974209440,0.41,7.602e-06
1459974209450,0.41,1.0136000000000001e-05
1459974209460,0.41,9.05e-06
1459974209470,0.41,1.0498e-05
1459974209480,0.41,8.326e-06
1459974209490,0.41,7.24e-06
1459974209500,0.41,8.326e-06
1459974209510,0.41,9.05e-06
1459974209520,0.41,1.3755999999999998e-05
1459974209530,0.41,1.1222e-05
1459974209540,0.41,1.3032e-05
1459974209550,0.41,9.774e-06
1459974209560,0.41,8.326e-06
1459974209570,0.41,8.687999999999999e-06
1459974209580,0.41,7.24e-06
1459974209590,0.41,6.877999999999999e-06
1459974209600,0.41,7.24e-06
1459974209610,0.41,8.326e-06
1459974209620,0.41,9.774e-06
1459974209630,0.41,9.05e-06
1459974209640,0.41,1.1222e-05
1459974209650,0.41,1.0136000000000001e-05
1459974209660,0.41,9.412e-06
1459974209670,0.41,1.0498e-05
1459974209680,0.41,9.05e-06
1459974209690,0.41,8.326e-06
1459974209700,0.41,1.0498e-05
1459974209710,0.41,8.326e-06
1459974209720,0.41,9.05e-06
1459974209730,0.41,7.964e-06
1459974209740,0.41,8.326e-06
1459974209750,0.41,7.602e-06
1459974209760,0.41,8.687999999999999e-06
1459974209770,0.41,1.0136000000000001e-05
1459974209780,0.41,1.991e-05
1459974209790,0.41,1.9548e-05
1459974209800,0.41,1.8824e-05
1459974209810,0.41,1.3032e-05
1459974209820,0.41,1.4118e-05
1459974209830,0.41,1.2308e-05
1459974209840,0.41,8.687999999999999e-06
1459974209850,0.41,8.326e-06
1459974209860,0.41,1.0498e-05
1459974209870,0.41,1.5928e-05
1459974209880,0.41,2.0996e-05
1459974209890,0.41,1.991e-05
1459974209900,0.41,1.4842000000000001e-05
1459974209910,0.41,1.3394000000000001e-05
1459974209920,0.41,1.5566e-05
1459974209930,0.41,9.774e-06
1459974209940,0.41,9.774e-06
1459974209950,0.41,1.2308e-05
1459974209960,0.41,2.4978e-05
1459974209970,0.41,3.9458e-05
1459974209980,0.41,3.077e-05
1459974209990,0.41,1.8824e-05
1459974210000,0.41,2.2444e-05
1459974210010,0.41,1.7375999999999998e-05
1459974210020,0.41,1.5566e-05
1459974210030,0.41,1.3032e-05
1459974210040,0.41,1.1222e-05
1459974210050,0.41,9.412e-06
1459974210060,0.41,2.2082e-05
1459974210070,0.41,1.9548e-05
1459974210080,0.41,1.6652e-05
1459974210090,0.41,1.3032e-05
1459974210100,0.41,1.5204e-05
1459974210110,0.41,9.774e-06
1459974210120,0.41,8.687999999999999e-06
1459974210130,0.41,9.412e-06
1459974210140,0.41,1.629e-05
1459974210150,0.41,2.7511999999999997e-05
1459974210160,0.41,2.4254000000000002e-05
1459974210170,0.41,1.8100000000000003e-05
1459974210180,0.41,1.7375999999999998e-05
1459974210190,0.41,1.0498e-05
1459974210200,0.41,1.0498e-05
1459974210210,0.41,8.687999999999999e-06
1459974210220,0.41,1.0498e-05
1459974210230,0.41,9.774e-06
1459974210240,0.41,1.4118e-05
1459974210250,0.41,9.774e-06
1459974210260,0.41,1.4842000000000001e-05
1459974210270,0.41,1.0498e-05
1459974210280,0.41,1.1222e-05
1459974210290,0.41,7.964e-06
1459974210300,0.41,1.1222e-05
1459974210310,0.41,9.412e-06
1459974210320,0.41,1.1584000000000001e-05
1459974210330,0.41,1.0498e-05
1459974210340,0.41,9.774e-06
1459974210350,0.41,9.774e-06
1459974210360,0.41,7.24e-06
1459974210370,0.41,7.964e-06
1459974210380,0.41,8.326e-06
1459974210390,0.41,1.0498e-05
1459974210400,0.41,1.1584000000000001e-05
1459974210410,0.41,1.0498e-05
1459974210420,0.41,1.1222e-05
1459974210430,0.41,9.412e-06
1459974210440,0.41,8.687999999999999e-06
1459974210450,0.41,7.602e-06
1459974210460,0.41,7.964e-06
1459974210470,0.41,6.154e-06
1459974210480,0.41,1.448e-05
1459974210490,0.41,1.3032e-05
1459974210500,0.41,1.3755999999999998e-05
1459974210510,0.41,1.0498e-05
1459974210520,0.41,1.1222e-05
1459974210530,0.41,7.964e-06
1459974210540,0.41,9.412e-06
1459974210550,0.41,6.154e-06
1459974210560,0.41,8.326e-06
1459974210570,0.41,1.0136000000000001e-05
1459974210580,0.41,1.5928e-05
1459974210590,0.41,1.8462e-05
1459974210600,0.41,1.3755999999999998e-05
1459974210610,0.41,1.1945999999999999e-05
1459974210620,0.41,1.1222e-05
1459974210630,0.41,6.516e-06
1459974210640,0.41,6.154e-06
1459974210650,0.41,6.516e-06
1459974210660,0.41,1.1222e-05
1459974210670,0.41,1.1945999999999999e-05
1459974210680,0.41,1.5566e-05
1459974210690,0.41,1.086e-05
1459974210700,0.41,1.1945999999999999e-05
1459974210710,0.41,8.326e-06
1459974210720,0.41,8.326e-06
1459974210730,0.41,6.516e-06
1459974210740,0.41,7.24e-06
1459974210750,0.41,6.154e-06
1459974210760,0.41,1.2308e-05
1459974210770,0.41,1.0136000000000001e-05
1459974210780,0.41,1.1222e-05
1459974210790,0.41,8.326e-06
1459974210800,0.41,8.687999999999999e-06
1459974210810,0.41,6.516e-06
1459974210820,0.41,8.326e-06
1459974210830,0.41,7.602e-06
1459974210840,0.41,6.877999999999999e-06
1459974210850,0.41,8.326e-06
1459974210860,0.41,9.774e-06
1459974210870,0.41,8.326e-06
1459974210880,0.41,7.964e-06
1459974210890,0.41,6.154e-06
1459974210900,0.41,7.602e-06
1459974210910,0.41,6.154e-06
1459974210920,0.41,7.24e-06
1459974210930,0.41,6.154e-06
1459974210940,0.41,6.877999999999999e-06
1459974210950,0.41,4.706e-06
1459974210960,0.41,7.964e-06
1459974210970,0.41,6.877999999999999e-06
1459974210980,0.41,5.792000000000001e-06
1459974210990,0.41,5.792000000000001e-06
1459974211000,0.41,6.154e-06
1459974211010,0.41,6.154e-06
1459974211020,0.41,8.326e-06
1459974211030,0.41,6.154e-06
1459974211040,0.41,5.43e-06
1459974211050,0.41,5.792000000000001e-06
1459974211060,0.41,5.43e-06
1459974211070,0.41,5.43e-06
1459974211080,0.41,6.154e-06
1459974211090,0.41,8.326e-06
1459974211100,0.41,8.687999999999999e-06
1459974211110,0.41,6.154e-06
1459974211120,0.41,6.877999999999999e-06
1459974211130,0.41,6.877999999999999e-06
1459974211140,0.41,5.792000000000001e-06
1459974211150,0.41,4.706e-06
1459974211160,0.41,7.24e-06
1459974211170,0.41,8.326e-06
1459974211180,0.41,1.086e-05
1459974211190,0.41,6.516e-06
1459974211200,0.41,8.326e-06
1459974211210,0.41,6.154e-06
1459974211220,0.41,8.687999999999999e-06
1459974211230,0.41,5.0680000000000004e-06
1459974211240,0.41,5.0680000000000004e-06
1459974211250,0.41,5.43e-06
1459974211260,0.41,9.05e-06
1459974211270,0.41,1.1945999999999999e-05
1459974211280,0.41,1.1945999999999999e-05
1459974211290,0.41,9.774e-06
1459974211300,0.41,8.326e-06
1459974211310,0.41,7.24e-06
1459974211320,0.41,6.154e-06
