Timestamp,position,BLMTI.04L5.B1I10_TCTPV.4L5.B1
1459974514820,1.085,0.0
1459974514830,1.085,3.6200000000000004e-07
1459974514840,1.085,7.240000000000001e-07
1459974514850,1.085,1.0859999999999999e-06
1459974514860,1.085,0.0
1459974514870,1.085,3.6200000000000004e-07
1459974514880,1.085,0.0
1459974514890,1.085,7.240000000000001e-07
1459974514900,1.085,3.6200000000000004e-07
1459974514910,1.085,7.240000000000001e-07
1459974514920,1.085,0.0
1459974514930,1.085,1.0859999999999999e-06
1459974514940,1.085,0.0
1459974514950,1.085,7.240000000000001e-07
1459974514960,1.085,3.6200000000000004e-07
1459974514970,1.085,7.240000000000001e-07
1459974514980,1.085,0.0
1459974514990,1.085,3.6200000000000004e-07
1459974515000,1.085,7.240000000000001e-07
1459974515010,1.085,1.0859999999999999e-06
1459974515020,1.085,7.240000000000001e-07
1459974515030,1.085,0.0
1459974515040,1.085,3.6200000000000004e-07
1459974515050,1.085,3.6200000000000004e-07
1459974515060,1.085,0.0
1459974515070,1.085,0.0
1459974515080,1.085,3.6200000000000004e-07
1459974515090,1.085,7.240000000000001e-07
1459974515100,1.085,0.0
1459974515110,1.085,7.240000000000001e-07
1459974515120,1.085,3.6200000000000004e-07
1459974515130,1.085,7.240000000000001e-07
1459974515140,1.085,0.0
1459974515150,1.085,0.0
1459974515160,1.085,3.6200000000000004e-07
1459974515170,1.085,3.6200000000000004e-07
1459974515180,1.085,3.6200000000000004e-07
1459974515190,1.085,1.81e-06
1459974515200,1.085,3.6200000000000004e-07
1459974515210,1.085,7.240000000000001e-07
1459974515220,1.085,3.6200000000000004e-07
1459974515230,1.085,3.6200000000000004e-07
1459974515240,1.085,3.6200000000000004e-07
1459974515250,1.085,3.6200000000000004e-07
1459974515260,1.085,0.0
1459974515270,1.085,3.6200000000000004e-07
1459974515280,1.085,3.6200000000000004e-07
1459974515290,1.085,3.6200000000000004e-07
1459974515300,1.085,0.0
1459974515310,1.085,7.240000000000001e-07
1459974515320,1.085,0.0
1459974515330,1.085,3.6200000000000004e-07
1459974515340,1.085,3.6200000000000004e-07
1459974515350,1.085,3.6200000000000004e-07
1459974515360,1.085,0.0
1459974515370,1.085,1.0859999999999999e-06
1459974515380,1.085,3.6200000000000004e-07
1459974515390,1.085,7.240000000000001e-07
1459974515400,1.085,0.0
1459974515410,1.085,3.6200000000000004e-07
1459974515420,1.085,3.6200000000000004e-07
1459974515430,1.085,3.6200000000000004e-07
1459974515440,1.085,0.0
1459974515450,1.085,7.240000000000001e-07
1459974515460,1.085,3.6200000000000004e-07
1459974515470,1.085,0.0
1459974515480,1.085,0.0
1459974515490,1.085,1.0859999999999999e-06
1459974515500,1.085,0.0
1459974515510,1.085,0.0
1459974515520,1.085,3.6200000000000004e-07
1459974515530,1.085,3.6200000000000004e-07
1459974515540,1.085,3.6200000000000004e-07
1459974515550,1.085,1.0859999999999999e-06
1459974515560,1.085,0.0
1459974515570,1.085,3.6200000000000004e-07
1459974515580,1.085,3.6200000000000004e-07
1459974515590,1.085,0.0
1459974515600,1.085,3.6200000000000004e-07
1459974515610,1.085,7.240000000000001e-07
1459974515620,1.085,3.6200000000000004e-07
1459974515630,1.085,0.0
1459974515640,1.085,0.0
1459974515650,1.085,3.6200000000000004e-07
1459974515660,1.085,0.0
1459974515670,1.085,7.240000000000001e-07
1459974515680,1.085,7.240000000000001e-07
1459974515690,1.085,3.6200000000000004e-07
1459974515700,1.085,3.6200000000000004e-07
1459974515710,1.085,3.6200000000000004e-07
1459974515720,1.085,7.240000000000001e-07
1459974515730,1.085,3.6200000000000004e-07
1459974515740,1.085,0.0
1459974515750,1.085,7.240000000000001e-07
1459974515760,1.085,0.0
1459974515770,1.085,3.6200000000000004e-07
1459974515780,1.085,0.0
1459974515790,1.085,3.6200000000000004e-07
1459974515800,1.085,7.240000000000001e-07
1459974515810,1.085,7.240000000000001e-07
1459974515820,1.085,0.0
1459974515830,1.085,0.0
1459974515840,1.085,0.0
1459974515850,1.085,1.0859999999999999e-06
1459974515860,1.085,3.6200000000000004e-07
1459974515870,1.085,3.6200000000000004e-07
1459974515880,1.085,7.240000000000001e-07
1459974515890,1.085,7.240000000000001e-07
1459974515900,1.085,3.6200000000000004e-07
1459974515910,1.085,7.240000000000001e-07
1459974515920,1.085,3.6200000000000004e-07
1459974515930,1.085,0.0
1459974515940,1.085,7.240000000000001e-07
1459974515950,1.085,7.240000000000001e-07
1459974515960,1.085,0.0
1459974515970,1.085,7.240000000000001e-07
1459974515980,1.085,0.0
1459974515990,1.085,7.240000000000001e-07
1459974516000,1.085,3.6200000000000004e-07
1459974516010,1.085,3.6200000000000004e-07
1459974516020,1.085,3.6200000000000004e-07
1459974516030,1.085,0.0
1459974516040,1.085,1.0859999999999999e-06
1459974516050,1.085,3.6200000000000004e-07
1459974516060,1.085,0.0
1459974516070,1.085,3.6200000000000004e-07
1459974516080,1.085,3.6200000000000004e-07
1459974516090,1.085,7.240000000000001e-07
1459974516100,1.085,0.0
1459974516110,1.085,0.0
1459974516120,1.085,7.240000000000001e-07
1459974516130,1.085,3.6200000000000004e-07
1459974516140,1.085,3.6200000000000004e-07
1459974516150,1.085,3.6200000000000004e-07
1459974516160,1.085,3.6200000000000004e-07
1459974516170,1.085,3.6200000000000004e-07
1459974516180,1.085,7.240000000000001e-07
1459974516190,1.085,3.6200000000000004e-07
1459974516200,1.085,0.0
1459974516210,1.085,3.6200000000000004e-07
1459974516220,1.085,0.0
1459974516230,1.085,3.6200000000000004e-07
1459974516240,1.085,7.240000000000001e-07
1459974516250,1.085,3.6200000000000004e-07
1459974516260,1.085,3.6200000000000004e-07
1459974516270,1.085,0.0
1459974516280,1.085,0.0
1459974516290,1.085,7.240000000000001e-07
1459974516300,1.085,3.6200000000000004e-07
1459974516310,1.085,3.6200000000000004e-07
1459974516320,1.085,0.0
1459974516330,1.085,7.240000000000001e-07
1459974516340,1.085,3.6200000000000004e-07
1459974516350,1.085,3.6200000000000004e-07
1459974516360,1.085,0.0
1459974516370,1.085,1.0859999999999999e-06
1459974516380,1.085,0.0
1459974516390,1.085,7.240000000000001e-07
1459974516400,1.085,3.6200000000000004e-07
1459974516410,1.085,1.0859999999999999e-06
1459974516420,1.085,0.0
1459974516430,1.085,7.240000000000001e-07
1459974516440,1.085,7.240000000000001e-07
1459974516450,1.085,0.0
1459974516460,1.085,7.240000000000001e-07
1459974516470,1.085,0.0
1459974516480,1.085,3.6200000000000004e-07
1459974516490,1.085,3.6200000000000004e-07
1459974516500,1.085,3.6200000000000004e-07
1459974516510,1.085,3.6200000000000004e-07
1459974516520,1.085,7.240000000000001e-07
1459974516530,1.085,0.0
1459974516540,1.085,3.6200000000000004e-07
1459974516550,1.085,7.240000000000001e-07
1459974516560,1.085,3.6200000000000004e-07
1459974516570,1.085,7.240000000000001e-07
1459974516580,1.085,3.6200000000000004e-07
1459974516590,1.085,3.6200000000000004e-07
1459974516600,1.085,7.240000000000001e-07
1459974516610,1.085,3.6200000000000004e-07
1459974516620,1.085,7.240000000000001e-07
1459974516630,1.085,7.240000000000001e-07
1459974516640,1.085,3.6200000000000004e-07
1459974516650,1.085,0.0
1459974516660,1.085,3.6200000000000004e-07
1459974516670,1.085,0.0
1459974516680,1.085,3.6200000000000004e-07
1459974516690,1.085,7.240000000000001e-07
1459974516700,1.085,3.6200000000000004e-07
1459974516710,1.085,0.0
1459974516720,1.085,3.6200000000000004e-07
1459974516730,1.085,7.240000000000001e-07
1459974516740,1.085,0.0
1459974516750,1.085,3.6200000000000004e-07
1459974516760,1.085,3.6200000000000004e-07
1459974516770,1.085,7.240000000000001e-07
1459974516780,1.085,3.6200000000000004e-07
1459974516790,1.085,0.0
1459974516800,1.085,0.0
1459974516810,1.085,7.240000000000001e-07
1459974516820,1.085,3.6200000000000004e-07
1459974516830,1.085,3.6200000000000004e-07
1459974516840,1.085,0.0
1459974516850,1.085,3.6200000000000004e-07
1459974516860,1.085,3.6200000000000004e-07
1459974516870,1.085,0.0
1459974516880,1.085,7.240000000000001e-07
1459974516890,1.085,3.6200000000000004e-07
1459974516900,1.085,0.0
1459974516910,1.085,7.240000000000001e-07
1459974516920,1.085,3.6200000000000004e-07
1459974516930,1.085,7.240000000000001e-07
1459974516940,1.085,7.240000000000001e-07
1459974516950,1.085,3.6200000000000004e-07
1459974516960,1.085,0.0
1459974516970,1.085,3.6200000000000004e-07
1459974516980,1.085,3.6200000000000004e-07
1459974516990,1.085,0.0
1459974517000,1.085,0.0
1459974517010,1.085,7.240000000000001e-07
1459974517020,1.085,7.240000000000001e-07
1459974517030,1.085,1.0859999999999999e-06
1459974517040,1.085,1.0859999999999999e-06
1459974517050,1.085,0.0
1459974517060,1.085,3.6200000000000004e-07
1459974517070,1.085,3.6200000000000004e-07
1459974517080,1.085,0.0
1459974517090,1.085,3.6200000000000004e-07
1459974517100,1.085,3.6200000000000004e-07
1459974517110,1.085,1.0859999999999999e-06
1459974517120,1.085,0.0
1459974517130,1.085,7.240000000000001e-07
1459974517140,1.085,7.240000000000001e-07
1459974517150,1.085,7.240000000000001e-07
1459974517160,1.085,0.0
1459974517170,1.085,1.0859999999999999e-06
1459974517180,1.085,0.0
1459974517190,1.085,7.240000000000001e-07
1459974517200,1.085,7.240000000000001e-07
1459974517210,1.085,3.6200000000000004e-07
1459974517220,1.085,3.6200000000000004e-07
1459974517230,1.085,3.6200000000000004e-07
1459974517240,1.085,0.0
1459974517250,1.085,0.0
1459974517260,1.085,0.0
1459974517270,1.085,7.240000000000001e-07
1459974517280,1.085,0.0
1459974517290,1.085,1.0859999999999999e-06
1459974517300,1.085,3.6200000000000004e-07
1459974517310,1.085,7.240000000000001e-07
1459974517320,1.085,0.0
1459974517330,1.085,3.6200000000000004e-07
1459974517340,1.085,3.6200000000000004e-07
1459974517350,1.085,1.0859999999999999e-06
1459974517360,1.085,0.0
1459974517370,1.085,3.6200000000000004e-07
1459974517380,1.085,0.0
