Timestamp,position,BLMTI.05R7.B1E10_TCSG.D5R7.B1
1459975896250,1.17,5.792000000000001e-06
1459975896260,1.17,3.258e-06
1459975896270,1.17,9.412e-06
1459975896280,1.17,1.81e-06
1459975896290,1.17,7.964e-06
1459975896300,1.17,0.0
1459975896310,1.17,6.154e-06
1459975896320,1.17,0.0
1459975896330,1.17,6.877999999999999e-06
1459975896340,1.17,0.0
1459975896350,1.17,5.43e-06
1459975896360,1.17,1.81e-06
1459975896370,1.17,9.05e-06
1459975896380,1.17,1.4480000000000002e-06
1459975896390,1.17,8.687999999999999e-06
1459975896400,1.17,0.0
1459975896410,1.17,6.154e-06
1459975896420,1.17,0.0
1459975896430,1.17,5.0680000000000004e-06
1459975896440,1.17,2.1719999999999997e-06
1459975896450,1.17,9.05e-06
1459975896460,1.17,0.0
1459975896470,1.17,5.0680000000000004e-06
1459975896480,1.17,0.0
1459975896490,1.17,6.154e-06
1459975896500,1.17,1.0859999999999999e-06
1459975896510,1.17,6.516e-06
1459975896520,1.17,1.0859999999999999e-06
1459975896530,1.17,8.687999999999999e-06
1459975896540,1.17,7.240000000000001e-07
1459975896550,1.17,7.964e-06
1459975896560,1.17,3.6200000000000004e-07
1459975896570,1.17,9.412e-06
1459975896580,1.17,0.0
1459975896590,1.17,5.43e-06
1459975896600,1.17,0.0
1459975896610,1.17,3.62e-06
1459975896620,1.17,7.240000000000001e-07
1459975896630,1.17,7.964e-06
1459975896640,1.17,0.0
1459975896650,1.17,6.516e-06
1459975896660,1.17,0.0
1459975896670,1.17,6.154e-06
1459975896680,1.17,0.0
1459975896690,1.17,3.258e-06
1459975896700,1.17,0.0
1459975896710,1.17,6.516e-06
1459975896720,1.17,2.1719999999999997e-06
1459975896730,1.17,9.774e-06
1459975896740,1.17,0.0
1459975896750,1.17,7.24e-06
1459975896760,1.17,0.0
1459975896770,1.17,4.706e-06
1459975896780,1.17,0.0
1459975896790,1.17,5.0680000000000004e-06
1459975896800,1.17,7.240000000000001e-07
1459975896810,1.17,6.516e-06
1459975896820,1.17,0.0
1459975896830,1.17,6.877999999999999e-06
1459975896840,1.17,0.0
1459975896850,1.17,5.0680000000000004e-06
1459975896860,1.17,0.0
1459975896870,1.17,6.154e-06
1459975896880,1.17,0.0
1459975896890,1.17,4.706e-06
1459975896900,1.17,0.0
1459975896910,1.17,6.877999999999999e-06
1459975896920,1.17,7.240000000000001e-07
1459975896930,1.17,5.792000000000001e-06
1459975896940,1.17,0.0
1459975896950,1.13,2.5340000000000002e-06
1459975896960,1.13,7.240000000000001e-07
1459975896970,1.13,7.24e-06
1459975896980,1.13,0.0
1459975896990,1.13,4.706e-06
1459975897000,1.13,4.706e-06
1459975897010,1.13,6.516e-06
1459975897020,1.13,2.1719999999999997e-06
1459975897030,1.13,5.43e-06
1459975897040,1.13,3.6200000000000004e-07
1459975897050,1.13,6.154e-06
1459975897060,1.13,1.0859999999999999e-06
1459975897070,1.13,6.516e-06
1459975897080,1.13,1.0859999999999999e-06
1459975897090,1.13,6.516e-06
1459975897100,1.13,0.0
1459975897110,1.13,5.792000000000001e-06
1459975897120,1.13,0.0
1459975897130,1.13,5.0680000000000004e-06
1459975897140,1.13,0.0
1459975897150,1.13,5.0680000000000004e-06
1459975897160,1.13,1.4480000000000002e-06
1459975897170,1.13,7.24e-06
1459975897180,1.13,7.240000000000001e-07
1459975897190,1.13,3.982e-06
1459975897200,1.13,0.0
1459975897210,1.13,6.877999999999999e-06
1459975897220,1.13,0.0
1459975897230,1.13,5.0680000000000004e-06
1459975897240,1.13,0.0
1459975897250,1.13,5.0680000000000004e-06
1459975897260,1.13,1.81e-06
1459975897270,1.13,5.0680000000000004e-06
1459975897280,1.13,3.6200000000000004e-07
1459975897290,1.13,5.792000000000001e-06
1459975897300,1.13,0.0
1459975897310,1.13,3.62e-06
1459975897320,1.13,0.0
1459975897330,1.13,5.792000000000001e-06
1459975897340,1.13,2.5340000000000002e-06
1459975897350,1.13,1.1584000000000001e-05
1459975897360,1.13,0.0
1459975897370,1.13,4.706e-06
1459975897380,1.13,1.4480000000000002e-06
1459975897390,1.13,4.706e-06
1459975897400,1.13,1.4480000000000002e-06
1459975897410,1.13,5.43e-06
1459975897420,1.13,8.687999999999999e-06
1459975897430,1.13,1.7375999999999998e-05
1459975897440,1.13,3.5838000000000005e-05
1459975897450,1.13,2.9684000000000002e-05
1459975897460,1.13,2.3168000000000002e-05
1459975897470,1.13,1.5566e-05
1459975897480,1.13,1.267e-05
1459975897490,1.13,1.267e-05
1459975897500,1.13,1.6652e-05
1459975897510,1.13,1.8100000000000003e-05
1459975897520,1.13,3.1856e-05
1459975897530,1.13,3.6200000000000006e-05
