Timestamp,position,BLMTI.06L7.B1E10_TCP.B6L7.B1
1459976313700,0.95,3.8372e-05
1459976313710,0.95,3.5476e-05
1459976313720,0.95,3.3304e-05
1459976313730,0.95,2.9684000000000002e-05
1459976313740,0.95,3.5114e-05
1459976313750,0.95,3.4028e-05
1459976313760,0.95,3.5114e-05
1459976313770,0.95,3.4751999999999995e-05
1459976313780,0.95,3.801e-05
1459976313790,0.95,3.8372e-05
1459976313800,0.95,3.8372e-05
1459976313810,0.95,3.4751999999999995e-05
1459976313820,0.95,3.1856e-05
1459976313830,0.95,2.9684000000000002e-05
1459976313840,0.95,4.0544000000000003e-05
1459976313850,0.95,4.163e-05
1459976313860,0.95,3.801e-05
1459976313870,0.95,3.5476e-05
1459976313880,0.95,3.4751999999999995e-05
1459976313890,0.95,3.6200000000000006e-05
1459976313900,0.95,3.3304e-05
1459976313910,0.95,3.1494e-05
1459976313920,0.95,3.1494e-05
1459976313930,0.95,3.8372e-05
1459976313940,0.95,4.2716e-05
1459976313950,0.95,4.3802e-05
1459976313960,0.95,4.163e-05
1459976313970,0.95,3.6924e-05
1459976313980,0.95,3.8372e-05
1459976313990,0.95,3.6924e-05
1459976314000,0.95,3.5838000000000005e-05
1459976314010,0.95,3.5114e-05
1459976314020,0.95,3.2942e-05
1459976314030,0.95,3.077e-05
1459976314040,0.95,3.1494e-05
1459976314050,0.95,2.715e-05
1459976314060,0.95,2.353e-05
1459976314070,0.95,2.896e-05
1459976314080,0.95,3.1494e-05
1459976314090,0.95,3.5476e-05
1459976314100,0.95,3.5114e-05
1459976314110,0.95,3.4028e-05
1459976314120,0.95,3.7648e-05
1459976314130,0.95,4.0544000000000003e-05
1459976314140,0.95,4.0181999999999996e-05
1459976314150,0.95,3.6924e-05
1459976314160,0.95,3.3304e-05
1459976314170,0.95,3.4028e-05
1459976314180,0.95,3.0408e-05
1459976314190,0.95,2.9321999999999998e-05
1459976314200,0.95,3.0046e-05
1459976314210,0.95,2.353e-05
1459976314220,0.95,3.1132e-05
1459976314230,0.95,3.258e-05
1459976314240,0.95,3.3304e-05
1459976314250,0.95,2.9684000000000002e-05
1459976314260,0.95,3.077e-05
1459976314270,0.95,3.3304e-05
1459976314280,0.95,3.5114e-05
1459976314290,0.95,3.2942e-05
1459976314300,0.95,3.0408e-05
1459976314310,0.95,2.7874e-05
1459976314320,0.95,2.9321999999999998e-05
1459976314330,0.95,3.1132e-05
1459976314340,0.95,2.6788000000000002e-05
1459976314350,0.95,2.6788000000000002e-05
1459976314360,0.95,2.6788000000000002e-05
1459976314370,0.95,3.0408e-05
1459976314380,0.95,3.0408e-05
1459976314390,0.95,2.8236e-05
1459976314400,0.95,3.1132e-05
1459976314410,0.95,2.9684000000000002e-05
1459976314420,0.95,3.5114e-05
1459976314430,0.95,3.3666e-05
1459976314440,0.95,3.3666e-05
1459976314450,0.95,2.9321999999999998e-05
1459976314460,0.95,2.7874e-05
