Timestamp,position,BLMTI.06R7.B2I10_TCP.B6R7.B2
1459977482700,0.61,3.62e-06
1459977482710,0.61,1.81e-06
1459977482720,0.61,4.343999999999999e-06
1459977482730,0.61,1.81e-06
1459977482740,0.61,2.8960000000000003e-06
1459977482750,0.61,1.81e-06
1459977482760,0.61,3.982e-06
1459977482770,0.61,1.81e-06
1459977482780,0.61,4.343999999999999e-06
1459977482790,0.61,2.1719999999999997e-06
1459977482800,0.61,2.5340000000000002e-06
1459977482810,0.61,2.1719999999999997e-06
1459977482820,0.61,3.982e-06
1459977482830,0.61,1.4480000000000002e-06
1459977482840,0.61,3.62e-06
1459977482850,0.61,1.81e-06
1459977482860,0.61,3.62e-06
1459977482870,0.61,1.81e-06
1459977482880,0.61,3.258e-06
1459977482890,0.61,1.4480000000000002e-06
1459977482900,0.61,2.8960000000000003e-06
1459977482910,0.61,2.1719999999999997e-06
1459977482920,0.61,3.62e-06
1459977482930,0.61,2.1719999999999997e-06
1459977482940,0.61,3.258e-06
1459977482950,0.61,1.4480000000000002e-06
1459977482960,0.61,3.982e-06
1459977482970,0.61,2.5340000000000002e-06
1459977482980,0.61,3.258e-06
1459977482990,0.61,1.4480000000000002e-06
1459977483000,0.61,2.1719999999999997e-06
1459977483010,0.61,1.81e-06
1459977483020,0.61,4.343999999999999e-06
1459977483030,0.61,1.81e-06
1459977483040,0.61,3.258e-06
1459977483050,0.61,1.81e-06
1459977483060,0.61,4.343999999999999e-06
1459977483070,0.61,2.8960000000000003e-06
1459977483080,0.61,3.62e-06
1459977483090,0.61,1.0859999999999999e-06
1459977483100,0.61,2.5340000000000002e-06
1459977483110,0.61,1.4480000000000002e-06
1459977483120,0.61,3.982e-06
1459977483130,0.61,2.5340000000000002e-06
1459977483140,0.61,2.8960000000000003e-06
1459977483150,0.61,2.1719999999999997e-06
1459977483160,0.61,3.62e-06
1459977483170,0.61,2.1719999999999997e-06
1459977483180,0.61,3.982e-06
1459977483190,0.61,1.4480000000000002e-06
1459977483200,0.61,3.62e-06
1459977483210,0.61,2.8960000000000003e-06
1459977483220,0.61,3.258e-06
1459977483230,0.61,2.5340000000000002e-06
1459977483240,0.61,2.5340000000000002e-06
1459977483250,0.61,1.81e-06
1459977483260,0.61,2.5340000000000002e-06
1459977483270,0.61,1.81e-06
1459977483280,0.61,3.62e-06
1459977483290,0.61,1.0859999999999999e-06
1459977483300,0.61,3.62e-06
1459977483310,0.61,1.4480000000000002e-06
1459977483320,0.61,3.62e-06
1459977483330,0.61,2.5340000000000002e-06
1459977483340,0.61,2.1719999999999997e-06
1459977483350,0.61,1.81e-06
1459977483360,0.61,3.258e-06
1459977483370,0.61,2.1719999999999997e-06
1459977483380,0.61,3.62e-06
1459977483390,0.61,2.1719999999999997e-06
1459977483400,0.61,2.8960000000000003e-06
1459977483410,0.61,1.0859999999999999e-06
1459977483420,0.61,2.8960000000000003e-06
1459977483430,0.61,1.4480000000000002e-06
1459977483440,0.61,3.258e-06
1459977483450,0.61,1.0859999999999999e-06
1459977483460,0.61,3.62e-06
1459977483470,0.61,2.5340000000000002e-06
1459977483480,0.61,5.43e-06
1459977483490,0.61,2.1719999999999997e-06
1459977483500,0.61,3.62e-06
1459977483510,0.61,7.240000000000001e-07
1459977483520,0.61,3.258e-06
1459977483530,0.61,1.4480000000000002e-06
1459977483540,0.61,2.1719999999999997e-06
1459977483550,0.61,3.6200000000000004e-07
1459977483560,0.61,2.8960000000000003e-06
1459977483570,0.61,1.4480000000000002e-06
1459977483580,0.61,2.5340000000000002e-06
1459977483590,0.61,1.81e-06
1459977483600,0.61,2.1719999999999997e-06
1459977483610,0.61,1.4480000000000002e-06
1459977483620,0.61,1.0859999999999999e-06
1459977483630,0.61,1.0859999999999999e-06
1459977483640,0.61,3.258e-06
1459977483650,0.61,2.5340000000000002e-06
1459977483660,0.61,4.343999999999999e-06
1459977483670,0.61,1.4480000000000002e-06
1459977483680,0.61,3.982e-06
1459977483690,0.61,1.81e-06
1459977483700,0.61,2.8960000000000003e-06
1459977483710,0.61,1.4480000000000002e-06
1459977483720,0.61,2.8960000000000003e-06
1459977483730,0.61,1.81e-06
1459977483740,0.61,3.258e-06
1459977483750,0.61,2.1719999999999997e-06
1459977483760,0.61,2.1719999999999997e-06
1459977483770,0.61,1.81e-06
1459977483780,0.61,2.5340000000000002e-06
1459977483790,0.61,1.81e-06
1459977483800,0.61,3.258e-06
1459977483810,0.61,1.81e-06
1459977483820,0.61,2.1719999999999997e-06
1459977483830,0.61,2.5340000000000002e-06
1459977483840,0.61,4.706e-06
1459977483850,0.61,1.0859999999999999e-06
1459977483860,0.61,3.258e-06
1459977483870,0.61,1.4480000000000002e-06
1459977483880,0.61,3.62e-06
1459977483890,0.61,1.4480000000000002e-06
1459977483900,0.61,3.62e-06
1459977483910,0.61,7.240000000000001e-07
1459977483920,0.61,3.258e-06
1459977483930,0.61,1.81e-06
1459977483940,0.61,3.982e-06
1459977483950,0.61,2.5340000000000002e-06
1459977483960,0.61,2.8960000000000003e-06
1459977483970,0.61,1.4480000000000002e-06
1459977483980,0.61,3.62e-06
1459977483990,0.61,2.5340000000000002e-06
1459977484000,0.61,3.258e-06
1459977484010,0.61,2.5340000000000002e-06
1459977484020,0.61,2.8960000000000003e-06
1459977484030,0.61,2.1719999999999997e-06
1459977484040,0.61,5.0680000000000004e-06
1459977484050,0.61,1.81e-06
1459977484060,0.61,2.5340000000000002e-06
1459977484070,0.61,1.81e-06
1459977484080,0.61,3.258e-06
1459977484090,0.61,2.8960000000000003e-06
1459977484100,0.61,4.343999999999999e-06
1459977484110,0.61,1.81e-06
1459977484120,0.61,4.343999999999999e-06
1459977484130,0.61,2.8960000000000003e-06
1459977484140,0.61,2.5340000000000002e-06
1459977484150,0.61,2.1719999999999997e-06
1459977484160,0.61,2.8960000000000003e-06
1459977484170,0.61,1.4480000000000002e-06
1459977484180,0.61,2.5340000000000002e-06
1459977484190,0.61,1.81e-06
1459977484200,0.61,3.982e-06
1459977484210,0.61,1.0859999999999999e-06
1459977484220,0.61,3.258e-06
1459977484230,0.61,1.81e-06
