Timestamp,position,BLMTI.04R6.B1E11_TCSP.A4R6.B1
1459972630720,-2.91,7.240000000000001e-07
1459972630730,-2.91,7.240000000000001e-07
1459972630740,-2.91,3.6200000000000004e-07
1459972630750,-2.91,7.240000000000001e-07
1459972630760,-2.91,3.6200000000000004e-07
1459972630770,-2.91,7.240000000000001e-07
1459972630780,-2.91,0.0
1459972630790,-2.91,3.6200000000000004e-07
1459972630800,-2.91,3.6200000000000004e-07
1459972630810,-2.91,3.6200000000000004e-07
1459972630820,-2.91,7.240000000000001e-07
1459972630830,-2.91,3.6200000000000004e-07
1459972630840,-2.91,3.6200000000000004e-07
1459972630850,-2.91,3.6200000000000004e-07
1459972630860,-2.91,3.6200000000000004e-07
1459972630870,-2.91,0.0
1459972630880,-2.91,3.6200000000000004e-07
1459972630890,-2.91,3.6200000000000004e-07
1459972630900,-2.91,7.240000000000001e-07
1459972630910,-2.91,3.6200000000000004e-07
1459972630920,-2.91,3.6200000000000004e-07
1459972630930,-2.91,3.6200000000000004e-07
1459972630940,-2.91,3.6200000000000004e-07
1459972630950,-2.91,3.6200000000000004e-07
1459972630960,-2.91,0.0
1459972630970,-2.91,0.0
1459972630980,-2.91,3.6200000000000004e-07
1459972630990,-2.91,0.0
1459972631000,-2.91,3.6200000000000004e-07
1459972631010,-2.91,1.0859999999999999e-06
1459972631020,-2.91,7.240000000000001e-07
1459972631030,-2.91,0.0
1459972631040,-2.91,3.6200000000000004e-07
1459972631050,-2.91,7.240000000000001e-07
1459972631060,-2.91,7.240000000000001e-07
1459972631070,-2.91,7.240000000000001e-07
1459972631080,-2.91,0.0
1459972631090,-2.91,7.240000000000001e-07
1459972631100,-2.91,0.0
1459972631110,-2.91,7.240000000000001e-07
1459972631120,-2.91,7.240000000000001e-07
1459972631130,-2.91,3.6200000000000004e-07
1459972631140,-2.91,3.6200000000000004e-07
1459972631150,-2.91,3.6200000000000004e-07
1459972631160,-2.91,7.240000000000001e-07
1459972631170,-2.91,3.6200000000000004e-07
1459972631180,-2.91,3.6200000000000004e-07
1459972631190,-2.91,7.240000000000001e-07
1459972631200,-2.91,3.6200000000000004e-07
1459972631210,-2.91,3.6200000000000004e-07
1459972631220,-2.91,7.240000000000001e-07
1459972631230,-2.91,7.240000000000001e-07
1459972631240,-2.91,3.6200000000000004e-07
1459972631250,-2.91,7.240000000000001e-07
1459972631260,-2.91,0.0
1459972631270,-2.91,3.6200000000000004e-07
1459972631280,-2.91,7.240000000000001e-07
1459972631290,-2.91,7.240000000000001e-07
1459972631300,-2.91,0.0
1459972631310,-2.91,3.6200000000000004e-07
1459972631320,-2.91,7.240000000000001e-07
1459972631330,-2.91,3.6200000000000004e-07
1459972631340,-2.91,3.6200000000000004e-07
1459972631350,-2.91,0.0
1459972631360,-2.91,3.6200000000000004e-07
1459972631370,-2.91,3.6200000000000004e-07
1459972631380,-2.91,3.6200000000000004e-07
1459972631390,-2.91,7.240000000000001e-07
1459972631400,-2.91,0.0
1459972631410,-2.91,3.6200000000000004e-07
1459972631420,-2.91,3.6200000000000004e-07
1459972631430,-2.91,3.6200000000000004e-07
1459972631440,-2.91,1.0859999999999999e-06
1459972631450,-2.91,7.240000000000001e-07
1459972631460,-2.91,3.6200000000000004e-07
1459972631470,-2.91,3.6200000000000004e-07
1459972631480,-2.91,3.6200000000000004e-07
1459972631490,-2.91,0.0
1459972631500,-2.91,7.240000000000001e-07
1459972631510,-2.91,7.240000000000001e-07
1459972631520,-2.91,7.240000000000001e-07
1459972631530,-2.91,0.0
1459972631540,-2.91,1.0859999999999999e-06
1459972631550,-2.91,0.0
1459972631560,-2.91,3.6200000000000004e-07
1459972631570,-2.91,1.4480000000000002e-06
1459972631580,-2.91,7.240000000000001e-07
1459972631590,-2.91,7.240000000000001e-07
1459972631600,-2.91,3.6200000000000004e-07
1459972631610,-2.91,3.6200000000000004e-07
1459972631620,-2.91,3.6200000000000004e-07
1459972631630,-2.91,3.6200000000000004e-07
1459972631640,-2.91,3.6200000000000004e-07
1459972631650,-2.91,3.6200000000000004e-07
1459972631660,-2.91,1.0859999999999999e-06
1459972631670,-2.91,7.240000000000001e-07
1459972631680,-2.91,3.6200000000000004e-07
1459972631690,-2.91,3.6200000000000004e-07
1459972631700,-2.91,3.6200000000000004e-07
1459972631710,-2.91,3.6200000000000004e-07
1459972631720,-2.885,1.0859999999999999e-06
