Timestamp,position,BLMTI.04R1.B2I10_TCTPH.4R1.B2
1459972889950,-1.955,0.0
1459972889960,-1.955,0.0
1459972889970,-1.955,3.6200000000000004e-07
1459972889980,-1.955,7.240000000000001e-07
1459972889990,-1.955,1.81e-06
1459972890000,-1.955,1.4480000000000002e-06
1459972890010,-1.955,1.4480000000000002e-06
1459972890020,-1.955,3.6200000000000004e-07
1459972890030,-1.955,1.4480000000000002e-06
1459972890040,-1.955,0.0
1459972890050,-1.955,0.0
1459972890060,-1.955,3.6200000000000004e-07
1459972890070,-1.955,7.240000000000001e-07
1459972890080,-1.955,3.6200000000000004e-07
1459972890090,-1.955,0.0
1459972890100,-1.955,3.258e-06
1459972890110,-1.955,1.0859999999999999e-06
1459972890120,-1.955,3.62e-06
1459972890130,-1.955,1.0859999999999999e-06
1459972890140,-1.955,1.0859999999999999e-06
1459972890150,-1.955,1.0859999999999999e-06
1459972890160,-1.955,0.0
1459972890170,-1.955,3.6200000000000004e-07
1459972890180,-1.955,0.0
1459972890190,-1.955,0.0
1459972890200,-1.955,0.0
1459972890210,-1.955,1.4480000000000002e-06
1459972890220,-1.955,7.240000000000001e-07
1459972890230,-1.955,2.1719999999999997e-06
1459972890240,-1.955,0.0
1459972890250,-1.955,0.0
1459972890260,-1.955,0.0
1459972890270,-1.955,0.0
1459972890280,-1.955,2.5340000000000002e-06
1459972890290,-1.955,0.0
1459972890300,-1.955,0.0
1459972890310,-1.955,3.6200000000000004e-07
1459972890320,-1.955,0.0
1459972890330,-1.955,3.6200000000000004e-07
1459972890340,-1.955,1.4480000000000002e-06
1459972890350,-1.955,1.0859999999999999e-06
1459972890360,-1.955,0.0
1459972890370,-1.955,3.6200000000000004e-07
1459972890380,-1.955,1.4480000000000002e-06
1459972890390,-1.955,0.0
1459972890400,-1.955,0.0
1459972890410,-1.955,0.0
1459972890420,-1.955,0.0
1459972890430,-1.955,0.0
1459972890440,-1.955,0.0
1459972890450,-1.955,0.0
1459972890460,-1.955,0.0
1459972890470,-1.955,3.6200000000000004e-07
1459972890480,-1.955,3.6200000000000004e-07
1459972890490,-1.955,2.1719999999999997e-06
1459972890500,-1.955,1.4480000000000002e-06
1459972890510,-1.955,3.6200000000000004e-07
1459972890520,-1.955,0.0
1459972890530,-1.955,3.6200000000000004e-07
1459972890540,-1.955,3.6200000000000004e-07
1459972890550,-1.955,3.258e-06
1459972890560,-1.955,7.240000000000001e-07
1459972890570,-1.955,1.81e-06
1459972890580,-1.955,0.0
1459972890590,-1.955,3.6200000000000004e-07
1459972890600,-1.955,0.0
1459972890610,-1.955,3.6200000000000004e-07
1459972890620,-1.955,2.8960000000000003e-06
1459972890630,-1.955,0.0
1459972890640,-1.955,0.0
1459972890650,-1.955,0.0
1459972890660,-1.955,0.0
1459972890670,-1.955,0.0
1459972890680,-1.955,0.0
1459972890690,-1.955,0.0
1459972890700,-1.955,1.0859999999999999e-06
1459972890710,-1.955,1.0859999999999999e-06
1459972890720,-1.955,0.0
1459972890730,-1.955,0.0
1459972890740,-1.955,0.0
1459972890750,-1.955,0.0
1459972890760,-1.955,3.6200000000000004e-07
1459972890770,-1.955,2.1719999999999997e-06
1459972890780,-1.955,0.0
1459972890790,-1.955,0.0
1459972890800,-1.955,0.0
1459972890810,-1.955,0.0
1459972890820,-1.955,0.0
1459972890830,-1.955,0.0
1459972890840,-1.955,0.0
1459972890850,-1.955,3.6200000000000004e-07
1459972890860,-1.955,0.0
1459972890870,-1.955,1.0859999999999999e-06
1459972890880,-1.955,1.4480000000000002e-06
1459972890890,-1.955,0.0
1459972890900,-1.955,7.240000000000001e-07
1459972890910,-1.955,2.8960000000000003e-06
1459972890920,-1.955,7.240000000000001e-07
1459972890930,-1.955,0.0
1459972890940,-1.955,0.0
1459972890950,-1.955,3.6200000000000004e-07
1459972890960,-1.955,3.6200000000000004e-07
1459972890970,-1.955,0.0
1459972890980,-1.955,7.240000000000001e-07
1459972890990,-1.955,3.6200000000000004e-07
1459972891000,-1.955,2.1719999999999997e-06
1459972891010,-1.955,1.4480000000000002e-06
1459972891020,-1.955,3.6200000000000004e-07
1459972891030,-1.955,0.0
1459972891040,-1.955,0.0
1459972891050,-1.955,0.0
1459972891060,-1.955,0.0
1459972891070,-1.955,0.0
1459972891080,-1.955,0.0
1459972891090,-1.955,0.0
1459972891100,-1.955,0.0
1459972891110,-1.955,3.6200000000000004e-07
1459972891120,-1.955,1.81e-06
1459972891130,-1.955,0.0
1459972891140,-1.955,0.0
1459972891150,-1.955,0.0
1459972891160,-1.955,3.62e-06
1459972891170,-1.955,1.0859999999999999e-06
1459972891180,-1.955,2.5340000000000002e-06
1459972891190,-1.955,1.4480000000000002e-06
1459972891200,-1.955,1.0859999999999999e-06
1459972891210,-1.955,3.6200000000000004e-07
1459972891220,-1.955,3.6200000000000004e-07
1459972891230,-1.955,0.0
1459972891240,-1.955,0.0
1459972891250,-1.955,0.0
1459972891260,-1.955,1.81e-06
1459972891270,-1.955,0.0
1459972891280,-1.955,0.0
1459972891290,-1.955,0.0
1459972891300,-1.955,0.0
1459972891310,-1.955,0.0
1459972891320,-1.955,0.0
1459972891330,-1.955,0.0
1459972891340,-1.955,0.0
1459972891350,-1.955,0.0
1459972891360,-1.955,0.0
1459972891370,-1.955,0.0
1459972891380,-1.955,0.0
1459972891390,-1.955,0.0
1459972891400,-1.955,1.4480000000000002e-06
1459972891410,-1.955,7.240000000000001e-07
1459972891420,-1.955,1.4480000000000002e-06
1459972891430,-1.955,1.4480000000000002e-06
1459972891440,-1.955,1.0859999999999999e-06
1459972891450,-1.955,3.6200000000000004e-07
1459972891460,-1.955,0.0
1459972891470,-1.955,0.0
1459972891480,-1.955,7.240000000000001e-07
1459972891490,-1.955,7.240000000000001e-07
1459972891500,-1.955,0.0
1459972891510,-1.955,3.6200000000000004e-07
1459972891520,-1.955,1.0859999999999999e-06
1459972891530,-1.955,0.0
1459972891540,-1.955,0.0
1459972891550,-1.955,2.5340000000000002e-06
1459972891560,-1.955,2.1719999999999997e-06
1459972891570,-1.955,1.4480000000000002e-06
1459972891580,-1.955,2.1719999999999997e-06
1459972891590,-1.955,1.0859999999999999e-06
1459972891600,-1.955,1.0859999999999999e-06
1459972891610,-1.955,7.240000000000001e-07
1459972891620,-1.955,7.240000000000001e-07
1459972891630,-1.955,1.4480000000000002e-06
1459972891640,-1.955,3.6200000000000004e-07
1459972891650,-1.955,0.0
1459972891660,-1.955,0.0
1459972891670,-1.955,0.0
1459972891680,-1.955,0.0
1459972891690,-1.955,0.0
1459972891700,-1.955,0.0
1459972891710,-1.955,5.0680000000000004e-06
1459972891720,-1.955,0.0
