Timestamp,position,BLMTI.04R2.B2E10_TCTPH.4R2.B2
1459973009090,-1.105,0.0
1459973009100,-1.105,7.240000000000001e-07
1459973009110,-1.105,1.0859999999999999e-06
1459973009120,-1.105,3.6200000000000004e-07
1459973009130,-1.105,7.240000000000001e-07
1459973009140,-1.105,0.0
1459973009150,-1.105,7.240000000000001e-07
1459973009160,-1.105,7.240000000000001e-07
1459973009170,-1.105,3.6200000000000004e-07
1459973009180,-1.105,7.240000000000001e-07
1459973009190,-1.105,3.6200000000000004e-07
1459973009200,-1.105,1.4480000000000002e-06
1459973009210,-1.105,7.240000000000001e-07
1459973009220,-1.105,0.0
1459973009230,-1.105,1.0859999999999999e-06
1459973009240,-1.105,3.6200000000000004e-07
1459973009250,-1.105,7.240000000000001e-07
1459973009260,-1.105,3.6200000000000004e-07
1459973009270,-1.105,3.6200000000000004e-07
1459973009280,-1.105,3.6200000000000004e-07
1459973009290,-1.105,7.240000000000001e-07
1459973009300,-1.105,3.6200000000000004e-07
1459973009310,-1.105,0.0
1459973009320,-1.105,7.240000000000001e-07
1459973009330,-1.105,7.240000000000001e-07
1459973009340,-1.105,7.240000000000001e-07
1459973009350,-1.105,1.81e-06
1459973009360,-1.105,0.0
1459973009370,-1.105,1.81e-06
1459973009380,-1.105,3.6200000000000004e-07
1459973009390,-1.105,1.0859999999999999e-06
1459973009400,-1.105,7.240000000000001e-07
1459973009410,-1.105,3.6200000000000004e-07
1459973009420,-1.105,1.0859999999999999e-06
1459973009430,-1.105,3.6200000000000004e-07
1459973009440,-1.105,7.240000000000001e-07
1459973009450,-1.105,7.240000000000001e-07
1459973009460,-1.105,1.0859999999999999e-06
1459973009470,-1.105,7.240000000000001e-07
1459973009480,-1.105,1.4480000000000002e-06
1459973009490,-1.105,3.6200000000000004e-07
1459973009500,-1.105,1.0859999999999999e-06
1459973009510,-1.105,1.0859999999999999e-06
1459973009520,-1.105,0.0
1459973009530,-1.105,1.0859999999999999e-06
1459973009540,-1.105,0.0
1459973009550,-1.105,7.240000000000001e-07
1459973009560,-1.105,1.0859999999999999e-06
1459973009570,-1.105,3.6200000000000004e-07
1459973009580,-1.105,7.240000000000001e-07
1459973009590,-1.105,7.240000000000001e-07
1459973009600,-1.105,3.6200000000000004e-07
1459973009610,-1.105,7.240000000000001e-07
1459973009620,-1.105,7.240000000000001e-07
1459973009630,-1.105,3.6200000000000004e-07
1459973009640,-1.105,1.0859999999999999e-06
1459973009650,-1.105,3.6200000000000004e-07
1459973009660,-1.105,0.0
1459973009670,-1.105,7.240000000000001e-07
1459973009680,-1.105,7.240000000000001e-07
1459973009690,-1.105,3.6200000000000004e-07
1459973009700,-1.105,3.6200000000000004e-07
1459973009710,-1.105,7.240000000000001e-07
1459973009720,-1.105,0.0
1459973009730,-1.105,7.240000000000001e-07
1459973009740,-1.105,7.240000000000001e-07
1459973009750,-1.095,0.0
1459973009760,-1.095,3.6200000000000004e-07
1459973009770,-1.095,7.240000000000001e-07
1459973009780,-1.095,7.240000000000001e-07
1459973009790,-1.095,3.6200000000000004e-07
1459973009800,-1.095,7.240000000000001e-07
1459973009810,-1.095,1.0859999999999999e-06
1459973009820,-1.095,7.240000000000001e-07
1459973009830,-1.095,7.240000000000001e-07
1459973009840,-1.095,1.0859999999999999e-06
1459973009850,-1.095,7.240000000000001e-07
1459973009860,-1.095,7.240000000000001e-07
1459973009870,-1.095,3.6200000000000004e-07
1459973009880,-1.095,3.6200000000000004e-07
1459973009890,-1.095,0.0
1459973009900,-1.095,1.4480000000000002e-06
1459973009910,-1.095,1.0859999999999999e-06
1459973009920,-1.095,7.240000000000001e-07
1459973009930,-1.095,3.6200000000000004e-07
1459973009940,-1.095,7.240000000000001e-07
1459973009950,-1.095,1.0859999999999999e-06
1459973009960,-1.095,3.6200000000000004e-07
1459973009970,-1.095,3.6200000000000004e-07
1459973009980,-1.095,3.6200000000000004e-07
