Timestamp,position,BLMTI.06L7.B1E10_TCP.C6L7.B1
1459973113960,-1.81,1.81e-06
1459973113970,-1.81,2.1719999999999997e-06
1459973113980,-1.81,1.81e-06
1459973113990,-1.81,1.4480000000000002e-06
1459973114000,-1.81,2.1719999999999997e-06
1459973114010,-1.81,2.1719999999999997e-06
1459973114020,-1.81,3.258e-06
1459973114030,-1.81,1.81e-06
1459973114040,-1.81,4.706e-06
1459973114050,-1.81,2.5340000000000002e-06
1459973114060,-1.81,3.258e-06
1459973114070,-1.81,2.5340000000000002e-06
1459973114080,-1.81,2.8960000000000003e-06
1459973114090,-1.81,1.4480000000000002e-06
1459973114100,-1.81,2.5340000000000002e-06
1459973114110,-1.81,1.81e-06
1459973114120,-1.81,1.81e-06
1459973114130,-1.81,1.4480000000000002e-06
1459973114140,-1.81,1.4480000000000002e-06
1459973114150,-1.81,1.81e-06
1459973114160,-1.81,1.4480000000000002e-06
1459973114170,-1.81,1.0859999999999999e-06
1459973114180,-1.81,2.5340000000000002e-06
1459973114190,-1.81,2.8960000000000003e-06
1459973114200,-1.81,4.343999999999999e-06
1459973114210,-1.81,5.0680000000000004e-06
1459973114220,-1.81,4.343999999999999e-06
1459973114230,-1.81,2.8960000000000003e-06
1459973114240,-1.81,2.5340000000000002e-06
1459973114250,-1.81,1.81e-06
1459973114260,-1.81,1.81e-06
1459973114270,-1.81,1.4480000000000002e-06
1459973114280,-1.81,2.8960000000000003e-06
1459973114290,-1.81,7.240000000000001e-07
1459973114300,-1.81,2.8960000000000003e-06
1459973114310,-1.81,1.4480000000000002e-06
1459973114320,-1.81,2.8960000000000003e-06
1459973114330,-1.81,7.240000000000001e-07
1459973114340,-1.81,2.1719999999999997e-06
1459973114350,-1.81,7.240000000000001e-07
1459973114360,-1.81,2.5340000000000002e-06
1459973114370,-1.81,1.4480000000000002e-06
1459973114380,-1.81,2.5340000000000002e-06
1459973114390,-1.81,3.62e-06
1459973114400,-1.81,4.706e-06
1459973114410,-1.81,2.1719999999999997e-06
1459973114420,-1.81,3.258e-06
1459973114430,-1.81,1.0859999999999999e-06
1459973114440,-1.81,2.1719999999999997e-06
1459973114450,-1.81,1.4480000000000002e-06
1459973114460,-1.81,2.1719999999999997e-06
1459973114470,-1.81,1.4480000000000002e-06
1459973114480,-1.81,1.4480000000000002e-06
1459973114490,-1.81,1.4480000000000002e-06
1459973114500,-1.81,3.62e-06
1459973114510,-1.81,1.4480000000000002e-06
1459973114520,-1.81,2.1719999999999997e-06
1459973114530,-1.81,1.0859999999999999e-06
1459973114540,-1.81,2.5340000000000002e-06
1459973114550,-1.81,2.5340000000000002e-06
1459973114560,-1.81,2.1719999999999997e-06
1459973114570,-1.81,1.0859999999999999e-06
1459973114580,-1.81,2.5340000000000002e-06
1459973114590,-1.81,1.81e-06
1459973114600,-1.81,2.8960000000000003e-06
1459973114610,-1.81,1.0859999999999999e-06
1459973114620,-1.81,1.4480000000000002e-06
1459973114630,-1.81,7.240000000000001e-07
1459973114640,-1.81,2.1719999999999997e-06
1459973114650,-1.81,1.81e-06
1459973114660,-1.81,1.0859999999999999e-06
1459973114670,-1.81,2.1719999999999997e-06
1459973114680,-1.81,1.81e-06
1459973114690,-1.81,2.1719999999999997e-06
1459973114700,-1.81,2.1719999999999997e-06
1459973114710,-1.81,2.5340000000000002e-06
1459973114720,-1.81,2.8960000000000003e-06
1459973114730,-1.81,2.1719999999999997e-06
1459973114740,-1.81,3.258e-06
1459973114750,-1.81,1.0859999999999999e-06
1459973114760,-1.81,1.81e-06
1459973114770,-1.81,1.0859999999999999e-06
1459973114780,-1.81,1.81e-06
1459973114790,-1.81,7.240000000000001e-07
1459973114800,-1.81,2.1719999999999997e-06
1459973114810,-1.81,1.0859999999999999e-06
1459973114820,-1.81,2.5340000000000002e-06
1459973114830,-1.81,1.4480000000000002e-06
1459973114840,-1.81,2.8960000000000003e-06
1459973114850,-1.81,1.0859999999999999e-06
1459973114860,-1.81,1.81e-06
1459973114870,-1.81,1.81e-06
1459973114880,-1.81,2.8960000000000003e-06
1459973114890,-1.81,3.258e-06
1459973114900,-1.81,3.62e-06
1459973114910,-1.81,1.81e-06
1459973114920,-1.81,2.5340000000000002e-06
1459973114930,-1.81,1.4480000000000002e-06
1459973114940,-1.81,1.4480000000000002e-06
1459973114950,-1.81,1.0859999999999999e-06
1459973114960,-1.785,1.81e-06
1459973114970,-1.785,1.0859999999999999e-06
