Timestamp,position,BLMTI.05R5.B1E10_TCL.5R5.B1
1461057120280,4.17,3.62e-06
1461057120290,4.17,0.0
1461057120300,4.17,4.343999999999999e-06
1461057120310,4.17,0.0
1461057120320,4.17,3.982e-06
1461057120330,4.17,0.0
1461057120340,4.17,1.81e-06
1461057120350,4.17,0.0
1461057120360,4.17,3.982e-06
1461057120370,4.17,0.0
1461057120380,4.17,5.792000000000001e-06
1461057120390,4.17,0.0
1461057120400,4.17,2.8960000000000003e-06
1461057120410,4.17,0.0
1461057120420,4.17,1.81e-06
1461057120430,4.17,0.0
1461057120440,4.17,3.982e-06
1461057120450,4.17,0.0
1461057120460,4.17,5.0680000000000004e-06
1461057120470,4.17,0.0
1461057120480,4.17,5.0680000000000004e-06
1461057120490,4.17,0.0
1461057120500,4.17,2.1719999999999997e-06
1461057120510,4.17,0.0
1461057120520,4.17,2.1719999999999997e-06
1461057120530,4.17,0.0
1461057120540,4.17,5.0680000000000004e-06
1461057120550,4.17,0.0
1461057120560,4.17,3.258e-06
1461057120570,4.17,0.0
1461057120580,4.17,2.5340000000000002e-06
1461057120590,4.17,0.0
1461057120600,4.17,2.8960000000000003e-06
1461057120610,4.17,0.0
1461057120620,4.17,5.792000000000001e-06
1461057120630,4.17,0.0
1461057120640,4.17,5.792000000000001e-06
1461057120650,4.17,0.0
1461057120660,4.17,3.258e-06
1461057120670,4.17,0.0
1461057120680,4.17,2.8960000000000003e-06
1461057120690,4.17,0.0
1461057120700,4.17,3.62e-06
1461057120710,4.17,0.0
1461057120720,4.17,3.258e-06
1461057120730,4.17,0.0
1461057120740,4.17,3.982e-06
1461057120750,4.17,0.0
1461057120760,4.17,3.258e-06
1461057120770,4.17,0.0
1461057120780,4.17,3.62e-06
1461057120790,4.17,0.0
1461057120800,4.17,2.5340000000000002e-06
1461057120810,4.17,0.0
1461057120820,4.17,1.81e-06
1461057120830,4.17,0.0
1461057120840,4.17,2.5340000000000002e-06
1461057120850,4.17,0.0
1461057120860,4.17,3.258e-06
1461057120870,4.17,0.0
1461057120880,4.17,3.258e-06
1461057120890,4.17,0.0
1461057120900,4.17,1.4480000000000002e-06
1461057120910,4.17,0.0
1461057120920,4.17,3.62e-06
1461057120930,4.17,0.0
1461057120940,4.17,3.982e-06
1461057120950,4.17,0.0
1461057120960,4.17,3.258e-06
1461057120970,4.17,0.0
1461057120980,4.17,1.4480000000000002e-06
1461057120990,4.17,0.0
1461057121000,4.17,2.5340000000000002e-06
1461057121010,4.17,0.0
1461057121020,4.17,2.8960000000000003e-06
1461057121030,4.17,0.0
1461057121040,4.17,4.343999999999999e-06
1461057121050,4.17,0.0
1461057121060,4.17,2.1719999999999997e-06
1461057121070,4.17,0.0
1461057121080,4.17,2.5340000000000002e-06
1461057121090,4.17,0.0
1461057121100,4.17,2.1719999999999997e-06
1461057121110,4.17,0.0
1461057121120,4.17,2.5340000000000002e-06
1461057121130,4.17,0.0
1461057121140,4.17,2.1719999999999997e-06
1461057121150,4.17,0.0
1461057121160,4.17,2.8960000000000003e-06
1461057121170,4.17,0.0
1461057121180,4.17,2.5340000000000002e-06
1461057121190,4.17,0.0
1461057121200,4.17,2.5340000000000002e-06
1461057121210,4.17,0.0
1461057121220,4.17,4.343999999999999e-06
