Timestamp,position,BLMTI.06L1.B2E10_TCL.6L1.B2
1461060948220,0.525,1.0859999999999999e-06
1461060948230,0.525,1.4480000000000002e-06
1461060948240,0.525,5.43e-06
1461060948250,0.525,6.154e-06
1461060948260,0.525,1.267e-05
1461060948270,0.525,5.43e-06
1461060948280,0.525,2.5340000000000002e-06
1461060948290,0.525,1.4480000000000002e-06
1461060948300,0.525,2.8960000000000003e-06
1461060948310,0.525,2.8960000000000003e-06
1461060948320,0.525,4.343999999999999e-06
1461060948330,0.525,4.343999999999999e-06
1461060948340,0.525,3.258e-06
1461060948350,0.525,3.258e-06
1461060948360,0.525,1.0859999999999999e-06
1461060948370,0.525,2.5340000000000002e-06
1461060948380,0.525,2.1719999999999997e-06
1461060948390,0.525,2.1719999999999997e-06
1461060948400,0.525,2.1719999999999997e-06
1461060948410,0.525,5.43e-06
1461060948420,0.525,7.24e-06
1461060948430,0.525,9.412e-06
1461060948440,0.525,1.086e-05
1461060948450,0.525,9.05e-06
1461060948460,0.525,4.343999999999999e-06
1461060948470,0.525,2.8960000000000003e-06
1461060948480,0.525,2.5340000000000002e-06
1461060948490,0.525,2.1719999999999997e-06
1461060948500,0.525,2.1719999999999997e-06
1461060948510,0.525,1.81e-06
1461060948520,0.525,2.1719999999999997e-06
1461060948530,0.525,1.0859999999999999e-06
1461060948540,0.525,1.81e-06
1461060948550,0.525,1.4480000000000002e-06
1461060948560,0.525,3.62e-06
1461060948570,0.525,4.343999999999999e-06
1461060948580,0.525,3.982e-06
1461060948590,0.525,1.81e-06
1461060948600,0.525,3.258e-06
1461060948610,0.525,6.516e-06
1461060948620,0.525,3.62e-06
1461060948630,0.525,4.343999999999999e-06
1461060948640,0.525,1.4480000000000002e-06
1461060948650,0.525,1.0859999999999999e-06
1461060948660,0.525,1.81e-06
1461060948670,0.525,7.240000000000001e-07
1461060948680,0.525,1.0859999999999999e-06
1461060948690,0.525,7.240000000000001e-07
1461060948700,0.525,1.4480000000000002e-06
1461060948710,0.525,7.240000000000001e-07
1461060948720,0.525,7.240000000000001e-07
1461060948730,0.525,1.4480000000000002e-06
1461060948740,0.525,1.4480000000000002e-06
1461060948750,0.525,1.4480000000000002e-06
1461060948760,0.525,1.4480000000000002e-06
1461060948770,0.525,1.4480000000000002e-06
1461060948780,0.525,1.4480000000000002e-06
1461060948790,0.525,1.0859999999999999e-06
1461060948800,0.525,1.81e-06
1461060948810,0.525,3.6200000000000004e-07
1461060948820,0.525,0.0
1461060948830,0.525,7.240000000000001e-07
1461060948840,0.525,3.6200000000000004e-07
1461060948850,0.525,1.0859999999999999e-06
1461060948860,0.525,1.0859999999999999e-06
1461060948870,0.525,3.258e-06
1461060948880,0.525,1.81e-06
1461060948890,0.525,3.982e-06
1461060948900,0.525,2.5340000000000002e-06
1461060948910,0.525,2.1719999999999997e-06
1461060948920,0.525,1.81e-06
1461060948930,0.525,1.4480000000000002e-06
1461060948940,0.525,1.0859999999999999e-06
1461060948950,0.525,0.0
1461060948960,0.525,3.6200000000000004e-07
1461060948970,0.525,3.6200000000000004e-07
1461060948980,0.525,2.5340000000000002e-06
1461060948990,0.525,7.602e-06
1461060949000,0.525,1.448e-05
1461060949010,0.525,8.687999999999999e-06
1461060949020,0.525,3.258e-06
1461060949030,0.525,1.81e-06
1461060949040,0.525,2.1719999999999997e-06
1461060949050,0.525,2.5340000000000002e-06
1461060949060,0.525,3.62e-06
1461060949070,0.525,3.258e-06
1461060949080,0.525,6.516e-06
1461060949090,0.525,8.326e-06
1461060949100,0.525,6.877999999999999e-06
1461060949110,0.525,4.706e-06
1461060949120,0.525,2.5340000000000002e-06
1461060949130,0.525,1.4480000000000002e-06
1461060949140,0.525,7.240000000000001e-07
1461060949150,0.525,1.0859999999999999e-06
1461060949160,0.525,1.0859999999999999e-06
1461060949170,0.525,3.62e-06
1461060949180,0.525,1.1945999999999999e-05
1461060949190,0.525,1.7014e-05
1461060949200,0.525,8.326e-06
1461060949210,0.525,2.1719999999999997e-06
1461060949220,0.525,7.240000000000001e-07
1461060949230,0.525,2.1719999999999997e-06
1461060949240,0.525,2.5340000000000002e-06
1461060949250,0.525,3.62e-06
1461060949260,0.525,4.706e-06
