Timestamp,position,BLMTI.06L5.B2E10_TCL.6L5.B2
1461061389980,-2.29,7.240000000000001e-07
1461061389990,-2.29,2.1719999999999997e-06
1461061390000,-2.29,2.5340000000000002e-06
1461061390010,-2.29,2.5340000000000002e-06
1461061390020,-2.29,2.1719999999999997e-06
1461061390030,-2.29,1.81e-06
1461061390040,-2.29,1.81e-06
1461061390050,-2.29,2.1719999999999997e-06
1461061390060,-2.29,2.1719999999999997e-06
1461061390070,-2.29,4.706e-06
1461061390080,-2.29,3.258e-06
1461061390090,-2.29,2.5340000000000002e-06
1461061390100,-2.29,1.4480000000000002e-06
1461061390110,-2.29,1.81e-06
1461061390120,-2.29,1.81e-06
1461061390130,-2.29,1.81e-06
1461061390140,-2.29,3.982e-06
1461061390150,-2.29,2.8960000000000003e-06
1461061390160,-2.29,3.982e-06
1461061390170,-2.29,4.343999999999999e-06
1461061390180,-2.29,5.43e-06
1461061390190,-2.29,5.792000000000001e-06
1461061390200,-2.29,4.706e-06
1461061390210,-2.29,3.62e-06
1461061390220,-2.29,2.5340000000000002e-06
1461061390230,-2.29,2.8960000000000003e-06
1461061390240,-2.29,2.8960000000000003e-06
1461061390250,-2.29,6.516e-06
1461061390260,-2.29,4.706e-06
1461061390270,-2.29,3.62e-06
1461061390280,-2.29,2.8960000000000003e-06
1461061390290,-2.29,4.343999999999999e-06
1461061390300,-2.29,2.8960000000000003e-06
1461061390310,-2.29,3.982e-06
1461061390320,-2.29,4.343999999999999e-06
1461061390330,-2.29,9.05e-06
1461061390340,-2.29,5.0680000000000004e-06
1461061390350,-2.29,6.516e-06
1461061390360,-2.29,3.258e-06
1461061390370,-2.29,4.343999999999999e-06
1461061390380,-2.29,3.258e-06
1461061390390,-2.29,3.62e-06
1461061390400,-2.29,1.0859999999999999e-06
1461061390410,-2.29,1.81e-06
1461061390420,-2.29,3.982e-06
1461061390430,-2.29,3.258e-06
1461061390440,-2.29,3.258e-06
1461061390450,-2.29,2.1719999999999997e-06
1461061390460,-2.29,2.5340000000000002e-06
1461061390470,-2.29,2.1719999999999997e-06
1461061390480,-2.29,3.258e-06
1461061390490,-2.29,3.62e-06
1461061390500,-2.29,2.8960000000000003e-06
1461061390510,-2.29,3.62e-06
1461061390520,-2.29,1.81e-06
1461061390530,-2.29,1.4480000000000002e-06
1461061390540,-2.29,1.81e-06
1461061390550,-2.29,1.81e-06
1461061390560,-2.29,1.81e-06
1461061390570,-2.29,6.516e-06
1461061390580,-2.29,5.43e-06
1461061390590,-2.29,3.62e-06
1461061390600,-2.29,2.1719999999999997e-06
1461061390610,-2.29,1.81e-06
1461061390620,-2.29,1.81e-06
1461061390630,-2.29,2.8960000000000003e-06
1461061390640,-2.29,2.1719999999999997e-06
1461061390650,-2.29,2.5340000000000002e-06
1461061390660,-2.29,3.258e-06
1461061390670,-2.29,2.8960000000000003e-06
1461061390680,-2.29,5.43e-06
1461061390690,-2.29,7.602e-06
1461061390700,-2.29,7.24e-06
1461061390710,-2.29,3.982e-06
1461061390720,-2.29,1.4480000000000002e-06
1461061390730,-2.29,1.81e-06
1461061390740,-2.29,1.81e-06
1461061390750,-2.29,2.1719999999999997e-06
1461061390760,-2.29,6.516e-06
1461061390770,-2.29,1.267e-05
1461061390780,-2.29,9.05e-06
1461061390790,-2.29,5.43e-06
1461061390800,-2.29,2.1719999999999997e-06
1461061390810,-2.29,2.1719999999999997e-06
1461061390820,-2.29,3.258e-06
1461061390830,-2.29,2.5340000000000002e-06
1461061390840,-2.29,3.258e-06
1461061390850,-2.29,5.43e-06
1461061390860,-2.29,6.516e-06
1461061390870,-2.29,2.1358e-05
1461061390880,-2.29,2.0634e-05
1461061390890,-2.29,1.267e-05
1461061390900,-2.29,4.706e-06
1461061390910,-2.29,2.8960000000000003e-06
1461061390920,-2.29,2.5340000000000002e-06
1461061390930,-2.29,3.982e-06
1461061390940,-2.29,3.982e-06
1461061390950,-2.29,4.706e-06
1461061390960,-2.29,6.154e-06
1461061390970,-2.29,4.343999999999999e-06
1461061390980,-2.29,5.43e-06
1461061390990,-2.29,3.982e-06
1461061391000,-2.29,6.877999999999999e-06
1461061391010,-2.29,7.602e-06
1461061391020,-2.29,7.24e-06
1461061391030,-2.29,6.516e-06
1461061391040,-2.29,4.706e-06
1461061391050,-2.29,5.43e-06
1461061391060,-2.29,3.62e-06
1461061391070,-2.29,4.706e-06
1461061391080,-2.29,2.5340000000000002e-06
1461061391090,-2.29,3.258e-06
1461061391100,-2.29,2.5340000000000002e-06
1461061391110,-2.29,2.5340000000000002e-06
1461061391120,-2.29,2.5340000000000002e-06
1461061391130,-2.29,3.258e-06
1461061391140,-2.29,3.982e-06
1461061391150,-2.29,3.62e-06
1461061391160,-2.29,5.43e-06
1461061391170,-2.29,4.706e-06
1461061391180,-2.29,5.43e-06
1461061391190,-2.29,5.0680000000000004e-06
1461061391200,-2.29,5.0680000000000004e-06
1461061391210,-2.29,3.62e-06
1461061391220,-2.29,3.982e-06
1461061391230,-2.29,2.5340000000000002e-06
1461061391240,-2.29,2.5340000000000002e-06
1461061391250,-2.29,2.5340000000000002e-06
1461061391260,-2.29,2.1719999999999997e-06
1461061391270,-2.29,2.5340000000000002e-06
1461061391280,-2.29,2.5340000000000002e-06
1461061391290,-2.29,3.982e-06
1461061391300,-2.29,5.0680000000000004e-06
1461061391310,-2.29,7.964e-06
1461061391320,-2.29,6.516e-06
1461061391330,-2.29,7.964e-06
1461061391340,-2.29,3.258e-06
1461061391350,-2.29,1.0859999999999999e-06
1461061391360,-2.29,1.81e-06
1461061391370,-2.29,2.5340000000000002e-06
1461061391380,-2.29,1.4480000000000002e-06
1461061391390,-2.29,2.1719999999999997e-06
1461061391400,-2.29,2.1719999999999997e-06
1461061391410,-2.29,2.5340000000000002e-06
1461061391420,-2.29,3.258e-06
1461061391430,-2.29,3.258e-06
1461061391440,-2.29,2.5340000000000002e-06
1461061391450,-2.29,2.5340000000000002e-06
1461061391460,-2.29,1.81e-06
1461061391470,-2.29,1.81e-06
1461061391480,-2.29,2.1719999999999997e-06
1461061391490,-2.29,3.258e-06
1461061391500,-2.29,5.792000000000001e-06
1461061391510,-2.29,5.43e-06
1461061391520,-2.29,2.1719999999999997e-06
1461061391530,-2.29,2.1719999999999997e-06
1461061391540,-2.29,1.4480000000000002e-06
1461061391550,-2.29,2.1719999999999997e-06
1461061391560,-2.29,1.0859999999999999e-06
1461061391570,-2.29,1.4480000000000002e-06
1461061391580,-2.29,2.8960000000000003e-06
1461061391590,-2.29,2.8960000000000003e-06
1461061391600,-2.29,4.343999999999999e-06
1461061391610,-2.29,3.982e-06
1461061391620,-2.29,1.4480000000000002e-06
1461061391630,-2.29,2.8960000000000003e-06
1461061391640,-2.29,3.258e-06
1461061391650,-2.29,4.706e-06
1461061391660,-2.29,7.602e-06
1461061391670,-2.29,8.687999999999999e-06
1461061391680,-2.29,7.602e-06
1461061391690,-2.29,3.982e-06
1461061391700,-2.29,3.258e-06
