Timestamp,position,BLMTI.05R5.B1E10_TCL.5R5.B1
1461057227010,1.015,3.982e-06
1461057227020,1.015,9.412e-06
1461057227030,1.015,5.0680000000000004e-06
1461057227040,1.015,1.0498e-05
1461057227050,1.015,5.43e-06
1461057227060,1.015,1.3394000000000001e-05
1461057227070,1.015,1.3032e-05
1461057227080,1.015,1.4842000000000001e-05
1461057227090,1.015,5.0680000000000004e-06
1461057227100,1.015,1.1222e-05
1461057227110,1.015,2.8960000000000003e-06
1461057227120,1.015,1.1945999999999999e-05
1461057227130,1.015,7.602e-06
1461057227140,1.015,2.1358e-05
1461057227150,1.015,1.8824e-05
1461057227160,1.015,1.629e-05
1461057227170,1.015,8.687999999999999e-06
1461057227180,1.015,1.267e-05
1461057227190,1.015,3.258e-06
1461057227200,1.015,1.1222e-05
1461057227210,1.015,1.0859999999999999e-06
1461057227220,1.015,1.1584000000000001e-05
1461057227230,1.015,6.154e-06
1461057227240,1.015,1.8824e-05
1461057227250,1.015,1.8100000000000003e-05
1461057227260,1.015,1.629e-05
1461057227270,1.015,1.2308e-05
1461057227280,1.015,1.2308e-05
1461057227290,1.015,3.982e-06
1461057227300,1.015,1.1584000000000001e-05
1461057227310,1.015,4.706e-06
1461057227320,1.015,1.267e-05
1461057227330,1.015,2.5340000000000002e-06
1461057227340,1.015,9.412e-06
1461057227350,1.015,1.4480000000000002e-06
1461057227360,1.015,1.4842000000000001e-05
1461057227370,1.015,5.0680000000000004e-06
1461057227380,1.015,1.3755999999999998e-05
1461057227390,1.015,4.706e-06
1461057227400,1.015,1.267e-05
1461057227410,1.015,3.982e-06
1461057227420,1.015,1.5204e-05
1461057227430,1.015,3.62e-06
1461057227440,1.015,1.3755999999999998e-05
1461057227450,1.015,2.5340000000000002e-06
1461057227460,1.015,1.267e-05
1461057227470,1.015,3.258e-06
1461057227480,1.015,1.3755999999999998e-05
1461057227490,1.015,2.1719999999999997e-06
1461057227500,1.015,1.3755999999999998e-05
1461057227510,1.015,4.706e-06
1461057227520,1.015,1.3032e-05
1461057227530,1.015,2.1719999999999997e-06
1461057227540,1.015,1.3394000000000001e-05
1461057227550,1.015,9.05e-06
1461057227560,1.015,1.4118e-05
1461057227570,1.015,9.774e-06
1461057227580,1.015,2.172e-05
1461057227590,1.015,1.4118e-05
1461057227600,1.015,1.5928e-05
1461057227610,1.015,6.516e-06
1461057227620,1.015,1.448e-05
1461057227630,1.015,1.1945999999999999e-05
1461057227640,1.015,1.7738e-05
1461057227650,1.015,3.62e-06
1461057227660,1.015,1.3755999999999998e-05
1461057227670,1.015,4.343999999999999e-06
1461057227680,1.015,2.172e-05
1461057227690,1.015,8.687999999999999e-06
1461057227700,1.015,1.3032e-05
1461057227710,1.015,4.343999999999999e-06
1461057227720,1.015,1.3755999999999998e-05
1461057227730,1.015,1.4480000000000002e-06
1461057227740,1.015,1.2308e-05
1461057227750,1.015,8.687999999999999e-06
1461057227760,1.015,1.8100000000000003e-05
1461057227770,1.015,1.7738e-05
1461057227780,1.015,2.1358e-05
1461057227790,1.015,3.982e-06
1461057227800,1.015,1.3755999999999998e-05
1461057227810,1.015,3.6200000000000004e-07
1461057227820,1.015,1.3755999999999998e-05
1461057227830,1.015,3.62e-06
1461057227840,1.015,1.448e-05
1461057227850,1.015,0.0
1461057227860,1.015,1.629e-05
1461057227870,1.015,6.154e-06
1461057227880,1.015,1.8824e-05
1461057227890,1.015,2.1719999999999997e-06
1461057227900,1.015,1.3394000000000001e-05
1461057227910,1.015,0.0
1461057227920,1.015,1.1945999999999999e-05
1461057227930,1.015,3.6200000000000004e-07
1461057227940,1.015,1.086e-05
1461057227950,1.015,1.4480000000000002e-06
1461057227960,1.015,1.267e-05
1461057227970,1.015,0.0
1461057227980,1.015,1.1584000000000001e-05
1461057227990,1.015,3.258e-06
1461057228000,1.015,1.448e-05
1461057228010,1.015,2.1719999999999997e-06
1461057228020,1.015,1.3032e-05
1461057228030,1.015,3.982e-06
1461057228040,1.015,2.6788000000000002e-05
1461057228050,1.015,2.8598000000000003e-05
1461057228060,1.015,2.2444e-05
1461057228070,1.015,6.516e-06
1461057228080,1.015,1.3032e-05
1461057228090,1.015,3.6200000000000004e-07
1461057228100,1.015,1.1945999999999999e-05
1461057228110,1.015,0.0
1461057228120,1.015,1.1584000000000001e-05
1461057228130,1.015,0.0
1461057228140,1.015,1.086e-05
1461057228150,1.015,1.0859999999999999e-06
1461057228160,1.015,1.4842000000000001e-05
1461057228170,1.015,7.964e-06
1461057228180,1.015,1.5566e-05
1461057228190,1.015,7.240000000000001e-07
1461057228200,1.015,1.3755999999999998e-05
1461057228210,1.015,5.43e-06
1461057228220,1.015,2.0272000000000002e-05
1461057228230,1.015,5.0680000000000004e-06
1461057228240,1.015,1.3394000000000001e-05
1461057228250,1.015,0.0
1461057228260,1.015,1.1945999999999999e-05
1461057228270,1.015,0.0
1461057228280,1.015,1.2308e-05
1461057228290,1.015,0.0
1461057228300,1.015,1.3755999999999998e-05
1461057228310,1.015,0.0
1461057228320,1.015,1.086e-05
1461057228330,1.015,3.6200000000000004e-07
1461057228340,1.015,1.1945999999999999e-05
1461057228350,1.015,1.81e-06
1461057228360,1.015,1.9186e-05
1461057228370,1.015,2.534e-05
1461057228380,1.015,4.0906e-05
