Timestamp,position,BLMTI.06R1.B1E10_TCL.6R1.B1
1461060439820,-1.205,3.6200000000000004e-07
1461060439830,-1.205,1.81e-06
1461060439840,-1.205,3.6200000000000004e-07
1461060439850,-1.205,7.240000000000001e-07
1461060439860,-1.205,7.240000000000001e-07
1461060439870,-1.205,1.4480000000000002e-06
1461060439880,-1.205,0.0
1461060439890,-1.205,7.240000000000001e-07
1461060439900,-1.205,1.81e-06
1461060439910,-1.205,0.0
1461060439920,-1.205,1.0859999999999999e-06
1461060439930,-1.205,3.6200000000000004e-07
1461060439940,-1.205,7.240000000000001e-07
1461060439950,-1.205,1.81e-06
1461060439960,-1.205,0.0
1461060439970,-1.205,1.4480000000000002e-06
1461060439980,-1.205,0.0
1461060439990,-1.205,3.6200000000000004e-07
1461060440000,-1.205,3.6200000000000004e-07
1461060440010,-1.205,1.81e-06
1461060440020,-1.205,0.0
1461060440030,-1.205,1.0859999999999999e-06
1461060440040,-1.205,7.240000000000001e-07
1461060440050,-1.205,1.0859999999999999e-06
1461060440060,-1.205,1.0859999999999999e-06
1461060440070,-1.205,3.6200000000000004e-07
1461060440080,-1.205,3.6200000000000004e-07
1461060440090,-1.205,3.6200000000000004e-07
1461060440100,-1.205,1.81e-06
1461060440110,-1.205,1.81e-06
1461060440120,-1.205,1.81e-06
1461060440130,-1.205,1.4480000000000002e-06
1461060440140,-1.205,7.240000000000001e-07
1461060440150,-1.205,1.0859999999999999e-06
1461060440160,-1.205,7.240000000000001e-07
1461060440170,-1.205,7.240000000000001e-07
1461060440180,-1.205,1.4480000000000002e-06
1461060440190,-1.205,7.240000000000001e-07
1461060440200,-1.205,2.1719999999999997e-06
1461060440210,-1.205,2.1719999999999997e-06
1461060440220,-1.205,7.240000000000001e-07
1461060440230,-1.205,1.0859999999999999e-06
1461060440240,-1.205,1.0859999999999999e-06
1461060440250,-1.205,3.6200000000000004e-07
1461060440260,-1.205,7.240000000000001e-07
1461060440270,-1.205,3.6200000000000004e-07
1461060440280,-1.205,7.240000000000001e-07
1461060440290,-1.205,7.240000000000001e-07
1461060440300,-1.205,1.4480000000000002e-06
1461060440310,-1.205,0.0
1461060440320,-1.205,7.240000000000001e-07
1461060440330,-1.205,2.5340000000000002e-06
1461060440340,-1.205,7.240000000000001e-07
1461060440350,-1.205,1.0859999999999999e-06
1461060440360,-1.205,0.0
1461060440370,-1.205,1.81e-06
1461060440380,-1.205,1.4480000000000002e-06
1461060440390,-1.205,7.240000000000001e-07
1461060440400,-1.205,3.6200000000000004e-07
1461060440410,-1.205,1.81e-06
1461060440420,-1.205,7.240000000000001e-07
1461060440430,-1.205,1.81e-06
1461060440440,-1.205,3.6200000000000004e-07
1461060440450,-1.205,3.6200000000000004e-07
1461060440460,-1.205,1.81e-06
1461060440470,-1.205,1.0859999999999999e-06
1461060440480,-1.205,3.6200000000000004e-07
1461060440490,-1.205,1.81e-06
1461060440500,-1.205,3.6200000000000004e-07
1461060440510,-1.205,1.0859999999999999e-06
1461060440520,-1.205,3.6200000000000004e-07
1461060440530,-1.205,3.6200000000000004e-07
1461060440540,-1.205,1.4480000000000002e-06
1461060440550,-1.205,1.0859999999999999e-06
1461060440560,-1.205,7.240000000000001e-07
1461060440570,-1.205,7.240000000000001e-07
1461060440580,-1.205,1.0859999999999999e-06
1461060440590,-1.205,0.0
1461060440600,-1.205,7.240000000000001e-07
1461060440610,-1.205,1.0859999999999999e-06
1461060440620,-1.205,0.0
1461060440630,-1.205,1.81e-06
1461060440640,-1.205,7.240000000000001e-07
1461060440650,-1.205,1.4480000000000002e-06
1461060440660,-1.205,0.0
1461060440670,-1.205,7.240000000000001e-07
1461060440680,-1.205,3.6200000000000004e-07
1461060440690,-1.205,3.6200000000000004e-07
