Timestamp,position,BLMTI.06L1.B2E10_TCL.6L1.B2
1461060970220,-0.625,1.0859999999999999e-06
1461060970230,-0.625,1.4480000000000002e-06
1461060970240,-0.625,1.0859999999999999e-06
1461060970250,-0.625,2.8960000000000003e-06
1461060970260,-0.625,6.516e-06
1461060970270,-0.625,1.0136000000000001e-05
1461060970280,-0.625,1.3032e-05
1461060970290,-0.625,5.43e-06
1461060970300,-0.625,1.4480000000000002e-06
1461060970310,-0.625,2.1719999999999997e-06
1461060970320,-0.625,1.0859999999999999e-06
1461060970330,-0.625,1.81e-06
1461060970340,-0.625,1.0859999999999999e-06
1461060970350,-0.625,2.8960000000000003e-06
1461060970360,-0.625,1.0136000000000001e-05
1461060970370,-0.625,1.1945999999999999e-05
1461060970380,-0.625,3.982e-06
1461060970390,-0.625,1.81e-06
1461060970400,-0.625,0.0
1461060970410,-0.625,1.4480000000000002e-06
1461060970420,-0.625,1.4480000000000002e-06
1461060970430,-0.625,3.258e-06
1461060970440,-0.625,6.877999999999999e-06
1461060970450,-0.625,1.3032e-05
1461060970460,-0.625,1.3032e-05
1461060970470,-0.625,2.8960000000000003e-06
1461060970480,-0.625,1.4480000000000002e-06
1461060970490,-0.625,1.4480000000000002e-06
1461060970500,-0.625,1.0859999999999999e-06
1461060970510,-0.625,1.81e-06
1461060970520,-0.625,3.6200000000000004e-07
1461060970530,-0.625,7.240000000000001e-07
1461060970540,-0.625,3.62e-06
1461060970550,-0.625,9.05e-06
1461060970560,-0.625,1.5566e-05
1461060970570,-0.625,9.05e-06
1461060970580,-0.625,1.4480000000000002e-06
1461060970590,-0.625,1.0859999999999999e-06
1461060970600,-0.625,1.81e-06
1461060970610,-0.625,2.8960000000000003e-06
1461060970620,-0.625,1.4480000000000002e-06
1461060970630,-0.625,4.706e-06
1461060970640,-0.625,7.24e-06
1461060970650,-0.625,6.154e-06
1461060970660,-0.625,1.4480000000000002e-06
1461060970670,-0.625,1.81e-06
1461060970680,-0.625,3.6200000000000004e-07
1461060970690,-0.625,3.6200000000000004e-07
1461060970700,-0.625,0.0
1461060970710,-0.625,1.4480000000000002e-06
1461060970720,-0.625,2.5340000000000002e-06
1461060970730,-0.625,6.516e-06
1461060970740,-0.625,1.2308e-05
1461060970750,-0.625,5.0680000000000004e-06
1461060970760,-0.625,1.0859999999999999e-06
1461060970770,-0.625,7.240000000000001e-07
1461060970780,-0.625,7.240000000000001e-07
1461060970790,-0.625,1.0859999999999999e-06
1461060970800,-0.625,7.240000000000001e-07
1461060970810,-0.625,7.240000000000001e-07
1461060970820,-0.625,1.81e-06
1461060970830,-0.625,2.5340000000000002e-06
1461060970840,-0.625,7.240000000000001e-07
