Timestamp,position,BLMTI.06R7.B2I10_TCP.C6R7.B2
1469745608070,1.535,3.62e-06
1469745608080,1.535,3.6200000000000004e-07
1469745608090,1.535,2.1719999999999997e-06
1469745608100,1.535,7.240000000000001e-07
1469745608110,1.535,2.8960000000000003e-06
1469745608120,1.535,1.0859999999999999e-06
1469745608130,1.535,3.258e-06
1469745608140,1.535,1.4480000000000002e-06
1469745608150,1.535,2.5340000000000002e-06
1469745608160,1.535,7.240000000000001e-07
1469745608170,1.535,2.8960000000000003e-06
1469745608180,1.535,1.0859999999999999e-06
1469745608190,1.535,2.1719999999999997e-06
1469745608200,1.535,7.240000000000001e-07
1469745608210,1.535,2.5340000000000002e-06
1469745608220,1.535,7.240000000000001e-07
1469745608230,1.535,2.8960000000000003e-06
1469745608240,1.535,1.4480000000000002e-06
1469745608250,1.535,3.62e-06
1469745608260,1.535,1.81e-06
1469745608270,1.535,2.8960000000000003e-06
1469745608280,1.535,1.4480000000000002e-06
1469745608290,1.535,2.5340000000000002e-06
1469745608300,1.535,1.0859999999999999e-06
1469745608310,1.535,2.5340000000000002e-06
1469745608320,1.535,7.240000000000001e-07
1469745608330,1.535,3.258e-06
1469745608340,1.535,1.4480000000000002e-06
1469745608350,1.535,2.5340000000000002e-06
1469745608360,1.535,7.240000000000001e-07
1469745608370,1.535,2.8960000000000003e-06
1469745608380,1.535,1.0859999999999999e-06
1469745608390,1.535,1.81e-06
1469745608400,1.535,7.240000000000001e-07
1469745608410,1.535,2.5340000000000002e-06
1469745608420,1.535,1.81e-06
1469745608430,1.535,2.1719999999999997e-06
1469745608440,1.535,7.240000000000001e-07
1469745608450,1.535,2.1719999999999997e-06
1469745608460,1.535,1.4480000000000002e-06
1469745608470,1.535,2.1719999999999997e-06
1469745608480,1.535,7.240000000000001e-07
1469745608490,1.535,2.8960000000000003e-06
1469745608500,1.535,3.6200000000000004e-07
1469745608510,1.535,3.258e-06
1469745608520,1.535,7.240000000000001e-07
1469745608530,1.535,2.5340000000000002e-06
1469745608540,1.535,1.0859999999999999e-06
1469745608550,1.535,2.5340000000000002e-06
1469745608560,1.535,7.240000000000001e-07
1469745608570,1.535,2.1719999999999997e-06
1469745608580,1.535,1.0859999999999999e-06
1469745608590,1.535,2.5340000000000002e-06
1469745608600,1.535,7.240000000000001e-07
1469745608610,1.535,3.62e-06
1469745608620,1.535,1.81e-06
1469745608630,1.535,2.5340000000000002e-06
1469745608640,1.535,1.81e-06
1469745608650,1.535,2.1719999999999997e-06
1469745608660,1.535,1.4480000000000002e-06
1469745608670,1.535,2.1719999999999997e-06
1469745608680,1.535,1.4480000000000002e-06
1469745608690,1.535,2.1719999999999997e-06
1469745608700,1.535,7.240000000000001e-07
1469745608710,1.535,3.62e-06
1469745608720,1.535,7.240000000000001e-07
1469745608730,1.535,2.8960000000000003e-06
1469745608740,1.535,1.4480000000000002e-06
1469745608750,1.535,2.5340000000000002e-06
1469745608760,1.535,7.240000000000001e-07
1469745608770,1.535,3.258e-06
1469745608780,1.535,7.240000000000001e-07
1469745608790,1.535,2.1719999999999997e-06
1469745608800,1.535,1.0859999999999999e-06
1469745608810,1.535,2.5340000000000002e-06
1469745608820,1.535,7.240000000000001e-07
1469745608830,1.535,2.5340000000000002e-06
1469745608840,1.535,7.240000000000001e-07
1469745608850,1.535,2.1719999999999997e-06
1469745608860,1.535,7.240000000000001e-07
1469745608870,1.535,3.258e-06
1469745608880,1.535,1.81e-06
1469745608890,1.535,2.8960000000000003e-06
1469745608900,1.535,1.4480000000000002e-06
1469745608910,1.535,2.1719999999999997e-06
1469745608920,1.535,1.0859999999999999e-06
1469745608930,1.535,2.5340000000000002e-06
