Timestamp,position,BLMTI.07L7.B2I10_TCLA.A7L7.B2
1469745860750,1.575,2.5340000000000002e-06
1469745860760,1.575,1.81e-06
1469745860770,1.575,1.5566e-05
1469745860780,1.575,4.706e-05
1469745860790,1.575,5.6834e-05
1469745860800,1.575,3.4751999999999995e-05
1469745860810,1.575,1.5204e-05
1469745860820,1.575,7.24e-06
1469745860830,1.575,5.0680000000000004e-06
1469745860840,1.575,2.1719999999999997e-06
1469745860850,1.575,3.62e-06
1469745860860,1.575,3.6200000000000004e-07
1469745860870,1.575,4.343999999999999e-06
1469745860880,1.575,1.4480000000000002e-06
1469745860890,1.575,1.0859999999999999e-06
1469745860900,1.575,2.1719999999999997e-06
1469745860910,1.575,3.258e-06
1469745860920,1.575,4.706e-06
1469745860930,1.575,1.4842000000000001e-05
1469745860940,1.575,1.3755999999999998e-05
1469745860950,1.575,1.5928e-05
1469745860960,1.575,5.792000000000001e-06
1469745860970,1.575,4.343999999999999e-06
1469745860980,1.575,0.0
1469745860990,1.575,3.258e-06
1469745861000,1.575,7.240000000000001e-07
1469745861010,1.575,2.1719999999999997e-06
1469745861020,1.575,1.81e-06
1469745861030,1.575,4.343999999999999e-06
1469745861040,1.575,7.602e-06
1469745861050,1.575,5.43e-06
1469745861060,1.575,2.8960000000000003e-06
1469745861070,1.575,5.0680000000000004e-06
1469745861080,1.575,3.6200000000000004e-07
1469745861090,1.575,3.62e-06
1469745861100,1.575,7.240000000000001e-07
1469745861110,1.575,3.982e-06
1469745861120,1.575,3.6200000000000004e-07
1469745861130,1.575,3.62e-06
1469745861140,1.575,3.6200000000000004e-07
1469745861150,1.575,3.62e-06
1469745861160,1.575,1.4480000000000002e-06
1469745861170,1.575,3.258e-06
1469745861180,1.575,8.687999999999999e-06
1469745861190,1.575,3.1494e-05
1469745861200,1.575,3.1132e-05
1469745861210,1.575,1.9186e-05
1469745861220,1.575,7.602e-06
1469745861230,1.575,3.62e-06
1469745861240,1.575,2.5340000000000002e-06
1469745861250,1.575,3.258e-06
1469745861260,1.575,0.0
1469745861270,1.575,4.706e-06
1469745861280,1.575,5.792000000000001e-06
1469745861290,1.575,8.326e-06
1469745861300,1.575,1.086e-05
1469745861310,1.575,6.516e-06
1469745861320,1.575,2.8960000000000003e-06
1469745861330,1.575,3.982e-06
1469745861340,1.575,3.6200000000000004e-07
1469745861350,1.575,2.8960000000000003e-06
1469745861360,1.575,1.81e-06
1469745861370,1.575,2.1719999999999997e-06
1469745861380,1.575,7.240000000000001e-07
1469745861390,1.575,2.1719999999999997e-06
1469745861400,1.575,7.240000000000001e-07
1469745861410,1.575,3.258e-06
1469745861420,1.575,1.4480000000000002e-06
1469745861430,1.575,3.982e-06
1469745861440,1.575,4.343999999999999e-06
1469745861450,1.575,4.343999999999999e-06
1469745861460,1.575,2.5340000000000002e-06
1469745861470,1.575,3.62e-06
1469745861480,1.575,0.0
1469745861490,1.575,3.258e-06
1469745861500,1.575,7.240000000000001e-07
1469745861510,1.575,4.706e-06
1469745861520,1.575,9.412e-06
1469745861530,1.575,1.1222e-05
1469745861540,1.575,5.792000000000001e-06
1469745861550,1.575,5.43e-06
1469745861560,1.575,3.6200000000000004e-07
1469745861570,1.575,3.258e-06
1469745861580,1.575,1.4480000000000002e-06
1469745861590,1.575,1.4480000000000002e-06
1469745861600,1.575,3.6200000000000004e-07
1469745861610,1.575,2.8960000000000003e-06
1469745861620,1.575,1.81e-06
1469745861630,1.575,3.62e-06
1469745861640,1.575,1.0859999999999999e-06
1469745861650,1.575,3.258e-06
1469745861660,1.575,3.6200000000000004e-07
1469745861670,1.575,3.982e-06
1469745861680,1.575,0.0
1469745861690,1.575,4.343999999999999e-06
1469745861700,1.575,3.6200000000000004e-07
1469745861710,1.575,1.81e-06
1469745861720,1.575,3.6200000000000004e-07
1469745861730,1.575,3.62e-06
1469745861740,1.575,3.6200000000000004e-07
1469745861750,1.575,2.1719999999999997e-06
1469745861760,1.575,2.5340000000000002e-06
1469745861770,1.575,5.43e-06
1469745861780,1.575,8.687999999999999e-06
1469745861790,1.575,5.43e-06
1469745861800,1.575,1.81e-06
1469745861810,1.575,2.8960000000000003e-06
1469745861820,1.575,0.0
1469745861830,1.575,2.5340000000000002e-06
1469745861840,1.575,7.240000000000001e-07
1469745861850,1.575,2.8960000000000003e-06
1469745861860,1.575,7.240000000000001e-07
1469745861870,1.575,3.982e-06
1469745861880,1.575,1.4480000000000002e-06
1469745861890,1.575,3.258e-06
1469745861900,1.575,3.6200000000000004e-07
1469745861910,1.575,3.258e-06
1469745861920,1.575,7.240000000000001e-07
1469745861930,1.575,2.8960000000000003e-06
1469745861940,1.575,7.240000000000001e-07
1469745861950,1.575,2.8960000000000003e-06
1469745861960,1.575,7.240000000000001e-07
1469745861970,1.575,4.343999999999999e-06
1469745861980,1.575,0.0
1469745861990,1.575,2.5340000000000002e-06
