Timestamp,position,BLMTI.06R7.B1E10_TCLA.B6R7.B1
1469746076810,1.63,1.7738e-05
1469746076820,1.63,1.7738e-05
1469746076830,1.63,1.629e-05
1469746076840,1.63,1.086e-05
1469746076850,1.63,8.326e-06
1469746076860,1.63,6.516e-06
1469746076870,1.63,5.43e-06
1469746076880,1.63,6.154e-06
1469746076890,1.63,5.43e-06
1469746076900,1.63,6.877999999999999e-06
1469746076910,1.63,6.877999999999999e-06
1469746076920,1.63,9.774e-06
1469746076930,1.63,6.877999999999999e-06
1469746076940,1.63,1.3032e-05
1469746076950,1.63,8.687999999999999e-06
1469746076960,1.63,1.0136000000000001e-05
1469746076970,1.63,7.964e-06
1469746076980,1.63,7.24e-06
1469746076990,1.63,7.602e-06
1469746077000,1.63,1.3032e-05
1469746077010,1.63,1.6652e-05
1469746077020,1.63,1.3755999999999998e-05
1469746077030,1.63,1.3032e-05
1469746077040,1.63,1.0498e-05
1469746077050,1.63,2.0634e-05
1469746077060,1.63,2.6788000000000002e-05
1469746077070,1.63,3.0408e-05
1469746077080,1.63,2.2805999999999998e-05
1469746077090,1.63,1.448e-05
1469746077100,1.63,1.448e-05
1469746077110,1.63,1.629e-05
1469746077120,1.63,1.3755999999999998e-05
1469746077130,1.63,1.0498e-05
1469746077140,1.63,7.24e-06
1469746077150,1.63,4.706e-06
1469746077160,1.63,6.877999999999999e-06
1469746077170,1.63,6.516e-06
1469746077180,1.63,1.5566e-05
1469746077190,1.63,3.801e-05
1469746077200,1.63,6.7332e-05
1469746077210,1.63,3.6562e-05
1469746077220,1.63,1.9186e-05
1469746077230,1.63,7.602e-06
1469746077240,1.63,6.154e-06
1469746077250,1.63,5.0680000000000004e-06
1469746077260,1.63,5.0680000000000004e-06
1469746077270,1.63,3.62e-06
1469746077280,1.63,8.326e-06
1469746077290,1.63,1.7014e-05
1469746077300,1.63,2.715e-05
1469746077310,1.63,3.077e-05
1469746077320,1.63,2.172e-05
1469746077330,1.63,1.3755999999999998e-05
1469746077340,1.63,8.326e-06
1469746077350,1.63,7.24e-06
1469746077360,1.63,6.877999999999999e-06
1469746077370,1.63,5.0680000000000004e-06
1469746077380,1.63,7.24e-06
1469746077390,1.63,5.0680000000000004e-06
1469746077400,1.63,7.24e-06
1469746077410,1.63,3.62e-06
1469746077420,1.63,6.877999999999999e-06
1469746077430,1.63,5.792000000000001e-06
1469746077440,1.63,1.7375999999999998e-05
1469746077450,1.63,1.8100000000000003e-05
1469746077460,1.63,2.0996e-05
1469746077470,1.63,1.5928e-05
1469746077480,1.63,8.687999999999999e-06
1469746077490,1.63,5.43e-06
1469746077500,1.63,6.877999999999999e-06
1469746077510,1.63,5.792000000000001e-06
1469746077520,1.63,4.706e-06
1469746077530,1.63,5.792000000000001e-06
1469746077540,1.63,7.24e-06
1469746077550,1.63,8.687999999999999e-06
1469746077560,1.63,7.602e-06
1469746077570,1.63,7.24e-06
1469746077580,1.63,9.774e-06
1469746077590,1.63,8.326e-06
1469746077600,1.63,1.086e-05
1469746077610,1.63,8.326e-06
1469746077620,1.63,8.687999999999999e-06
1469746077630,1.63,7.602e-06
1469746077640,1.63,1.3032e-05
1469746077650,1.63,8.687999999999999e-06
1469746077660,1.63,6.154e-06
1469746077670,1.63,5.792000000000001e-06
1469746077680,1.63,5.0680000000000004e-06
1469746077690,1.63,4.706e-06
1469746077700,1.63,6.516e-06
1469746077710,1.63,6.877999999999999e-06
1469746077720,1.63,9.412e-06
1469746077730,1.63,8.687999999999999e-06
1469746077740,1.63,7.964e-06
1469746077750,1.63,7.24e-06
1469746077760,1.63,6.877999999999999e-06
1469746077770,1.63,1.0498e-05
1469746077780,1.63,1.5566e-05
1469746077790,1.63,3.6924e-05
1469746077800,1.63,4.0181999999999996e-05
1469746077810,1.63,1.7014e-05
1469746077820,1.63,8.326e-06
1469746077830,1.63,4.706e-06
1469746077840,1.63,5.792000000000001e-06
1469746077850,1.63,3.62e-06
1469746077860,1.63,5.43e-06
1469746077870,1.63,4.706e-06
1469746077880,1.63,1.1945999999999999e-05
1469746077890,1.63,1.9186e-05
1469746077900,1.63,3.439e-05
1469746077910,1.63,1.3755999999999998e-05
1469746077920,1.63,7.602e-06
1469746077930,1.63,5.43e-06
1469746077940,1.63,5.43e-06
1469746077950,1.63,4.343999999999999e-06
1469746077960,1.63,5.792000000000001e-06
1469746077970,1.63,6.877999999999999e-06
1469746077980,1.63,6.877999999999999e-06
1469746077990,1.63,7.602e-06
1469746078000,1.63,5.792000000000001e-06
1469746078010,1.63,5.0680000000000004e-06
1469746078020,1.63,5.792000000000001e-06
1469746078030,1.63,6.877999999999999e-06
1469746078040,1.63,1.0498e-05
1469746078050,1.63,2.4254000000000002e-05
1469746078060,1.63,4.0181999999999996e-05
1469746078070,1.63,1.9186e-05
1469746078080,1.63,8.326e-06
1469746078090,1.63,4.706e-06
1469746078100,1.63,5.792000000000001e-06
1469746078110,1.63,8.687999999999999e-06
1469746078120,1.63,1.5566e-05
1469746078130,1.63,3.5114e-05
1469746078140,1.63,9.8464e-05
1469746078150,1.63,9.737799999999999e-05
1469746078160,1.63,5.1404e-05
1469746078170,1.63,1.4118e-05
1469746078180,1.63,6.154e-06
1469746078190,1.63,5.0680000000000004e-06
1469746078200,1.63,6.154e-06
1469746078210,1.63,6.154e-06
1469746078220,1.63,7.24e-06
1469746078230,1.63,1.2308e-05
1469746078240,1.63,1.8824e-05
1469746078250,1.63,2.5702e-05
1469746078260,1.63,1.6652e-05
1469746078270,1.63,1.1222e-05
1469746078280,1.63,9.05e-06
1469746078290,1.63,7.964e-06
1469746078300,1.63,6.516e-06
1469746078310,1.63,5.43e-06
1469746078320,1.63,7.602e-06
1469746078330,1.63,6.516e-06
1469746078340,1.63,8.326e-06
1469746078350,1.63,6.877999999999999e-06
1469746078360,1.63,7.602e-06
1469746078370,1.63,7.24e-06
1469746078380,1.63,1.4118e-05
1469746078390,1.63,3.7648e-05
1469746078400,1.63,4.9232e-05
1469746078410,1.63,5.6472e-05
1469746078420,1.63,2.9684000000000002e-05
1469746078430,1.63,1.6652e-05
1469746078440,1.63,6.154e-06
1469746078450,1.63,6.877999999999999e-06
1469746078460,1.63,6.154e-06
1469746078470,1.63,7.964e-06
1469746078480,1.63,1.0136000000000001e-05
1469746078490,1.63,1.5928e-05
1469746078500,1.63,1.3755999999999998e-05
1469746078510,1.63,8.326e-06
1469746078520,1.63,9.05e-06
1469746078530,1.63,5.792000000000001e-06
1469746078540,1.63,5.43e-06
1469746078550,1.63,7.964e-06
1469746078560,1.63,1.1945999999999999e-05
1469746078570,1.63,1.1945999999999999e-05
1469746078580,1.63,1.086e-05
1469746078590,1.63,9.774e-06
1469746078600,1.63,8.326e-06
1469746078610,1.63,7.602e-06
1469746078620,1.63,6.877999999999999e-06
1469746078630,1.63,1.267e-05
1469746078640,1.63,1.7014e-05
1469746078650,1.63,3.5114e-05
1469746078660,1.63,2.2082e-05
1469746078670,1.63,9.412e-06
1469746078680,1.63,7.602e-06
1469746078690,1.63,4.706e-06
1469746078700,1.63,5.43e-06
1469746078710,1.63,5.792000000000001e-06
1469746078720,1.63,6.877999999999999e-06
1469746078730,1.63,7.964e-06
1469746078740,1.63,1.991e-05
1469746078750,1.63,2.8598000000000003e-05
1469746078760,1.63,5.068e-05
1469746078770,1.63,2.7874e-05
1469746078780,1.63,1.3394000000000001e-05
1469746078790,1.63,9.774e-06
1469746078800,1.63,7.602e-06
1469746078810,1.63,5.792000000000001e-06
1469746078820,1.63,5.792000000000001e-06
1469746078830,1.63,5.792000000000001e-06
1469746078840,1.63,5.792000000000001e-06
1469746078850,1.63,1.0498e-05
1469746078860,1.63,1.5566e-05
1469746078870,1.63,2.534e-05
1469746078880,1.63,1.5928e-05
1469746078890,1.63,1.3394000000000001e-05
1469746078900,1.63,1.086e-05
1469746078910,1.63,6.516e-06
1469746078920,1.63,6.154e-06
1469746078930,1.63,5.43e-06
1469746078940,1.63,5.0680000000000004e-06
1469746078950,1.63,8.687999999999999e-06
1469746078960,1.63,3.077e-05
1469746078970,1.63,5.611e-05
1469746078980,1.63,7.0952e-05
1469746078990,1.63,1.7738e-05
1469746079000,1.63,5.792000000000001e-06
1469746079010,1.63,5.43e-06
1469746079020,1.63,5.43e-06
1469746079030,1.63,7.24e-06
1469746079040,1.63,5.43e-06
1469746079050,1.63,1.0498e-05
1469746079060,1.63,2.7874e-05
1469746079070,1.63,4.8508000000000004e-05
1469746079080,1.63,2.3168000000000002e-05
1469746079090,1.63,1.0136000000000001e-05
1469746079100,1.63,5.0680000000000004e-06
1469746079110,1.63,7.24e-06
1469746079120,1.63,4.706e-06
1469746079130,1.63,4.706e-06
1469746079140,1.63,3.982e-06
1469746079150,1.63,7.24e-06
1469746079160,1.63,1.1222e-05
1469746079170,1.63,1.086e-05
1469746079180,1.63,7.24e-06
1469746079190,1.63,4.706e-06
1469746079200,1.63,3.982e-06
1469746079210,1.63,4.343999999999999e-06
1469746079220,1.63,4.343999999999999e-06
1469746079230,1.63,6.877999999999999e-06
1469746079240,1.63,1.3755999999999998e-05
1469746079250,1.63,3.3666e-05
1469746079260,1.63,5.3576000000000003e-05
1469746079270,1.63,3.4028e-05
1469746079280,1.63,9.774e-06
1469746079290,1.63,5.792000000000001e-06
1469746079300,1.63,4.343999999999999e-06
1469746079310,1.63,3.62e-06
1469746079320,1.63,4.343999999999999e-06
1469746079330,1.63,6.154e-06
1469746079340,1.63,9.774e-06
1469746079350,1.63,2.353e-05
1469746079360,1.63,2.4978e-05
1469746079370,1.63,1.3755999999999998e-05
1469746079380,1.63,6.877999999999999e-06
1469746079390,1.63,6.154e-06
1469746079400,1.63,4.343999999999999e-06
1469746079410,1.63,5.43e-06
1469746079420,1.63,5.43e-06
1469746079430,1.63,6.877999999999999e-06
1469746079440,1.63,5.792000000000001e-06
1469746079450,1.63,9.05e-06
1469746079460,1.63,9.774e-06
1469746079470,1.63,1.1222e-05
1469746079480,1.63,1.0498e-05
1469746079490,1.63,1.0136000000000001e-05
1469746079500,1.63,3.982e-06
1469746079510,1.63,6.154e-06
1469746079520,1.63,5.0680000000000004e-06
1469746079530,1.63,7.964e-06
1469746079540,1.63,5.792000000000001e-06
1469746079550,1.63,1.4118e-05
1469746079560,1.63,1.991e-05
1469746079570,1.63,5.1404e-05
1469746079580,1.63,6.697e-05
1469746079590,1.63,2.4254000000000002e-05
1469746079600,1.63,8.326e-06
1469746079610,1.63,5.792000000000001e-06
1469746079620,1.63,3.62e-06
1469746079630,1.63,6.154e-06
1469746079640,1.63,5.792000000000001e-06
1469746079650,1.63,8.326e-06
1469746079660,1.63,1.0498e-05
1469746079670,1.63,2.2444e-05
1469746079680,1.63,2.2444e-05
1469746079690,1.63,1.086e-05
1469746079700,1.63,5.43e-06
1469746079710,1.63,6.516e-06
1469746079720,1.63,3.258e-06
1469746079730,1.63,5.43e-06
1469746079740,1.63,2.8960000000000003e-06
1469746079750,1.63,6.877999999999999e-06
1469746079760,1.63,9.412e-06
1469746079770,1.63,2.6064e-05
1469746079780,1.63,1.7738e-05
1469746079790,1.63,6.877999999999999e-06
1469746079800,1.63,3.62e-06
1469746079810,1.63,5.0680000000000004e-06
1469746079820,1.63,2.5340000000000002e-06
