Timestamp,position,BLMTI.06L7.B2I10_TCLA.B6L7.B2
1469746315930,1.265,8.289799999999999e-05
1469746315940,1.265,5.792e-05
1469746315950,1.265,5.9368000000000005e-05
1469746315960,1.265,5.5023999999999994e-05
1469746315970,1.265,5.6472e-05
1469746315980,1.265,5.9006000000000004e-05
1469746315990,1.265,6.1902e-05
1469746316000,1.265,6.154e-05
1469746316010,1.265,5.4662e-05
1469746316020,1.265,5.9006000000000004e-05
1469746316030,1.265,5.6472e-05
1469746316040,1.265,5.611e-05
1469746316050,1.265,5.3938000000000004e-05
1469746316060,1.265,6.769399999999999e-05
1469746316070,1.265,7.4572e-05
1469746316080,1.265,7.1314e-05
1469746316090,1.265,6.769399999999999e-05
1469746316100,1.265,5.9006000000000004e-05
1469746316110,1.265,5.4662e-05
1469746316120,1.265,5.2128e-05
1469746316130,1.265,5.429999999999999e-05
1469746316140,1.265,5.3213999999999996e-05
1469746316150,1.265,4.3078e-05
1469746316160,1.265,4.887e-05
1469746316170,1.265,5.3213999999999996e-05
1469746316180,1.265,6.6608e-05
1469746316190,1.265,0.00010823799999999999
1469746316200,1.265,8.3622e-05
1469746316210,1.265,5.973e-05
1469746316220,1.265,5.2852e-05
1469746316230,1.265,4.9232e-05
1469746316240,1.265,4.7422e-05
1469746316250,1.265,4.8508000000000004e-05
1469746316260,1.265,4.7783999999999995e-05
1469746316270,1.265,4.7783999999999995e-05
1469746316280,1.265,4.4888e-05
1469746316290,1.265,4.0544000000000003e-05
1469746316300,1.265,4.525e-05
1469746316310,1.265,4.887e-05
1469746316320,1.265,5.3938000000000004e-05
1469746316330,1.265,5.973e-05
1469746316340,1.265,7.0952e-05
1469746316350,1.265,6.950399999999999e-05
1469746316360,1.265,6.0816e-05
1469746316370,1.265,5.6834e-05
1469746316380,1.265,4.9232e-05
1469746316390,1.265,4.2716e-05
1469746316400,1.265,4.4888e-05
1469746316410,1.265,4.5974e-05
1469746316420,1.265,4.6336000000000005e-05
1469746316430,1.265,4.8508000000000004e-05
1469746316440,1.265,5.5023999999999994e-05
1469746316450,1.265,6.4074e-05
1469746316460,1.265,6.9142e-05
1469746316470,1.265,6.516e-05
1469746316480,1.265,4.9232e-05
1469746316490,1.265,4.3078e-05
1469746316500,1.265,4.0544000000000003e-05
1469746316510,1.265,4.2716e-05
1469746316520,1.265,4.163e-05
1469746316530,1.265,4.6336000000000005e-05
1469746316540,1.265,6.697e-05
1469746316550,1.265,6.9866e-05
1469746316560,1.265,5.973e-05
1469746316570,1.265,4.5974e-05
1469746316580,1.265,4.3802e-05
1469746316590,1.265,4.525e-05
1469746316600,1.265,4.4526e-05
1469746316610,1.265,3.4751999999999995e-05
1469746316620,1.265,4.0906e-05
1469746316630,1.265,4.3802e-05
1469746316640,1.265,4.7783999999999995e-05
1469746316650,1.265,5.1042e-05
1469746316660,1.265,5.9006000000000004e-05
1469746316670,1.265,5.429999999999999e-05
1469746316680,1.265,4.3802e-05
1469746316690,1.265,4.1992e-05
1469746316700,1.265,3.1856e-05
1469746316710,1.265,3.8372e-05
1469746316720,1.265,3.8372e-05
1469746316730,1.265,4.344e-05
1469746316740,1.265,4.959399999999999e-05
1469746316750,1.265,6.154e-05
1469746316760,1.265,5.3576000000000003e-05
1469746316770,1.265,5.068e-05
