Timestamp,position,BLMTI.04L7.B1E10_TCSG.B4L7.B1
1469746325710,2.21,1.4842000000000001e-05
1469746325720,2.21,1.3755999999999998e-05
1469746325730,2.21,1.5204e-05
1469746325740,2.21,1.3755999999999998e-05
1469746325750,2.21,1.3755999999999998e-05
1469746325760,2.21,1.0498e-05
1469746325770,2.21,1.3032e-05
1469746325780,2.21,1.4118e-05
1469746325790,2.21,1.5566e-05
1469746325800,2.21,1.5928e-05
1469746325810,2.21,1.0498e-05
1469746325820,2.21,1.267e-05
1469746325830,2.21,1.2308e-05
1469746325840,2.21,1.1945999999999999e-05
1469746325850,2.21,1.0498e-05
1469746325860,2.21,1.1945999999999999e-05
1469746325870,2.21,1.086e-05
1469746325880,2.21,1.1945999999999999e-05
1469746325890,2.21,6.877999999999999e-06
1469746325900,2.21,1.0498e-05
1469746325910,2.21,6.877999999999999e-06
1469746325920,2.21,1.1222e-05
1469746325930,2.18,1.086e-05
1469746325940,2.18,1.8462e-05
1469746325950,2.18,2.6064e-05
1469746325960,2.18,2.7874e-05
1469746325970,2.18,2.4978e-05
1469746325980,2.18,2.2082e-05
1469746325990,2.18,1.991e-05
1469746326000,2.18,1.4842000000000001e-05
1469746326010,2.18,1.3755999999999998e-05
1469746326020,2.18,1.0498e-05
1469746326030,2.18,1.3032e-05
1469746326040,2.18,1.5566e-05
1469746326050,2.18,1.9186e-05
1469746326060,2.18,2.1358e-05
1469746326070,2.18,1.7375999999999998e-05
1469746326080,2.18,7.964e-06
1469746326090,2.18,9.774e-06
1469746326100,2.18,1.0498e-05
1469746326110,2.18,1.5204e-05
1469746326120,2.18,1.7375999999999998e-05
1469746326130,2.18,2.6064e-05
1469746326140,2.18,3.5838000000000005e-05
1469746326150,2.18,3.4028e-05
1469746326160,2.18,2.4616e-05
1469746326170,2.18,1.7014e-05
1469746326180,2.18,1.1945999999999999e-05
1469746326190,2.18,9.05e-06
1469746326200,2.18,7.964e-06
1469746326210,2.18,9.774e-06
1469746326220,2.18,1.3032e-05
1469746326230,2.18,2.172e-05
1469746326240,2.18,2.5702e-05
1469746326250,2.18,2.3891999999999998e-05
1469746326260,2.18,1.7375999999999998e-05
1469746326270,2.18,1.1584000000000001e-05
1469746326280,2.18,1.3394000000000001e-05
1469746326290,2.18,1.267e-05
1469746326300,2.18,1.448e-05
1469746326310,2.18,1.086e-05
1469746326320,2.18,1.8824e-05
1469746326330,2.18,2.353e-05
1469746326340,2.18,2.1358e-05
1469746326350,2.18,2.715e-05
1469746326360,2.18,3.6200000000000006e-05
1469746326370,2.18,0.000102084
1469746326380,2.18,0.000158918
1469746326390,2.18,0.000139732
1469746326400,2.18,0.000275482
1469746326410,2.18,0.000271862
1469746326420,2.18,0.000282722
1469746326430,2.18,0.000255572
1469746326440,2.18,0.000287428
1469746326450,2.18,0.00036525800000000003
1469746326460,2.18,0.000398924
1469746326470,2.18,0.00038335800000000004
1469746326480,2.18,0.000334488
