Timestamp,position,BLMTI.06R7.B1E10_TCLA.C6R7.B1
1469746976700,3.33,1.4480000000000002e-06
1469746976710,3.33,1.0859999999999999e-06
1469746976720,3.33,7.240000000000001e-07
1469746976730,3.33,1.0859999999999999e-06
1469746976740,3.33,1.4480000000000002e-06
1469746976750,3.33,7.240000000000001e-07
1469746976760,3.33,1.4480000000000002e-06
1469746976770,3.33,1.4480000000000002e-06
1469746976780,3.33,1.0859999999999999e-06
1469746976790,3.33,1.0859999999999999e-06
1469746976800,3.33,1.0859999999999999e-06
1469746976810,3.33,1.0859999999999999e-06
1469746976820,3.33,1.4480000000000002e-06
1469746976830,3.33,1.81e-06
1469746976840,3.33,3.6200000000000004e-07
1469746976850,3.33,1.4480000000000002e-06
1469746976860,3.33,7.240000000000001e-07
1469746976870,3.33,1.0859999999999999e-06
1469746976880,3.33,1.0859999999999999e-06
1469746976890,3.33,1.4480000000000002e-06
1469746976900,3.33,1.0859999999999999e-06
1469746976910,3.33,1.0859999999999999e-06
1469746976920,3.33,1.4480000000000002e-06
1469746976930,3.33,1.0859999999999999e-06
1469746976940,3.33,1.0859999999999999e-06
1469746976950,3.33,1.4480000000000002e-06
1469746976960,3.33,1.0859999999999999e-06
1469746976970,3.33,1.0859999999999999e-06
1469746976980,3.33,1.0859999999999999e-06
1469746976990,3.33,1.4480000000000002e-06
1469746977000,3.33,1.0859999999999999e-06
1469746977010,3.33,1.4480000000000002e-06
1469746977020,3.33,7.240000000000001e-07
1469746977030,3.33,7.240000000000001e-07
1469746977040,3.33,1.4480000000000002e-06
1469746977050,3.33,1.0859999999999999e-06
1469746977060,3.33,1.0859999999999999e-06
1469746977070,3.33,1.0859999999999999e-06
1469746977080,3.33,1.4480000000000002e-06
1469746977090,3.33,1.0859999999999999e-06
1469746977100,3.33,1.4480000000000002e-06
1469746977110,3.33,7.240000000000001e-07
1469746977120,3.33,1.4480000000000002e-06
1469746977130,3.33,1.4480000000000002e-06
1469746977140,3.33,1.4480000000000002e-06
1469746977150,3.33,3.6200000000000004e-07
1469746977160,3.33,1.0859999999999999e-06
1469746977170,3.33,1.0859999999999999e-06
1469746977180,3.33,1.0859999999999999e-06
1469746977190,3.33,1.4480000000000002e-06
1469746977200,3.33,7.240000000000001e-07
1469746977210,3.33,1.4480000000000002e-06
1469746977220,3.33,1.0859999999999999e-06
1469746977230,3.33,1.4480000000000002e-06
1469746977240,3.33,1.0859999999999999e-06
1469746977250,3.33,1.4480000000000002e-06
1469746977260,3.33,3.6200000000000004e-07
1469746977270,3.33,2.1719999999999997e-06
1469746977280,3.33,1.4480000000000002e-06
1469746977290,3.33,3.6200000000000004e-07
1469746977300,3.33,1.0859999999999999e-06
1469746977310,3.33,1.4480000000000002e-06
1469746977320,3.33,2.1719999999999997e-06
1469746977330,3.33,1.0859999999999999e-06
1469746977340,3.33,1.4480000000000002e-06
1469746977350,3.33,7.240000000000001e-07
1469746977360,3.33,1.4480000000000002e-06
1469746977370,3.33,7.240000000000001e-07
1469746977380,3.33,1.0859999999999999e-06
1469746977390,3.33,1.0859999999999999e-06
1469746977400,3.33,1.4480000000000002e-06
1469746977410,3.33,1.4480000000000002e-06
1469746977420,3.33,3.6200000000000004e-07
1469746977430,3.33,2.5340000000000002e-06
