Timestamp,position,BLMTI.06R7.B1E10_TCLA.A6R7.B1
1469748058420,1.08,5.1042e-05
1469748058430,1.08,6.6608e-05
1469748058440,1.08,5.0318e-05
1469748058450,1.08,3.982e-05
1469748058460,1.08,3.3304e-05
1469748058470,1.08,3.258e-05
1469748058480,1.08,3.7286e-05
1469748058490,1.08,3.0046e-05
1469748058500,1.08,3.2942e-05
1469748058510,1.08,2.8236e-05
1469748058520,1.08,3.2942e-05
1469748058530,1.08,2.6426e-05
1469748058540,1.08,2.9321999999999998e-05
1469748058550,1.08,2.8236e-05
1469748058560,1.08,3.9458e-05
1469748058570,1.08,2.7511999999999997e-05
1469748058580,1.08,3.439e-05
1469748058590,1.08,3.2218e-05
1469748058600,1.08,5.7196000000000006e-05
1469748058610,1.08,4.344e-05
1469748058620,1.08,5.1404e-05
1469748058630,1.08,6.0092e-05
1469748058640,1.08,0.000102084
1469748058650,1.08,6.4798e-05
1469748058660,1.08,5.1766000000000005e-05
1469748058670,1.08,4.4164e-05
1469748058680,1.08,6.697e-05
1469748058690,1.08,5.0318e-05
1469748058700,1.08,3.4751999999999995e-05
1469748058710,1.08,2.8236e-05
1469748058720,1.08,3.0408e-05
1469748058730,1.08,2.7511999999999997e-05
1469748058740,1.08,3.0408e-05
1469748058750,1.08,2.353e-05
1469748058760,1.08,3.1494e-05
1469748058770,1.08,2.6788000000000002e-05
1469748058780,1.08,3.4028e-05
1469748058790,1.08,3.077e-05
1469748058800,1.08,3.1856e-05
1469748058810,1.08,3.1494e-05
1469748058820,1.08,3.9096e-05
1469748058830,1.08,6.769399999999999e-05
1469748058840,1.08,8.6156e-05
1469748058850,1.08,4.9232e-05
1469748058860,1.08,6.8056e-05
1469748058870,1.08,5.7558e-05
1469748058880,1.08,8.8328e-05
1469748058890,1.08,6.4436e-05
1469748058900,1.08,5.6472e-05
1469748058910,1.08,3.8734e-05
1469748058920,1.08,3.8734e-05
1469748058930,1.08,3.8372e-05
1469748058940,1.08,4.5611999999999996e-05
1469748058950,1.08,2.9321999999999998e-05
1469748058960,1.08,3.0046e-05
1469748058970,1.08,2.6788000000000002e-05
1469748058980,1.08,3.7286e-05
1469748058990,1.08,3.4751999999999995e-05
1469748059000,1.08,3.4028e-05
1469748059010,1.08,3.801e-05
1469748059020,1.08,3.8372e-05
1469748059030,1.08,4.887e-05
1469748059040,1.08,5.068e-05
1469748059050,1.08,5.5023999999999994e-05
1469748059060,1.08,7.8916e-05
1469748059070,1.08,7.240000000000001e-05
1469748059080,1.08,6.4436e-05
1469748059090,1.08,7.8192e-05
1469748059100,1.08,8.470799999999999e-05
1469748059110,1.08,6.6246e-05
1469748059120,1.08,8.289799999999999e-05
1469748059130,1.08,5.0318e-05
1469748059140,1.08,5.5386e-05
1469748059150,1.08,3.3304e-05
1469748059160,1.08,4.4164e-05
1469748059170,1.08,3.2218e-05
1469748059180,1.08,3.5838000000000005e-05
1469748059190,1.08,2.4254000000000002e-05
1469748059200,1.08,3.1856e-05
1469748059210,1.08,3.258e-05
1469748059220,1.08,3.4751999999999995e-05
1469748059230,1.08,3.2218e-05
1469748059240,1.08,3.3304e-05
1469748059250,1.08,2.9321999999999998e-05
1469748059260,1.08,2.896e-05
1469748059270,1.08,5.2852e-05
1469748059280,1.08,5.249e-05
1469748059290,1.08,6.516e-05
1469748059300,1.08,4.5974e-05
1469748059310,1.08,8.2536e-05
1469748059320,1.08,0.00017267400000000002
1469748059330,1.08,0.00015747
1469748059340,1.08,0.00014335200000000002
1469748059350,1.08,8.688e-05
1469748059360,1.08,0.000118374
1469748059370,1.08,6.0092e-05
1469748059380,1.08,8.1812e-05
1469748059390,1.08,4.1992e-05
1469748059400,1.08,5.068e-05
1469748059410,1.08,3.5114e-05
1469748059420,1.08,3.6200000000000006e-05
1469748059430,1.08,2.8598000000000003e-05
1469748059440,1.08,3.982e-05
1469748059450,1.08,3.1856e-05
1469748059460,1.08,3.3304e-05
1469748059470,1.08,6.4436e-05
1469748059480,1.08,5.6834e-05
1469748059490,1.08,9.520600000000001e-05
1469748059500,1.08,5.1766000000000005e-05
1469748059510,1.08,0.000102808
1469748059520,1.08,8.3984e-05
1469748059530,1.08,0.00016905400000000002
1469748059540,1.08,0.00011656399999999999
1469748059550,1.08,8.5432e-05
1469748059560,1.08,0.000111496
1469748059570,1.08,0.000127786
1469748059580,1.08,0.000158556
1469748059590,1.08,6.4798e-05
1469748059600,1.08,7.6382e-05
1469748059610,1.08,5.1404e-05
1469748059620,1.08,7.348600000000001e-05
1469748059630,1.08,4.2716e-05
1469748059640,1.08,4.0906e-05
1469748059650,1.08,2.6064e-05
1469748059660,1.08,4.0181999999999996e-05
1469748059670,1.08,3.3304e-05
1469748059680,1.08,3.1132e-05
1469748059690,1.08,3.2942e-05
1469748059700,1.08,4.0544000000000003e-05
1469748059710,1.08,5.3938000000000004e-05
1469748059720,1.08,4.959399999999999e-05
1469748059730,1.08,6.697e-05
1469748059740,1.08,5.2852e-05
1469748059750,1.08,0.000148782
1469748059760,1.08,0.00011765
1469748059770,1.08,0.00017267400000000002
1469748059780,1.08,0.00014805799999999998
1469748059790,1.08,0.000140094
1469748059800,1.08,0.000166158
1469748059810,1.08,0.000208512
1469748059820,1.08,0.000115478
1469748059830,1.08,4.163e-05
1469748059840,1.08,4.4164e-05
1469748059850,1.08,3.8372e-05
1469748059860,1.08,4.163e-05
1469748059870,1.08,2.5702e-05
1469748059880,1.08,3.0046e-05
1469748059890,1.08,2.3168000000000002e-05
1469748059900,1.08,2.896e-05
1469748059910,1.08,2.4616e-05
1469748059920,1.08,3.0408e-05
1469748059930,1.08,2.3891999999999998e-05
1469748059940,1.08,3.1856e-05
1469748059950,1.08,3.9458e-05
1469748059960,1.08,3.8734e-05
1469748059970,1.08,5.3213999999999996e-05
1469748059980,1.08,6.4074e-05
1469748059990,1.08,0.00021358
1469748060000,1.08,0.000153488
1469748060010,1.08,0.000160366
1469748060020,1.08,9.556799999999999e-05
1469748060030,1.08,0.000272948
1469748060040,1.08,0.000444536
1469748060050,1.08,0.00019186
1469748060060,1.08,8.145e-05
1469748060070,1.08,5.429999999999999e-05
1469748060080,1.08,9.412e-05
1469748060090,1.08,6.154e-05
1469748060100,1.08,4.4888e-05
1469748060110,1.08,2.6426e-05
