Timestamp,position,BLMTI.05R7.B1E10_TCSG.E5R7.B1
1469748620450,1.46,4.706e-06
1469748620460,1.46,3.62e-06
1469748620470,1.46,5.0680000000000004e-06
1469748620480,1.46,5.0680000000000004e-06
1469748620490,1.46,2.8960000000000003e-06
1469748620500,1.46,3.62e-06
1469748620510,1.46,8.326e-06
1469748620520,1.46,6.877999999999999e-06
1469748620530,1.46,5.43e-06
1469748620540,1.46,8.326e-06
1469748620550,1.46,5.0680000000000004e-06
1469748620560,1.46,6.516e-06
1469748620570,1.46,6.154e-06
1469748620580,1.46,1.0859999999999999e-06
1469748620590,1.46,9.05e-06
1469748620600,1.46,2.5340000000000002e-06
1469748620610,1.46,6.154e-06
1469748620620,1.46,2.8960000000000003e-06
1469748620630,1.46,8.326e-06
1469748620640,1.46,1.0859999999999999e-06
1469748620650,1.46,1.086e-05
1469748620660,1.46,2.8960000000000003e-06
1469748620670,1.46,6.516e-06
1469748620680,1.46,3.62e-06
1469748620690,1.46,7.24e-06
1469748620700,1.46,3.258e-06
1469748620710,1.46,5.0680000000000004e-06
1469748620720,1.46,3.258e-06
1469748620730,1.46,7.964e-06
1469748620740,1.46,1.0859999999999999e-06
1469748620750,1.46,7.24e-06
1469748620760,1.46,1.81e-06
1469748620770,1.46,1.1945999999999999e-05
1469748620780,1.46,1.4480000000000002e-06
1469748620790,1.46,9.412e-06
1469748620800,1.46,7.240000000000001e-07
1469748620810,1.46,8.687999999999999e-06
1469748620820,1.46,1.81e-06
1469748620830,1.46,5.0680000000000004e-06
1469748620840,1.46,1.81e-06
1469748620850,1.46,7.602e-06
1469748620860,1.46,1.81e-06
1469748620870,1.46,8.687999999999999e-06
1469748620880,1.46,1.0859999999999999e-06
1469748620890,1.46,9.774e-06
1469748620900,1.46,1.4480000000000002e-06
1469748620910,1.46,8.687999999999999e-06
1469748620920,1.46,0.0
1469748620930,1.46,6.516e-06
1469748620940,1.46,0.0
1469748620950,1.46,8.326e-06
1469748620960,1.46,4.343999999999999e-06
1469748620970,1.46,9.05e-06
1469748620980,1.46,7.240000000000001e-07
1469748620990,1.46,9.05e-06
1469748621000,1.46,1.4480000000000002e-06
1469748621010,1.46,8.687999999999999e-06
1469748621020,1.46,1.4480000000000002e-06
1469748621030,1.46,6.877999999999999e-06
1469748621040,1.46,2.8960000000000003e-06
1469748621050,1.46,6.877999999999999e-06
1469748621060,1.46,0.0
1469748621070,1.46,8.687999999999999e-06
1469748621080,1.46,5.43e-06
1469748621090,1.46,5.792000000000001e-06
1469748621100,1.46,0.0
1469748621110,1.46,7.24e-06
1469748621120,1.46,1.81e-06
1469748621130,1.46,8.687999999999999e-06
1469748621140,1.46,1.81e-06
1469748621150,1.46,1.3032e-05
1469748621160,1.46,0.0
1469748621170,1.46,5.43e-06
1469748621180,1.46,5.792000000000001e-06
1469748621190,1.46,7.24e-06
1469748621200,1.46,0.0
1469748621210,1.46,9.412e-06
1469748621220,1.46,0.0
1469748621230,1.46,1.086e-05
1469748621240,1.46,0.0
1469748621250,1.46,9.412e-06
1469748621260,1.46,2.8960000000000003e-06
1469748621270,1.46,7.24e-06
1469748621280,1.46,0.0
1469748621290,1.46,1.0136000000000001e-05
