Timestamp,position,BLMTI.05L7.B2I10_TCSG.B5L7.B2
1469748631560,1.4,4.706e-05
1469748631570,1.4,4.8146e-05
1469748631580,1.4,4.5611999999999996e-05
1469748631590,1.4,4.4888e-05
1469748631600,1.4,4.0544000000000003e-05
1469748631610,1.4,3.7286e-05
1469748631620,1.4,4.0544000000000003e-05
1469748631630,1.4,3.801e-05
1469748631640,1.4,3.8734e-05
1469748631650,1.4,3.8372e-05
1469748631660,1.4,3.982e-05
1469748631670,1.4,3.9458e-05
1469748631680,1.4,4.0544000000000003e-05
1469748631690,1.4,4.2353999999999995e-05
1469748631700,1.4,4.2716e-05
1469748631710,1.4,4.4888e-05
1469748631720,1.4,4.1992e-05
1469748631730,1.4,4.3802e-05
1469748631740,1.4,4.1992e-05
1469748631750,1.4,4.3802e-05
1469748631760,1.4,4.0181999999999996e-05
1469748631770,1.4,3.8734e-05
1469748631780,1.4,3.7286e-05
1469748631790,1.4,3.5838000000000005e-05
1469748631800,1.4,3.4751999999999995e-05
1469748631810,1.4,3.6562e-05
1469748631820,1.4,3.5838000000000005e-05
1469748631830,1.4,3.9096e-05
1469748631840,1.4,3.982e-05
1469748631850,1.4,3.9096e-05
1469748631860,1.4,3.9096e-05
1469748631870,1.4,3.5838000000000005e-05
1469748631880,1.4,4.0544000000000003e-05
1469748631890,1.4,3.5838000000000005e-05
1469748631900,1.4,3.8372e-05
1469748631910,1.4,3.8734e-05
1469748631920,1.4,3.8372e-05
1469748631930,1.4,3.7648e-05
1469748631940,1.4,3.6200000000000006e-05
1469748631950,1.4,3.6924e-05
1469748631960,1.4,3.4028e-05
1469748631970,1.4,3.5838000000000005e-05
1469748631980,1.4,3.6200000000000006e-05
1469748631990,1.4,3.7648e-05
1469748632000,1.4,3.9096e-05
1469748632010,1.4,4.1268e-05
1469748632020,1.4,3.982e-05
1469748632030,1.4,3.5838000000000005e-05
1469748632040,1.4,3.9458e-05
1469748632050,1.4,3.7286e-05
1469748632060,1.4,3.5838000000000005e-05
1469748632070,1.4,3.5838000000000005e-05
1469748632080,1.4,3.6562e-05
1469748632090,1.4,3.3304e-05
1469748632100,1.4,3.5114e-05
1469748632110,1.4,3.5476e-05
1469748632120,1.4,3.439e-05
1469748632130,1.4,3.4028e-05
1469748632140,1.4,3.3666e-05
1469748632150,1.4,3.5476e-05
1469748632160,1.4,3.439e-05
1469748632170,1.4,3.6924e-05
1469748632180,1.4,3.8734e-05
1469748632190,1.4,3.801e-05
1469748632200,1.4,3.5476e-05
1469748632210,1.4,3.1856e-05
1469748632220,1.4,3.3666e-05
1469748632230,1.4,3.3304e-05
1469748632240,1.4,3.439e-05
1469748632250,1.4,3.1132e-05
1469748632260,1.4,3.2218e-05
1469748632270,1.4,3.1494e-05
1469748632280,1.4,3.2942e-05
1469748632290,1.4,3.0046e-05
1469748632300,1.4,3.258e-05
1469748632310,1.4,3.0408e-05
1469748632320,1.4,3.1494e-05
1469748632330,1.4,3.1132e-05
1469748632340,1.4,3.5838000000000005e-05
1469748632350,1.4,3.801e-05
1469748632360,1.4,3.1132e-05
1469748632370,1.4,3.1856e-05
1469748632380,1.4,2.9321999999999998e-05
1469748632390,1.4,3.2942e-05
1469748632400,1.4,3.1856e-05
1469748632410,1.4,3.1132e-05
1469748632420,1.4,3.2942e-05
1469748632430,1.4,3.077e-05
1469748632440,1.4,3.439e-05
1469748632450,1.4,3.3666e-05
1469748632460,1.4,3.2218e-05
1469748632470,1.4,3.2218e-05
1469748632480,1.4,3.2942e-05
1469748632490,1.4,2.7511999999999997e-05
1469748632500,1.4,3.1494e-05
1469748632510,1.4,2.6426e-05
1469748632520,1.4,3.0046e-05
1469748632530,1.4,3.0046e-05
1469748632540,1.4,2.8598000000000003e-05
1469748632550,1.4,3.0046e-05
1469748632560,1.4,2.9321999999999998e-05
1469748632570,1.4,2.896e-05
1469748632580,1.4,3.0408e-05
1469748632590,1.4,3.1856e-05
1469748632600,1.4,2.9684000000000002e-05
1469748632610,1.4,3.2218e-05
1469748632620,1.4,3.258e-05
1469748632630,1.4,3.2942e-05
1469748632640,1.4,2.7874e-05
1469748632650,1.4,2.8598000000000003e-05
1469748632660,1.4,2.7511999999999997e-05
1469748632670,1.4,3.077e-05
1469748632680,1.4,2.9684000000000002e-05
1469748632690,1.4,3.0046e-05
1469748632700,1.4,3.2218e-05
1469748632710,1.4,3.2218e-05
1469748632720,1.4,3.5838000000000005e-05
1469748632730,1.4,3.3666e-05
1469748632740,1.4,3.1494e-05
1469748632750,1.4,3.1856e-05
1469748632760,1.4,2.896e-05
1469748632770,1.4,3.0046e-05
1469748632780,1.4,3.077e-05
1469748632790,1.4,2.9684000000000002e-05
1469748632800,1.4,2.8598000000000003e-05
1469748632810,1.4,2.896e-05
1469748632820,1.4,2.9321999999999998e-05
1469748632830,1.4,2.7874e-05
1469748632840,1.4,2.8598000000000003e-05
1469748632850,1.4,2.9321999999999998e-05
1469748632860,1.4,3.0408e-05
1469748632870,1.4,2.8236e-05
1469748632880,1.4,3.2218e-05
1469748632890,1.4,3.077e-05
1469748632900,1.4,3.2942e-05
1469748632910,1.4,3.0046e-05
1469748632920,1.4,3.077e-05
1469748632930,1.4,2.9321999999999998e-05
1469748632940,1.4,2.7874e-05
1469748632950,1.4,2.896e-05
1469748632960,1.4,3.0408e-05
1469748632970,1.4,3.077e-05
1469748632980,1.4,2.9684000000000002e-05
1469748632990,1.4,2.9684000000000002e-05
1469748633000,1.4,3.0408e-05
1469748633010,1.4,3.0408e-05
1469748633020,1.4,2.896e-05
1469748633030,1.4,3.1856e-05
1469748633040,1.4,2.9321999999999998e-05
1469748633050,1.4,3.1494e-05
1469748633060,1.4,3.2942e-05
1469748633070,1.4,2.8598000000000003e-05
1469748633080,1.4,3.0408e-05
1469748633090,1.4,2.8598000000000003e-05
1469748633100,1.4,2.8236e-05
1469748633110,1.4,2.6064e-05
1469748633120,1.4,2.6064e-05
1469748633130,1.4,2.7874e-05
1469748633140,1.4,2.7874e-05
1469748633150,1.4,2.7874e-05
1469748633160,1.4,2.8598000000000003e-05
1469748633170,1.4,2.9321999999999998e-05
1469748633180,1.4,2.8236e-05
1469748633190,1.4,3.0046e-05
1469748633200,1.4,2.9321999999999998e-05
1469748633210,1.4,2.9684000000000002e-05
1469748633220,1.4,3.0046e-05
1469748633230,1.4,3.258e-05
1469748633240,1.4,3.0046e-05
1469748633250,1.4,3.0408e-05
1469748633260,1.4,2.7511999999999997e-05
1469748633270,1.4,2.5702e-05
1469748633280,1.4,3.0046e-05
1469748633290,1.4,2.7874e-05
1469748633300,1.4,2.9684000000000002e-05
1469748633310,1.4,2.7511999999999997e-05
1469748633320,1.4,3.0408e-05
1469748633330,1.4,3.1494e-05
1469748633340,1.4,3.0408e-05
