Timestamp,position,BLMTI.04R7.B1E10_TCSG.A4R7.B1
1469749041170,0.885,0.00018136200000000002
1469749041180,0.885,0.000170502
1469749041190,0.885,0.000155298
1469749041200,0.885,0.000129234
1469749041210,0.885,0.00011222
1469749041220,0.885,8.2174e-05
1469749041230,0.885,7.6744e-05
1469749041240,0.885,7.8554e-05
1469749041250,0.885,9.3396e-05
1469749041260,0.885,9.6654e-05
1469749041270,0.885,0.000102446
1469749041280,0.885,9.9912e-05
1469749041290,0.885,0.000102808
1469749041300,0.885,0.00011656399999999999
1469749041310,0.885,0.000129234
1469749041320,0.885,0.00012271799999999999
1469749041330,0.885,0.000115478
1469749041340,0.885,0.00013538799999999999
1469749041350,0.885,0.00013430200000000002
1469749041360,0.885,0.00010787600000000001
1469749041370,0.885,9.231e-05
1469749041380,0.885,8.5432e-05
1469749041390,0.885,9.448200000000001e-05
1469749041400,0.885,9.6654e-05
1469749041410,0.885,0.00012670000000000002
1469749041420,0.885,0.00012633799999999998
1469749041430,0.885,0.00012308
1469749041440,0.885,0.00012054600000000001
1469749041450,0.885,0.000122356
1469749041460,0.885,0.000106066
1469749041470,0.885,0.000100274
1469749041480,0.885,9.8826e-05
1469749041490,0.885,9.267200000000001e-05
1469749041500,0.885,9.737799999999999e-05
1469749041510,0.885,9.412e-05
1469749041520,0.885,0.000100636
1469749041530,0.885,0.000109686
1469749041540,0.885,9.520600000000001e-05
1469749041550,0.885,8.869e-05
1469749041560,0.885,8.2536e-05
1469749041570,0.885,8.7242e-05
1469749041580,0.885,9.6654e-05
1469749041590,0.885,0.00011584
1469749041600,0.885,0.00011403
1469749041610,0.885,0.000111496
1469749041620,0.885,0.000104256
1469749041630,0.885,0.000109686
1469749041640,0.885,9.375799999999999e-05
1469749041650,0.885,9.412e-05
1469749041660,0.885,0.00010534200000000001
1469749041670,0.885,0.00011584
1469749041680,0.885,0.000129234
1469749041690,0.885,0.000150954
1469749041700,0.885,0.00013900799999999998
1469749041710,0.885,0.000115478
1469749041720,0.885,9.556799999999999e-05
1469749041730,0.885,8.8328e-05
1469749041740,0.885,8.7242e-05
1469749041750,0.885,9.05e-05
1469749041760,0.885,0.000106066
1469749041770,0.885,0.000140094
1469749041780,0.885,0.00014697200000000002
1469749041790,0.885,0.000129958
1469749041800,0.885,9.737799999999999e-05
1469749041810,0.885,8.5432e-05
1469749041820,0.885,6.950399999999999e-05
1469749041830,0.885,7.4934e-05
1469749041840,0.885,7.8916e-05
1469749041850,0.885,0.000113306
1469749041860,0.885,0.000131768
1469749041870,0.885,0.000153126
1469749041880,0.885,0.000145886
1469749041890,0.885,0.000132492
1469749041900,0.885,0.000100636
1469749041910,0.885,8.688e-05
1469749041920,0.885,7.5296e-05
1469749041930,0.885,7.6382e-05
1469749041940,0.885,9.05e-05
1469749041950,0.885,9.8826e-05
1469749041960,0.885,0.000100636
1469749041970,0.885,0.000100636
1469749041980,0.885,0.00010353200000000001
1469749041990,0.885,8.9052e-05
1469749042000,0.885,9.122399999999999e-05
1469749042010,0.885,9.6292e-05
1469749042020,0.885,0.00011439200000000001
1469749042030,0.885,0.000121632
1469749042040,0.885,0.000125252
1469749042050,0.885,0.000137198
1469749042060,0.885,0.000110772
1469749042070,0.885,9.122399999999999e-05
1469749042080,0.885,8.145e-05
1469749042090,0.885,8.0002e-05
1469749042100,0.885,8.434600000000001e-05
1469749042110,0.885,9.737799999999999e-05
