Timestamp,position,BLMTI.04L7.B1E10_TCSG.A4L7.B1
1469749180260,1.58,1.8462e-05
1469749180270,1.58,2.0996e-05
1469749180280,1.58,2.5702e-05
1469749180290,1.58,3.6924e-05
1469749180300,1.58,4.4526e-05
1469749180310,1.58,4.4888e-05
1469749180320,1.58,3.6562e-05
1469749180330,1.58,3.2218e-05
1469749180340,1.58,2.7511999999999997e-05
1469749180350,1.58,2.8598000000000003e-05
1469749180360,1.58,2.4616e-05
1469749180370,1.58,3.0046e-05
1469749180380,1.58,3.077e-05
1469749180390,1.58,2.8598000000000003e-05
1469749180400,1.58,2.7874e-05
1469749180410,1.58,2.1358e-05
1469749180420,1.58,1.8824e-05
1469749180430,1.58,1.4842000000000001e-05
1469749180440,1.58,1.8462e-05
1469749180450,1.58,2.1358e-05
1469749180460,1.58,2.4978e-05
1469749180470,1.58,2.2805999999999998e-05
1469749180480,1.58,2.6788000000000002e-05
1469749180490,1.58,2.534e-05
1469749180500,1.58,2.8598000000000003e-05
1469749180510,1.58,2.534e-05
1469749180520,1.58,1.629e-05
1469749180530,1.58,2.5702e-05
1469749180540,1.58,2.4616e-05
1469749180550,1.58,2.534e-05
1469749180560,1.58,2.0996e-05
1469749180570,1.58,2.353e-05
1469749180580,1.58,2.2444e-05
1469749180590,1.58,2.0634e-05
1469749180600,1.58,1.7738e-05
1469749180610,1.58,1.9186e-05
1469749180620,1.58,1.9548e-05
1469749180630,1.58,2.0272000000000002e-05
1469749180640,1.58,2.4254000000000002e-05
1469749180650,1.58,1.8100000000000003e-05
1469749180660,1.58,1.6652e-05
1469749180670,1.58,1.6652e-05
1469749180680,1.58,1.9548e-05
1469749180690,1.58,1.7014e-05
1469749180700,1.58,1.8462e-05
1469749180710,1.58,1.448e-05
1469749180720,1.58,1.2308e-05
1469749180730,1.58,1.4118e-05
1469749180740,1.58,1.7738e-05
1469749180750,1.58,1.9186e-05
1469749180760,1.58,1.8462e-05
1469749180770,1.58,2.3168000000000002e-05
1469749180780,1.58,2.4254000000000002e-05
1469749180790,1.58,2.3891999999999998e-05
1469749180800,1.58,1.9186e-05
1469749180810,1.58,1.8462e-05
1469749180820,1.58,1.5566e-05
1469749180830,1.58,1.7375999999999998e-05
1469749180840,1.58,1.4842000000000001e-05
1469749180850,1.58,1.267e-05
1469749180860,1.58,1.0498e-05
1469749180870,1.58,1.1222e-05
1469749180880,1.58,1.1945999999999999e-05
1469749180890,1.58,1.1945999999999999e-05
1469749180900,1.58,1.4118e-05
1469749180910,1.58,1.1945999999999999e-05
1469749180920,1.58,1.629e-05
1469749180930,1.58,1.8824e-05
1469749180940,1.58,2.0272000000000002e-05
1469749180950,1.58,1.8100000000000003e-05
1469749180960,1.58,1.4842000000000001e-05
1469749180970,1.58,1.5566e-05
1469749180980,1.58,1.3032e-05
1469749180990,1.58,1.5566e-05
1469749181000,1.58,1.5204e-05
1469749181010,1.58,1.7738e-05
1469749181020,1.58,1.448e-05
1469749181030,1.58,1.5204e-05
1469749181040,1.58,1.267e-05
1469749181050,1.58,1.448e-05
1469749181060,1.58,1.3394000000000001e-05
1469749181070,1.58,1.2308e-05
1469749181080,1.58,1.1945999999999999e-05
1469749181090,1.58,1.1584000000000001e-05
1469749181100,1.58,1.2308e-05
1469749181110,1.58,1.0136000000000001e-05
1469749181120,1.58,1.0498e-05
1469749181130,1.58,1.2308e-05
1469749181140,1.58,1.3032e-05
1469749181150,1.58,1.2308e-05
1469749181160,1.58,9.05e-06
1469749181170,1.58,8.326e-06
1469749181180,1.58,8.687999999999999e-06
1469749181190,1.58,8.326e-06
1469749181200,1.58,1.1222e-05
1469749181210,1.58,1.448e-05
1469749181220,1.58,1.629e-05
1469749181230,1.58,1.4842000000000001e-05
1469749181240,1.58,1.2308e-05
1469749181250,1.58,1.267e-05
1469749181260,1.58,9.05e-06
1469749181270,1.58,1.0136000000000001e-05
1469749181280,1.58,5.792000000000001e-06
1469749181290,1.58,4.343999999999999e-06
1469749181300,1.58,7.602e-06
1469749181310,1.58,7.24e-06
1469749181320,1.58,7.602e-06
1469749181330,1.58,9.412e-06
1469749181340,1.58,7.24e-06
1469749181350,1.58,7.602e-06
1469749181360,1.58,6.877999999999999e-06
1469749181370,1.58,1.0498e-05
1469749181380,1.58,9.05e-06
1469749181390,1.58,1.1945999999999999e-05
1469749181400,1.58,1.267e-05
1469749181410,1.58,1.1945999999999999e-05
1469749181420,1.58,1.0136000000000001e-05
1469749181430,1.58,1.1945999999999999e-05
1469749181440,1.58,8.687999999999999e-06
1469749181450,1.58,9.774e-06
1469749181460,1.58,9.05e-06
1469749181470,1.58,9.774e-06
1469749181480,1.58,9.774e-06
1469749181490,1.58,1.1222e-05
1469749181500,1.58,7.24e-06
1469749181510,1.58,9.05e-06
1469749181520,1.58,6.877999999999999e-06
1469749181530,1.58,8.326e-06
1469749181540,1.58,6.516e-06
1469749181550,1.58,8.687999999999999e-06
1469749181560,1.58,6.154e-06
1469749181570,1.58,9.412e-06
1469749181580,1.58,7.602e-06
1469749181590,1.58,9.05e-06
1469749181600,1.58,4.706e-06
1469749181610,1.58,7.964e-06
1469749181620,1.58,7.602e-06
1469749181630,1.58,8.326e-06
1469749181640,1.58,7.602e-06
1469749181650,1.58,1.1222e-05
1469749181660,1.58,9.412e-06
1469749181670,1.58,9.412e-06
1469749181680,1.58,7.24e-06
1469749181690,1.58,7.964e-06
1469749181700,1.58,6.154e-06
1469749181710,1.58,9.412e-06
1469749181720,1.58,6.516e-06
1469749181730,1.58,7.602e-06
1469749181740,1.58,7.964e-06
1469749181750,1.58,7.964e-06
1469749181760,1.58,3.982e-06
1469749181770,1.58,2.1719999999999997e-06
1469749181780,1.58,5.43e-06
1469749181790,1.58,7.24e-06
1469749181800,1.58,3.982e-06
1469749181810,1.58,7.602e-06
1469749181820,1.58,4.706e-06
1469749181830,1.58,7.24e-06
1469749181840,1.58,6.877999999999999e-06
1469749181850,1.58,7.964e-06
1469749181860,1.58,5.792000000000001e-06
1469749181870,1.58,6.877999999999999e-06
1469749181880,1.58,5.792000000000001e-06
1469749181890,1.58,7.964e-06
1469749181900,1.58,7.602e-06
1469749181910,1.58,9.774e-06
1469749181920,1.58,9.05e-06
1469749181930,1.58,9.774e-06
1469749181940,1.58,5.43e-06
1469749181950,1.58,7.964e-06
1469749181960,1.58,4.343999999999999e-06
1469749181970,1.58,6.877999999999999e-06
1469749181980,1.58,4.706e-06
1469749181990,1.58,6.154e-06
1469749182000,1.58,5.43e-06
1469749182010,1.58,6.516e-06
1469749182020,1.58,5.0680000000000004e-06
1469749182030,1.58,6.154e-06
1469749182040,1.58,4.343999999999999e-06
1469749182050,1.58,5.43e-06
1469749182060,1.58,4.706e-06
1469749182070,1.58,6.516e-06
1469749182080,1.58,5.43e-06
1469749182090,1.58,7.602e-06
1469749182100,1.58,9.412e-06
1469749182110,1.58,9.412e-06
1469749182120,1.58,6.516e-06
1469749182130,1.58,6.877999999999999e-06
1469749182140,1.58,6.516e-06
1469749182150,1.58,6.516e-06
1469749182160,1.58,7.602e-06
1469749182170,1.58,7.602e-06
1469749182180,1.58,6.154e-06
1469749182190,1.58,5.43e-06
1469749182200,1.58,5.43e-06
1469749182210,1.58,5.792000000000001e-06
1469749182220,1.58,3.62e-06
1469749182230,1.58,6.516e-06
1469749182240,1.58,5.792000000000001e-06
1469749182250,1.58,7.602e-06
1469749182260,1.58,6.877999999999999e-06
1469749182270,1.58,6.516e-06
1469749182280,1.58,3.62e-06
1469749182290,1.58,7.602e-06
1469749182300,1.58,3.982e-06
1469749182310,1.58,6.877999999999999e-06
1469749182320,1.58,3.258e-06
1469749182330,1.58,8.326e-06
1469749182340,1.58,3.982e-06
1469749182350,1.58,7.24e-06
1469749182360,1.58,4.706e-06
1469749182370,1.58,6.877999999999999e-06
1469749182380,1.58,5.43e-06
1469749182390,1.58,6.877999999999999e-06
1469749182400,1.58,3.258e-06
1469749182410,1.58,6.877999999999999e-06
1469749182420,1.58,2.5340000000000002e-06
1469749182430,1.58,2.8960000000000003e-06
1469749182440,1.58,5.43e-06
1469749182450,1.58,6.154e-06
1469749182460,1.58,5.0680000000000004e-06
1469749182470,1.58,5.43e-06
1469749182480,1.58,3.982e-06
1469749182490,1.58,4.706e-06
1469749182500,1.58,3.982e-06
1469749182510,1.58,6.154e-06
1469749182520,1.58,3.62e-06
1469749182530,1.58,7.602e-06
1469749182540,1.58,4.706e-06
1469749182550,1.58,9.05e-06
1469749182560,1.58,4.706e-06
1469749182570,1.58,7.964e-06
1469749182580,1.58,3.62e-06
1469749182590,1.58,7.602e-06
1469749182600,1.58,4.706e-06
1469749182610,1.58,7.24e-06
1469749182620,1.58,4.343999999999999e-06
1469749182630,1.58,6.877999999999999e-06
1469749182640,1.58,2.8960000000000003e-06
1469749182650,1.58,6.516e-06
1469749182660,1.58,2.5340000000000002e-06
1469749182670,1.58,5.792000000000001e-06
1469749182680,1.58,4.343999999999999e-06
1469749182690,1.58,5.0680000000000004e-06
1469749182700,1.58,3.258e-06
1469749182710,1.58,5.792000000000001e-06
1469749182720,1.58,4.706e-06
1469749182730,1.58,5.792000000000001e-06
1469749182740,1.58,3.62e-06
1469749182750,1.58,7.602e-06
1469749182760,1.58,3.982e-06
1469749182770,1.58,7.964e-06
1469749182780,1.58,5.0680000000000004e-06
1469749182790,1.58,9.412e-06
1469749182800,1.58,3.258e-06
1469749182810,1.58,8.326e-06
1469749182820,1.58,3.62e-06
1469749182830,1.58,6.877999999999999e-06
1469749182840,1.58,3.258e-06
1469749182850,1.58,6.516e-06
1469749182860,1.58,5.43e-06
1469749182870,1.58,7.24e-06
1469749182880,1.58,4.343999999999999e-06
1469749182890,1.58,5.43e-06
1469749182900,1.58,4.706e-06
1469749182910,1.58,6.516e-06
1469749182920,1.58,3.258e-06
1469749182930,1.58,5.792000000000001e-06
1469749182940,1.58,2.8960000000000003e-06
1469749182950,1.58,6.154e-06
1469749182960,1.58,4.343999999999999e-06
1469749182970,1.58,5.0680000000000004e-06
1469749182980,1.58,3.62e-06
1469749182990,1.58,6.877999999999999e-06
1469749183000,1.58,3.258e-06
1469749183010,1.58,7.602e-06
1469749183020,1.58,3.982e-06
1469749183030,1.58,8.687999999999999e-06
1469749183040,1.58,5.43e-06
1469749183050,1.58,8.326e-06
1469749183060,1.58,5.792000000000001e-06
1469749183070,1.58,7.24e-06
1469749183080,1.58,3.982e-06
1469749183090,1.58,6.516e-06
1469749183100,1.58,3.62e-06
1469749183110,1.58,7.24e-06
1469749183120,1.58,2.5340000000000002e-06
1469749183130,1.58,6.154e-06
1469749183140,1.58,4.706e-06
1469749183150,1.58,9.412e-06
1469749183160,1.58,5.0680000000000004e-06
1469749183170,1.58,4.343999999999999e-06
1469749183180,1.58,0.0
1469749183190,1.58,3.982e-06
1469749183200,1.58,4.706e-06
1469749183210,1.58,5.43e-06
1469749183220,1.58,4.706e-06
1469749183230,1.58,6.877999999999999e-06
1469749183240,1.58,4.706e-06
1469749183250,1.58,7.24e-06
1469749183260,1.56,3.982e-06
1469749183270,1.56,7.24e-06
1469749183280,1.56,4.706e-06
1469749183290,1.56,9.05e-06
1469749183300,1.56,2.1719999999999997e-06
1469749183310,1.56,7.602e-06
1469749183320,1.56,5.792000000000001e-06
1469749183330,1.56,8.326e-06
1469749183340,1.56,3.62e-06
1469749183350,1.56,6.516e-06
1469749183360,1.56,3.258e-06
1469749183370,1.56,6.154e-06
1469749183380,1.56,4.706e-06
1469749183390,1.56,4.706e-06
1469749183400,1.56,4.706e-06
1469749183410,1.56,6.516e-06
1469749183420,1.56,3.982e-06
1469749183430,1.56,5.0680000000000004e-06
1469749183440,1.56,3.982e-06
1469749183450,1.56,6.154e-06
1469749183460,1.56,4.706e-06
1469749183470,1.56,7.964e-06
1469749183480,1.56,6.154e-06
1469749183490,1.56,1.1222e-05
1469749183500,1.56,1.3032e-05
1469749183510,1.56,2.1358e-05
1469749183520,1.56,4.4164e-05
1469749183530,1.56,4.8146e-05
1469749183540,1.56,8.9052e-05
1469749183550,1.56,0.00010642799999999999
1469749183560,1.56,0.000113306
1469749183570,1.56,0.000118374
1469749183580,1.56,0.000108962
1469749183590,1.56,0.00013538799999999999
1469749183600,1.56,0.000140456
1469749183610,1.56,0.00014118
1469749183620,1.56,0.00014805799999999998
1469749183630,1.56,0.000183172
1469749183640,1.56,0.000251228
1469749183650,1.56,0.000326886
1469749183660,1.56,0.000368516
1469749183670,1.56,0.000378652
1469749183680,1.56,0.000373946
1469749183690,1.56,0.000379738
1469749183700,1.56,0.00041593800000000003
1469749183710,1.56,0.00041811
1469749183720,1.56,0.00036960199999999996
1469749183730,1.56,0.00034969199999999997
1469749183740,1.56,0.00036924
1469749183750,1.56,0.000340642
1469749183760,1.56,0.00029901200000000003
1469749183770,1.56,0.000284894
1469749183780,1.56,0.000270414
1469749183790,1.56,0.000284894
1469749183800,1.56,0.00026534599999999996
1469749183810,1.56,0.00025883
1469749183820,1.56,0.000246884
1469749183830,1.56,0.00027693
1469749183840,1.56,0.000269328
1469749183850,1.56,0.000230956
1469749183860,1.56,0.0001991
1469749183870,1.56,0.000208512
1469749183880,1.56,0.0001991
1469749183890,1.56,0.000226612
1469749183900,1.56,0.00023457599999999998
1469749183910,1.56,0.00026136400000000004
1469749183920,1.56,0.000262812
1469749183930,1.56,0.000271138
1469749183940,1.56,0.000274758
1469749183950,1.56,0.00028344599999999997
1469749183960,1.56,0.000269328
1469749183970,1.56,0.0002715
1469749183980,1.56,0.000283084
1469749183990,1.56,0.00026100200000000003
1469749184000,1.56,0.000236386
1469749184010,1.56,0.000243988
1469749184020,1.56,0.00022914599999999998
1469749184030,1.56,0.000213942
1469749184040,1.56,0.000184982
1469749184050,1.56,0.000171226
1469749184060,1.56,0.000161452
1469749184070,1.56,0.000192946
1469749184080,1.56,0.000199462
1469749184090,1.56,0.00023312799999999998
1469749184100,1.56,0.00025593400000000003
1469749184110,1.56,0.000305528
1469749184120,1.56,0.000328696
1469749184130,1.56,0.000325438
1469749184140,1.56,0.000302632
1469749184150,1.56,0.00029684
1469749184160,1.56,0.000290324
1469749184170,1.56,0.00027367200000000003
1469749184180,1.56,0.00024797
1469749184190,1.56,0.00021973400000000002
1469749184200,1.56,0.000209598
1469749184210,1.56,0.000196566
1469749184220,1.56,0.00018824
1469749184230,1.56,0.00016833
1469749184240,1.56,0.000156384
1469749184250,1.56,0.000156384
1469749184260,1.56,0.000174484
1469749184270,1.56,0.00019041200000000002
1469749184280,1.56,0.000181
1469749184290,1.56,0.000175208
1469749184300,1.56,0.00018208599999999998
1469749184310,1.56,0.00019041200000000002
1469749184320,1.56,0.00019367
1469749184330,1.56,0.00018172400000000002
1469749184340,1.56,0.00017738
1469749184350,1.56,0.00018643
1469749184360,1.56,0.00018208599999999998
1469749184370,1.56,0.00019873799999999998
1469749184380,1.56,0.000201272
1469749184390,1.56,0.000205254
1469749184400,1.56,0.000209236
1469749184410,1.56,0.00019475599999999998
1469749184420,1.56,0.000199824
1469749184430,1.56,0.00020163400000000001
1469749184440,1.56,0.00022190599999999999
1469749184450,1.56,0.000214666
1469749184460,1.56,0.000204892
1469749184470,1.56,0.000163262
1469749184480,1.56,0.000145886
1469749184490,1.56,0.00014552399999999998
1469749184500,1.56,0.000127062
1469749184510,1.56,0.000136112
1469749184520,1.56,0.000125252
1469749184530,1.56,0.000132492
1469749184540,1.56,0.00015566
1469749184550,1.56,0.000175932
1469749184560,1.56,0.000201996
1469749184570,1.56,0.000215028
1469749184580,1.56,0.000239644
1469749184590,1.56,0.00025340000000000003
1469749184600,1.56,0.000256296
1469749184610,1.56,0.00025159
1469749184620,1.56,0.00024217799999999998
1469749184630,1.56,0.000234938
1469749184640,1.56,0.000221182
1469749184650,1.56,0.000192584
1469749184660,1.56,0.00018244799999999999
1469749184670,1.56,0.00017195
1469749184680,1.56,0.00017339799999999998
1469749184690,1.56,0.00015964200000000001
1469749184700,1.56,0.000167606
1469749184710,1.56,0.000183534
1469749184720,1.56,0.000177018
1469749184730,1.56,0.00017738
1469749184740,1.56,0.000161452
1469749184750,1.56,0.000175932
1469749184760,1.56,0.000155298
1469749184770,1.56,0.00016471
1469749184780,1.56,0.00014805799999999998
1469749184790,1.56,0.000152764
1469749184800,1.56,0.000156384
1469749184810,1.56,0.000178104
1469749184820,1.56,0.000189326
1469749184830,1.56,0.000181
1469749184840,1.56,0.00016217600000000001
1469749184850,1.56,0.00015928
1469749184860,1.56,0.000160004
1469749184870,1.56,0.000184258
1469749184880,1.56,0.000184258
1469749184890,1.56,0.000175208
1469749184900,1.56,0.00015385
1469749184910,1.56,0.00015023
1469749184920,1.56,0.000144076
1469749184930,1.56,0.00012670000000000002
1469749184940,1.56,0.00012054600000000001
1469749184950,1.56,0.00011584
1469749184960,1.56,0.00010534200000000001
1469749184970,1.56,0.000109324
1469749184980,1.56,0.00011004799999999999
1469749184990,1.56,0.00012851
1469749185000,1.56,0.000144076
1469749185010,1.56,0.000163624
1469749185020,1.56,0.000149144
1469749185030,1.56,0.000175932
1469749185040,1.56,0.000162538
1469749185050,1.56,0.00019548
1469749185060,1.56,0.00016652
1469749185070,1.56,0.00017195
1469749185080,1.56,0.00016072799999999998
1469749185090,1.56,0.00015747
1469749185100,1.56,0.000157832
1469749185110,1.56,0.000140818
1469749185120,1.56,0.000135026
1469749185130,1.56,0.000127062
1469749185140,1.56,0.00012670000000000002
1469749185150,1.56,0.000133578
1469749185160,1.56,0.000128148
1469749185170,1.56,0.00011909799999999999
1469749185180,1.56,0.000145886
1469749185190,1.56,0.000151316
1469749185200,1.56,0.000149144
1469749185210,1.56,0.00015204
1469749185220,1.56,0.00012054600000000001
1469749185230,1.56,0.000125976
1469749185240,1.56,0.000122356
1469749185250,1.56,0.00013575
1469749185260,1.56,0.00015167799999999998
1469749185270,1.56,0.00018570599999999997
1469749185280,1.56,0.000178828
1469749185290,1.56,0.000211046
1469749185300,1.56,0.000197652
1469749185310,1.56,0.00020706400000000002
1469749185320,1.56,0.000180638
1469749185330,1.56,0.00016977799999999999
1469749185340,1.56,0.00013900799999999998
1469749185350,1.56,0.000128872
1469749185360,1.56,0.00012633799999999998
1469749185370,1.56,0.000121632
1469749185380,1.56,0.000129958
1469749185390,1.56,0.00011656399999999999
1469749185400,1.56,0.00010534200000000001
1469749185410,1.56,0.00010317
1469749185420,1.56,0.00010679
1469749185450,1.56,0.000113306
1469749185460,1.56,0.000108962
1469749185470,1.56,0.00012851
1469749185480,1.56,0.000142628
1469749185490,1.56,0.00016905400000000002
1469749185500,1.56,0.000171226
1469749185510,1.56,0.00016109
1469749185520,1.56,0.000141904
1469749185530,1.56,0.000135026
1469749185540,1.56,0.00011765
