Timestamp,position,BLMTI.06R7.B2I10_TCP.C6R7.B2
1469745547290,-1.255,2.8960000000000003e-06
1469745547300,-1.255,1.4480000000000002e-06
1469745547310,-1.255,4.706e-06
1469745547320,-1.255,2.1719999999999997e-06
1469745547330,-1.255,3.62e-06
1469745547340,-1.255,1.81e-06
1469745547350,-1.255,3.62e-06
1469745547360,-1.255,7.240000000000001e-07
1469745547370,-1.255,3.62e-06
1469745547380,-1.255,1.0859999999999999e-06
1469745547390,-1.255,3.62e-06
1469745547400,-1.255,1.0859999999999999e-06
1469745547410,-1.255,3.62e-06
1469745547420,-1.255,1.0859999999999999e-06
1469745547430,-1.255,3.258e-06
1469745547440,-1.255,7.240000000000001e-07
1469745547450,-1.255,2.8960000000000003e-06
1469745547460,-1.255,1.4480000000000002e-06
1469745547470,-1.255,4.343999999999999e-06
1469745547480,-1.255,1.81e-06
1469745547490,-1.255,2.8960000000000003e-06
1469745547500,-1.255,1.81e-06
1469745547510,-1.255,2.5340000000000002e-06
1469745547520,-1.255,1.4480000000000002e-06
1469745547530,-1.255,3.62e-06
1469745547540,-1.255,1.4480000000000002e-06
1469745547550,-1.255,3.62e-06
1469745547560,-1.255,1.0859999999999999e-06
1469745547570,-1.255,3.62e-06
1469745547580,-1.255,7.240000000000001e-07
1469745547590,-1.255,4.706e-06
1469745547600,-1.255,7.240000000000001e-07
1469745547610,-1.255,3.258e-06
1469745547620,-1.255,1.0859999999999999e-06
1469745547630,-1.255,3.62e-06
1469745547640,-1.255,1.4480000000000002e-06
1469745547650,-1.255,2.8960000000000003e-06
1469745547660,-1.255,7.240000000000001e-07
1469745547670,-1.255,3.62e-06
1469745547680,-1.255,1.0859999999999999e-06
1469745547690,-1.255,3.258e-06
1469745547700,-1.255,7.240000000000001e-07
1469745547710,-1.255,3.258e-06
1469745547720,-1.255,1.81e-06
1469745547730,-1.255,3.258e-06
1469745547740,-1.255,1.81e-06
1469745547750,-1.255,3.258e-06
1469745547760,-1.255,1.4480000000000002e-06
1469745547770,-1.255,2.8960000000000003e-06
1469745547780,-1.255,1.0859999999999999e-06
1469745547790,-1.255,2.5340000000000002e-06
1469745547800,-1.255,1.4480000000000002e-06
1469745547810,-1.255,3.258e-06
1469745547820,-1.255,1.0859999999999999e-06
1469745547830,-1.255,3.258e-06
1469745547840,-1.255,1.0859999999999999e-06
1469745547850,-1.255,2.8960000000000003e-06
1469745547860,-1.255,1.0859999999999999e-06
1469745547870,-1.255,3.62e-06
1469745547880,-1.255,7.240000000000001e-07
1469745547890,-1.255,2.8960000000000003e-06
1469745547900,-1.255,1.0859999999999999e-06
1469745547910,-1.255,2.5340000000000002e-06
1469745547920,-1.255,1.0859999999999999e-06
1469745547930,-1.255,2.8960000000000003e-06
1469745547940,-1.255,7.240000000000001e-07
1469745547950,-1.255,3.62e-06
1469745547960,-1.255,1.0859999999999999e-06
1469745547970,-1.255,2.5340000000000002e-06
1469745547980,-1.255,1.0859999999999999e-06
1469745547990,-1.255,2.1719999999999997e-06
1469745548000,-1.255,1.4480000000000002e-06
1469745548010,-1.255,2.5340000000000002e-06
1469745548020,-1.255,1.4480000000000002e-06
1469745548030,-1.255,1.81e-06
1469745548040,-1.255,1.4480000000000002e-06
1469745548050,-1.255,3.258e-06
1469745548060,-1.255,1.81e-06
1469745548070,-1.255,4.706e-06
1469745548080,-1.255,1.0859999999999999e-06
1469745548090,-1.255,3.982e-06
1469745548100,-1.255,3.6200000000000004e-07
1469745548110,-1.255,2.8960000000000003e-06
1469745548120,-1.255,7.240000000000001e-07
1469745548130,-1.255,2.1719999999999997e-06
1469745548140,-1.255,3.6200000000000004e-07
1469745548150,-1.255,3.982e-06
1469745548160,-1.255,1.0859999999999999e-06
1469745548170,-1.255,3.982e-06
1469745548180,-1.255,7.240000000000001e-07
1469745548190,-1.255,2.5340000000000002e-06
1469745548200,-1.255,1.81e-06
1469745548210,-1.255,3.258e-06
1469745548220,-1.255,1.81e-06
1469745548230,-1.255,2.5340000000000002e-06
1469745548240,-1.255,1.4480000000000002e-06
1469745548250,-1.255,1.4480000000000002e-06
1469745548260,-1.255,1.0859999999999999e-06
1469745548270,-1.255,2.5340000000000002e-06
1469745548280,-1.255,1.4480000000000002e-06
1469745548290,-1.21,3.62e-06
1469745548300,-1.21,1.4480000000000002e-06
1469745548310,-1.21,2.8960000000000003e-06
1469745548320,-1.21,1.4480000000000002e-06
1469745548330,-1.21,3.62e-06
1469745548340,-1.21,3.6200000000000004e-07
1469745548350,-1.21,3.62e-06
1469745548360,-1.21,3.6200000000000004e-07
1469745548370,-1.21,3.62e-06
1469745548380,-1.21,1.0859999999999999e-06
1469745548390,-1.21,2.8960000000000003e-06
1469745548400,-1.21,1.0859999999999999e-06
1469745548410,-1.21,2.8960000000000003e-06
1469745548420,-1.21,1.81e-06
1469745548430,-1.21,3.62e-06
1469745548440,-1.21,1.0859999999999999e-06
1469745548450,-1.21,2.5340000000000002e-06
1469745548460,-1.21,1.0859999999999999e-06
1469745548470,-1.21,2.8960000000000003e-06
1469745548480,-1.21,1.4480000000000002e-06
1469745548490,-1.21,2.5340000000000002e-06
1469745548500,-1.21,2.1719999999999997e-06
1469745548510,-1.21,2.1719999999999997e-06
1469745548520,-1.21,1.0859999999999999e-06
1469745548530,-1.21,2.8960000000000003e-06
1469745548540,-1.21,7.240000000000001e-07
1469745548550,-1.21,3.62e-06
1469745548560,-1.21,7.240000000000001e-07
1469745548570,-1.21,3.258e-06
1469745548580,-1.21,7.240000000000001e-07
1469745548590,-1.21,2.8960000000000003e-06
1469745548600,-1.21,1.0859999999999999e-06
1469745548610,-1.21,3.258e-06
1469745548620,-1.21,1.4480000000000002e-06
1469745548630,-1.21,2.5340000000000002e-06
1469745548640,-1.21,1.0859999999999999e-06
1469745548650,-1.21,2.1719999999999997e-06
1469745548660,-1.21,1.0859999999999999e-06
1469745548670,-1.21,1.81e-06
1469745548680,-1.21,1.0859999999999999e-06
1469745548690,-1.21,2.8960000000000003e-06
1469745548700,-1.21,1.0859999999999999e-06
1469745548710,-1.21,3.258e-06
1469745548720,-1.21,7.240000000000001e-07
1469745548730,-1.21,2.5340000000000002e-06
1469745548740,-1.21,1.4480000000000002e-06
1469745548750,-1.21,2.5340000000000002e-06
1469745548760,-1.21,1.0859999999999999e-06
1469745548770,-1.21,3.258e-06
1469745548780,-1.21,1.0859999999999999e-06
1469745548790,-1.21,3.258e-06
1469745548800,-1.21,7.240000000000001e-07
1469745548810,-1.21,3.258e-06
1469745548820,-1.21,1.0859999999999999e-06
1469745548830,-1.21,3.62e-06
1469745548840,-1.21,7.240000000000001e-07
1469745548850,-1.21,2.8960000000000003e-06
1469745548860,-1.21,1.0859999999999999e-06
1469745548870,-1.21,2.1719999999999997e-06
1469745548880,-1.21,1.4480000000000002e-06
1469745548890,-1.21,3.258e-06
1469745548900,-1.21,1.0859999999999999e-06
1469745548910,-1.21,2.1719999999999997e-06
