Timestamp,position,BLMTI.06L7.B2I10_TCSG.6L7.B2
1469745575070,-1.835,3.258e-06
1469745575080,-1.835,3.258e-06
1469745575090,-1.835,3.982e-06
1469745575100,-1.835,3.258e-06
1469745575110,-1.835,3.258e-06
1469745575120,-1.835,2.5340000000000002e-06
1469745575130,-1.835,2.5340000000000002e-06
1469745575140,-1.835,3.258e-06
1469745575150,-1.835,2.1719999999999997e-06
1469745575160,-1.835,2.8960000000000003e-06
1469745575170,-1.835,1.81e-06
1469745575180,-1.835,2.8960000000000003e-06
1469745575190,-1.835,2.1719999999999997e-06
1469745575200,-1.835,3.62e-06
1469745575210,-1.835,2.8960000000000003e-06
1469745575220,-1.835,3.62e-06
1469745575230,-1.835,2.5340000000000002e-06
1469745575240,-1.835,4.343999999999999e-06
1469745575250,-1.835,2.8960000000000003e-06
1469745575260,-1.835,3.62e-06
1469745575270,-1.835,2.8960000000000003e-06
1469745575280,-1.835,2.1719999999999997e-06
1469745575290,-1.835,3.258e-06
1469745575300,-1.835,2.5340000000000002e-06
1469745575310,-1.835,2.5340000000000002e-06
1469745575320,-1.835,2.8960000000000003e-06
1469745575330,-1.835,1.81e-06
1469745575340,-1.835,3.258e-06
1469745575350,-1.835,2.5340000000000002e-06
1469745575360,-1.835,3.258e-06
1469745575370,-1.835,2.5340000000000002e-06
1469745575380,-1.835,2.8960000000000003e-06
1469745575390,-1.835,2.8960000000000003e-06
1469745575400,-1.835,2.5340000000000002e-06
1469745575410,-1.835,2.1719999999999997e-06
1469745575420,-1.835,3.62e-06
1469745575430,-1.835,3.258e-06
1469745575440,-1.835,2.1719999999999997e-06
1469745575450,-1.835,3.62e-06
1469745575460,-1.835,3.258e-06
1469745575470,-1.835,3.258e-06
1469745575480,-1.835,2.5340000000000002e-06
1469745575490,-1.835,3.258e-06
1469745575500,-1.835,3.982e-06
1469745575510,-1.835,4.343999999999999e-06
1469745575520,-1.835,3.982e-06
1469745575530,-1.835,2.5340000000000002e-06
1469745575540,-1.835,3.982e-06
1469745575550,-1.835,2.5340000000000002e-06
1469745575560,-1.835,3.982e-06
1469745575570,-1.835,2.5340000000000002e-06
1469745575580,-1.835,3.982e-06
1469745575590,-1.835,2.8960000000000003e-06
1469745575600,-1.835,3.62e-06
1469745575610,-1.835,2.8960000000000003e-06
1469745575620,-1.835,3.982e-06
1469745575630,-1.835,2.5340000000000002e-06
1469745575640,-1.835,2.8960000000000003e-06
1469745575650,-1.835,1.81e-06
1469745575660,-1.835,2.8960000000000003e-06
1469745575670,-1.835,3.62e-06
1469745575680,-1.835,4.343999999999999e-06
1469745575690,-1.835,3.982e-06
1469745575700,-1.835,3.62e-06
1469745575710,-1.835,3.258e-06
1469745575720,-1.835,3.258e-06
1469745575730,-1.835,3.62e-06
1469745575740,-1.835,3.258e-06
1469745575750,-1.835,3.258e-06
1469745575760,-1.835,4.343999999999999e-06
1469745575770,-1.835,1.81e-06
1469745575780,-1.835,3.62e-06
1469745575790,-1.835,2.5340000000000002e-06
1469745575800,-1.835,3.258e-06
1469745575810,-1.835,3.258e-06
1469745575820,-1.835,4.343999999999999e-06
1469745575830,-1.835,1.81e-06
1469745575840,-1.835,3.62e-06
1469745575850,-1.835,2.5340000000000002e-06
1469745575860,-1.835,2.1719999999999997e-06
1469745575870,-1.835,3.62e-06
1469745575880,-1.835,3.62e-06
1469745575890,-1.835,3.258e-06
1469745575900,-1.835,3.258e-06
1469745575910,-1.835,2.5340000000000002e-06
1469745575920,-1.835,3.258e-06
1469745575930,-1.835,2.1719999999999997e-06
1469745575940,-1.835,3.982e-06
1469745575950,-1.835,2.8960000000000003e-06
1469745575960,-1.835,4.343999999999999e-06
1469745575970,-1.835,3.258e-06
1469745575980,-1.835,3.982e-06
1469745575990,-1.835,2.8960000000000003e-06
1469745576000,-1.835,2.1719999999999997e-06
1469745576010,-1.835,2.5340000000000002e-06
1469745576020,-1.835,3.258e-06
1469745576030,-1.835,2.1719999999999997e-06
1469745576040,-1.835,3.258e-06
1469745576050,-1.835,2.8960000000000003e-06
