Timestamp,position,BLMTI.06L7.B2I10_TCLA.D6L7.B2
1469746010160,-0.895,8.687999999999999e-06
1469746010170,-0.895,4.343999999999999e-06
1469746010180,-0.895,3.982e-06
1469746010190,-0.895,3.982e-06
1469746010200,-0.895,5.43e-06
1469746010210,-0.895,5.792000000000001e-06
1469746010220,-0.895,6.877999999999999e-06
1469746010230,-0.895,9.774e-06
1469746010240,-0.895,1.0136000000000001e-05
1469746010250,-0.895,1.0498e-05
1469746010260,-0.895,7.964e-06
1469746010270,-0.895,3.982e-06
1469746010280,-0.895,4.343999999999999e-06
1469746010290,-0.895,2.8960000000000003e-06
1469746010300,-0.895,5.43e-06
1469746010310,-0.895,5.792000000000001e-06
1469746010320,-0.895,1.5566e-05
1469746010330,-0.895,1.1222e-05
1469746010340,-0.895,1.629e-05
1469746010350,-0.895,8.326e-06
1469746010360,-0.895,9.774e-06
1469746010370,-0.895,5.43e-06
1469746010380,-0.895,5.0680000000000004e-06
1469746010390,-0.895,4.706e-06
1469746010400,-0.895,5.792000000000001e-06
1469746010410,-0.895,6.877999999999999e-06
1469746010420,-0.895,5.792000000000001e-06
1469746010430,-0.895,4.706e-06
1469746010440,-0.895,4.343999999999999e-06
1469746010450,-0.895,3.62e-06
1469746010460,-0.895,3.982e-06
1469746010470,-0.895,5.0680000000000004e-06
1469746010480,-0.895,8.687999999999999e-06
1469746010490,-0.895,2.2444e-05
1469746010500,-0.895,3.439e-05
1469746010510,-0.895,1.5204e-05
1469746010520,-0.895,1.5566e-05
1469746010530,-0.895,5.43e-06
1469746010540,-0.895,5.43e-06
1469746010550,-0.895,2.5340000000000002e-06
1469746010560,-0.895,4.706e-06
1469746010570,-0.895,3.62e-06
1469746010580,-0.895,7.602e-06
1469746010590,-0.895,6.516e-06
1469746010600,-0.895,1.1222e-05
1469746010610,-0.895,8.326e-06
1469746010620,-0.895,8.326e-06
1469746010630,-0.895,3.258e-06
1469746010640,-0.895,4.706e-06
1469746010650,-0.895,3.258e-06
1469746010660,-0.895,4.706e-06
1469746010670,-0.895,7.24e-06
1469746010680,-0.895,5.792000000000001e-06
1469746010690,-0.895,4.343999999999999e-06
1469746010700,-0.895,5.43e-06
1469746010710,-0.895,2.8960000000000003e-06
1469746010720,-0.895,4.343999999999999e-06
1469746010730,-0.895,6.154e-06
1469746010740,-0.895,6.516e-06
1469746010750,-0.895,1.267e-05
1469746010760,-0.895,1.629e-05
1469746010770,-0.895,1.3032e-05
1469746010780,-0.895,1.0136000000000001e-05
1469746010790,-0.895,5.792000000000001e-06
1469746010800,-0.895,6.154e-06
1469746010810,-0.895,3.258e-06
1469746010820,-0.895,6.516e-06
1469746010830,-0.895,4.706e-06
1469746010840,-0.895,7.964e-06
1469746010850,-0.895,6.154e-06
1469746010860,-0.895,7.602e-06
1469746010870,-0.895,6.154e-06
1469746010880,-0.895,4.343999999999999e-06
1469746010890,-0.895,5.0680000000000004e-06
1469746010900,-0.895,6.516e-06
1469746010910,-0.895,6.877999999999999e-06
1469746010920,-0.895,6.516e-06
