Timestamp,position,BLMTI.06L7.B2I10_TCLA.B6L7.B2
1469746302710,-1.565,4.163e-05
1469746302720,-1.565,3.0046e-05
1469746302730,-1.565,3.2942e-05
1469746302740,-1.565,3.5114e-05
1469746302750,-1.565,4.7783999999999995e-05
1469746302760,-1.565,8.434600000000001e-05
1469746302770,-1.565,0.00011403
1469746302780,-1.565,0.000113668
1469746302790,-1.565,0.00011584
1469746302800,-1.565,9.1586e-05
1469746302810,-1.565,6.2988e-05
1469746302820,-1.565,4.0181999999999996e-05
1469746302830,-1.565,3.077e-05
1469746302840,-1.565,2.7511999999999997e-05
1469746302850,-1.565,4.3802e-05
1469746302860,-1.565,4.7783999999999995e-05
1469746302870,-1.565,6.8056e-05
1469746302880,-1.565,5.7196000000000006e-05
1469746302890,-1.565,5.5023999999999994e-05
1469746302900,-1.565,5.1042e-05
1469746302910,-1.565,5.068e-05
1469746302920,-1.565,4.0544000000000003e-05
1469746302930,-1.565,3.8372e-05
1469746302940,-1.565,6.8056e-05
1469746302950,-1.565,0.000110772
1469746302960,-1.565,0.000128148
1469746302970,-1.565,7.9278e-05
1469746302980,-1.565,5.068e-05
1469746302990,-1.565,4.6698e-05
1469746303000,-1.565,3.8372e-05
1469746303010,-1.565,3.258e-05
1469746303020,-1.565,2.896e-05
1469746303030,-1.565,6.335e-05
1469746303040,-1.565,6.841800000000001e-05
1469746303050,-1.565,0.00010172200000000001
1469746303060,-1.565,5.8643999999999996e-05
1469746303070,-1.565,6.8056e-05
1469746303080,-1.565,5.3576000000000003e-05
1469746303090,-1.565,8.1812e-05
1469746303100,-1.565,9.231e-05
1469746303110,-1.565,0.000133578
1469746303120,-1.565,9.8826e-05
1469746303130,-1.565,7.5296e-05
1469746303140,-1.565,4.7783999999999995e-05
1469746303150,-1.565,4.1992e-05
1469746303160,-1.565,4.1268e-05
1469746303170,-1.565,4.0906e-05
1469746303180,-1.565,4.4526e-05
1469746303190,-1.565,6.9866e-05
1469746303200,-1.565,0.00013394
1469746303210,-1.565,0.000157832
1469746303220,-1.565,0.00012489
1469746303230,-1.565,6.9866e-05
1469746303240,-1.565,4.344e-05
1469746303250,-1.565,4.6698e-05
1469746303260,-1.565,5.5023999999999994e-05
1469746303270,-1.565,4.0544000000000003e-05
1469746303280,-1.565,3.6200000000000006e-05
1469746303290,-1.565,6.4074e-05
1469746303300,-1.565,0.000104618
1469746303310,-1.565,0.000193308
1469746303320,-1.565,8.3984e-05
1469746303330,-1.565,4.163e-05
1469746303340,-1.565,3.1856e-05
1469746303350,-1.565,2.353e-05
1469746303360,-1.565,2.9684000000000002e-05
1469746303370,-1.565,3.9458e-05
1469746303380,-1.565,8.326e-05
1469746303390,-1.565,0.000150592
1469746303400,-1.565,0.00016217600000000001
1469746303410,-1.565,8.9052e-05
1469746303420,-1.565,6.4074e-05
1469746303430,-1.565,5.7558e-05
1469746303440,-1.565,4.525e-05
1469746303450,-1.565,3.5838000000000005e-05
1469746303460,-1.565,3.0046e-05
1469746303470,-1.565,3.1856e-05
1469746303480,-1.565,4.6336000000000005e-05
1469746303490,-1.565,6.697e-05
1469746303500,-1.565,5.3576000000000003e-05
1469746303510,-1.565,4.6698e-05
1469746303520,-1.565,3.9458e-05
1469746303530,-1.565,3.5838000000000005e-05
1469746303540,-1.565,3.9458e-05
1469746303550,-1.565,4.959399999999999e-05
1469746303560,-1.565,8.5794e-05
1469746303570,-1.565,0.000189326
1469746303580,-1.565,0.00015747
1469746303590,-1.565,6.769399999999999e-05
1469746303600,-1.565,4.1268e-05
1469746303610,-1.565,3.9458e-05
1469746303620,-1.565,3.5838000000000005e-05
1469746303630,-1.565,3.2942e-05
1469746303640,-1.565,4.3802e-05
1469746303650,-1.565,9.122399999999999e-05
1469746303660,-1.565,0.000148782
1469746303670,-1.565,0.00013394
1469746303680,-1.565,7.2038e-05
1469746303690,-1.565,4.525e-05
1469746303700,-1.565,3.5476e-05
1469746303710,-1.565,2.715e-05
1469746303720,-1.565,3.439e-05
1469746303730,-1.565,4.3078e-05
1469746303740,-1.565,5.4662e-05
1469746303750,-1.565,7.783e-05
1469746303760,-1.565,5.1042e-05
1469746303770,-1.565,4.163e-05
1469746303780,-1.565,3.6200000000000006e-05
